	Syncephalastrum_racemosum_CBS_440.59_Plus.aa	Syncephalastrum_racemosum_CBS_441.59-.aa
OG0000425	GBNXA_000264-T1, GBNXA_003579-T1	GBNXB_016413-T1, GBNXB_020736-T1
OG0000426	GBNXA_000274-T1, GBNXA_002592-T1	GBNXB_000797-T1, GBNXB_020745-T1
OG0000427	GBNXA_000281-T1, GBNXA_007880-T1	GBNXB_018883-T1, GBNXB_020752-T1
OG0000428	GBNXA_000288-T1, GBNXA_006936-T1	GBNXB_020010-T1, GBNXB_020763-T1
OG0000429	GBNXA_000317-T1, GBNXA_000993-T1	GBNXB_013913-T1, GBNXB_019099-T1
OG0000430	GBNXA_000329-T1, GBNXA_005178-T1	GBNXB_001990-T1, GBNXB_013175-T1
OG0000431	GBNXA_000360-T1, GBNXA_007869-T1	GBNXB_000323-T1, GBNXB_013211-T1
OG0000432	GBNXA_000370-T1, GBNXA_002989-T1	GBNXB_008314-T1, GBNXB_013225-T1
OG0000433	GBNXA_000374-T1, GBNXA_000594-T1	GBNXB_013229-T1, GBNXB_014614-T1
OG0000434	GBNXA_000436-T1, GBNXA_003219-T1	GBNXB_010146-T1, GBNXB_021040-T1
OG0000435	GBNXA_000449-T1, GBNXA_005789-T1	GBNXB_000458-T1, GBNXB_017261-T1
OG0000436	GBNXA_000458-T1, GBNXA_001118-T1	GBNXB_004388-T1, GBNXB_017979-T1
OG0000437	GBNXA_000465-T1	GBNXB_003986-T1, GBNXB_015741-T1, GBNXB_019004-T1
OG0000438	GBNXA_000472-T1, GBNXA_004607-T1	GBNXB_003372-T1, GBNXB_004524-T1
OG0000439	GBNXA_000508-T1, GBNXA_000510-T1	GBNXB_014899-T1, GBNXB_014900-T1
OG0000440	GBNXA_000539-T1	GBNXB_006681-T1, GBNXB_014040-T1, GBNXB_017787-T1
OG0000441	GBNXA_000553-T1, GBNXA_000619-T1	GBNXB_006510-T1, GBNXB_014166-T1
OG0000442	GBNXA_000567-T1	GBNXB_012527-T1, GBNXB_018197-T1, GBNXB_018647-T1
OG0000443	GBNXA_000591-T1, GBNXA_003766-T1	GBNXB_007487-T1, GBNXB_014611-T1
OG0000444	GBNXA_000606-T1, GBNXA_002019-T1	GBNXB_011212-T1, GBNXB_014629-T1
OG0000445	GBNXA_000611-T1	GBNXB_003079-T1, GBNXB_003710-T1, GBNXB_014179-T1
OG0000446	GBNXA_000614-T1, GBNXA_004086-T1	GBNXB_014174-T1, GBNXB_017436-T1
OG0000447	GBNXA_000622-T1, GBNXA_006380-T1	GBNXB_003405-T1, GBNXB_015877-T1
OG0000448	GBNXA_000707-T1	GBNXB_009497-T1, GBNXB_019453-T1, GBNXB_019883-T1
OG0000449	GBNXA_000726-T1, GBNXA_000727-T1	GBNXB_019858-T1, GBNXB_019860-T1
OG0000450	GBNXA_000735-T1, GBNXA_001409-T1	GBNXB_009980-T1, GBNXB_019848-T1
OG0000451	GBNXA_000744-T1, GBNXA_008175-T1	GBNXB_009329-T1, GBNXB_019835-T1
OG0000452	GBNXA_000761-T1, GBNXA_001938-T1	GBNXB_019091-T1, GBNXB_019807-T1
OG0000453	GBNXA_000793-T1, GBNXA_008544-T1	GBNXB_006334-T1, GBNXB_014067-T1
OG0000454	GBNXA_000805-T1, GBNXA_001577-T1	GBNXB_010661-T1, GBNXB_016835-T1
OG0000455	GBNXA_000878-T1, GBNXA_002033-T1	GBNXB_011233-T1, GBNXB_019078-T1
OG0000456	GBNXA_000891-T1, GBNXA_005394-T1	GBNXB_000148-T1, GBNXB_017669-T1
OG0000457	GBNXA_000916-T1	GBNXB_011760-T1, GBNXB_021074-T1, GBNXB_021622-T1
OG0000458	GBNXA_000919-T1, GBNXA_000926-T1	GBNXB_016947-T1, GBNXB_021625-T1
OG0000459	GBNXA_000929-T1, GBNXA_003563-T1	GBNXB_001427-T1, GBNXB_016436-T1
OG0000460	GBNXA_000932-T1, GBNXA_005361-T1	GBNXB_002459-T1, GBNXB_012009-T1
OG0000461	GBNXA_000936-T1, GBNXA_006293-T1	GBNXB_002775-T1, GBNXB_017864-T1
OG0000462	GBNXA_000940-T1, GBNXA_003769-T1	GBNXB_002780-T1, GBNXB_007490-T1
OG0000463	GBNXA_000955-T1, GBNXA_007246-T1	GBNXB_000283-T1, GBNXB_002802-T1
OG0000464	GBNXA_000988-T1, GBNXA_002251-T1	GBNXB_004943-T1, GBNXB_013906-T1
OG0000465	GBNXA_001003-T1, GBNXA_006028-T1	GBNXB_012473-T1, GBNXB_017785-T1
OG0000466	GBNXA_001006-T1, GBNXA_004776-T1	GBNXB_010242-T1, GBNXB_019682-T1
OG0000467	GBNXA_001015-T1, GBNXA_001016-T1	GBNXB_006676-T1, GBNXB_007236-T1
OG0000468	GBNXA_001033-T1, GBNXA_002965-T1	GBNXB_007213-T1, GBNXB_007251-T1
OG0000469	GBNXA_001047-T1, GBNXA_002392-T1	GBNXB_002718-T1, GBNXB_021717-T1
OG0000470	GBNXA_001070-T1, GBNXA_009194-T1	GBNXB_004218-T1, GBNXB_016661-T1
OG0000471	GBNXA_001075-T1, GBNXA_001076-T1	GBNXB_016672-T1, GBNXB_016673-T1
OG0000472	GBNXA_001080-T1, GBNXA_005979-T1	GBNXB_004675-T1, GBNXB_016676-T1
OG0000473	GBNXA_001103-T1, GBNXA_007055-T1	GBNXB_013152-T1, GBNXB_013985-T1
OG0000474	GBNXA_001110-T1, GBNXA_003641-T1	GBNXB_000417-T1, GBNXB_004380-T1
OG0000475	GBNXA_001123-T1, GBNXA_004955-T1	GBNXB_004393-T1, GBNXB_010174-T1
OG0000476	GBNXA_001153-T1, GBNXA_002016-T1	GBNXB_000183-T1, GBNXB_000314-T1
OG0000477	GBNXA_001182-T1	GBNXB_002955-T1, GBNXB_018989-T1, GBNXB_022135-T1
OG0000478	GBNXA_001185-T1, GBNXA_003407-T1	GBNXB_000226-T1, GBNXB_016083-T1
OG0000479	GBNXA_001187-T1, GBNXA_005434-T1	GBNXB_000094-T1, GBNXB_019997-T1
OG0000480	GBNXA_001266-T1, GBNXA_008407-T1	GBNXB_008223-T1, GBNXB_019648-T1
OG0000481	GBNXA_001299-T1, GBNXA_008060-T1	GBNXB_002899-T1, GBNXB_008139-T1
OG0000482	GBNXA_001323-T1, GBNXA_006863-T1	GBNXB_008651-T1, GBNXB_015494-T1
OG0000483	GBNXA_001324-T1, GBNXA_006864-T1	GBNXB_008652-T1, GBNXB_015493-T1
OG0000484	GBNXA_001340-T1, GBNXA_006481-T1	GBNXB_015373-T1, GBNXB_015966-T1
OG0000485	GBNXA_001377-T1	GBNXB_007148-T1, GBNXB_011116-T1, GBNXB_011117-T1
OG0000486	GBNXA_001406-T1, GBNXA_001479-T1	GBNXB_015774-T1, GBNXB_016757-T1
OG0000487	GBNXA_001433-T1, GBNXA_008275-T1	GBNXB_004727-T1, GBNXB_015827-T1
OG0000488	GBNXA_001443-T1, GBNXA_009361-T1	GBNXB_004140-T1, GBNXB_015813-T1
OG0000489	GBNXA_001447-T1, GBNXA_003307-T1	GBNXB_008909-T1, GBNXB_017278-T1
OG0000490	GBNXA_001469-T1, GBNXA_001470-T1	GBNXB_000538-T1, GBNXB_015783-T1
OG0000491	GBNXA_001475-T1, GBNXA_008636-T1	GBNXB_015779-T1, GBNXB_017319-T1
OG0000492	GBNXA_001530-T1, GBNXA_005050-T1	GBNXB_003841-T1, GBNXB_011607-T1
OG0000493	GBNXA_001541-T1, GBNXA_005871-T1	GBNXB_003063-T1, GBNXB_004288-T1
OG0000494	GBNXA_001546-T1, GBNXA_002302-T1	GBNXB_004282-T1, GBNXB_017165-T1
OG0000495	GBNXA_001549-T1, GBNXA_004203-T1	GBNXB_004278-T1, GBNXB_021239-T1
OG0000496	GBNXA_001570-T1, GBNXA_004704-T1	GBNXB_004252-T1, GBNXB_019758-T1
OG0000497	GBNXA_001578-T1, GBNXA_004254-T1	GBNXB_001288-T1, GBNXB_016834-T1
OG0000498	GBNXA_001653-T1, GBNXA_009034-T1	GBNXB_008345-T1, GBNXB_014397-T1
OG0000499	GBNXA_001683-T1, GBNXA_007043-T1	GBNXB_003844-T1, GBNXB_012727-T1
OG0000500	GBNXA_001712-T1, GBNXA_007140-T1	GBNXB_010647-T1, GBNXB_017842-T1
OG0000501	GBNXA_001719-T1, GBNXA_009207-T1	GBNXB_000653-T1, GBNXB_017835-T1
OG0000502	GBNXA_001720-T1	GBNXB_000741-T1, GBNXB_002833-T1, GBNXB_017834-T1
OG0000503	GBNXA_001735-T1	GBNXB_012099-T1, GBNXB_012100-T1, GBNXB_018297-T1
OG0000504	GBNXA_001751-T1, GBNXA_002928-T1	GBNXB_013972-T1, GBNXB_022138-T1
OG0000505	GBNXA_001758-T1, GBNXA_003776-T1	GBNXB_005271-T1, GBNXB_013959-T1
OG0000506	GBNXA_001779-T1	GBNXB_001640-T1, GBNXB_003270-T1, GBNXB_012842-T1
OG0000507	GBNXA_001790-T1, GBNXA_002483-T1	GBNXB_008280-T1, GBNXB_019242-T1
OG0000508	GBNXA_001793-T1, GBNXA_003869-T1	GBNXB_006093-T1, GBNXB_008288-T1
OG0000509	GBNXA_001814-T1, GBNXA_007107-T1	GBNXB_002274-T1, GBNXB_013872-T1
OG0000510	GBNXA_001827-T1, GBNXA_008463-T1	GBNXB_002289-T1, GBNXB_021177-T1
OG0000511	GBNXA_001835-T1, GBNXA_006040-T1	GBNXB_008938-T1, GBNXB_013244-T1
OG0000512	GBNXA_001840-T1, GBNXA_002287-T1	GBNXB_005745-T1, GBNXB_005942-T1
OG0000513	GBNXA_001849-T1, GBNXA_006102-T1	GBNXB_009937-T1, GBNXB_014961-T1
OG0000514	GBNXA_001919-T1, GBNXA_007044-T1	GBNXB_013165-T1, GBNXB_020782-T1
OG0000515	GBNXA_002087-T1, GBNXA_005538-T1	GBNXB_006894-T1, GBNXB_012509-T1
OG0000516	GBNXA_002104-T1, GBNXA_008281-T1	GBNXB_004721-T1, GBNXB_012490-T1
OG0000517	GBNXA_002129-T1, GBNXA_007363-T1	GBNXB_001146-T1, GBNXB_006605-T1
OG0000518	GBNXA_002133-T1, GBNXA_004190-T1	GBNXB_006600-T1, GBNXB_021164-T1
OG0000519	GBNXA_002137-T1, GBNXA_006271-T1	GBNXB_016769-T1, GBNXB_017893-T1
OG0000520	GBNXA_002157-T1, GBNXA_005658-T1	GBNXB_012323-T1, GBNXB_020524-T1
OG0000521	GBNXA_002171-T1, GBNXA_007995-T1	GBNXB_000021-T1, GBNXB_001331-T1
OG0000522	GBNXA_002180-T1, GBNXA_003664-T1	GBNXB_001341-T1, GBNXB_020143-T1
OG0000523	GBNXA_002185-T1, GBNXA_008353-T1	GBNXB_012042-T1, GBNXB_018433-T1
OG0000524	GBNXA_002213-T1	GBNXB_018032-T1, GBNXB_018328-T1, GBNXB_021031-T1
OG0000525	GBNXA_002247-T1, GBNXA_003866-T1	GBNXB_006096-T1, GBNXB_010992-T1
OG0000526	GBNXA_002252-T1, GBNXA_007619-T1	GBNXB_010409-T1, GBNXB_012204-T1
OG0000527	GBNXA_002253-T1	GBNXB_007408-T1, GBNXB_012206-T1, GBNXB_020168-T1
OG0000528	GBNXA_002257-T1	GBNXB_000412-T1, GBNXB_003479-T1, GBNXB_021735-T1
OG0000529	GBNXA_002289-T1, GBNXA_006383-T1	GBNXB_014694-T1, GBNXB_015880-T1
OG0000530	GBNXA_002295-T1, GBNXA_002296-T1	GBNXB_015743-T1, GBNXB_017175-T1
OG0000531	GBNXA_002305-T1, GBNXA_002963-T1	GBNXB_000598-T1, GBNXB_006491-T1
OG0000532	GBNXA_002307-T1, GBNXA_005089-T1	GBNXB_005828-T1, GBNXB_011660-T1
OG0000533	GBNXA_002315-T1, GBNXA_006867-T1	GBNXB_008656-T1, GBNXB_016928-T1
OG0000534	GBNXA_002338-T1, GBNXA_008510-T1	GBNXB_013827-T1, GBNXB_020927-T1
OG0000535	GBNXA_002365-T1, GBNXA_005161-T1	GBNXB_001379-T1, GBNXB_020210-T1
OG0000536	GBNXA_002377-T1, GBNXA_007446-T1	GBNXB_002735-T1, GBNXB_008774-T1
OG0000537	GBNXA_002386-T1, GBNXA_004890-T1	GBNXB_002726-T1, GBNXB_013071-T1
OG0000538	GBNXA_002395-T1, GBNXA_005682-T1	GBNXB_002715-T1, GBNXB_004581-T1
OG0000539	GBNXA_002409-T1, GBNXA_003979-T1	GBNXB_008870-T1, GBNXB_021734-T1
OG0000540	GBNXA_002419-T1	GBNXB_001455-T1, GBNXB_009061-T1, GBNXB_021816-T1
OG0000541	GBNXA_002429-T1, GBNXA_002810-T1	GBNXB_009072-T1, GBNXB_016241-T1
OG0000542	GBNXA_002439-T1, GBNXA_006306-T1	GBNXB_017849-T1, GBNXB_021994-T1
OG0000543	GBNXA_002488-T1, GBNXA_006032-T1	GBNXB_002149-T1, GBNXB_014716-T1
OG0000544	GBNXA_002492-T1	GBNXB_000716-T1, GBNXB_014724-T1, GBNXB_017710-T1
OG0000545	GBNXA_002495-T1, GBNXA_006148-T1	GBNXB_013350-T1, GBNXB_014727-T1
OG0000546	GBNXA_002500-T1, GBNXA_003612-T1, GBNXA_005702-T1	GBNXB_015350-T1
OG0000547	GBNXA_002504-T1, GBNXA_006025-T1	GBNXB_003618-T1, GBNXB_015345-T1
OG0000548	GBNXA_002535-T1, GBNXA_008682-T1	GBNXB_012786-T1, GBNXB_019164-T1
OG0000549	GBNXA_002561-T1, GBNXA_007467-T1	GBNXB_005325-T1, GBNXB_011631-T1
OG0000550	GBNXA_002596-T1, GBNXA_006000-T1	GBNXB_003588-T1, GBNXB_017583-T1
OG0000551	GBNXA_002634-T1, GBNXA_006928-T1	GBNXB_004885-T1, GBNXB_020224-T1
OG0000552	GBNXA_002666-T1	GBNXB_007504-T1, GBNXB_015710-T1, GBNXB_021423-T1
OG0000553	GBNXA_002682-T1, GBNXA_002865-T1	GBNXB_008905-T1, GBNXB_014365-T1
OG0000554	GBNXA_002699-T1, GBNXA_003989-T1	GBNXB_015593-T1, GBNXB_022124-T1
OG0000555	GBNXA_002775-T1, GBNXA_006819-T1	GBNXB_000859-T1, GBNXB_015995-T1
OG0000556	GBNXA_002808-T1	GBNXB_003776-T1, GBNXB_009431-T1, GBNXB_014383-T1
OG0000557	GBNXA_002854-T1	GBNXB_001436-T1, GBNXB_003222-T1, GBNXB_003243-T1
OG0000558	GBNXA_002864-T1, GBNXA_007014-T1	GBNXB_003186-T1, GBNXB_008906-T1
OG0000559	GBNXA_002867-T1, GBNXA_006587-T1	GBNXB_008903-T1, GBNXB_012401-T1
OG0000560	GBNXA_002912-T1, GBNXA_007934-T1	GBNXB_002294-T1, GBNXB_018807-T1
OG0000561	GBNXA_002932-T1, GBNXA_008770-T1	GBNXB_000728-T1, GBNXB_007943-T1
OG0000562	GBNXA_002950-T1, GBNXA_008819-T1	GBNXB_006834-T1, GBNXB_014128-T1
OG0000563	GBNXA_002974-T1	GBNXB_006283-T1, GBNXB_006655-T1, GBNXB_008618-T1
OG0000564	GBNXA_003000-T1	GBNXB_004963-T1, GBNXB_006135-T1, GBNXB_013547-T1
OG0000565	GBNXA_003039-T1, GBNXA_005415-T1	GBNXB_000119-T1, GBNXB_002689-T1
OG0000566	GBNXA_003047-T1	GBNXB_012463-T1, GBNXB_013020-T1, GBNXB_019411-T1
OG0000567	GBNXA_003060-T1, GBNXA_007170-T1	GBNXB_008053-T1, GBNXB_014439-T1
OG0000568	GBNXA_003093-T1, GBNXA_005739-T1	GBNXB_006808-T1, GBNXB_010689-T1
OG0000569	GBNXA_003096-T1, GBNXA_008704-T1	GBNXB_006805-T1, GBNXB_020907-T1
OG0000570	GBNXA_003100-T1, GBNXA_008699-T1	GBNXB_006798-T1, GBNXB_021933-T1
OG0000571	GBNXA_003105-T1	GBNXB_004941-T1, GBNXB_006793-T1, GBNXB_006920-T1
OG0000572	GBNXA_003122-T1, GBNXA_006172-T1	GBNXB_006770-T1, GBNXB_013896-T1
OG0000573	GBNXA_003133-T1, GBNXA_008176-T1	GBNXB_009330-T1, GBNXB_021630-T1
OG0000574	GBNXA_003161-T1, GBNXA_008971-T1	GBNXB_005735-T1, GBNXB_019216-T1
OG0000575	GBNXA_003168-T1, GBNXA_007163-T1	GBNXB_014214-T1, GBNXB_016040-T1
OG0000576	GBNXA_003177-T1, GBNXA_007558-T1	GBNXB_003513-T1, GBNXB_012697-T1
OG0000577	GBNXA_003237-T1, GBNXA_005903-T1	GBNXB_003736-T1, GBNXB_018684-T1
OG0000578	GBNXA_003254-T1, GBNXA_008678-T1	GBNXB_010314-T1, GBNXB_012780-T1
OG0000579	GBNXA_003274-T1	GBNXB_002128-T1, GBNXB_014812-T1, GBNXB_017114-T1
OG0000580	GBNXA_003339-T1, GBNXA_007456-T1	GBNXB_002554-T1, GBNXB_012631-T1
OG0000581	GBNXA_003346-T1, GBNXA_005973-T1	GBNXB_002562-T1, GBNXB_015531-T1
OG0000582	GBNXA_003349-T1, GBNXA_007198-T1	GBNXB_002565-T1, GBNXB_008083-T1
OG0000583	GBNXA_003353-T1, GBNXA_006388-T1	GBNXB_002573-T1, GBNXB_015888-T1
OG0000584	GBNXA_003378-T1, GBNXA_003937-T1	GBNXB_002605-T1, GBNXB_006584-T1
OG0000585	GBNXA_003401-T1, GBNXA_006540-T1	GBNXB_002638-T1, GBNXB_007291-T1
OG0000586	GBNXA_003425-T1, GBNXA_003426-T1	GBNXB_009749-T1, GBNXB_009750-T1
OG0000587	GBNXA_003430-T1, GBNXA_008836-T1	GBNXB_012197-T1, GBNXB_017380-T1
OG0000588	GBNXA_003433-T1, GBNXA_005926-T1	GBNXB_012221-T1, GBNXB_016739-T1
OG0000589	GBNXA_003463-T1, GBNXA_003464-T1	GBNXB_009707-T1, GBNXB_009709-T1
OG0000590	GBNXA_003528-T1, GBNXA_006161-T1	GBNXB_007766-T1, GBNXB_017768-T1
OG0000591	GBNXA_003547-T1, GBNXA_008772-T1	GBNXB_007946-T1, GBNXB_010063-T1
OG0000592	GBNXA_003622-T1, GBNXA_004187-T1	GBNXB_020719-T1, GBNXB_021255-T1
OG0000593	GBNXA_003732-T1, GBNXA_009252-T1	GBNXB_007446-T1, GBNXB_012933-T1
OG0000594	GBNXA_003750-T1, GBNXA_005791-T1	GBNXB_003015-T1, GBNXB_007466-T1
OG0000595	GBNXA_003801-T1, GBNXA_004457-T1	GBNXB_012870-T1, GBNXB_018139-T1
OG0000596	GBNXA_003813-T1	GBNXB_001050-T1, GBNXB_002244-T1, GBNXB_007871-T1
OG0000597	GBNXA_003854-T1, GBNXA_004582-T1	GBNXB_002389-T1, GBNXB_016385-T1
OG0000598	GBNXA_003856-T1, GBNXA_007025-T1	GBNXB_003166-T1, GBNXB_006115-T1
OG0000599	GBNXA_003861-T1, GBNXA_008394-T1	GBNXB_006106-T1, GBNXB_007777-T1
OG0000600	GBNXA_003885-T1, GBNXA_006784-T1	GBNXB_004341-T1, GBNXB_011129-T1
OG0000601	GBNXA_003920-T1, GBNXA_007822-T1	GBNXB_007977-T1, GBNXB_015075-T1
OG0000602	GBNXA_003954-T1, GBNXA_009665-T1	GBNXB_006327-T1, GBNXB_018036-T1
OG0000603	GBNXA_003957-T1, GBNXA_005277-T1	GBNXB_006323-T1, GBNXB_006729-T1
OG0000604	GBNXA_003995-T1	GBNXB_000943-T1, GBNXB_018175-T1, GBNXB_020253-T1
OG0000605	GBNXA_004003-T1, GBNXA_007705-T1	GBNXB_018184-T1, GBNXB_021840-T1
OG0000606	GBNXA_004029-T1	GBNXB_001896-T1, GBNXB_012564-T1, GBNXB_015038-T1
OG0000607	GBNXA_004032-T1, GBNXA_005816-T1	GBNXB_001892-T1, GBNXB_009461-T1
OG0000608	GBNXA_004066-T1, GBNXA_007587-T1	GBNXB_001846-T1, GBNXB_010199-T1
OG0000609	GBNXA_004084-T1, GBNXA_004603-T1	GBNXB_002248-T1, GBNXB_003379-T1
OG0000610	GBNXA_004149-T1, GBNXA_009416-T1	GBNXB_003082-T1, GBNXB_016219-T1
OG0000611	GBNXA_004151-T1, GBNXA_007474-T1	GBNXB_003085-T1, GBNXB_018081-T1
OG0000612	GBNXA_004169-T1, GBNXA_008204-T1	GBNXB_003106-T1, GBNXB_009365-T1
OG0000613	GBNXA_004171-T1	GBNXB_003111-T1, GBNXB_004270-T1, GBNXB_021160-T1
OG0000614	GBNXA_004229-T1	GBNXB_001023-T1, GBNXB_004910-T1, GBNXB_011929-T1
OG0000615	GBNXA_004273-T1, GBNXA_004547-T1	GBNXB_006638-T1, GBNXB_015419-T1
OG0000616	GBNXA_004286-T1	GBNXB_000786-T1, GBNXB_012596-T1, GBNXB_020845-T1
OG0000617	GBNXA_004296-T1	GBNXB_011405-T1, GBNXB_015258-T1, GBNXB_021330-T1
OG0000618	GBNXA_004300-T1, GBNXA_004854-T1	GBNXB_009547-T1, GBNXB_011409-T1
OG0000619	GBNXA_004433-T1, GBNXA_007027-T1	GBNXB_003164-T1, GBNXB_020367-T1
OG0000620	GBNXA_004436-T1, GBNXA_005059-T1	GBNXB_000346-T1, GBNXB_008508-T1
OG0000621	GBNXA_004485-T1	GBNXB_000876-T1, GBNXB_002762-T1, GBNXB_013687-T1
OG0000622	GBNXA_004542-T1, GBNXA_009467-T1	GBNXB_011940-T1, GBNXB_015424-T1
OG0000623	GBNXA_004548-T1, GBNXA_006317-T1	GBNXB_002417-T1, GBNXB_015418-T1
OG0000624	GBNXA_004594-T1, GBNXA_004595-T1	GBNXB_003386-T1, GBNXB_003387-T1
OG0000625	GBNXA_004596-T1, GBNXA_005363-T1	GBNXB_003385-T1, GBNXB_012010-T1
OG0000626	GBNXA_004606-T1	GBNXB_003375-T1, GBNXB_017334-T1, GBNXB_019379-T1
OG0000627	GBNXA_004701-T1, GBNXA_008468-T1	GBNXB_011554-T1, GBNXB_015725-T1
OG0000628	GBNXA_004707-T1, GBNXA_005921-T1	GBNXB_010327-T1, GBNXB_012216-T1
OG0000629	GBNXA_004712-T1	GBNXB_008706-T1, GBNXB_010334-T1, GBNXB_017497-T1
OG0000630	GBNXA_004783-T1, GBNXA_005034-T1	GBNXB_002536-T1, GBNXB_003686-T1
OG0000631	GBNXA_004794-T1, GBNXA_004795-T1	GBNXB_014590-T1, GBNXB_014591-T1
OG0000632	GBNXA_004823-T1, GBNXA_004825-T1	GBNXB_018872-T1, GBNXB_018876-T1
OG0000633	GBNXA_004841-T1	GBNXB_009496-T1, GBNXB_009530-T1, GBNXB_019454-T1
OG0000634	GBNXA_004847-T1	GBNXB_003842-T1, GBNXB_008336-T1, GBNXB_009537-T1
OG0000635	GBNXA_004871-T1, GBNXA_005691-T1	GBNXB_004590-T1, GBNXB_009631-T1
OG0000636	GBNXA_004883-T1, GBNXA_008164-T1	GBNXB_009316-T1, GBNXB_020450-T1
OG0000637	GBNXA_004952-T1	GBNXB_005695-T1, GBNXB_010141-T1, GBNXB_021502-T1
OG0000638	GBNXA_005013-T1, GBNXA_009259-T1	GBNXB_012941-T1, GBNXB_019669-T1
OG0000639	GBNXA_005027-T1, GBNXA_005316-T1	GBNXB_019657-T1, GBNXB_022095-T1
OG0000640	GBNXA_005031-T1, GBNXA_006717-T1	GBNXB_002441-T1, GBNXB_007619-T1
OG0000641	GBNXA_005036-T1	GBNXB_000894-T1, GBNXB_001714-T1, GBNXB_015282-T1
OG0000642	GBNXA_005042-T1	GBNXB_011595-T1, GBNXB_012582-T1, GBNXB_017297-T1
OG0000643	GBNXA_005096-T1, GBNXA_006770-T1	GBNXB_005842-T1, GBNXB_011147-T1
OG0000644	GBNXA_005098-T1	GBNXB_006686-T1, GBNXB_008292-T1, GBNXB_017489-T1
OG0000645	GBNXA_005113-T1, GBNXA_005121-T1	GBNXB_011437-T1, GBNXB_011448-T1
OG0000646	GBNXA_005145-T1, GBNXA_006240-T1	GBNXB_003696-T1, GBNXB_006198-T1
OG0000647	GBNXA_005261-T1	GBNXB_007364-T1, GBNXB_015478-T1, GBNXB_016065-T1
OG0000648	GBNXA_005351-T1, GBNXA_005352-T1	GBNXB_008980-T1, GBNXB_008981-T1
OG0000649	GBNXA_005532-T1	GBNXB_011997-T1, GBNXB_018498-T1, GBNXB_021748-T1
OG0000650	GBNXA_005565-T1, GBNXA_008120-T1	GBNXB_006390-T1, GBNXB_011380-T1
OG0000651	GBNXA_005633-T1, GBNXA_008118-T1	GBNXB_011378-T1, GBNXB_020494-T1
OG0000652	GBNXA_005646-T1	GBNXB_004989-T1, GBNXB_017256-T1, GBNXB_020512-T1
OG0000653	GBNXA_005651-T1, GBNXA_006637-T1	GBNXB_020516-T1, GBNXB_021644-T1
OG0000654	GBNXA_005710-T1	GBNXB_003216-T1, GBNXB_003249-T1, GBNXB_014157-T1
OG0000655	GBNXA_005763-T1, GBNXA_007132-T1	GBNXB_000691-T1, GBNXB_005366-T1
OG0000656	GBNXA_005793-T1	GBNXB_001064-T1, GBNXB_002438-T1, GBNXB_004486-T1
OG0000657	GBNXA_005842-T1, GBNXA_007362-T1	GBNXB_001148-T1, GBNXB_009427-T1
OG0000658	GBNXA_005855-T1, GBNXA_007848-T1	GBNXB_008190-T1, GBNXB_009414-T1
OG0000659	GBNXA_005897-T1	GBNXB_009154-T1, GBNXB_017951-T1, GBNXB_019737-T1
OG0000660	GBNXA_005910-T1, GBNXA_005911-T1	GBNXB_003743-T1, GBNXB_009502-T1
OG0000661	GBNXA_005915-T1, GBNXA_009036-T1	GBNXB_003751-T1, GBNXB_006966-T1
OG0000662	GBNXA_006165-T1	GBNXB_008436-T1, GBNXB_017774-T1, GBNXB_020152-T1
OG0000663	GBNXA_006184-T1, GBNXA_007078-T1	GBNXB_000762-T1, GBNXB_017059-T1
OG0000664	GBNXA_006194-T1	GBNXB_005095-T1, GBNXB_007280-T1, GBNXB_019762-T1
OG0000665	GBNXA_006216-T1	GBNXB_008871-T1, GBNXB_009257-T1, GBNXB_018187-T1
OG0000666	GBNXA_006219-T1	GBNXB_001398-T1, GBNXB_009262-T1, GBNXB_013890-T1
OG0000667	GBNXA_006280-T1, GBNXA_006282-T1	GBNXB_007820-T1, GBNXB_017879-T1
OG0000668	GBNXA_006287-T1, GBNXA_009779-T1	GBNXB_017874-T1, GBNXB_019147-T1
OG0000669	GBNXA_006289-T1	GBNXB_004490-T1, GBNXB_016810-T1, GBNXB_017872-T1
OG0000670	GBNXA_006309-T1, GBNXA_006310-T1	GBNXB_017845-T1, GBNXB_017846-T1
OG0000671	GBNXA_006324-T1	GBNXB_002172-T1, GBNXB_005201-T1, GBNXB_010403-T1
OG0000672	GBNXA_006500-T1, GBNXA_007462-T1	GBNXB_008753-T1, GBNXB_016914-T1
OG0000673	GBNXA_006682-T1, GBNXA_006683-T1	GBNXB_015561-T1, GBNXB_017740-T1
OG0000674	GBNXA_006743-T1, GBNXA_009330-T1	GBNXB_003641-T1, GBNXB_010440-T1
OG0000675	GBNXA_006769-T1, GBNXA_008692-T1	GBNXB_011149-T1, GBNXB_018530-T1
OG0000676	GBNXA_006815-T1	GBNXB_000957-T1, GBNXB_008691-T1, GBNXB_015998-T1
OG0000677	GBNXA_006827-T1	GBNXB_002046-T1, GBNXB_010434-T1, GBNXB_015987-T1
OG0000678	GBNXA_006871-T1, GBNXA_009654-T1	GBNXB_010852-T1, GBNXB_018026-T1
OG0000679	GBNXA_006942-T1	GBNXB_002358-T1, GBNXB_005703-T1, GBNXB_014737-T1
OG0000680	GBNXA_007018-T1, GBNXA_007290-T1, GBNXA_007297-T1	GBNXB_006566-T1
OG0000681	GBNXA_007183-T1, GBNXA_007184-T1	GBNXB_008066-T1, GBNXB_008867-T1
OG0000682	GBNXA_007221-T1, GBNXA_009129-T1	GBNXB_005335-T1, GBNXB_008114-T1
