	Circinella_angarensis_RSA_198_Plus.aa	Circinella_angarensis_RSA_618-.aa
OG0009353	GBNTO_008131-T1	
OG0009354	GBNTO_008138-T1	
OG0009355	GBNTO_008140-T1	
OG0009356	GBNTO_008143-T1	
OG0009357	GBNTO_008154-T1	
OG0009358	GBNTO_008163-T1	
OG0009359	GBNTO_008165-T1	
OG0009360	GBNTO_008166-T1	
OG0009361	GBNTO_008168-T1	
OG0009362	GBNTO_008172-T1	
OG0009363	GBNTO_008180-T1	
OG0009364	GBNTO_008190-T1	
OG0009365	GBNTO_008206-T1	
OG0009366	GBNTO_008225-T1	
OG0009367	GBNTO_008232-T1	
OG0009368	GBNTO_008236-T1	
OG0009369	GBNTO_008254-T1	
OG0009370	GBNTO_008255-T1	
OG0009371	GBNTO_008256-T1	
OG0009372	GBNTO_008280-T1	
OG0009373	GBNTO_008284-T1	
OG0009374	GBNTO_008287-T1	
OG0009375	GBNTO_008303-T1	
OG0009376	GBNTO_008311-T1	
OG0009377	GBNTO_008318-T1	
OG0009378	GBNTO_008328-T1	
OG0009379	GBNTO_008334-T1	
OG0009380	GBNTO_008341-T1	
OG0009381	GBNTO_008346-T1	
OG0009382	GBNTO_008354-T1	
OG0009383	GBNTO_008355-T1	
OG0009384	GBNTO_008368-T1	
OG0009385	GBNTO_008392-T1	
OG0009386	GBNTO_008394-T1	
OG0009387	GBNTO_008412-T1	
OG0009388	GBNTO_008413-T1	
OG0009389	GBNTO_008444-T1	
OG0009390	GBNTO_008453-T1	
OG0009391	GBNTO_008470-T1	
OG0009392	GBNTO_008477-T1	
OG0009393	GBNTO_008485-T1	
OG0009394	GBNTO_008489-T1	
OG0009395	GBNTO_008503-T1	
OG0009396	GBNTO_008516-T1	
OG0009397	GBNTO_008520-T1	
OG0009398	GBNTO_008526-T1	
OG0009399	GBNTO_008528-T1	
OG0009400	GBNTO_008530-T1	
OG0009401	GBNTO_008539-T1	
OG0009402	GBNTO_008550-T1	
OG0009403	GBNTO_008599-T1	
OG0009404	GBNTO_008609-T1	
OG0009405	GBNTO_008612-T1	
OG0009406	GBNTO_008627-T1	
OG0009407	GBNTO_008636-T1	
OG0009408	GBNTO_008646-T1	
OG0009409	GBNTO_008648-T1	
OG0009410	GBNTO_008659-T1	
OG0009411	GBNTO_008669-T1	
OG0009412	GBNTO_008680-T1	
OG0009413	GBNTO_008681-T1	
OG0009414	GBNTO_008689-T1	
OG0009415	GBNTO_008709-T1	
OG0009416	GBNTO_008720-T1	
OG0009417	GBNTO_008750-T1	
OG0009418	GBNTO_008754-T1	
OG0009419	GBNTO_008768-T1	
OG0009420	GBNTO_008769-T1	
OG0009421	GBNTO_008771-T1	
OG0009422	GBNTO_008784-T1	
OG0009423	GBNTO_008790-T1	
OG0009424	GBNTO_008800-T1	
OG0009425	GBNTO_008804-T1	
OG0009426	GBNTO_008812-T1	
OG0009427	GBNTO_008815-T1	
OG0009428	GBNTO_008816-T1	
OG0009429	GBNTO_008824-T1	
OG0009430	GBNTO_008829-T1	
OG0009431	GBNTO_008833-T1	
OG0009432	GBNTO_008834-T1	
OG0009433	GBNTO_008839-T1	
OG0009434	GBNTO_008845-T1	
OG0009435	GBNTO_008860-T1	
OG0009436	GBNTO_008862-T1	
OG0009437	GBNTO_008871-T1	
OG0009438	GBNTO_008877-T1	
OG0009439	GBNTO_008880-T1	
OG0009440	GBNTO_008883-T1	
OG0009441	GBNTO_008892-T1	
OG0009442	GBNTO_008900-T1	
OG0009443	GBNTO_008902-T1	
OG0009444	GBNTO_008903-T1	
OG0009445	GBNTO_008920-T1	
OG0009446	GBNTO_008955-T1	
OG0009447	GBNTO_008956-T1	
OG0009448	GBNTO_008965-T1	
OG0009449	GBNTO_008968-T1	
OG0009450	GBNTO_008972-T1	
OG0009451	GBNTO_008974-T1	
OG0009452	GBNTO_008975-T1	
OG0009453	GBNTO_008977-T1	
OG0009454	GBNTO_008986-T1	
OG0009455	GBNTO_009001-T1	
OG0009456	GBNTO_009004-T1	
OG0009457	GBNTO_009011-T1	
OG0009458	GBNTO_009017-T1	
OG0009459	GBNTO_009060-T1	
OG0009460	GBNTO_009065-T1	
OG0009461	GBNTO_009074-T1	
OG0009462	GBNTO_009083-T1	
OG0009463	GBNTO_009085-T1	
OG0009464	GBNTO_009087-T1	
OG0009465	GBNTO_009098-T1	
OG0009466	GBNTO_009100-T1	
OG0009467	GBNTO_009108-T1	
OG0009468	GBNTO_009115-T1	
OG0009469	GBNTO_009118-T1	
OG0009470	GBNTO_009147-T1	
OG0009471	GBNTO_009161-T1	
OG0009472	GBNTO_009168-T1	
OG0009473	GBNTO_009180-T1	
OG0009474	GBNTO_009193-T1	
OG0009475	GBNTO_009210-T1	
OG0009476	GBNTO_009219-T1	
OG0009477	GBNTO_009220-T1	
OG0009478	GBNTO_009222-T1	
OG0009479	GBNTO_009223-T1	
OG0009480	GBNTO_009225-T1	
OG0009481	GBNTO_009235-T1	
OG0009482	GBNTO_009250-T1	
OG0009483	GBNTO_009266-T1	
OG0009484	GBNTO_009273-T1	
OG0009485	GBNTO_009281-T1	
OG0009486	GBNTO_009284-T1	
OG0009487	GBNTO_009294-T1	
OG0009488	GBNTO_009299-T1	
OG0009489	GBNTO_009300-T1	
OG0009490	GBNTO_009302-T1	
OG0009491	GBNTO_009304-T1	
OG0009492	GBNTO_009311-T1	
OG0009493	GBNTO_009337-T1	
OG0009494	GBNTO_009354-T1	
OG0009495	GBNTO_009373-T1	
OG0009496	GBNTO_009415-T1	
OG0009497	GBNTO_009417-T1	
OG0009498	GBNTO_009424-T1	
OG0009499	GBNTO_009429-T1	
OG0009500	GBNTO_009434-T1	
OG0009501	GBNTO_009442-T1	
OG0009502	GBNTO_009443-T1	
OG0009503	GBNTO_009447-T1	
OG0009504	GBNTO_009456-T1	
OG0009505	GBNTO_009465-T1	
OG0009506	GBNTO_009471-T1	
OG0009507	GBNTO_009476-T1	
OG0009508	GBNTO_009503-T1	
OG0009509	GBNTO_009506-T1	
OG0009510	GBNTO_009507-T1	
OG0009511	GBNTO_009526-T1	
OG0009512	GBNTO_009550-T1	
OG0009513	GBNTO_009584-T1	
OG0009514	GBNTO_009587-T1	
OG0009515	GBNTO_009599-T1	
OG0009516	GBNTO_009627-T1	
OG0009517	GBNTO_009628-T1	
OG0009518	GBNTO_009629-T1	
OG0009519	GBNTO_009631-T1	
OG0009520	GBNTO_009632-T1	
OG0009521	GBNTO_009635-T1	
OG0009522	GBNTO_009638-T1	
OG0009523	GBNTO_009646-T1	
OG0009524	GBNTO_009650-T1	
OG0009525	GBNTO_009651-T1	
OG0009526	GBNTO_009658-T1	
OG0009527	GBNTO_009680-T1	
OG0009528	GBNTO_009682-T1	
OG0009529	GBNTO_009685-T1	
OG0009530	GBNTO_009688-T1	
OG0009531	GBNTO_009692-T1	
OG0009532	GBNTO_009699-T1	
OG0009533	GBNTO_009707-T1	
OG0009534	GBNTO_009712-T1	
OG0009535	GBNTO_009726-T1	
OG0009536	GBNTO_009727-T1	
OG0009537	GBNTO_009730-T1	
OG0009538	GBNTO_009739-T1	
OG0009539	GBNTO_009744-T1	
OG0009540	GBNTO_009756-T1	
OG0009541	GBNTO_009764-T1	
OG0009542	GBNTO_009774-T1	
OG0009543	GBNTO_009780-T1	
OG0009544	GBNTO_009783-T1	
OG0009545	GBNTO_009792-T1	
OG0009546	GBNTO_009797-T1	
OG0009547	GBNTO_009811-T1	
OG0009548	GBNTO_009827-T1	
OG0009549	GBNTO_009836-T1	
OG0009550	GBNTO_009839-T1	
OG0009551	GBNTO_009848-T1	
OG0009552	GBNTO_009864-T1	
OG0009553	GBNTO_009871-T1	
OG0009554	GBNTO_009872-T1	
OG0009555	GBNTO_009874-T1	
OG0009556	GBNTO_009881-T1	
OG0009557	GBNTO_009909-T1	
OG0009558	GBNTO_009910-T1	
OG0009559	GBNTO_009918-T1	
OG0009560	GBNTO_009920-T1	
OG0009561	GBNTO_009961-T1	
OG0009562	GBNTO_009970-T1	
OG0009563	GBNTO_009986-T1	
OG0009564	GBNTO_009987-T1	
OG0009565	GBNTO_010005-T1	
OG0009566	GBNTO_010010-T1	
OG0009567	GBNTO_010021-T1	
OG0009568	GBNTO_010033-T1	
OG0009569	GBNTO_010034-T1	
OG0009570	GBNTO_010037-T1	
OG0009571	GBNTO_010071-T1	
OG0009572	GBNTO_010078-T1	
OG0009573	GBNTO_010083-T1	
OG0009574	GBNTO_010103-T1	
OG0009575	GBNTO_010109-T1	
OG0009576	GBNTO_010122-T1	
OG0009577	GBNTO_010123-T1	
OG0009578	GBNTO_010136-T1	
OG0009579	GBNTO_010153-T1	
OG0009580	GBNTO_010167-T1	
OG0009581	GBNTO_010195-T1	
OG0009582	GBNTO_010198-T1	
OG0009583	GBNTO_010215-T1	
OG0009584	GBNTO_010224-T1	
OG0009585	GBNTO_010230-T1	
OG0009586	GBNTO_010232-T1	
OG0009587	GBNTO_010254-T1	
OG0009588	GBNTO_010255-T1	
OG0009589	GBNTO_010297-T1	
OG0009590	GBNTO_010306-T1	
OG0009591	GBNTO_010328-T1	
OG0009592	GBNTO_010329-T1	
OG0009593	GBNTO_010343-T1	
OG0009594	GBNTO_010346-T1	
OG0009595	GBNTO_010368-T1	
OG0009596	GBNTO_010374-T1	
OG0009597	GBNTO_010377-T1	
OG0009598	GBNTO_010383-T1	
OG0009599	GBNTO_010384-T1	
OG0009600	GBNTO_010388-T1	
OG0009601	GBNTO_010397-T1	
OG0009602	GBNTO_010407-T1	
OG0009603	GBNTO_010409-T1	
OG0009604	GBNTO_010410-T1	
OG0009605	GBNTO_010412-T1	
OG0009606	GBNTO_010422-T1	
OG0009607	GBNTO_010445-T1	
OG0009608	GBNTO_010466-T1	
OG0009609	GBNTO_010476-T1	
OG0009610	GBNTO_010477-T1	
OG0009611	GBNTO_010484-T1	
OG0009612	GBNTO_010486-T1	
OG0009613	GBNTO_010494-T1	
OG0009614	GBNTO_010528-T1	
OG0009615	GBNTO_010529-T1	
OG0009616	GBNTO_010558-T1	
OG0009617	GBNTO_010572-T1	
OG0009618	GBNTO_010600-T1	
OG0009619	GBNTO_010620-T1	
OG0009620	GBNTO_010635-T1	
OG0009621	GBNTO_010638-T1	
OG0009622	GBNTO_010646-T1	
OG0009623	GBNTO_010652-T1	
OG0009624	GBNTO_010653-T1	
OG0009625	GBNTO_010663-T1	
OG0009626	GBNTO_010672-T1	
OG0009627	GBNTO_010679-T1	
OG0009628	GBNTO_010683-T1	
OG0009629	GBNTO_010684-T1	
OG0009630	GBNTO_010689-T1	
OG0009631	GBNTO_010697-T1	
OG0009632	GBNTO_010705-T1	
OG0009633	GBNTO_010706-T1	
OG0009634	GBNTO_010711-T1	
OG0009635	GBNTO_010717-T1	
OG0009636	GBNTO_010721-T1	
OG0009637	GBNTO_010742-T1	
OG0009638	GBNTO_010746-T1	
OG0009639	GBNTO_010750-T1	
OG0009640	GBNTO_010767-T1	
OG0009641	GBNTO_010768-T1	
OG0009642	GBNTO_010824-T1	
OG0009643	GBNTO_010830-T1	
OG0009644	GBNTO_010852-T1	
OG0009645	GBNTO_010854-T1	
OG0009646	GBNTO_010855-T1	
OG0009647	GBNTO_010858-T1	
OG0009648	GBNTO_010867-T1	
OG0009649	GBNTO_010868-T1	
OG0009650	GBNTO_010871-T1	
OG0009651	GBNTO_010872-T1	
OG0009652	GBNTO_010873-T1	
OG0009653	GBNTO_010881-T1	
OG0009654	GBNTO_010884-T1	
OG0009655	GBNTO_010886-T1	
OG0009656	GBNTO_010896-T1	
OG0009657	GBNTO_010911-T1	
OG0009658	GBNTO_010920-T1	
OG0009659	GBNTO_010927-T1	
OG0009660	GBNTO_010930-T1	
OG0009661	GBNTO_010934-T1	
OG0009662	GBNTO_010935-T1	
OG0009663	GBNTO_010946-T1	
OG0009664	GBNTO_010953-T1	
OG0009665	GBNTO_010955-T1	
OG0009666	GBNTO_010974-T1	
OG0009667	GBNTO_010981-T1	
OG0009668	GBNTO_010995-T1	
OG0009669	GBNTO_011016-T1	
OG0009670	GBNTO_011019-T1	
OG0009671	GBNTO_011025-T1	
OG0009672	GBNTO_011027-T1	
OG0009673	GBNTO_011030-T1	
OG0009674	GBNTO_011034-T1	
OG0009675	GBNTO_011036-T1	
OG0009676	GBNTO_011039-T1	
OG0009677	GBNTO_011049-T1	
OG0009678	GBNTO_011051-T1	
OG0009679	GBNTO_011052-T1	
OG0009680	GBNTO_011086-T1	
OG0009681	GBNTO_011088-T1	
OG0009682	GBNTO_011092-T1	
OG0009683	GBNTO_011093-T1	
OG0009684	GBNTO_011111-T1	
OG0009685	GBNTO_011113-T1	
OG0009686	GBNTO_011114-T1	
OG0009687	GBNTO_011115-T1	
OG0009688	GBNTO_011117-T1	
OG0009689	GBNTO_011126-T1	
OG0009690	GBNTO_011130-T1	
OG0009691	GBNTO_011134-T1	
OG0009692	GBNTO_011148-T1	
OG0009693	GBNTO_011169-T1	
OG0009694	GBNTO_011174-T1	
OG0009695	GBNTO_011177-T1	
OG0009696	GBNTO_011182-T1	
OG0009697	GBNTO_011183-T1	
OG0009698		GBNTP_000014-T1
OG0009699		GBNTP_000025-T1
OG0009700		GBNTP_000031-T1
OG0009701		GBNTP_000043-T1
OG0009702		GBNTP_000072-T1
OG0009703		GBNTP_000078-T1
OG0009704		GBNTP_000090-T1
OG0009705		GBNTP_000130-T1
OG0009706		GBNTP_000132-T1
OG0009707		GBNTP_000143-T1
OG0009708		GBNTP_000160-T1
OG0009709		GBNTP_000174-T1
OG0009710		GBNTP_000189-T1
OG0009711		GBNTP_000217-T1
OG0009712		GBNTP_000234-T1
OG0009713		GBNTP_000239-T1
OG0009714		GBNTP_000263-T1
OG0009715		GBNTP_000267-T1
OG0009716		GBNTP_000276-T1
OG0009717		GBNTP_000290-T1
OG0009718		GBNTP_000331-T1
OG0009719		GBNTP_000332-T1
OG0009720		GBNTP_000355-T1
OG0009721		GBNTP_000356-T1
OG0009722		GBNTP_000359-T1
OG0009723		GBNTP_000363-T1
OG0009724		GBNTP_000364-T1
OG0009725		GBNTP_000378-T1
OG0009726		GBNTP_000394-T1
OG0009727		GBNTP_000397-T1
OG0009728		GBNTP_000399-T1
OG0009729		GBNTP_000416-T1
OG0009730		GBNTP_000432-T1
OG0009731		GBNTP_000436-T1
OG0009732		GBNTP_000471-T1
OG0009733		GBNTP_000492-T1
OG0009734		GBNTP_000494-T1
OG0009735		GBNTP_000500-T1
OG0009736		GBNTP_000510-T1
OG0009737		GBNTP_000521-T1
OG0009738		GBNTP_000522-T1
OG0009739		GBNTP_000524-T1
OG0009740		GBNTP_000525-T1
OG0009741		GBNTP_000591-T1
OG0009742		GBNTP_000592-T1
OG0009743		GBNTP_000598-T1
OG0009744		GBNTP_000605-T1
OG0009745		GBNTP_000622-T1
OG0009746		GBNTP_000647-T1
OG0009747		GBNTP_000649-T1
OG0009748		GBNTP_000660-T1
OG0009749		GBNTP_000661-T1
OG0009750		GBNTP_000665-T1
OG0009751		GBNTP_000674-T1
OG0009752		GBNTP_000679-T1
OG0009753		GBNTP_000680-T1
OG0009754		GBNTP_000698-T1
OG0009755		GBNTP_000710-T1
OG0009756		GBNTP_000716-T1
OG0009757		GBNTP_000729-T1
OG0009758		GBNTP_000730-T1
OG0009759		GBNTP_000734-T1
OG0009760		GBNTP_000755-T1
OG0009761		GBNTP_000757-T1
OG0009762		GBNTP_000760-T1
OG0009763		GBNTP_000762-T1
OG0009764		GBNTP_000765-T1
OG0009765		GBNTP_000769-T1
OG0009766		GBNTP_000770-T1
OG0009767		GBNTP_000778-T1
OG0009768		GBNTP_000787-T1
OG0009769		GBNTP_000796-T1
OG0009770		GBNTP_000801-T1
OG0009771		GBNTP_000802-T1
OG0009772		GBNTP_000821-T1
OG0009773		GBNTP_000830-T1
OG0009774		GBNTP_000847-T1
OG0009775		GBNTP_000861-T1
OG0009776		GBNTP_000868-T1
OG0009777		GBNTP_000869-T1
OG0009778		GBNTP_000909-T1
OG0009779		GBNTP_000927-T1
OG0009780		GBNTP_000984-T1
OG0009781		GBNTP_000985-T1
OG0009782		GBNTP_000988-T1
OG0009783		GBNTP_000992-T1
OG0009784		GBNTP_001012-T1
OG0009785		GBNTP_001016-T1
OG0009786		GBNTP_001030-T1
OG0009787		GBNTP_001034-T1
OG0009788		GBNTP_001035-T1
OG0009789		GBNTP_001036-T1
OG0009790		GBNTP_001047-T1
OG0009791		GBNTP_001048-T1
OG0009792		GBNTP_001056-T1
OG0009793		GBNTP_001084-T1
OG0009794		GBNTP_001092-T1
OG0009795		GBNTP_001166-T1
OG0009796		GBNTP_001183-T1
OG0009797		GBNTP_001185-T1
OG0009798		GBNTP_001190-T1
OG0009799		GBNTP_001204-T1
OG0009800		GBNTP_001205-T1
OG0009801		GBNTP_001234-T1
OG0009802		GBNTP_001252-T1
OG0009803		GBNTP_001254-T1
OG0009804		GBNTP_001262-T1
OG0009805		GBNTP_001265-T1
OG0009806		GBNTP_001270-T1
OG0009807		GBNTP_001275-T1
OG0009808		GBNTP_001299-T1
OG0009809		GBNTP_001314-T1
OG0009810		GBNTP_001328-T1
OG0009811		GBNTP_001336-T1
OG0009812		GBNTP_001359-T1
OG0009813		GBNTP_001370-T1
OG0009814		GBNTP_001384-T1
OG0009815		GBNTP_001392-T1
OG0009816		GBNTP_001401-T1
OG0009817		GBNTP_001405-T1
OG0009818		GBNTP_001449-T1
OG0009819		GBNTP_001455-T1
OG0009820		GBNTP_001457-T1
OG0009821		GBNTP_001503-T1
OG0009822		GBNTP_001506-T1
OG0009823		GBNTP_001533-T1
OG0009824		GBNTP_001544-T1
OG0009825		GBNTP_001546-T1
OG0009826		GBNTP_001548-T1
OG0009827		GBNTP_001550-T1
OG0009828		GBNTP_001571-T1
OG0009829		GBNTP_001576-T1
OG0009830		GBNTP_001604-T1
OG0009831		GBNTP_001609-T1
OG0009832		GBNTP_001626-T1
OG0009833		GBNTP_001657-T1
OG0009834		GBNTP_001662-T1
OG0009835		GBNTP_001681-T1
OG0009836		GBNTP_001692-T1
OG0009837		GBNTP_001700-T1
OG0009838		GBNTP_001705-T1
OG0009839		GBNTP_001712-T1
OG0009840		GBNTP_001745-T1
OG0009841		GBNTP_001746-T1
OG0009842		GBNTP_001773-T1
OG0009843		GBNTP_001777-T1
OG0009844		GBNTP_001786-T1
OG0009845		GBNTP_001808-T1
OG0009846		GBNTP_001812-T1
OG0009847		GBNTP_001815-T1
OG0009848		GBNTP_001818-T1
OG0009849		GBNTP_001819-T1
OG0009850		GBNTP_001840-T1
OG0009851		GBNTP_001852-T1
OG0009852		GBNTP_001859-T1
OG0009853		GBNTP_001868-T1
OG0009854		GBNTP_001888-T1
OG0009855		GBNTP_001910-T1
OG0009856		GBNTP_001912-T1
OG0009857		GBNTP_001926-T1
OG0009858		GBNTP_001937-T1
OG0009859		GBNTP_001970-T1
OG0009860		GBNTP_001982-T1
OG0009861		GBNTP_001983-T1
OG0009862		GBNTP_001998-T1
OG0009863		GBNTP_002048-T1
OG0009864		GBNTP_002079-T1
OG0009865		GBNTP_002089-T1
OG0009866		GBNTP_002090-T1
OG0009867		GBNTP_002092-T1
OG0009868		GBNTP_002104-T1
OG0009869		GBNTP_002122-T1
OG0009870		GBNTP_002123-T1
OG0009871		GBNTP_002124-T1
OG0009872		GBNTP_002132-T1
OG0009873		GBNTP_002159-T1
OG0009874		GBNTP_002216-T1
OG0009875		GBNTP_002217-T1
OG0009876		GBNTP_002240-T1
OG0009877		GBNTP_002242-T1
OG0009878		GBNTP_002243-T1
OG0009879		GBNTP_002244-T1
OG0009880		GBNTP_002263-T1
OG0009881		GBNTP_002314-T1
OG0009882		GBNTP_002363-T1
OG0009883		GBNTP_002424-T1
OG0009884		GBNTP_002427-T1
OG0009885		GBNTP_002464-T1
OG0009886		GBNTP_002471-T1
OG0009887		GBNTP_002506-T1
OG0009888		GBNTP_002528-T1
OG0009889		GBNTP_002572-T1
OG0009890		GBNTP_002587-T1
OG0009891		GBNTP_002626-T1
OG0009892		GBNTP_002632-T1
OG0009893		GBNTP_002670-T1
OG0009894		GBNTP_002694-T1
OG0009895		GBNTP_002698-T1
OG0009896		GBNTP_002701-T1
OG0009897		GBNTP_002731-T1
OG0009898		GBNTP_002734-T1
OG0009899		GBNTP_002741-T1
OG0009900		GBNTP_002746-T1
OG0009901		GBNTP_002773-T1
OG0009902		GBNTP_002793-T1
OG0009903		GBNTP_002808-T1
OG0009904		GBNTP_002874-T1
OG0009905		GBNTP_002877-T1
OG0009906		GBNTP_002884-T1
OG0009907		GBNTP_002905-T1
OG0009908		GBNTP_002912-T1
OG0009909		GBNTP_002920-T1
OG0009910		GBNTP_003044-T1
OG0009911		GBNTP_003047-T1
OG0009912		GBNTP_003055-T1
OG0009913		GBNTP_003123-T1
OG0009914		GBNTP_003150-T1
OG0009915		GBNTP_003166-T1
OG0009916		GBNTP_003169-T1
OG0009917		GBNTP_003174-T1
OG0009918		GBNTP_003198-T1
OG0009919		GBNTP_003220-T1
OG0009920		GBNTP_003237-T1
OG0009921		GBNTP_003283-T1
OG0009922		GBNTP_003284-T1
OG0009923		GBNTP_003288-T1
OG0009924		GBNTP_003304-T1
OG0009925		GBNTP_003331-T1
OG0009926		GBNTP_003344-T1
OG0009927		GBNTP_003346-T1
OG0009928		GBNTP_003360-T1
OG0009929		GBNTP_003381-T1
OG0009930		GBNTP_003400-T1
OG0009931		GBNTP_003405-T1
OG0009932		GBNTP_003420-T1
OG0009933		GBNTP_003422-T1
OG0009934		GBNTP_003429-T1
OG0009935		GBNTP_003437-T1
OG0009936		GBNTP_003483-T1
OG0009937		GBNTP_003489-T1
OG0009938		GBNTP_003513-T1
OG0009939		GBNTP_003521-T1
OG0009940		GBNTP_003566-T1
OG0009941		GBNTP_003580-T1
OG0009942		GBNTP_003591-T1
OG0009943		GBNTP_003592-T1
OG0009944		GBNTP_003615-T1
OG0009945		GBNTP_003617-T1
OG0009946		GBNTP_003631-T1
OG0009947		GBNTP_003643-T1
OG0009948		GBNTP_003689-T1
OG0009949		GBNTP_003699-T1
OG0009950		GBNTP_003715-T1
OG0009951		GBNTP_003729-T1
OG0009952		GBNTP_003734-T1
OG0009953		GBNTP_003740-T1
OG0009954		GBNTP_003748-T1
OG0009955		GBNTP_003749-T1
OG0009956		GBNTP_003754-T1
OG0009957		GBNTP_003755-T1
OG0009958		GBNTP_003756-T1
OG0009959		GBNTP_003764-T1
OG0009960		GBNTP_003778-T1
OG0009961		GBNTP_003779-T1
OG0009962		GBNTP_003780-T1
OG0009963		GBNTP_003795-T1
OG0009964		GBNTP_003814-T1
OG0009965		GBNTP_003822-T1
OG0009966		GBNTP_003823-T1
OG0009967		GBNTP_003833-T1
OG0009968		GBNTP_003838-T1
OG0009969		GBNTP_003871-T1
OG0009970		GBNTP_003883-T1
OG0009971		GBNTP_003886-T1
OG0009972		GBNTP_003896-T1
OG0009973		GBNTP_003899-T1
OG0009974		GBNTP_003907-T1
OG0009975		GBNTP_003917-T1
OG0009976		GBNTP_003921-T1
OG0009977		GBNTP_003933-T1
OG0009978		GBNTP_003934-T1
OG0009979		GBNTP_003935-T1
OG0009980		GBNTP_003936-T1
OG0009981		GBNTP_003949-T1
OG0009982		GBNTP_003954-T1
OG0009983		GBNTP_003976-T1
OG0009984		GBNTP_004008-T1
OG0009985		GBNTP_004043-T1
OG0009986		GBNTP_004048-T1
OG0009987		GBNTP_004050-T1
OG0009988		GBNTP_004064-T1
OG0009989		GBNTP_004072-T1
OG0009990		GBNTP_004076-T1
OG0009991		GBNTP_004091-T1
OG0009992		GBNTP_004094-T1
OG0009993		GBNTP_004120-T1
OG0009994		GBNTP_004138-T1
OG0009995		GBNTP_004146-T1
OG0009996		GBNTP_004148-T1
OG0009997		GBNTP_004153-T1
OG0009998		GBNTP_004162-T1
OG0009999		GBNTP_004163-T1
OG0010000		GBNTP_004189-T1
OG0010001		GBNTP_004190-T1
OG0010002		GBNTP_004194-T1
OG0010003		GBNTP_004200-T1
OG0010004		GBNTP_004204-T1
OG0010005		GBNTP_004213-T1
OG0010006		GBNTP_004231-T1
OG0010007		GBNTP_004272-T1
OG0010008		GBNTP_004281-T1
OG0010009		GBNTP_004302-T1
OG0010010		GBNTP_004320-T1
OG0010011		GBNTP_004325-T1
OG0010012		GBNTP_004326-T1
OG0010013		GBNTP_004338-T1
OG0010014		GBNTP_004347-T1
OG0010015		GBNTP_004391-T1
OG0010016		GBNTP_004410-T1
OG0010017		GBNTP_004430-T1
OG0010018		GBNTP_004443-T1
OG0010019		GBNTP_004454-T1
OG0010020		GBNTP_004473-T1
OG0010021		GBNTP_004506-T1
OG0010022		GBNTP_004517-T1
OG0010023		GBNTP_004518-T1
OG0010024		GBNTP_004546-T1
OG0010025		GBNTP_004559-T1
OG0010026		GBNTP_004565-T1
OG0010027		GBNTP_004577-T1
OG0010028		GBNTP_004588-T1
OG0010029		GBNTP_004601-T1
OG0010030		GBNTP_004630-T1
OG0010031		GBNTP_004634-T1
OG0010032		GBNTP_004659-T1
OG0010033		GBNTP_004684-T1
OG0010034		GBNTP_004705-T1
OG0010035		GBNTP_004706-T1
OG0010036		GBNTP_004716-T1
OG0010037		GBNTP_004730-T1
OG0010038		GBNTP_004739-T1
OG0010039		GBNTP_004767-T1
OG0010040		GBNTP_004778-T1
OG0010041		GBNTP_004785-T1
OG0010042		GBNTP_004798-T1
OG0010043		GBNTP_004813-T1
OG0010044		GBNTP_004814-T1
OG0010045		GBNTP_004822-T1
OG0010046		GBNTP_004827-T1
OG0010047		GBNTP_004847-T1
OG0010048		GBNTP_004855-T1
OG0010049		GBNTP_004896-T1
OG0010050		GBNTP_004897-T1
OG0010051		GBNTP_004913-T1
OG0010052		GBNTP_004927-T1
OG0010053		GBNTP_004938-T1
OG0010054		GBNTP_004951-T1
OG0010055		GBNTP_004971-T1
OG0010056		GBNTP_004975-T1
OG0010057		GBNTP_005006-T1
OG0010058		GBNTP_005011-T1
OG0010059		GBNTP_005026-T1
OG0010060		GBNTP_005027-T1
OG0010061		GBNTP_005058-T1
OG0010062		GBNTP_005073-T1
OG0010063		GBNTP_005079-T1
OG0010064		GBNTP_005109-T1
OG0010065		GBNTP_005120-T1
OG0010066		GBNTP_005124-T1
OG0010067		GBNTP_005127-T1
OG0010068		GBNTP_005142-T1
OG0010069		GBNTP_005169-T1
OG0010070		GBNTP_005171-T1
OG0010071		GBNTP_005173-T1
OG0010072		GBNTP_005188-T1
OG0010073		GBNTP_005192-T1
OG0010074		GBNTP_005193-T1
OG0010075		GBNTP_005194-T1
OG0010076		GBNTP_005211-T1
OG0010077		GBNTP_005220-T1
OG0010078		GBNTP_005225-T1
OG0010079		GBNTP_005235-T1
OG0010080		GBNTP_005259-T1
OG0010081		GBNTP_005260-T1
OG0010082		GBNTP_005290-T1
OG0010083		GBNTP_005297-T1
OG0010084		GBNTP_005320-T1
OG0010085		GBNTP_005321-T1
OG0010086		GBNTP_005346-T1
OG0010087		GBNTP_005351-T1
OG0010088		GBNTP_005352-T1
OG0010089		GBNTP_005357-T1
OG0010090		GBNTP_005368-T1
OG0010091		GBNTP_005395-T1
OG0010092		GBNTP_005397-T1
OG0010093		GBNTP_005401-T1
OG0010094		GBNTP_005406-T1
OG0010095		GBNTP_005424-T1
OG0010096		GBNTP_005441-T1
OG0010097		GBNTP_005463-T1
OG0010098		GBNTP_005498-T1
OG0010099		GBNTP_005505-T1
OG0010100		GBNTP_005507-T1
OG0010101		GBNTP_005520-T1
OG0010102		GBNTP_005523-T1
OG0010103		GBNTP_005524-T1
OG0010104		GBNTP_005526-T1
OG0010105		GBNTP_005550-T1
OG0010106		GBNTP_005551-T1
OG0010107		GBNTP_005564-T1
OG0010108		GBNTP_005591-T1
