	Thamnostylum_nigricans_RSA_1405-.aa	Thamnostylum_nigricans_RSA_1406.aa
OG0000766	GBNWP_005542-T1, GBNWP_010385-T1	CHXZG_003511-T1, CHXZG_006009-T1
OG0000767	GBNWP_005550-T1, GBNWP_007158-T1	CHXZG_004632-T1, CHXZG_008025-T1
OG0000768	GBNWP_005567-T1, GBNWP_009354-T1	CHXZG_005819-T1, CHXZG_007467-T1
OG0000769	GBNWP_005675-T1, GBNWP_006132-T1	CHXZG_006359-T1, CHXZG_006757-T1
OG0000770	GBNWP_005739-T1, GBNWP_007286-T1	CHXZG_006536-T1, CHXZG_008634-T1
OG0000771	GBNWP_005749-T1, GBNWP_010414-T1	CHXZG_002064-T1, CHXZG_008343-T1
OG0000772	GBNWP_005751-T1, GBNWP_007028-T1	CHXZG_002510-T1, CHXZG_007822-T1
OG0000773	GBNWP_005755-T1, GBNWP_008167-T1	CHXZG_005998-T1, CHXZG_006409-T1
OG0000774	GBNWP_005766-T1, GBNWP_008716-T1	CHXZG_006341-T1, CHXZG_008543-T1
OG0000775	GBNWP_005780-T1, GBNWP_007752-T1	CHXZG_003577-T1, CHXZG_004801-T1
OG0000776	GBNWP_005832-T1, GBNWP_008713-T1	CHXZG_003526-T1, CHXZG_007340-T1
OG0000777	GBNWP_005834-T1, GBNWP_008711-T1	CHXZG_003524-T1, CHXZG_007338-T1
OG0000778	GBNWP_005850-T1, GBNWP_008433-T1	CHXZG_007041-T1, CHXZG_009129-T1
OG0000779	GBNWP_005869-T1, GBNWP_008751-T1	CHXZG_006456-T1, CHXZG_010258-T1
OG0000780	GBNWP_005898-T1, GBNWP_011212-T1	CHXZG_001872-T1, CHXZG_006824-T1
OG0000781	GBNWP_005930-T1, GBNWP_008362-T1	CHXZG_006836-T1, CHXZG_007712-T1
OG0000782	GBNWP_005939-T1, GBNWP_006602-T1	CHXZG_000013-T1, CHXZG_007703-T1
OG0000783	GBNWP_005947-T1, GBNWP_011046-T1	CHXZG_003778-T1, CHXZG_007695-T1
OG0000784	GBNWP_005948-T1, GBNWP_011037-T1	CHXZG_003787-T1, CHXZG_007694-T1
OG0000785	GBNWP_005949-T1, GBNWP_011041-T1	CHXZG_003783-T1, CHXZG_007693-T1
OG0000786	GBNWP_005951-T1, GBNWP_007005-T1	CHXZG_005756-T1, CHXZG_007691-T1
OG0000787	GBNWP_005952-T1, GBNWP_009562-T1	CHXZG_007690-T1, CHXZG_010827-T1
OG0000788	GBNWP_005964-T1, GBNWP_006977-T1	CHXZG_005785-T1, CHXZG_007678-T1
OG0000789	GBNWP_005978-T1, GBNWP_010038-T1	CHXZG_007129-T1, CHXZG_007663-T1
OG0000790	GBNWP_005984-T1, GBNWP_009200-T1	CHXZG_007657-T1, CHXZG_008514-T1
OG0000791	GBNWP_005993-T1, GBNWP_010542-T1	CHXZG_003221-T1, CHXZG_007647-T1
OG0000792	GBNWP_006008-T1, GBNWP_006249-T1	CHXZG_007631-T1, CHXZG_009371-T1
OG0000793	GBNWP_006010-T1, GBNWP_006255-T1	CHXZG_007629-T1, CHXZG_009377-T1
OG0000794	GBNWP_006035-T1, GBNWP_007175-T1	CHXZG_002294-T1, CHXZG_007604-T1
OG0000795	GBNWP_006065-T1, GBNWP_009443-T1	CHXZG_004002-T1, CHXZG_008789-T1
OG0000796	GBNWP_006072-T1, GBNWP_008970-T1	CHXZG_003994-T1, CHXZG_010621-T1
OG0000797	GBNWP_006077-T1, GBNWP_010142-T1	CHXZG_003991-T1, CHXZG_009780-T1
OG0000798	GBNWP_006089-T1, GBNWP_010804-T1	CHXZG_003979-T1, CHXZG_011191-T1
OG0000799	GBNWP_006096-T1, GBNWP_007250-T1	CHXZG_003971-T1, CHXZG_006889-T1
OG0000800	GBNWP_006098-T1, GBNWP_010571-T1	CHXZG_003250-T1, CHXZG_003969-T1
OG0000801	GBNWP_006102-T1, GBNWP_006105-T1	CHXZG_003962-T1, CHXZG_003965-T1
OG0000802	GBNWP_006129-T1, GBNWP_010930-T1	CHXZG_000312-T1, CHXZG_001561-T1
OG0000803	GBNWP_006139-T1, GBNWP_009726-T1	CHXZG_006750-T1, CHXZG_011506-T1
OG0000804	GBNWP_006145-T1, GBNWP_006146-T1	CHXZG_006622-T1, CHXZG_006623-T1
OG0000805	GBNWP_006155-T1, GBNWP_006398-T1	CHXZG_006311-T1, CHXZG_007926-T1
OG0000806	GBNWP_006214-T1, GBNWP_006251-T1	CHXZG_009336-T1, CHXZG_009373-T1
OG0000807	GBNWP_006216-T1, GBNWP_006303-T1	CHXZG_006930-T1, CHXZG_009338-T1
OG0000808	GBNWP_006220-T1, GBNWP_007511-T1	CHXZG_001536-T1, CHXZG_009342-T1
OG0000809	GBNWP_006238-T1, GBNWP_010652-T1	CHXZG_009358-T1, CHXZG_010797-T1
OG0000810	GBNWP_006239-T1, GBNWP_007479-T1	CHXZG_001502-T1, CHXZG_009359-T1
OG0000811	GBNWP_006245-T1, GBNWP_008968-T1	CHXZG_009366-T1, CHXZG_010623-T1
OG0000812	GBNWP_006276-T1, GBNWP_006414-T1	CHXZG_006085-T1, CHXZG_007193-T1
OG0000813	GBNWP_006282-T1, GBNWP_008974-T1	CHXZG_006619-T1, CHXZG_010617-T1
OG0000814	GBNWP_006283-T1, GBNWP_008890-T1	CHXZG_006618-T1, CHXZG_007164-T1
OG0000815	GBNWP_006357-T1, GBNWP_006826-T1	CHXZG_002702-T1, CHXZG_005357-T1
OG0000816	GBNWP_006391-T1, GBNWP_006822-T1	CHXZG_007422-T1, CHXZG_007782-T1
OG0000817	GBNWP_006413-T1, GBNWP_010269-T1	CHXZG_006030-T1, CHXZG_007194-T1
OG0000818	GBNWP_006426-T1, GBNWP_008334-T1	CHXZG_006864-T1, CHXZG_007179-T1
OG0000819	GBNWP_006438-T1, GBNWP_010647-T1	CHXZG_006681-T1, CHXZG_010802-T1
OG0000820	GBNWP_006439-T1, GBNWP_009750-T1	CHXZG_006680-T1, CHXZG_011531-T1
OG0000821	GBNWP_006485-T1	CHXZG_004121-T1, CHXZG_006177-T1, CHXZG_006178-T1
OG0000822	GBNWP_006551-T1, GBNWP_008168-T1	CHXZG_006410-T1, CHXZG_008192-T1
OG0000823	GBNWP_006576-T1, GBNWP_010888-T1	CHXZG_009612-T1, CHXZG_011313-T1
OG0000824	GBNWP_006597-T1, GBNWP_008793-T1	CHXZG_000008-T1, CHXZG_008383-T1
OG0000825	GBNWP_006614-T1, GBNWP_010528-T1	CHXZG_000024-T1, CHXZG_011104-T1
OG0000826	GBNWP_006620-T1, GBNWP_010712-T1	CHXZG_000030-T1, CHXZG_005274-T1
OG0000827	GBNWP_006680-T1, GBNWP_008594-T1	CHXZG_001822-T1, CHXZG_007551-T1
OG0000828	GBNWP_006691-T1, GBNWP_008255-T1	CHXZG_007557-T1, CHXZG_009443-T1
OG0000829	GBNWP_006734-T1, GBNWP_006831-T1	CHXZG_004323-T1, CHXZG_010393-T1
OG0000830	GBNWP_006737-T1, GBNWP_010628-T1	CHXZG_000712-T1, CHXZG_007223-T1
OG0000831	GBNWP_006745-T1, GBNWP_010482-T1	CHXZG_004640-T1, CHXZG_010712-T1
OG0000832	GBNWP_006751-T1, GBNWP_008910-T1	CHXZG_004645-T1, CHXZG_010681-T1
OG0000833	GBNWP_006760-T1, GBNWP_009555-T1	CHXZG_007910-T1, CHXZG_010834-T1
OG0000834	GBNWP_006854-T1, GBNWP_009113-T1	CHXZG_001677-T1, CHXZG_005706-T1
OG0000835	GBNWP_006856-T1, GBNWP_009117-T1	CHXZG_001679-T1, CHXZG_005702-T1
OG0000836	GBNWP_006871-T1, GBNWP_010491-T1	CHXZG_010127-T1, CHXZG_010721-T1
OG0000837	GBNWP_006902-T1, GBNWP_009612-T1	CHXZG_006179-T1, CHXZG_010160-T1
OG0000838	GBNWP_006903-T1, GBNWP_009893-T1	CHXZG_008853-T1, CHXZG_010161-T1
OG0000839	GBNWP_006924-T1, GBNWP_010279-T1	CHXZG_008015-T1, CHXZG_009067-T1
OG0000840	GBNWP_006929-T1, GBNWP_011105-T1	CHXZG_002154-T1, CHXZG_008266-T1
OG0000841	GBNWP_006931-T1, GBNWP_009547-T1	CHXZG_007102-T1, CHXZG_010842-T1
OG0000842	GBNWP_006937-T1, GBNWP_009473-T1	CHXZG_007796-T1, CHXZG_009049-T1
OG0000843	GBNWP_006942-T1, GBNWP_010180-T1	CHXZG_005754-T1, CHXZG_007898-T1
OG0000844	GBNWP_006963-T1, GBNWP_008440-T1	CHXZG_005802-T1, CHXZG_007229-T1
OG0000845	GBNWP_007000-T1, GBNWP_007004-T1	CHXZG_005757-T1, CHXZG_005761-T1
OG0000846	GBNWP_007014-T1, GBNWP_010153-T1	CHXZG_003487-T1, CHXZG_009769-T1
OG0000847	GBNWP_007022-T1, GBNWP_008112-T1	CHXZG_003478-T1, CHXZG_006269-T1
OG0000848	GBNWP_007067-T1, GBNWP_009353-T1	CHXZG_004530-T1, CHXZG_007469-T1
OG0000849	GBNWP_007072-T1, GBNWP_010347-T1	CHXZG_004525-T1, CHXZG_011598-T1
OG0000850	GBNWP_007109-T1, GBNWP_008058-T1	CHXZG_004487-T1, CHXZG_005414-T1
OG0000851	GBNWP_007146-T1, GBNWP_011073-T1, GBNWP_011224-T1	CHXZG_008091-T1
OG0000852	GBNWP_007203-T1, GBNWP_007204-T1	CHXZG_002322-T1, CHXZG_002323-T1
OG0000853	GBNWP_007205-T1, GBNWP_008295-T1	CHXZG_000491-T1, CHXZG_002324-T1
OG0000854	GBNWP_007226-T1, GBNWP_007227-T1	CHXZG_002344-T1, CHXZG_002345-T1
OG0000855	GBNWP_007239-T1, GBNWP_007240-T1	CHXZG_008108-T1, CHXZG_008109-T1
OG0000856	GBNWP_007256-T1, GBNWP_010591-T1	CHXZG_010500-T1, CHXZG_011457-T1
OG0000857	GBNWP_007337-T1, GBNWP_008648-T1	CHXZG_007725-T1, CHXZG_008583-T1
OG0000858	GBNWP_007359-T1, GBNWP_010336-T1	CHXZG_008560-T1, CHXZG_011585-T1
OG0000859	GBNWP_007374-T1, GBNWP_009459-T1	CHXZG_006762-T1, CHXZG_008805-T1
OG0000860	GBNWP_007377-T1, GBNWP_009235-T1	CHXZG_006765-T1, CHXZG_008734-T1
OG0000861	GBNWP_007396-T1, GBNWP_009074-T1	CHXZG_003172-T1, CHXZG_008444-T1
OG0000862	GBNWP_007402-T1, GBNWP_007578-T1	CHXZG_001047-T1, CHXZG_001819-T1
OG0000863	GBNWP_007459-T1, GBNWP_008736-T1	CHXZG_001482-T1, CHXZG_010241-T1
OG0000864	GBNWP_007498-T1, GBNWP_007727-T1	CHXZG_001522-T1, CHXZG_009558-T1
OG0000865	GBNWP_007597-T1, GBNWP_009558-T1	CHXZG_001800-T1, CHXZG_010831-T1
OG0000866	GBNWP_007614-T1, GBNWP_008002-T1, GBNWP_009286-T1	CHXZG_010177-T1
OG0000867	GBNWP_007659-T1, GBNWP_008816-T1	CHXZG_000158-T1, CHXZG_008363-T1
OG0000868	GBNWP_007680-T1, GBNWP_008262-T1	CHXZG_000181-T1, CHXZG_009436-T1
OG0000869	GBNWP_007710-T1, GBNWP_007837-T1	CHXZG_002161-T1, CHXZG_009539-T1
OG0000870	GBNWP_007711-T1, GBNWP_010421-T1	CHXZG_009540-T1, CHXZG_010490-T1
OG0000871	GBNWP_007792-T1, GBNWP_009482-T1	CHXZG_005262-T1, CHXZG_009040-T1
OG0000872	GBNWP_007813-T1, GBNWP_009149-T1	CHXZG_002758-T1, CHXZG_010758-T1
OG0000873	GBNWP_007853-T1	CHXZG_008745-T1, CHXZG_008872-T1, CHXZG_009056-T1
OG0000874	GBNWP_007860-T1, GBNWP_007861-T1	CHXZG_005932-T1, CHXZG_005933-T1
OG0000875	GBNWP_007898-T1, GBNWP_009268-T1	CHXZG_005969-T1, CHXZG_008697-T1
OG0000876	GBNWP_007909-T1, GBNWP_010783-T1	CHXZG_005980-T1, CHXZG_011172-T1
OG0000877	GBNWP_007962-T1, GBNWP_010445-T1	CHXZG_000966-T1, CHXZG_010467-T1
OG0000878	GBNWP_007999-T1, GBNWP_009290-T1, GBNWP_010679-T1	CHXZG_009246-T1
OG0000879	GBNWP_008015-T1, GBNWP_010253-T1	CHXZG_002786-T1, CHXZG_005371-T1
OG0000880	GBNWP_008046-T1, GBNWP_008048-T1	CHXZG_005403-T1, CHXZG_005405-T1
OG0000881	GBNWP_008068-T1, GBNWP_009407-T1	CHXZG_005422-T1, CHXZG_010181-T1
OG0000882	GBNWP_008073-T1, GBNWP_009400-T1	CHXZG_005427-T1, CHXZG_010188-T1
OG0000883	GBNWP_008080-T1, GBNWP_010590-T1	CHXZG_000753-T1, CHXZG_008883-T1
OG0000884	GBNWP_008148-T1, GBNWP_009715-T1	CHXZG_009741-T1, CHXZG_011351-T1
OG0000885	GBNWP_008163-T1, GBNWP_008708-T1	CHXZG_006405-T1, CHXZG_008953-T1
OG0000886	GBNWP_008195-T1, GBNWP_008222-T1	CHXZG_006435-T1, CHXZG_007007-T1
OG0000887	GBNWP_008197-T1, GBNWP_008420-T1	CHXZG_004094-T1, CHXZG_006439-T1
OG0000888	GBNWP_008204-T1, GBNWP_010116-T1	CHXZG_006448-T1, CHXZG_009856-T1
OG0000889	GBNWP_008254-T1, GBNWP_008878-T1	CHXZG_009444-T1, CHXZG_009949-T1
OG0000890	GBNWP_008269-T1, GBNWP_009601-T1	CHXZG_006187-T1, CHXZG_009428-T1
OG0000891	GBNWP_008306-T1, GBNWP_009105-T1	CHXZG_001052-T1, CHXZG_010864-T1
OG0000892	GBNWP_008379-T1, GBNWP_009897-T1	CHXZG_003398-T1, CHXZG_008855-T1
OG0000893	GBNWP_008389-T1, GBNWP_008725-T1	CHXZG_003387-T1, CHXZG_008016-T1
OG0000894	GBNWP_008448-T1, GBNWP_008524-T1	CHXZG_007236-T1, CHXZG_007407-T1
OG0000895	GBNWP_008458-T1, GBNWP_010283-T1	CHXZG_007248-T1, CHXZG_009071-T1
OG0000896	GBNWP_008618-T1, GBNWP_009512-T1	CHXZG_007755-T1, CHXZG_009011-T1
OG0000897	GBNWP_008733-T1, GBNWP_008734-T1	CHXZG_007049-T1, CHXZG_010239-T1
OG0000898	GBNWP_008769-T1, GBNWP_010399-T1	CHXZG_003493-T1, CHXZG_010276-T1
OG0000899	GBNWP_008799-T1, GBNWP_008841-T1	CHXZG_008376-T1, CHXZG_009910-T1
OG0000900	GBNWP_008813-T1, GBNWP_008826-T1	CHXZG_000957-T1, CHXZG_008352-T1
OG0000901	GBNWP_008834-T1	CHXZG_000425-T1, CHXZG_001445-T1, CHXZG_002095-T1
OG0000902	GBNWP_008862-T1, GBNWP_011054-T1	CHXZG_003769-T1, CHXZG_009932-T1
OG0000903	GBNWP_008872-T1, GBNWP_008899-T1	CHXZG_009941-T1, CHXZG_010692-T1
OG0000904	GBNWP_008883-T1, GBNWP_010636-T1	CHXZG_009954-T1, CHXZG_010813-T1
OG0000905	GBNWP_008885-T1, GBNWP_009320-T1	CHXZG_000097-T1, CHXZG_009956-T1
OG0000906	GBNWP_008942-T1, GBNWP_009501-T1	CHXZG_009022-T1, CHXZG_010646-T1
OG0000907	GBNWP_009078-T1, GBNWP_010818-T1	CHXZG_008440-T1, CHXZG_011206-T1
OG0000908	GBNWP_009091-T1, GBNWP_010489-T1	CHXZG_008427-T1, CHXZG_010719-T1
OG0000909	GBNWP_009130-T1, GBNWP_010037-T1	CHXZG_007128-T1, CHXZG_010733-T1
OG0000910	GBNWP_009141-T1, GBNWP_010707-T1	CHXZG_005269-T1, CHXZG_010748-T1
OG0000911	GBNWP_009291-T1, GBNWP_010122-T1	CHXZG_009247-T1, CHXZG_010288-T1
OG0000912	GBNWP_009342-T1, GBNWP_010959-T1	CHXZG_000075-T1, CHXZG_011016-T1
OG0000913	GBNWP_009372-T1, GBNWP_011111-T1	CHXZG_010217-T1, CHXZG_011255-T1
OG0000914	GBNWP_009437-T1, GBNWP_009452-T1	CHXZG_008783-T1, CHXZG_008798-T1
OG0000915	GBNWP_009479-T1, GBNWP_010539-T1	CHXZG_003218-T1, CHXZG_009043-T1
OG0000916	GBNWP_009538-T1, GBNWP_010212-T1	CHXZG_005585-T1, CHXZG_010851-T1
OG0000917	GBNWP_009567-T1, GBNWP_011227-T1	CHXZG_010596-T1, CHXZG_011389-T1
OG0000918	GBNWP_009582-T1, GBNWP_010499-T1	CHXZG_006206-T1, CHXZG_011075-T1
OG0000919	GBNWP_009615-T1, GBNWP_009617-T1	CHXZG_006174-T1, CHXZG_006176-T1
OG0000920	GBNWP_009630-T1, GBNWP_010561-T1	CHXZG_003240-T1, CHXZG_006161-T1
OG0000921	GBNWP_009644-T1, GBNWP_009737-T1	CHXZG_006146-T1, CHXZG_011517-T1
OG0000922	GBNWP_009664-T1, GBNWP_009790-T1	CHXZG_008038-T1, CHXZG_009194-T1
OG0000923	GBNWP_009770-T1, GBNWP_011192-T1	CHXZG_005304-T1, CHXZG_006947-T1
OG0000924	GBNWP_009870-T1, GBNWP_009872-T1	CHXZG_008828-T1, CHXZG_008831-T1
OG0000925	GBNWP_009980-T1, GBNWP_009981-T1	CHXZG_004396-T1, CHXZG_004397-T1
OG0000926	GBNWP_009984-T1, GBNWP_011010-T1	CHXZG_001300-T1, CHXZG_004400-T1
OG0000927	GBNWP_010064-T1, GBNWP_010127-T1	CHXZG_003134-T1, CHXZG_010341-T1
OG0000928	GBNWP_010096-T1, GBNWP_011078-T1	CHXZG_009876-T1, CHXZG_011415-T1
OG0000929	GBNWP_010309-T1, GBNWP_010311-T1	CHXZG_004701-T1, CHXZG_006767-T1
OG0000930	GBNWP_010536-T1	CHXZG_001788-T1, CHXZG_009462-T1, CHXZG_010118-T1
OG0000931	GBNWP_010557-T1, GBNWP_010559-T1	CHXZG_003236-T1, CHXZG_003238-T1
OG0000932	GBNWP_010585-T1, GBNWP_010586-T1	CHXZG_003264-T1, CHXZG_003265-T1
OG0000933	GBNWP_010852-T1, GBNWP_010853-T1	CHXZG_010556-T1, CHXZG_010557-T1
OG0000934	GBNWP_011152-T1	CHXZG_001142-T1, CHXZG_002932-T1, CHXZG_011082-T1
OG0000935	GBNWP_000006-T1, GBNWP_004166-T1	CHXZG_001971-T1
OG0000936	GBNWP_000267-T1, GBNWP_004952-T1	CHXZG_004829-T1
OG0000937	GBNWP_000331-T1	CHXZG_000529-T1, CHXZG_001764-T1
OG0000938	GBNWP_000432-T1, GBNWP_010683-T1	CHXZG_008023-T1
OG0000939	GBNWP_000492-T1, GBNWP_003458-T1	CHXZG_004203-T1
OG0000940	GBNWP_000786-T1	CHXZG_003582-T1, CHXZG_005018-T1
OG0000941	GBNWP_000871-T1, GBNWP_005273-T1	CHXZG_000524-T1
OG0000942	GBNWP_000873-T1	CHXZG_000522-T1, CHXZG_010002-T1
OG0000943	GBNWP_000983-T1, GBNWP_007998-T1	CHXZG_002121-T1
OG0000944	GBNWP_001042-T1	CHXZG_000629-T1, CHXZG_001384-T1
OG0000945	GBNWP_001073-T1	CHXZG_003860-T1, CHXZG_007966-T1
OG0000946	GBNWP_001095-T1	CHXZG_000209-T1, CHXZG_000467-T1
OG0000947	GBNWP_001105-T1, GBNWP_010955-T1	CHXZG_000219-T1
OG0000948	GBNWP_001145-T1	CHXZG_000261-T1, CHXZG_002396-T1
OG0000949	GBNWP_001264-T1	CHXZG_003013-T1, CHXZG_004597-T1
OG0000950	GBNWP_001372-T1	CHXZG_001435-T1, CHXZG_011337-T1
OG0000951	GBNWP_001384-T1, GBNWP_005290-T1	CHXZG_009494-T1
OG0000952	GBNWP_001510-T1	CHXZG_003864-T1, CHXZG_003938-T1
OG0000953	GBNWP_001715-T1, GBNWP_009828-T1	CHXZG_001840-T1
OG0000954	GBNWP_001824-T1, GBNWP_010242-T1	CHXZG_011570-T1
OG0000955	GBNWP_001878-T1	CHXZG_008194-T1, CHXZG_008200-T1
OG0000956	GBNWP_002009-T1, GBNWP_006868-T1	CHXZG_009842-T1
OG0000957	GBNWP_002018-T1	CHXZG_002452-T1, CHXZG_010958-T1
OG0000958	GBNWP_002020-T1	CHXZG_002453-T1, CHXZG_010961-T1
OG0000959	GBNWP_002048-T1, GBNWP_008230-T1	CHXZG_006998-T1
OG0000960	GBNWP_002101-T1, GBNWP_006819-T1	CHXZG_008756-T1
OG0000961	GBNWP_002161-T1	CHXZG_006719-T1, CHXZG_010688-T1
OG0000962	GBNWP_002361-T1	CHXZG_001731-T1, CHXZG_007897-T1
OG0000963	GBNWP_002622-T1, GBNWP_003558-T1, GBNWP_007845-T1	
OG0000964	GBNWP_002624-T1	CHXZG_001184-T1, CHXZG_001185-T1
OG0000965	GBNWP_002723-T1	CHXZG_004994-T1, CHXZG_009423-T1
OG0000966	GBNWP_002867-T1	CHXZG_009571-T1, CHXZG_010298-T1
OG0000967	GBNWP_003091-T1	CHXZG_009298-T1, CHXZG_010340-T1
OG0000968	GBNWP_003208-T1	CHXZG_004739-T1, CHXZG_006105-T1
OG0000969	GBNWP_003320-T1, GBNWP_005912-T1	CHXZG_002065-T1
OG0000970	GBNWP_003365-T1	CHXZG_005182-T1, CHXZG_007500-T1
OG0000971	GBNWP_003378-T1	CHXZG_007487-T1, CHXZG_010069-T1
OG0000972	GBNWP_003386-T1	CHXZG_007478-T1, CHXZG_011217-T1
OG0000973	GBNWP_003409-T1	CHXZG_001227-T1, CHXZG_003056-T1
OG0000974	GBNWP_003469-T1	CHXZG_001755-T1, CHXZG_004079-T1
OG0000975	GBNWP_003504-T1	CHXZG_010435-T1, CHXZG_010546-T1
OG0000976	GBNWP_003764-T1, GBNWP_008548-T1	CHXZG_007383-T1
OG0000977	GBNWP_003826-T1	CHXZG_000807-T1, CHXZG_000808-T1
OG0000978	GBNWP_003855-T1, GBNWP_009359-T1	CHXZG_010227-T1
OG0000979	GBNWP_003911-T1	CHXZG_002000-T1, CHXZG_004198-T1
OG0000980	GBNWP_003962-T1	CHXZG_001400-T1, CHXZG_010370-T1
OG0000981	GBNWP_004113-T1	CHXZG_004781-T1, CHXZG_008022-T1
OG0000982	GBNWP_004259-T1	CHXZG_000821-T1, CHXZG_004572-T1
OG0000983	GBNWP_004276-T1, GBNWP_009106-T1	CHXZG_009796-T1
OG0000984	GBNWP_004416-T1, GBNWP_005337-T1	CHXZG_005864-T1
OG0000985	GBNWP_004871-T1, GBNWP_004872-T1	CHXZG_006666-T1
OG0000986	GBNWP_004953-T1	CHXZG_005504-T1, CHXZG_005505-T1
OG0000987	GBNWP_004979-T1, GBNWP_007748-T1	CHXZG_009580-T1
OG0000988	GBNWP_005023-T1	CHXZG_001959-T1, CHXZG_002959-T1
OG0000989	GBNWP_005206-T1	CHXZG_002282-T1, CHXZG_004429-T1
OG0000990	GBNWP_005228-T1	CHXZG_010044-T1, CHXZG_010045-T1
OG0000991	GBNWP_005288-T1	CHXZG_005545-T1, CHXZG_005546-T1
OG0000992	GBNWP_005379-T1, GBNWP_005420-T1	CHXZG_002266-T1
OG0000993	GBNWP_005400-T1, GBNWP_005401-T1	CHXZG_009290-T1
OG0000994	GBNWP_005578-T1	CHXZG_006385-T1, CHXZG_011069-T1
OG0000995	GBNWP_005591-T1	CHXZG_008324-T1, CHXZG_008325-T1
OG0000996	GBNWP_005700-T1	CHXZG_001906-T1, CHXZG_006060-T1
OG0000997	GBNWP_005721-T1, GBNWP_009524-T1	CHXZG_001404-T1
OG0000998	GBNWP_005839-T1	CHXZG_003518-T1, CHXZG_008341-T1
OG0000999	GBNWP_006031-T1, GBNWP_008517-T1	CHXZG_007608-T1
OG0001000	GBNWP_006114-T1, GBNWP_011182-T1	CHXZG_006644-T1
OG0001001	GBNWP_006308-T1	CHXZG_004470-T1, CHXZG_005443-T1
OG0001002	GBNWP_006309-T1	CHXZG_003652-T1, CHXZG_005444-T1
OG0001003	GBNWP_006465-T1, GBNWP_009029-T1	CHXZG_011221-T1
OG0001004	GBNWP_006560-T1, GBNWP_008729-T1	CHXZG_007045-T1
OG0001005	GBNWP_006599-T1	CHXZG_000010-T1, CHXZG_010250-T1
OG0001006	GBNWP_006648-T1	CHXZG_000058-T1, CHXZG_002439-T1
OG0001007	GBNWP_006671-T1, GBNWP_009780-T1	CHXZG_006656-T1
OG0001008	GBNWP_006742-T1, GBNWP_006764-T1	CHXZG_007228-T1
OG0001009	GBNWP_006801-T1, GBNWP_008497-T1	CHXZG_010440-T1
OG0001010	GBNWP_006817-T1, GBNWP_010325-T1	CHXZG_011353-T1
OG0001011	GBNWP_006848-T1	CHXZG_001670-T1, CHXZG_001671-T1
OG0001012	GBNWP_006914-T1	CHXZG_002455-T1, CHXZG_007814-T1
OG0001013	GBNWP_006947-T1, GBNWP_006950-T1	CHXZG_008482-T1
OG0001014	GBNWP_006948-T1, GBNWP_006949-T1	CHXZG_008481-T1
OG0001015	GBNWP_007053-T1	CHXZG_001658-T1, CHXZG_005451-T1
OG0001016	GBNWP_007126-T1	CHXZG_004469-T1, CHXZG_008876-T1
OG0001017	GBNWP_007247-T1, GBNWP_008081-T1, GBNWP_011202-T1	
OG0001018	GBNWP_007397-T1	CHXZG_003173-T1, CHXZG_010776-T1
OG0001019	GBNWP_007437-T1	CHXZG_009798-T1, CHXZG_009845-T1
OG0001020	GBNWP_007457-T1	CHXZG_001480-T1, CHXZG_009522-T1
OG0001021	GBNWP_007521-T1, GBNWP_010322-T1	CHXZG_009299-T1
OG0001022	GBNWP_007628-T1	CHXZG_000128-T1, CHXZG_010046-T1
OG0001023	GBNWP_007647-T1, GBNWP_008224-T1	CHXZG_007005-T1
OG0001024	GBNWP_007687-T1	CHXZG_010337-T1, CHXZG_010948-T1
OG0001025	GBNWP_007693-T1, GBNWP_008775-T1	CHXZG_009697-T1
OG0001026	GBNWP_007713-T1	CHXZG_009541-T1, CHXZG_009543-T1
OG0001027	GBNWP_007723-T1, GBNWP_009350-T1	CHXZG_009554-T1
OG0001028	GBNWP_007774-T1, GBNWP_007997-T1	CHXZG_010399-T1
OG0001029	GBNWP_007804-T1, GBNWP_008715-T1	CHXZG_005252-T1
OG0001030	GBNWP_007816-T1	CHXZG_002566-T1, CHXZG_002762-T1
OG0001031	GBNWP_007847-T1	CHXZG_008478-T1, CHXZG_010285-T1
OG0001032	GBNWP_007857-T1	CHXZG_000528-T1, CHXZG_008550-T1
OG0001033	GBNWP_007925-T1	CHXZG_008181-T1, CHXZG_010771-T1
OG0001034	GBNWP_007960-T1	CHXZG_000968-T1, CHXZG_003483-T1
OG0001035	GBNWP_007986-T1	CHXZG_002397-T1, CHXZG_009414-T1
OG0001036	GBNWP_008019-T1	CHXZG_005375-T1, CHXZG_008549-T1
OG0001037	GBNWP_008191-T1	CHXZG_006433-T1, CHXZG_009915-T1
OG0001038	GBNWP_008207-T1	CHXZG_001588-T1, CHXZG_006450-T1
OG0001039	GBNWP_008221-T1	CHXZG_002485-T1, CHXZG_007008-T1
OG0001040	GBNWP_008317-T1	CHXZG_006873-T1, CHXZG_006880-T1
OG0001041	GBNWP_008507-T1, GBNWP_008508-T1	CHXZG_010549-T1
OG0001042	GBNWP_008583-T1	CHXZG_001856-T1, CHXZG_009113-T1
OG0001043	GBNWP_008585-T1	CHXZG_000531-T1, CHXZG_011261-T1
OG0001044	GBNWP_008589-T1, GBNWP_011226-T1	CHXZG_001311-T1
OG0001045	GBNWP_008656-T1	CHXZG_009583-T1, CHXZG_009694-T1
OG0001046	GBNWP_008660-T1	CHXZG_000864-T1, CHXZG_002830-T1
OG0001047	GBNWP_008664-T1	CHXZG_003363-T1, CHXZG_008547-T1
OG0001048	GBNWP_008685-T1	CHXZG_002392-T1, CHXZG_008978-T1
