	Chaetocladium_brefeldii_NRRL_1350.aa	Chaetocladium_brefeldii_RSA_1136-.aa
OG0005465	COZTY_003357-T1	
OG0005466	COZTY_003358-T1	
OG0005467	COZTY_003367-T1	
OG0005468	COZTY_003369-T1	
OG0005469	COZTY_003370-T1	
OG0005470	COZTY_003374-T1	
OG0005471	COZTY_003375-T1	
OG0005472	COZTY_003377-T1	
OG0005473	COZTY_003378-T1	
OG0005474	COZTY_003381-T1	
OG0005475	COZTY_003388-T1	
OG0005476	COZTY_003389-T1	
OG0005477	COZTY_003397-T1	
OG0005478	COZTY_003407-T1	
OG0005479	COZTY_003413-T1	
OG0005480	COZTY_003416-T1	
OG0005481	COZTY_003417-T1	
OG0005482	COZTY_003418-T1	
OG0005483	COZTY_003424-T1	
OG0005484	COZTY_003430-T1	
OG0005485	COZTY_003434-T1	
OG0005486	COZTY_003437-T1	
OG0005487	COZTY_003439-T1	
OG0005488	COZTY_003442-T1	
OG0005489	COZTY_003444-T1	
OG0005490	COZTY_003445-T1	
OG0005491	COZTY_003446-T1	
OG0005492	COZTY_003447-T1	
OG0005493	COZTY_003450-T1	
OG0005494	COZTY_003452-T1	
OG0005495	COZTY_003455-T1	
OG0005496	COZTY_003464-T1	
OG0005497	COZTY_003467-T1	
OG0005498	COZTY_003468-T1	
OG0005499	COZTY_003471-T1	
OG0005500	COZTY_003474-T1	
OG0005501	COZTY_003486-T1	
OG0005502	COZTY_003488-T1	
OG0005503	COZTY_003493-T1	
OG0005504	COZTY_003495-T1	
OG0005505	COZTY_003497-T1	
OG0005506	COZTY_003498-T1	
OG0005507	COZTY_003500-T1	
OG0005508	COZTY_003511-T1	
OG0005509	COZTY_003516-T1	
OG0005510	COZTY_003519-T1	
OG0005511	COZTY_003520-T1	
OG0005512	COZTY_003521-T1	
OG0005513	COZTY_003522-T1	
OG0005514	COZTY_003525-T1	
OG0005515	COZTY_003535-T1	
OG0005516	COZTY_003536-T1	
OG0005517	COZTY_003537-T1	
OG0005518	COZTY_003538-T1	
OG0005519	COZTY_003541-T1	
OG0005520	COZTY_003542-T1	
OG0005521	COZTY_003547-T1	
OG0005522	COZTY_003558-T1	
OG0005523	COZTY_003559-T1	
OG0005524	COZTY_003563-T1	
OG0005525	COZTY_003566-T1	
OG0005526	COZTY_003578-T1	
OG0005527	COZTY_003579-T1	
OG0005528	COZTY_003587-T1	
OG0005529	COZTY_003588-T1	
OG0005530	COZTY_003591-T1	
OG0005531	COZTY_003592-T1	
OG0005532	COZTY_003593-T1	
OG0005533	COZTY_003602-T1	
OG0005534	COZTY_003607-T1	
OG0005535	COZTY_003608-T1	
OG0005536	COZTY_003609-T1	
OG0005537	COZTY_003610-T1	
OG0005538	COZTY_003612-T1	
OG0005539	COZTY_003616-T1	
OG0005540	COZTY_003617-T1	
OG0005541	COZTY_003618-T1	
OG0005542	COZTY_003620-T1	
OG0005543	COZTY_003624-T1	
OG0005544	COZTY_003628-T1	
OG0005545	COZTY_003632-T1	
OG0005546	COZTY_003633-T1	
OG0005547	COZTY_003635-T1	
OG0005548	COZTY_003641-T1	
OG0005549	COZTY_003642-T1	
OG0005550	COZTY_003648-T1	
OG0005551	COZTY_003651-T1	
OG0005552	COZTY_003652-T1	
OG0005553	COZTY_003655-T1	
OG0005554	COZTY_003659-T1	
OG0005555	COZTY_003662-T1	
OG0005556	COZTY_003666-T1	
OG0005557	COZTY_003667-T1	
OG0005558	COZTY_003670-T1	
OG0005559	COZTY_003671-T1	
OG0005560	COZTY_003672-T1	
OG0005561	COZTY_003673-T1	
OG0005562	COZTY_003678-T1	
OG0005563	COZTY_003681-T1	
OG0005564	COZTY_003683-T1	
OG0005565	COZTY_003689-T1	
OG0005566	COZTY_003700-T1	
OG0005567	COZTY_003702-T1	
OG0005568	COZTY_003703-T1	
OG0005569	COZTY_003705-T1	
OG0005570	COZTY_003712-T1	
OG0005571	COZTY_003716-T1	
OG0005572	COZTY_003720-T1	
OG0005573	COZTY_003721-T1	
OG0005574	COZTY_003726-T1	
OG0005575	COZTY_003727-T1	
OG0005576	COZTY_003728-T1	
OG0005577	COZTY_003736-T1	
OG0005578	COZTY_003753-T1	
OG0005579	COZTY_003761-T1	
OG0005580	COZTY_003762-T1	
OG0005581	COZTY_003763-T1	
OG0005582	COZTY_003764-T1	
OG0005583	COZTY_003765-T1	
OG0005584	COZTY_003768-T1	
OG0005585	COZTY_003773-T1	
OG0005586	COZTY_003778-T1	
OG0005587	COZTY_003780-T1	
OG0005588	COZTY_003786-T1	
OG0005589	COZTY_003790-T1	
OG0005590	COZTY_003792-T1	
OG0005591	COZTY_003804-T1	
OG0005592	COZTY_003805-T1	
OG0005593	COZTY_003808-T1	
OG0005594	COZTY_003809-T1	
OG0005595	COZTY_003820-T1	
OG0005596	COZTY_003822-T1	
OG0005597	COZTY_003823-T1	
OG0005598	COZTY_003824-T1	
OG0005599	COZTY_003827-T1	
OG0005600	COZTY_003834-T1	
OG0005601	COZTY_003836-T1	
OG0005602	COZTY_003838-T1	
OG0005603	COZTY_003844-T1	
OG0005604	COZTY_003848-T1	
OG0005605	COZTY_003861-T1	
OG0005606	COZTY_003863-T1	
OG0005607	COZTY_003864-T1	
OG0005608	COZTY_003876-T1	
OG0005609	COZTY_003882-T1	
OG0005610	COZTY_003884-T1	
OG0005611	COZTY_003893-T1	
OG0005612	COZTY_003902-T1	
OG0005613	COZTY_003910-T1	
OG0005614	COZTY_003915-T1	
OG0005615	COZTY_003917-T1	
OG0005616	COZTY_003918-T1	
OG0005617	COZTY_003925-T1	
OG0005618	COZTY_003930-T1	
OG0005619	COZTY_003931-T1	
OG0005620	COZTY_003932-T1	
OG0005621	COZTY_003934-T1	
OG0005622	COZTY_003942-T1	
OG0005623	COZTY_003943-T1	
OG0005624	COZTY_003945-T1	
OG0005625	COZTY_003946-T1	
OG0005626	COZTY_003948-T1	
OG0005627	COZTY_003957-T1	
OG0005628	COZTY_003962-T1	
OG0005629	COZTY_003966-T1	
OG0005630	COZTY_003967-T1	
OG0005631	COZTY_003968-T1	
OG0005632	COZTY_003977-T1	
OG0005633	COZTY_003979-T1	
OG0005634	COZTY_003981-T1	
OG0005635	COZTY_003986-T1	
OG0005636	COZTY_003987-T1	
OG0005637	COZTY_003988-T1	
OG0005638	COZTY_003989-T1	
OG0005639	COZTY_003994-T1	
OG0005640	COZTY_003996-T1	
OG0005641	COZTY_004003-T1	
OG0005642	COZTY_004004-T1	
OG0005643	COZTY_004008-T1	
OG0005644	COZTY_004010-T1	
OG0005645	COZTY_004012-T1	
OG0005646	COZTY_004013-T1	
OG0005647	COZTY_004014-T1	
OG0005648	COZTY_004016-T1	
OG0005649	COZTY_004029-T1	
OG0005650	COZTY_004033-T1	
OG0005651	COZTY_004034-T1	
OG0005652	COZTY_004036-T1	
OG0005653	COZTY_004039-T1	
OG0005654	COZTY_004040-T1	
OG0005655	COZTY_004044-T1	
OG0005656	COZTY_004050-T1	
OG0005657	COZTY_004053-T1	
OG0005658	COZTY_004064-T1	
OG0005659	COZTY_004066-T1	
OG0005660	COZTY_004069-T1	
OG0005661	COZTY_004075-T1	
OG0005662	COZTY_004076-T1	
OG0005663	COZTY_004078-T1	
OG0005664	COZTY_004080-T1	
OG0005665	COZTY_004082-T1	
OG0005666	COZTY_004083-T1	
OG0005667	COZTY_004084-T1	
OG0005668	COZTY_004085-T1	
OG0005669	COZTY_004086-T1	
OG0005670	COZTY_004087-T1	
OG0005671	COZTY_004088-T1	
OG0005672	COZTY_004089-T1	
OG0005673	COZTY_004090-T1	
OG0005674	COZTY_004091-T1	
OG0005675	COZTY_004093-T1	
OG0005676	COZTY_004101-T1	
OG0005677	COZTY_004108-T1	
OG0005678	COZTY_004112-T1	
OG0005679	COZTY_004114-T1	
OG0005680	COZTY_004122-T1	
OG0005681	COZTY_004128-T1	
OG0005682	COZTY_004141-T1	
OG0005683	COZTY_004150-T1	
OG0005684	COZTY_004159-T1	
OG0005685	COZTY_004161-T1	
OG0005686	COZTY_004162-T1	
OG0005687	COZTY_004163-T1	
OG0005688	COZTY_004167-T1	
OG0005689	COZTY_004168-T1	
OG0005690	COZTY_004169-T1	
OG0005691	COZTY_004171-T1	
OG0005692	COZTY_004175-T1	
OG0005693	COZTY_004188-T1	
OG0005694	COZTY_004198-T1	
OG0005695	COZTY_004202-T1	
OG0005696	COZTY_004204-T1	
OG0005697	COZTY_004211-T1	
OG0005698	COZTY_004213-T1	
OG0005699	COZTY_004214-T1	
OG0005700	COZTY_004219-T1	
OG0005701	COZTY_004220-T1	
OG0005702	COZTY_004221-T1	
OG0005703	COZTY_004224-T1	
OG0005704	COZTY_004225-T1	
OG0005705	COZTY_004234-T1	
OG0005706	COZTY_004235-T1	
OG0005707	COZTY_004236-T1	
OG0005708	COZTY_004238-T1	
OG0005709	COZTY_004239-T1	
OG0005710	COZTY_004242-T1	
OG0005711	COZTY_004249-T1	
OG0005712	COZTY_004254-T1	
OG0005713	COZTY_004255-T1	
OG0005714	COZTY_004256-T1	
OG0005715	COZTY_004257-T1	
OG0005716	COZTY_004262-T1	
OG0005717	COZTY_004264-T1	
OG0005718	COZTY_004271-T1	
OG0005719	COZTY_004277-T1	
OG0005720	COZTY_004280-T1	
OG0005721	COZTY_004281-T1	
OG0005722	COZTY_004282-T1	
OG0005723	COZTY_004289-T1	
OG0005724	COZTY_004290-T1	
OG0005725	COZTY_004295-T1	
OG0005726	COZTY_004296-T1	
OG0005727	COZTY_004297-T1	
OG0005728	COZTY_004298-T1	
OG0005729	COZTY_004302-T1	
OG0005730	COZTY_004305-T1	
OG0005731	COZTY_004306-T1	
OG0005732	COZTY_004317-T1	
OG0005733	COZTY_004322-T1	
OG0005734	COZTY_004323-T1	
OG0005735	COZTY_004329-T1	
OG0005736	COZTY_004331-T1	
OG0005737	COZTY_004344-T1	
OG0005738	COZTY_004353-T1	
OG0005739	COZTY_004357-T1	
OG0005740	COZTY_004364-T1	
OG0005741	COZTY_004367-T1	
OG0005742	COZTY_004368-T1	
OG0005743	COZTY_004372-T1	
OG0005744	COZTY_004375-T1	
OG0005745	COZTY_004378-T1	
OG0005746	COZTY_004381-T1	
OG0005747	COZTY_004383-T1	
OG0005748	COZTY_004389-T1	
OG0005749	COZTY_004391-T1	
OG0005750	COZTY_004394-T1	
OG0005751	COZTY_004397-T1	
OG0005752	COZTY_004400-T1	
OG0005753	COZTY_004408-T1	
OG0005754	COZTY_004411-T1	
OG0005755	COZTY_004415-T1	
OG0005756	COZTY_004416-T1	
OG0005757	COZTY_004423-T1	
OG0005758	COZTY_004439-T1	
OG0005759	COZTY_004441-T1	
OG0005760	COZTY_004446-T1	
OG0005761	COZTY_004447-T1	
OG0005762	COZTY_004450-T1	
OG0005763	COZTY_004460-T1	
OG0005764	COZTY_004468-T1	
OG0005765	COZTY_004471-T1	
OG0005766	COZTY_004474-T1	
OG0005767	COZTY_004475-T1	
OG0005768	COZTY_004483-T1	
OG0005769	COZTY_004488-T1	
OG0005770	COZTY_004493-T1	
OG0005771	COZTY_004494-T1	
OG0005772	COZTY_004500-T1	
OG0005773	COZTY_004506-T1	
OG0005774	COZTY_004515-T1	
OG0005775	COZTY_004517-T1	
OG0005776	COZTY_004528-T1	
OG0005777	COZTY_004529-T1	
OG0005778	COZTY_004530-T1	
OG0005779	COZTY_004545-T1	
OG0005780	COZTY_004549-T1	
OG0005781	COZTY_004550-T1	
OG0005782	COZTY_004558-T1	
OG0005783	COZTY_004559-T1	
OG0005784	COZTY_004560-T1	
OG0005785	COZTY_004561-T1	
OG0005786	COZTY_004562-T1	
OG0005787	COZTY_004563-T1	
OG0005788	COZTY_004564-T1	
OG0005789	COZTY_004565-T1	
OG0005790	COZTY_004566-T1	
OG0005791	COZTY_004567-T1	
OG0005792	COZTY_004568-T1	
OG0005793	COZTY_004569-T1	
OG0005794	COZTY_004570-T1	
OG0005795	COZTY_004571-T1	
OG0005796	COZTY_004572-T1	
OG0005797	COZTY_004573-T1	
OG0005798	COZTY_004574-T1	
OG0005799	COZTY_004575-T1	
OG0005800	COZTY_004576-T1	
OG0005801	COZTY_004577-T1	
OG0005802	COZTY_004578-T1	
OG0005803	COZTY_004579-T1	
OG0005804	COZTY_004580-T1	
OG0005805	COZTY_004581-T1	
OG0005806	COZTY_004582-T1	
OG0005807	COZTY_004589-T1	
OG0005808	COZTY_004590-T1	
OG0005809	COZTY_004595-T1	
OG0005810	COZTY_004599-T1	
OG0005811	COZTY_004600-T1	
OG0005812	COZTY_004602-T1	
OG0005813	COZTY_004603-T1	
OG0005814	COZTY_004606-T1	
OG0005815	COZTY_004607-T1	
OG0005816	COZTY_004609-T1	
OG0005817	COZTY_004611-T1	
OG0005818	COZTY_004612-T1	
OG0005819	COZTY_004616-T1	
OG0005820	COZTY_004619-T1	
OG0005821	COZTY_004620-T1	
OG0005822	COZTY_004626-T1	
OG0005823	COZTY_004633-T1	
OG0005824	COZTY_004634-T1	
OG0005825	COZTY_004636-T1	
OG0005826	COZTY_004637-T1	
OG0005827	COZTY_004638-T1	
OG0005828	COZTY_004644-T1	
OG0005829	COZTY_004645-T1	
OG0005830	COZTY_004648-T1	
OG0005831	COZTY_004651-T1	
OG0005832	COZTY_004652-T1	
OG0005833	COZTY_004654-T1	
OG0005834	COZTY_004660-T1	
OG0005835	COZTY_004673-T1	
OG0005836	COZTY_004684-T1	
OG0005837	COZTY_004688-T1	
OG0005838	COZTY_004691-T1	
OG0005839	COZTY_004692-T1	
OG0005840	COZTY_004693-T1	
OG0005841	COZTY_004699-T1	
OG0005842	COZTY_004702-T1	
OG0005843	COZTY_004704-T1	
OG0005844	COZTY_004706-T1	
OG0005845	COZTY_004715-T1	
OG0005846	COZTY_004718-T1	
OG0005847	COZTY_004720-T1	
OG0005848	COZTY_004721-T1	
OG0005849	COZTY_004722-T1	
OG0005850	COZTY_004723-T1	
OG0005851	COZTY_004731-T1	
OG0005852	COZTY_004733-T1	
OG0005853	COZTY_004737-T1	
OG0005854	COZTY_004738-T1	
OG0005855	COZTY_004746-T1	
OG0005856	COZTY_004748-T1	
OG0005857	COZTY_004749-T1	
OG0005858	COZTY_004751-T1	
OG0005859	COZTY_004752-T1	
OG0005860	COZTY_004757-T1	
OG0005861	COZTY_004762-T1	
OG0005862	COZTY_004765-T1	
OG0005863	COZTY_004769-T1	
OG0005864	COZTY_004775-T1	
OG0005865	COZTY_004778-T1	
OG0005866	COZTY_004779-T1	
OG0005867	COZTY_004780-T1	
OG0005868	COZTY_004781-T1	
OG0005869	COZTY_004782-T1	
OG0005870	COZTY_004785-T1	
OG0005871	COZTY_004786-T1	
OG0005872	COZTY_004788-T1	
OG0005873	COZTY_004795-T1	
OG0005874	COZTY_004796-T1	
OG0005875	COZTY_004798-T1	
OG0005876	COZTY_004800-T1	
OG0005877	COZTY_004802-T1	
OG0005878	COZTY_004803-T1	
OG0005879	COZTY_004805-T1	
OG0005880	COZTY_004808-T1	
OG0005881	COZTY_004810-T1	
OG0005882	COZTY_004823-T1	
OG0005883	COZTY_004839-T1	
OG0005884	COZTY_004843-T1	
OG0005885	COZTY_004845-T1	
OG0005886	COZTY_004846-T1	
OG0005887	COZTY_004852-T1	
OG0005888	COZTY_004853-T1	
OG0005889	COZTY_004855-T1	
OG0005890	COZTY_004860-T1	
OG0005891	COZTY_004875-T1	
OG0005892	COZTY_004879-T1	
OG0005893	COZTY_004881-T1	
OG0005894	COZTY_004890-T1	
OG0005895	COZTY_004891-T1	
OG0005896	COZTY_004893-T1	
OG0005897	COZTY_004899-T1	
OG0005898	COZTY_004900-T1	
OG0005899	COZTY_004903-T1	
OG0005900	COZTY_004909-T1	
OG0005901	COZTY_004910-T1	
OG0005902	COZTY_004914-T1	
OG0005903	COZTY_004915-T1	
OG0005904	COZTY_004917-T1	
OG0005905	COZTY_004923-T1	
OG0005906	COZTY_004924-T1	
OG0005907	COZTY_004925-T1	
OG0005908	COZTY_004931-T1	
OG0005909	COZTY_004942-T1	
OG0005910	COZTY_004944-T1	
OG0005911	COZTY_004945-T1	
OG0005912	COZTY_004947-T1	
OG0005913	COZTY_004950-T1	
OG0005914	COZTY_004951-T1	
OG0005915	COZTY_004960-T1	
OG0005916	COZTY_004962-T1	
OG0005917	COZTY_004963-T1	
OG0005918	COZTY_004965-T1	
OG0005919	COZTY_004966-T1	
OG0005920	COZTY_004972-T1	
OG0005921	COZTY_004975-T1	
OG0005922	COZTY_004976-T1	
OG0005923	COZTY_004977-T1	
OG0005924	COZTY_004978-T1	
OG0005925	COZTY_004979-T1	
OG0005926	COZTY_004990-T1	
OG0005927	COZTY_004991-T1	
OG0005928	COZTY_004997-T1	
OG0005929	COZTY_004998-T1	
OG0005930	COZTY_004999-T1	
OG0005931	COZTY_005002-T1	
OG0005932	COZTY_005005-T1	
OG0005933	COZTY_005006-T1	
OG0005934	COZTY_005013-T1	
OG0005935	COZTY_005021-T1	
OG0005936	COZTY_005024-T1	
OG0005937	COZTY_005025-T1	
OG0005938	COZTY_005035-T1	
OG0005939	COZTY_005040-T1	
OG0005940	COZTY_005044-T1	
OG0005941	COZTY_005045-T1	
OG0005942	COZTY_005046-T1	
OG0005943	COZTY_005049-T1	
OG0005944	COZTY_005061-T1	
OG0005945	COZTY_005070-T1	
OG0005946	COZTY_005072-T1	
OG0005947	COZTY_005077-T1	
OG0005948	COZTY_005085-T1	
OG0005949	COZTY_005090-T1	
OG0005950	COZTY_005092-T1	
OG0005951	COZTY_005093-T1	
OG0005952	COZTY_005094-T1	
OG0005953	COZTY_005099-T1	
OG0005954	COZTY_005104-T1	
OG0005955	COZTY_005106-T1	
OG0005956	COZTY_005114-T1	
OG0005957	COZTY_005115-T1	
OG0005958	COZTY_005116-T1	
OG0005959	COZTY_005133-T1	
OG0005960	COZTY_005136-T1	
OG0005961	COZTY_005142-T1	
OG0005962	COZTY_005145-T1	
OG0005963	COZTY_005148-T1	
OG0005964	COZTY_005154-T1	
OG0005965	COZTY_005155-T1	
OG0005966	COZTY_005157-T1	
OG0005967	COZTY_005159-T1	
OG0005968	COZTY_005172-T1	
OG0005969	COZTY_005193-T1	
OG0005970	COZTY_005194-T1	
OG0005971	COZTY_005199-T1	
OG0005972	COZTY_005200-T1	
OG0005973	COZTY_005201-T1	
OG0005974	COZTY_005205-T1	
OG0005975	COZTY_005210-T1	
OG0005976	COZTY_005218-T1	
OG0005977	COZTY_005223-T1	
OG0005978	COZTY_005224-T1	
OG0005979	COZTY_005225-T1	
OG0005980	COZTY_005234-T1	
OG0005981	COZTY_005235-T1	
OG0005982	COZTY_005239-T1	
OG0005983	COZTY_005241-T1	
OG0005984	COZTY_005254-T1	
OG0005985	COZTY_005257-T1	
OG0005986	COZTY_005263-T1	
OG0005987	COZTY_005267-T1	
OG0005988	COZTY_005268-T1	
OG0005989	COZTY_005272-T1	
OG0005990	COZTY_005274-T1	
OG0005991	COZTY_005279-T1	
OG0005992	COZTY_005280-T1	
OG0005993	COZTY_005282-T1	
OG0005994	COZTY_005298-T1	
OG0005995	COZTY_005301-T1	
OG0005996	COZTY_005305-T1	
OG0005997	COZTY_005306-T1	
OG0005998	COZTY_005314-T1	
OG0005999	COZTY_005316-T1	
OG0006000	COZTY_005319-T1	
OG0006001	COZTY_005325-T1	
OG0006002	COZTY_005327-T1	
OG0006003	COZTY_005333-T1	
OG0006004	COZTY_005334-T1	
OG0006005	COZTY_005338-T1	
OG0006006	COZTY_005344-T1	
OG0006007	COZTY_005350-T1	
OG0006008	COZTY_005351-T1	
OG0006009	COZTY_005355-T1	
OG0006010	COZTY_005356-T1	
OG0006011	COZTY_005358-T1	
OG0006012	COZTY_005367-T1	
OG0006013	COZTY_005373-T1	
OG0006014	COZTY_005376-T1	
OG0006015	COZTY_005377-T1	
OG0006016	COZTY_005386-T1	
OG0006017	COZTY_005389-T1	
OG0006018	COZTY_005391-T1	
OG0006019	COZTY_005393-T1	
OG0006020	COZTY_005394-T1	
OG0006021	COZTY_005401-T1	
OG0006022	COZTY_005408-T1	
OG0006023	COZTY_005417-T1	
OG0006024	COZTY_005423-T1	
OG0006025	COZTY_005424-T1	
OG0006026	COZTY_005425-T1	
OG0006027	COZTY_005428-T1	
OG0006028	COZTY_005435-T1	
OG0006029	COZTY_005438-T1	
OG0006030	COZTY_005439-T1	
OG0006031	COZTY_005440-T1	
OG0006032	COZTY_005444-T1	
OG0006033	COZTY_005446-T1	
OG0006034	COZTY_005447-T1	
OG0006035	COZTY_005448-T1	
OG0006036	COZTY_005456-T1	
OG0006037	COZTY_005457-T1	
OG0006038	COZTY_005464-T1	
OG0006039	COZTY_005468-T1	
OG0006040	COZTY_005470-T1	
OG0006041	COZTY_005482-T1	
OG0006042	COZTY_005484-T1	
OG0006043	COZTY_005486-T1	
OG0006044	COZTY_005496-T1	
OG0006045	COZTY_005499-T1	
OG0006046	COZTY_005508-T1	
OG0006047	COZTY_005509-T1	
OG0006048	COZTY_005514-T1	
OG0006049	COZTY_005516-T1	
OG0006050	COZTY_005517-T1	
OG0006051	COZTY_005518-T1	
OG0006052	COZTY_005519-T1	
OG0006053	COZTY_005520-T1	
OG0006054	COZTY_005521-T1	
OG0006055	COZTY_005522-T1	
OG0006056	COZTY_005523-T1	
OG0006057	COZTY_005524-T1	
OG0006058	COZTY_005525-T1	
OG0006059	COZTY_005526-T1	
OG0006060	COZTY_005527-T1	
OG0006061	COZTY_005529-T1	
OG0006062	COZTY_005531-T1	
OG0006063	COZTY_005533-T1	
OG0006064	COZTY_005540-T1	
OG0006065	COZTY_005546-T1	
OG0006066	COZTY_005551-T1	
OG0006067	COZTY_005553-T1	
OG0006068	COZTY_005556-T1	
OG0006069	COZTY_005561-T1	
OG0006070	COZTY_005562-T1	
OG0006071	COZTY_005565-T1	
OG0006072	COZTY_005567-T1	
OG0006073	COZTY_005570-T1	
OG0006074	COZTY_005571-T1	
OG0006075	COZTY_005578-T1	
OG0006076	COZTY_005585-T1	
OG0006077	COZTY_005589-T1	
OG0006078	COZTY_005590-T1	
OG0006079	COZTY_005595-T1	
OG0006080	COZTY_005596-T1	
OG0006081	COZTY_005600-T1	
OG0006082	COZTY_005601-T1	
OG0006083	COZTY_005606-T1	
OG0006084	COZTY_005608-T1	
OG0006085	COZTY_005611-T1	
OG0006086	COZTY_005616-T1	
OG0006087	COZTY_005625-T1	
OG0006088	COZTY_005632-T1	
OG0006089	COZTY_005640-T1	
OG0006090	COZTY_005641-T1	
OG0006091	COZTY_005643-T1	
OG0006092	COZTY_005649-T1	
OG0006093	COZTY_005650-T1	
OG0006094	COZTY_005652-T1	
OG0006095	COZTY_005653-T1	
OG0006096	COZTY_005657-T1	
OG0006097	COZTY_005663-T1	
OG0006098	COZTY_005665-T1	
OG0006099	COZTY_005672-T1	
OG0006100	COZTY_005680-T1	
OG0006101	COZTY_005689-T1	
OG0006102	COZTY_005693-T1	
OG0006103	COZTY_005695-T1	
OG0006104	COZTY_005696-T1	
OG0006105	COZTY_005697-T1	
OG0006106	COZTY_005703-T1	
OG0006107	COZTY_005714-T1	
OG0006108	COZTY_005716-T1	
OG0006109	COZTY_005720-T1	
OG0006110	COZTY_005721-T1	
OG0006111	COZTY_005722-T1	
OG0006112	COZTY_005724-T1	
OG0006113	COZTY_005729-T1	
OG0006114	COZTY_005734-T1	
OG0006115	COZTY_005736-T1	
OG0006116	COZTY_005737-T1	
OG0006117	COZTY_005749-T1	
OG0006118	COZTY_005753-T1	
OG0006119	COZTY_005769-T1	
OG0006120	COZTY_005776-T1	
OG0006121	COZTY_005780-T1	
OG0006122	COZTY_005781-T1	
OG0006123	COZTY_005782-T1	
OG0006124	COZTY_005784-T1	
OG0006125	COZTY_005792-T1	
OG0006126	COZTY_005794-T1	
OG0006127	COZTY_005802-T1	
OG0006128	COZTY_005804-T1	
OG0006129	COZTY_005805-T1	
OG0006130	COZTY_005812-T1	
OG0006131	COZTY_005813-T1	
OG0006132	COZTY_005815-T1	
OG0006133	COZTY_005816-T1	
OG0006134	COZTY_005817-T1	
OG0006135	COZTY_005818-T1	
OG0006136	COZTY_005825-T1	
OG0006137	COZTY_005826-T1	
OG0006138	COZTY_005829-T1	
OG0006139	COZTY_005832-T1	
OG0006140	COZTY_005836-T1	
OG0006141	COZTY_005842-T1	
OG0006142	COZTY_005848-T1	
OG0006143	COZTY_005857-T1	
OG0006144	COZTY_005859-T1	
OG0006145	COZTY_005864-T1	
OG0006146	COZTY_005866-T1	
OG0006147	COZTY_005878-T1	
OG0006148	COZTY_005880-T1	
OG0006149	COZTY_005888-T1	
OG0006150	COZTY_005889-T1	
OG0006151	COZTY_005893-T1	
OG0006152	COZTY_005901-T1	
OG0006153	COZTY_005904-T1	
OG0006154	COZTY_005914-T1	
OG0006155	COZTY_005919-T1	
OG0006156	COZTY_005920-T1	
OG0006157	COZTY_005921-T1	
OG0006158	COZTY_005923-T1	
OG0006159	COZTY_005928-T1	
OG0006160	COZTY_005931-T1	
OG0006161	COZTY_005935-T1	
OG0006162	COZTY_005937-T1	
OG0006163	COZTY_005946-T1	
OG0006164	COZTY_005949-T1	
OG0006165	COZTY_005953-T1	
OG0006166	COZTY_005955-T1	
OG0006167	COZTY_005963-T1	
OG0006168	COZTY_005968-T1	
OG0006169	COZTY_005971-T1	
OG0006170	COZTY_005974-T1	
OG0006171	COZTY_005977-T1	
OG0006172	COZTY_005981-T1	
OG0006173	COZTY_005985-T1	
OG0006174	COZTY_005992-T1	
OG0006175	COZTY_005995-T1	
OG0006176	COZTY_006000-T1	
OG0006177	COZTY_006003-T1	
OG0006178	COZTY_006004-T1	
OG0006179	COZTY_006005-T1	
OG0006180	COZTY_006010-T1	
OG0006181	COZTY_006013-T1	
OG0006182	COZTY_006020-T1	
OG0006183	COZTY_006025-T1	
OG0006184	COZTY_006029-T1	
OG0006185	COZTY_006034-T1	
OG0006186	COZTY_006037-T1	
OG0006187	COZTY_006047-T1	
OG0006188	COZTY_006053-T1	
OG0006189	COZTY_006059-T1	
OG0006190	COZTY_006063-T1	
OG0006191	COZTY_006068-T1	
OG0006192	COZTY_006069-T1	
OG0006193	COZTY_006070-T1	
OG0006194	COZTY_006071-T1	
OG0006195	COZTY_006072-T1	
OG0006196	COZTY_006075-T1	
OG0006197	COZTY_006078-T1	
OG0006198	COZTY_006080-T1	
OG0006199	COZTY_006081-T1	
OG0006200	COZTY_006082-T1	
OG0006201	COZTY_006087-T1	
OG0006202	COZTY_006104-T1	
OG0006203	COZTY_006114-T1	
OG0006204	COZTY_006115-T1	
OG0006205	COZTY_006118-T1	
OG0006206	COZTY_006120-T1	
OG0006207	COZTY_006125-T1	
OG0006208	COZTY_006126-T1	
OG0006209	COZTY_006139-T1	
OG0006210	COZTY_006140-T1	
OG0006211	COZTY_006148-T1	
OG0006212	COZTY_006153-T1	
OG0006213	COZTY_006156-T1	
OG0006214	COZTY_006157-T1	
OG0006215	COZTY_006166-T1	
OG0006216	COZTY_006178-T1	
OG0006217	COZTY_006187-T1	
OG0006218	COZTY_006188-T1	
OG0006219	COZTY_006190-T1	
OG0006220	COZTY_006193-T1	
OG0006221	COZTY_006195-T1	
OG0006222	COZTY_006199-T1	
OG0006223	COZTY_006201-T1	
OG0006224	COZTY_006205-T1	
OG0006225	COZTY_006206-T1	
OG0006226	COZTY_006209-T1	
OG0006227	COZTY_006213-T1	
OG0006228	COZTY_006224-T1	
OG0006229	COZTY_006225-T1	
OG0006230	COZTY_006226-T1	
OG0006231	COZTY_006228-T1	
OG0006232	COZTY_006231-T1	
OG0006233	COZTY_006235-T1	
OG0006234	COZTY_006239-T1	
OG0006235	COZTY_006244-T1	
OG0006236	COZTY_006246-T1	
OG0006237	COZTY_006247-T1	
OG0006238	COZTY_006248-T1	
