	Phycomyces_blakesleeanus_Burgeff_NRRL_1465.aa	Phycomyces_blakesleeanus_NRRL_1555.aa
OG0010848	GAWGY_005675-T1	
OG0010849	GAWGY_005693-T1	
OG0010850	GAWGY_005697-T1	
OG0010851	GAWGY_005698-T1	
OG0010852	GAWGY_005701-T1	
OG0010853	GAWGY_005715-T1	
OG0010854	GAWGY_005719-T1	
OG0010855	GAWGY_005726-T1	
OG0010856	GAWGY_005729-T1	
OG0010857	GAWGY_005732-T1	
OG0010858	GAWGY_005741-T1	
OG0010859	GAWGY_005751-T1	
OG0010860	GAWGY_005761-T1	
OG0010861	GAWGY_005762-T1	
OG0010862	GAWGY_005769-T1	
OG0010863	GAWGY_005779-T1	
OG0010864	GAWGY_005782-T1	
OG0010865	GAWGY_005801-T1	
OG0010866	GAWGY_005802-T1	
OG0010867	GAWGY_005813-T1	
OG0010868	GAWGY_005822-T1	
OG0010869	GAWGY_005827-T1	
OG0010870	GAWGY_005829-T1	
OG0010871	GAWGY_005830-T1	
OG0010872	GAWGY_005831-T1	
OG0010873	GAWGY_005838-T1	
OG0010874	GAWGY_005856-T1	
OG0010875	GAWGY_005880-T1	
OG0010876	GAWGY_005885-T1	
OG0010877	GAWGY_005906-T1	
OG0010878	GAWGY_005918-T1	
OG0010879	GAWGY_005928-T1	
OG0010880	GAWGY_005939-T1	
OG0010881	GAWGY_005954-T1	
OG0010882	GAWGY_005961-T1	
OG0010883	GAWGY_005964-T1	
OG0010884	GAWGY_005971-T1	
OG0010885	GAWGY_005981-T1	
OG0010886	GAWGY_005982-T1	
OG0010887	GAWGY_005983-T1	
OG0010888	GAWGY_005992-T1	
OG0010889	GAWGY_006006-T1	
OG0010890	GAWGY_006010-T1	
OG0010891	GAWGY_006020-T1	
OG0010892	GAWGY_006025-T1	
OG0010893	GAWGY_006032-T1	
OG0010894	GAWGY_006033-T1	
OG0010895	GAWGY_006051-T1	
OG0010896	GAWGY_006071-T1	
OG0010897	GAWGY_006075-T1	
OG0010898	GAWGY_006094-T1	
OG0010899	GAWGY_006098-T1	
OG0010900	GAWGY_006100-T1	
OG0010901	GAWGY_006113-T1	
OG0010902	GAWGY_006121-T1	
OG0010903	GAWGY_006141-T1	
OG0010904	GAWGY_006146-T1	
OG0010905	GAWGY_006155-T1	
OG0010906	GAWGY_006173-T1	
OG0010907	GAWGY_006194-T1	
OG0010908	GAWGY_006213-T1	
OG0010909	GAWGY_006238-T1	
OG0010910	GAWGY_006240-T1	
OG0010911	GAWGY_006247-T1	
OG0010912	GAWGY_006261-T1	
OG0010913	GAWGY_006264-T1	
OG0010914	GAWGY_006291-T1	
OG0010915	GAWGY_006300-T1	
OG0010916	GAWGY_006304-T1	
OG0010917	GAWGY_006310-T1	
OG0010918	GAWGY_006336-T1	
OG0010919	GAWGY_006354-T1	
OG0010920	GAWGY_006359-T1	
OG0010921	GAWGY_006387-T1	
OG0010922	GAWGY_006389-T1	
OG0010923	GAWGY_006390-T1	
OG0010924	GAWGY_006406-T1	
OG0010925	GAWGY_006418-T1	
OG0010926	GAWGY_006426-T1	
OG0010927	GAWGY_006436-T1	
OG0010928	GAWGY_006440-T1	
OG0010929	GAWGY_006475-T1	
OG0010930	GAWGY_006500-T1	
OG0010931	GAWGY_006527-T1	
OG0010932	GAWGY_006536-T1	
OG0010933	GAWGY_006538-T1	
OG0010934	GAWGY_006540-T1	
OG0010935	GAWGY_006549-T1	
OG0010936	GAWGY_006551-T1	
OG0010937	GAWGY_006554-T1	
OG0010938	GAWGY_006570-T1	
OG0010939	GAWGY_006573-T1	
OG0010940	GAWGY_006581-T1	
OG0010941	GAWGY_006585-T1	
OG0010942	GAWGY_006588-T1	
OG0010943	GAWGY_006590-T1	
OG0010944	GAWGY_006594-T1	
OG0010945	GAWGY_006595-T1	
OG0010946	GAWGY_006597-T1	
OG0010947	GAWGY_006599-T1	
OG0010948	GAWGY_006601-T1	
OG0010949	GAWGY_006609-T1	
OG0010950	GAWGY_006614-T1	
OG0010951	GAWGY_006620-T1	
OG0010952	GAWGY_006636-T1	
OG0010953	GAWGY_006640-T1	
OG0010954	GAWGY_006644-T1	
OG0010955	GAWGY_006647-T1	
OG0010956	GAWGY_006650-T1	
OG0010957	GAWGY_006656-T1	
OG0010958	GAWGY_006658-T1	
OG0010959	GAWGY_006660-T1	
OG0010960	GAWGY_006661-T1	
OG0010961	GAWGY_006662-T1	
OG0010962	GAWGY_006674-T1	
OG0010963	GAWGY_006718-T1	
OG0010964	GAWGY_006739-T1	
OG0010965	GAWGY_006744-T1	
OG0010966	GAWGY_006746-T1	
OG0010967	GAWGY_006752-T1	
OG0010968	GAWGY_006788-T1	
OG0010969	GAWGY_006793-T1	
OG0010970	GAWGY_006801-T1	
OG0010971	GAWGY_006818-T1	
OG0010972	GAWGY_006842-T1	
OG0010973	GAWGY_006847-T1	
OG0010974	GAWGY_006870-T1	
OG0010975	GAWGY_006872-T1	
OG0010976	GAWGY_006879-T1	
OG0010977	GAWGY_006947-T1	
OG0010978	GAWGY_006950-T1	
OG0010979	GAWGY_006977-T1	
OG0010980	GAWGY_006979-T1	
OG0010981	GAWGY_006981-T1	
OG0010982	GAWGY_006990-T1	
OG0010983	GAWGY_006992-T1	
OG0010984	GAWGY_006995-T1	
OG0010985	GAWGY_006999-T1	
OG0010986	GAWGY_007035-T1	
OG0010987	GAWGY_007062-T1	
OG0010988	GAWGY_007066-T1	
OG0010989	GAWGY_007073-T1	
OG0010990	GAWGY_007075-T1	
OG0010991	GAWGY_007111-T1	
OG0010992	GAWGY_007119-T1	
OG0010993	GAWGY_007122-T1	
OG0010994	GAWGY_007124-T1	
OG0010995	GAWGY_007149-T1	
OG0010996	GAWGY_007153-T1	
OG0010997	GAWGY_007154-T1	
OG0010998	GAWGY_007155-T1	
OG0010999	GAWGY_007163-T1	
OG0011000	GAWGY_007176-T1	
OG0011001	GAWGY_007185-T1	
OG0011002	GAWGY_007194-T1	
OG0011003	GAWGY_007196-T1	
OG0011004	GAWGY_007204-T1	
OG0011005	GAWGY_007219-T1	
OG0011006	GAWGY_007225-T1	
OG0011007	GAWGY_007242-T1	
OG0011008	GAWGY_007246-T1	
OG0011009	GAWGY_007248-T1	
OG0011010	GAWGY_007250-T1	
OG0011011	GAWGY_007253-T1	
OG0011012	GAWGY_007255-T1	
OG0011013	GAWGY_007262-T1	
OG0011014	GAWGY_007273-T1	
OG0011015	GAWGY_007277-T1	
OG0011016	GAWGY_007281-T1	
OG0011017	GAWGY_007300-T1	
OG0011018	GAWGY_007312-T1	
OG0011019	GAWGY_007315-T1	
OG0011020	GAWGY_007324-T1	
OG0011021	GAWGY_007333-T1	
OG0011022	GAWGY_007358-T1	
OG0011023	GAWGY_007367-T1	
OG0011024	GAWGY_007371-T1	
OG0011025	GAWGY_007412-T1	
OG0011026	GAWGY_007413-T1	
OG0011027	GAWGY_007421-T1	
OG0011028	GAWGY_007434-T1	
OG0011029	GAWGY_007436-T1	
OG0011030	GAWGY_007453-T1	
OG0011031	GAWGY_007466-T1	
OG0011032	GAWGY_007472-T1	
OG0011033	GAWGY_007484-T1	
OG0011034	GAWGY_007511-T1	
OG0011035	GAWGY_007523-T1	
OG0011036	GAWGY_007527-T1	
OG0011037	GAWGY_007528-T1	
OG0011038	GAWGY_007562-T1	
OG0011039	GAWGY_007570-T1	
OG0011040	GAWGY_007574-T1	
OG0011041	GAWGY_007599-T1	
OG0011042	GAWGY_007613-T1	
OG0011043	GAWGY_007645-T1	
OG0011044	GAWGY_007646-T1	
OG0011045	GAWGY_007652-T1	
OG0011046	GAWGY_007658-T1	
OG0011047	GAWGY_007668-T1	
OG0011048	GAWGY_007671-T1	
OG0011049	GAWGY_007678-T1	
OG0011050	GAWGY_007705-T1	
OG0011051	GAWGY_007745-T1	
OG0011052	GAWGY_007756-T1	
OG0011053	GAWGY_007781-T1	
OG0011054	GAWGY_007785-T1	
OG0011055	GAWGY_007806-T1	
OG0011056	GAWGY_007810-T1	
OG0011057	GAWGY_007813-T1	
OG0011058	GAWGY_007816-T1	
OG0011059	GAWGY_007823-T1	
OG0011060	GAWGY_007844-T1	
OG0011061	GAWGY_007855-T1	
OG0011062	GAWGY_007857-T1	
OG0011063	GAWGY_007858-T1	
OG0011064	GAWGY_007863-T1	
OG0011065	GAWGY_007875-T1	
OG0011066	GAWGY_007881-T1	
OG0011067	GAWGY_007882-T1	
OG0011068	GAWGY_007899-T1	
OG0011069	GAWGY_007900-T1	
OG0011070	GAWGY_007917-T1	
OG0011071	GAWGY_007921-T1	
OG0011072	GAWGY_007924-T1	
OG0011073	GAWGY_007933-T1	
OG0011074	GAWGY_007939-T1	
OG0011075	GAWGY_007952-T1	
OG0011076	GAWGY_007968-T1	
OG0011077	GAWGY_007993-T1	
OG0011078	GAWGY_008019-T1	
OG0011079	GAWGY_008028-T1	
OG0011080	GAWGY_008036-T1	
OG0011081	GAWGY_008041-T1	
OG0011082	GAWGY_008046-T1	
OG0011083	GAWGY_008060-T1	
OG0011084	GAWGY_008065-T1	
OG0011085	GAWGY_008090-T1	
OG0011086	GAWGY_008098-T1	
OG0011087	GAWGY_008104-T1	
OG0011088	GAWGY_008110-T1	
OG0011089	GAWGY_008111-T1	
OG0011090	GAWGY_008129-T1	
OG0011091	GAWGY_008131-T1	
OG0011092	GAWGY_008142-T1	
OG0011093	GAWGY_008164-T1	
OG0011094	GAWGY_008169-T1	
OG0011095	GAWGY_008182-T1	
OG0011096	GAWGY_008193-T1	
OG0011097	GAWGY_008211-T1	
OG0011098	GAWGY_008221-T1	
OG0011099	GAWGY_008227-T1	
OG0011100	GAWGY_008239-T1	
OG0011101	GAWGY_008244-T1	
OG0011102	GAWGY_008266-T1	
OG0011103	GAWGY_008267-T1	
OG0011104	GAWGY_008285-T1	
OG0011105	GAWGY_008295-T1	
OG0011106	GAWGY_008299-T1	
OG0011107	GAWGY_008307-T1	
OG0011108	GAWGY_008308-T1	
OG0011109	GAWGY_008309-T1	
OG0011110	GAWGY_008329-T1	
OG0011111	GAWGY_008336-T1	
OG0011112	GAWGY_008344-T1	
OG0011113	GAWGY_008356-T1	
OG0011114	GAWGY_008364-T1	
OG0011115	GAWGY_008371-T1	
OG0011116	GAWGY_008372-T1	
OG0011117	GAWGY_008382-T1	
OG0011118	GAWGY_008383-T1	
OG0011119	GAWGY_008389-T1	
OG0011120	GAWGY_008393-T1	
OG0011121	GAWGY_008397-T1	
OG0011122	GAWGY_008407-T1	
OG0011123	GAWGY_008441-T1	
OG0011124	GAWGY_008445-T1	
OG0011125	GAWGY_008457-T1	
OG0011126	GAWGY_008460-T1	
OG0011127	GAWGY_008490-T1	
OG0011128	GAWGY_008503-T1	
OG0011129	GAWGY_008505-T1	
OG0011130	GAWGY_008520-T1	
OG0011131	GAWGY_008521-T1	
OG0011132	GAWGY_008522-T1	
OG0011133	GAWGY_008524-T1	
OG0011134	GAWGY_008569-T1	
OG0011135	GAWGY_008572-T1	
OG0011136	GAWGY_008577-T1	
OG0011137	GAWGY_008594-T1	
OG0011138	GAWGY_008606-T1	
OG0011139	GAWGY_008611-T1	
OG0011140	GAWGY_008617-T1	
OG0011141	GAWGY_008618-T1	
OG0011142	GAWGY_008623-T1	
OG0011143	GAWGY_008625-T1	
OG0011144	GAWGY_008667-T1	
OG0011145	GAWGY_008672-T1	
OG0011146	GAWGY_008677-T1	
OG0011147	GAWGY_008682-T1	
OG0011148	GAWGY_008699-T1	
OG0011149	GAWGY_008704-T1	
OG0011150	GAWGY_008705-T1	
OG0011151	GAWGY_008711-T1	
OG0011152	GAWGY_008717-T1	
OG0011153	GAWGY_008722-T1	
OG0011154	GAWGY_008725-T1	
OG0011155	GAWGY_008745-T1	
OG0011156	GAWGY_008747-T1	
OG0011157	GAWGY_008750-T1	
OG0011158	GAWGY_008785-T1	
OG0011159	GAWGY_008792-T1	
OG0011160	GAWGY_008801-T1	
OG0011161	GAWGY_008814-T1	
OG0011162	GAWGY_008819-T1	
OG0011163	GAWGY_008831-T1	
OG0011164	GAWGY_008833-T1	
OG0011165	GAWGY_008847-T1	
OG0011166	GAWGY_008851-T1	
OG0011167	GAWGY_008853-T1	
OG0011168	GAWGY_008858-T1	
OG0011169	GAWGY_008868-T1	
OG0011170	GAWGY_008878-T1	
OG0011171	GAWGY_008887-T1	
OG0011172	GAWGY_008897-T1	
OG0011173	GAWGY_008905-T1	
OG0011174	GAWGY_008908-T1	
OG0011175	GAWGY_008910-T1	
OG0011176	GAWGY_008911-T1	
OG0011177	GAWGY_008916-T1	
OG0011178	GAWGY_008926-T1	
OG0011179	GAWGY_008935-T1	
OG0011180	GAWGY_008940-T1	
OG0011181	GAWGY_008943-T1	
OG0011182	GAWGY_008951-T1	
OG0011183	GAWGY_008953-T1	
OG0011184	GAWGY_008959-T1	
OG0011185	GAWGY_008961-T1	
OG0011186	GAWGY_008983-T1	
OG0011187	GAWGY_008994-T1	
OG0011188	GAWGY_009035-T1	
OG0011189	GAWGY_009044-T1	
OG0011190	GAWGY_009054-T1	
OG0011191	GAWGY_009055-T1	
OG0011192	GAWGY_009057-T1	
OG0011193	GAWGY_009058-T1	
OG0011194	GAWGY_009089-T1	
OG0011195	GAWGY_009107-T1	
OG0011196	GAWGY_009115-T1	
OG0011197	GAWGY_009135-T1	
OG0011198	GAWGY_009140-T1	
OG0011199	GAWGY_009157-T1	
OG0011200	GAWGY_009161-T1	
OG0011201	GAWGY_009164-T1	
OG0011202	GAWGY_009174-T1	
OG0011203	GAWGY_009182-T1	
OG0011204	GAWGY_009192-T1	
OG0011205	GAWGY_009198-T1	
OG0011206	GAWGY_009206-T1	
OG0011207	GAWGY_009213-T1	
OG0011208	GAWGY_009224-T1	
OG0011209	GAWGY_009230-T1	
OG0011210	GAWGY_009248-T1	
OG0011211	GAWGY_009259-T1	
OG0011212	GAWGY_009287-T1	
OG0011213	GAWGY_009288-T1	
OG0011214	GAWGY_009292-T1	
OG0011215	GAWGY_009295-T1	
OG0011216	GAWGY_009299-T1	
OG0011217	GAWGY_009310-T1	
OG0011218	GAWGY_009311-T1	
OG0011219	GAWGY_009325-T1	
OG0011220	GAWGY_009327-T1	
OG0011221	GAWGY_009332-T1	
OG0011222	GAWGY_009337-T1	
OG0011223	GAWGY_009338-T1	
OG0011224	GAWGY_009344-T1	
OG0011225	GAWGY_009361-T1	
OG0011226	GAWGY_009372-T1	
OG0011227	GAWGY_009381-T1	
OG0011228	GAWGY_009382-T1	
OG0011229	GAWGY_009389-T1	
OG0011230	GAWGY_009395-T1	
OG0011231	GAWGY_009420-T1	
OG0011232	GAWGY_009421-T1	
OG0011233	GAWGY_009422-T1	
OG0011234	GAWGY_009442-T1	
OG0011235	GAWGY_009452-T1	
OG0011236	GAWGY_009459-T1	
OG0011237	GAWGY_009476-T1	
OG0011238	GAWGY_009483-T1	
OG0011239	GAWGY_009484-T1	
OG0011240	GAWGY_009491-T1	
OG0011241	GAWGY_009493-T1	
OG0011242	GAWGY_009515-T1	
OG0011243	GAWGY_009516-T1	
OG0011244	GAWGY_009517-T1	
OG0011245	GAWGY_009522-T1	
OG0011246	GAWGY_009536-T1	
OG0011247	GAWGY_009539-T1	
OG0011248	GAWGY_009545-T1	
OG0011249	GAWGY_009552-T1	
OG0011250	GAWGY_009556-T1	
OG0011251	GAWGY_009582-T1	
OG0011252	GAWGY_009584-T1	
OG0011253	GAWGY_009598-T1	
OG0011254	GAWGY_009603-T1	
OG0011255	GAWGY_009618-T1	
OG0011256	GAWGY_009637-T1	
OG0011257	GAWGY_009641-T1	
OG0011258	GAWGY_009642-T1	
OG0011259	GAWGY_009643-T1	
OG0011260	GAWGY_009645-T1	
OG0011261	GAWGY_009649-T1	
OG0011262	GAWGY_009657-T1	
OG0011263	GAWGY_009660-T1	
OG0011264	GAWGY_009667-T1	
OG0011265	GAWGY_009677-T1	
OG0011266	GAWGY_009678-T1	
OG0011267	GAWGY_009705-T1	
OG0011268	GAWGY_009726-T1	
OG0011269	GAWGY_009732-T1	
OG0011270	GAWGY_009740-T1	
OG0011271	GAWGY_009754-T1	
OG0011272	GAWGY_009759-T1	
OG0011273	GAWGY_009777-T1	
OG0011274	GAWGY_009790-T1	
OG0011275	GAWGY_009799-T1	
OG0011276	GAWGY_009800-T1	
OG0011277	GAWGY_009801-T1	
OG0011278	GAWGY_009806-T1	
OG0011279	GAWGY_009807-T1	
OG0011280	GAWGY_009809-T1	
OG0011281	GAWGY_009827-T1	
OG0011282	GAWGY_009833-T1	
OG0011283	GAWGY_009845-T1	
OG0011284	GAWGY_009871-T1	
OG0011285	GAWGY_009891-T1	
OG0011286	GAWGY_009898-T1	
OG0011287	GAWGY_009907-T1	
OG0011288	GAWGY_009911-T1	
OG0011289	GAWGY_009916-T1	
OG0011290	GAWGY_009917-T1	
OG0011291	GAWGY_009940-T1	
OG0011292	GAWGY_009945-T1	
OG0011293	GAWGY_009946-T1	
OG0011294	GAWGY_009952-T1	
OG0011295	GAWGY_009960-T1	
OG0011296	GAWGY_009970-T1	
OG0011297	GAWGY_009994-T1	
OG0011298	GAWGY_010008-T1	
OG0011299	GAWGY_010011-T1	
OG0011300	GAWGY_010029-T1	
OG0011301	GAWGY_010031-T1	
OG0011302	GAWGY_010034-T1	
OG0011303	GAWGY_010037-T1	
OG0011304	GAWGY_010038-T1	
OG0011305	GAWGY_010041-T1	
OG0011306	GAWGY_010043-T1	
OG0011307	GAWGY_010060-T1	
OG0011308	GAWGY_010078-T1	
OG0011309	GAWGY_010089-T1	
OG0011310	GAWGY_010115-T1	
OG0011311	GAWGY_010135-T1	
OG0011312	GAWGY_010149-T1	
OG0011313	GAWGY_010160-T1	
OG0011314	GAWGY_010165-T1	
OG0011315	GAWGY_010171-T1	
OG0011316	GAWGY_010180-T1	
OG0011317	GAWGY_010197-T1	
OG0011318	GAWGY_010199-T1	
OG0011319	GAWGY_010216-T1	
OG0011320	GAWGY_010226-T1	
OG0011321	GAWGY_010234-T1	
OG0011322	GAWGY_010248-T1	
OG0011323	GAWGY_010251-T1	
OG0011324	GAWGY_010253-T1	
OG0011325	GAWGY_010265-T1	
OG0011326	GAWGY_010272-T1	
OG0011327	GAWGY_010273-T1	
OG0011328	GAWGY_010277-T1	
OG0011329	GAWGY_010279-T1	
OG0011330	GAWGY_010300-T1	
OG0011331	GAWGY_010309-T1	
OG0011332	GAWGY_010317-T1	
OG0011333	GAWGY_010318-T1	
OG0011334	GAWGY_010330-T1	
OG0011335	GAWGY_010352-T1	
OG0011336	GAWGY_010357-T1	
OG0011337	GAWGY_010365-T1	
OG0011338	GAWGY_010368-T1	
OG0011339	GAWGY_010370-T1	
OG0011340	GAWGY_010373-T1	
OG0011341	GAWGY_010384-T1	
OG0011342	GAWGY_010389-T1	
OG0011343	GAWGY_010392-T1	
OG0011344	GAWGY_010395-T1	
OG0011345	GAWGY_010415-T1	
OG0011346	GAWGY_010416-T1	
OG0011347	GAWGY_010421-T1	
OG0011348	GAWGY_010438-T1	
OG0011349	GAWGY_010443-T1	
OG0011350	GAWGY_010455-T1	
OG0011351	GAWGY_010460-T1	
OG0011352	GAWGY_010466-T1	
OG0011353	GAWGY_010474-T1	
OG0011354	GAWGY_010492-T1	
OG0011355	GAWGY_010494-T1	
OG0011356	GAWGY_010498-T1	
OG0011357	GAWGY_010512-T1	
OG0011358	GAWGY_010515-T1	
OG0011359	GAWGY_010521-T1	
OG0011360	GAWGY_010527-T1	
OG0011361	GAWGY_010530-T1	
OG0011362	GAWGY_010534-T1	
OG0011363	GAWGY_010540-T1	
OG0011364	GAWGY_010555-T1	
OG0011365	GAWGY_010562-T1	
OG0011366	GAWGY_010574-T1	
OG0011367	GAWGY_010587-T1	
OG0011368	GAWGY_010594-T1	
OG0011369	GAWGY_010596-T1	
OG0011370	GAWGY_010599-T1	
OG0011371	GAWGY_010607-T1	
OG0011372	GAWGY_010608-T1	
OG0011373	GAWGY_010609-T1	
OG0011374	GAWGY_010610-T1	
OG0011375	GAWGY_010615-T1	
OG0011376	GAWGY_010627-T1	
OG0011377	GAWGY_010657-T1	
OG0011378	GAWGY_010666-T1	
OG0011379	GAWGY_010668-T1	
OG0011380	GAWGY_010686-T1	
OG0011381	GAWGY_010698-T1	
OG0011382	GAWGY_010699-T1	
OG0011383	GAWGY_010703-T1	
OG0011384	GAWGY_010711-T1	
OG0011385	GAWGY_010723-T1	
OG0011386	GAWGY_010736-T1	
OG0011387	GAWGY_010740-T1	
OG0011388	GAWGY_010754-T1	
OG0011389	GAWGY_010767-T1	
OG0011390	GAWGY_010770-T1	
OG0011391	GAWGY_010775-T1	
OG0011392	GAWGY_010779-T1	
OG0011393	GAWGY_010792-T1	
OG0011394	GAWGY_010804-T1	
OG0011395	GAWGY_010808-T1	
OG0011396	GAWGY_010817-T1	
OG0011397	GAWGY_010831-T1	
OG0011398	GAWGY_010837-T1	
OG0011399	GAWGY_010840-T1	
OG0011400	GAWGY_010846-T1	
OG0011401	GAWGY_010856-T1	
OG0011402	GAWGY_010858-T1	
OG0011403	GAWGY_010861-T1	
OG0011404	GAWGY_010889-T1	
OG0011405	GAWGY_010895-T1	
OG0011406	GAWGY_010896-T1	
OG0011407	GAWGY_010904-T1	
OG0011408	GAWGY_010915-T1	
OG0011409	GAWGY_010948-T1	
OG0011410	GAWGY_010950-T1	
OG0011411	GAWGY_010974-T1	
OG0011412	GAWGY_011009-T1	
OG0011413	GAWGY_011011-T1	
OG0011414	GAWGY_011018-T1	
OG0011415	GAWGY_011023-T1	
OG0011416	GAWGY_011024-T1	
OG0011417	GAWGY_011029-T1	
OG0011418	GAWGY_011062-T1	
OG0011419	GAWGY_011076-T1	
OG0011420	GAWGY_011079-T1	
OG0011421	GAWGY_011102-T1	
OG0011422	GAWGY_011103-T1	
OG0011423	GAWGY_011106-T1	
OG0011424	GAWGY_011107-T1	
OG0011425	GAWGY_011118-T1	
OG0011426	GAWGY_011126-T1	
OG0011427	GAWGY_011138-T1	
OG0011428	GAWGY_011146-T1	
OG0011429	GAWGY_011152-T1	
OG0011430	GAWGY_011154-T1	
OG0011431	GAWGY_011157-T1	
OG0011432	GAWGY_011177-T1	
OG0011433	GAWGY_011185-T1	
OG0011434	GAWGY_011203-T1	
OG0011435	GAWGY_011225-T1	
OG0011436	GAWGY_011234-T1	
OG0011437	GAWGY_011247-T1	
OG0011438	GAWGY_011249-T1	
OG0011439	GAWGY_011252-T1	
OG0011440	GAWGY_011255-T1	
OG0011441	GAWGY_011259-T1	
OG0011442	GAWGY_011266-T1	
OG0011443	GAWGY_011273-T1	
OG0011444	GAWGY_011284-T1	
OG0011445	GAWGY_011294-T1	
OG0011446	GAWGY_011315-T1	
OG0011447	GAWGY_011337-T1	
OG0011448	GAWGY_011345-T1	
OG0011449	GAWGY_011365-T1	
OG0011450	GAWGY_011367-T1	
OG0011451	GAWGY_011368-T1	
OG0011452	GAWGY_011375-T1	
OG0011453	GAWGY_011384-T1	
OG0011454	GAWGY_011386-T1	
OG0011455	GAWGY_011410-T1	
OG0011456	GAWGY_011418-T1	
OG0011457	GAWGY_011419-T1	
OG0011458	GAWGY_011423-T1	
OG0011459	GAWGY_011446-T1	
OG0011460	GAWGY_011449-T1	
OG0011461	GAWGY_011454-T1	
OG0011462	GAWGY_011501-T1	
OG0011463	GAWGY_011503-T1	
OG0011464	GAWGY_011512-T1	
OG0011465	GAWGY_011521-T1	
OG0011466	GAWGY_011523-T1	
OG0011467	GAWGY_011545-T1	
OG0011468	GAWGY_011569-T1	
OG0011469	GAWGY_011577-T1	
OG0011470	GAWGY_011578-T1	
OG0011471	GAWGY_011603-T1	
OG0011472	GAWGY_011606-T1	
OG0011473	GAWGY_011611-T1	
OG0011474	GAWGY_011626-T1	
OG0011475	GAWGY_011632-T1	
OG0011476	GAWGY_011637-T1	
OG0011477	GAWGY_011638-T1	
OG0011478	GAWGY_011653-T1	
OG0011479	GAWGY_011664-T1	
OG0011480	GAWGY_011669-T1	
OG0011481	GAWGY_011671-T1	
OG0011482	GAWGY_011683-T1	
OG0011483	GAWGY_011697-T1	
OG0011484	GAWGY_011703-T1	
OG0011485	GAWGY_011707-T1	
OG0011486	GAWGY_011711-T1	
OG0011487	GAWGY_011729-T1	
OG0011488	GAWGY_011742-T1	
OG0011489	GAWGY_011754-T1	
OG0011490	GAWGY_011757-T1	
OG0011491	GAWGY_011765-T1	
OG0011492	GAWGY_011774-T1	
OG0011493	GAWGY_011791-T1	
OG0011494	GAWGY_011793-T1	
OG0011495	GAWGY_011800-T1	
OG0011496	GAWGY_011807-T1	
OG0011497	GAWGY_011821-T1	
OG0011498	GAWGY_011822-T1	
OG0011499	GAWGY_011830-T1	
OG0011500	GAWGY_011843-T1	
OG0011501	GAWGY_011852-T1	
OG0011502	GAWGY_011872-T1	
OG0011503	GAWGY_011878-T1	
OG0011504	GAWGY_011890-T1	
OG0011505	GAWGY_011892-T1	
OG0011506	GAWGY_011913-T1	
OG0011507	GAWGY_011914-T1	
OG0011508	GAWGY_011920-T1	
OG0011509	GAWGY_011943-T1	
OG0011510	GAWGY_011967-T1	
OG0011511	GAWGY_011972-T1	
OG0011512	GAWGY_011974-T1	
OG0011513	GAWGY_011975-T1	
OG0011514	GAWGY_011984-T1	
OG0011515	GAWGY_012006-T1	
OG0011516	GAWGY_012011-T1	
OG0011517	GAWGY_012014-T1	
OG0011518	GAWGY_012029-T1	
OG0011519	GAWGY_012037-T1	
OG0011520	GAWGY_012041-T1	
OG0011521	GAWGY_012044-T1	
OG0011522	GAWGY_012059-T1	
OG0011523	GAWGY_012060-T1	
OG0011524	GAWGY_012061-T1	
OG0011525	GAWGY_012088-T1	
OG0011526	GAWGY_012113-T1	
OG0011527	GAWGY_012119-T1	
OG0011528	GAWGY_012137-T1	
OG0011529	GAWGY_012138-T1	
OG0011530	GAWGY_012174-T1	
OG0011531	GAWGY_012175-T1	
OG0011532	GAWGY_012181-T1	
OG0011533	GAWGY_012184-T1	
OG0011534	GAWGY_012191-T1	
OG0011535	GAWGY_012224-T1	
OG0011536	GAWGY_012230-T1	
OG0011537	GAWGY_012261-T1	
OG0011538	GAWGY_012288-T1	
OG0011539	GAWGY_012304-T1	
OG0011540	GAWGY_012310-T1	
OG0011541	GAWGY_012321-T1	
OG0011542	GAWGY_012341-T1	
OG0011543	GAWGY_012373-T1	
OG0011544	GAWGY_012378-T1	
OG0011545	GAWGY_012379-T1	
OG0011546	GAWGY_012381-T1	
OG0011547	GAWGY_012391-T1	
OG0011548	GAWGY_012404-T1	
OG0011549	GAWGY_012417-T1	
OG0011550	GAWGY_012418-T1	
OG0011551	GAWGY_012439-T1	
OG0011552	GAWGY_012468-T1	
OG0011553	GAWGY_012482-T1	
OG0011554	GAWGY_012495-T1	
OG0011555	GAWGY_012524-T1	
OG0011556	GAWGY_012532-T1	
OG0011557	GAWGY_012534-T1	
OG0011558	GAWGY_012540-T1	
OG0011559	GAWGY_012541-T1	
OG0011560	GAWGY_012544-T1	
OG0011561	GAWGY_012545-T1	
OG0011562	GAWGY_012547-T1	
OG0011563	GAWGY_012548-T1	
OG0011564	GAWGY_012554-T1	
OG0011565	GAWGY_012559-T1	
OG0011566	GAWGY_012565-T1	
OG0011567	GAWGY_012568-T1	
OG0011568	GAWGY_012585-T1	
OG0011569	GAWGY_012597-T1	
OG0011570	GAWGY_012618-T1	
OG0011571	GAWGY_012620-T1	
OG0011572	GAWGY_012630-T1	
OG0011573	GAWGY_012636-T1	
OG0011574	GAWGY_012653-T1	
OG0011575	GAWGY_012659-T1	
OG0011576	GAWGY_012670-T1	
OG0011577	GAWGY_012684-T1	
OG0011578	GAWGY_012698-T1	
OG0011579	GAWGY_012705-T1	
OG0011580	GAWGY_012710-T1	
