	Absidia_caerulea_RSA_138-.aa	Absidia_caerulea_RSA_138_Plus.aa
OG0010117	GBNUX_011260-T1	
OG0010118	GBNUX_011284-T1	
OG0010119	GBNUX_011295-T1	
OG0010120	GBNUX_011298-T1	
OG0010121	GBNUX_011300-T1	
OG0010122	GBNUX_011365-T1	
OG0010123	GBNUX_011374-T1	
OG0010124	GBNUX_011376-T1	
OG0010125	GBNUX_011380-T1	
OG0010126	GBNUX_011392-T1	
OG0010127	GBNUX_011425-T1	
OG0010128	GBNUX_011426-T1	
OG0010129	GBNUX_011438-T1	
OG0010130	GBNUX_011441-T1	
OG0010131	GBNUX_011444-T1	
OG0010132	GBNUX_011476-T1	
OG0010133	GBNUX_011478-T1	
OG0010134	GBNUX_011524-T1	
OG0010135	GBNUX_011532-T1	
OG0010136	GBNUX_011534-T1	
OG0010137	GBNUX_011558-T1	
OG0010138	GBNUX_011563-T1	
OG0010139	GBNUX_011565-T1	
OG0010140	GBNUX_011568-T1	
OG0010141	GBNUX_011576-T1	
OG0010142	GBNUX_011579-T1	
OG0010143	GBNUX_011605-T1	
OG0010144	GBNUX_011617-T1	
OG0010145	GBNUX_011620-T1	
OG0010146	GBNUX_011627-T1	
OG0010147	GBNUX_011634-T1	
OG0010148	GBNUX_011647-T1	
OG0010149	GBNUX_011669-T1	
OG0010150	GBNUX_011674-T1	
OG0010151	GBNUX_011679-T1	
OG0010152	GBNUX_011699-T1	
OG0010153	GBNUX_011711-T1	
OG0010154	GBNUX_011769-T1	
OG0010155	GBNUX_011770-T1	
OG0010156	GBNUX_011771-T1	
OG0010157	GBNUX_011773-T1	
OG0010158	GBNUX_011807-T1	
OG0010159	GBNUX_011808-T1	
OG0010160	GBNUX_011847-T1	
OG0010161	GBNUX_011848-T1	
OG0010162	GBNUX_011852-T1	
OG0010163	GBNUX_011859-T1	
OG0010164	GBNUX_011861-T1	
OG0010165	GBNUX_011878-T1	
OG0010166	GBNUX_011912-T1	
OG0010167	GBNUX_011914-T1	
OG0010168	GBNUX_011924-T1	
OG0010169	GBNUX_011954-T1	
OG0010170	GBNUX_012037-T1	
OG0010171	GBNUX_012057-T1	
OG0010172	GBNUX_012096-T1	
OG0010173	GBNUX_012097-T1	
OG0010174	GBNUX_012106-T1	
OG0010175	GBNUX_012116-T1	
OG0010176	GBNUX_012138-T1	
OG0010177	GBNUX_012161-T1	
OG0010178	GBNUX_012203-T1	
OG0010179	GBNUX_012209-T1	
OG0010180	GBNUX_012241-T1	
OG0010181	GBNUX_012282-T1	
OG0010182	GBNUX_012297-T1	
OG0010183	GBNUX_012299-T1	
OG0010184	GBNUX_012308-T1	
OG0010185	GBNUX_012314-T1	
OG0010186	GBNUX_012375-T1	
OG0010187	GBNUX_012380-T1	
OG0010188	GBNUX_012382-T1	
OG0010189	GBNUX_012401-T1	
OG0010190	GBNUX_012407-T1	
OG0010191	GBNUX_012442-T1	
OG0010192	GBNUX_012452-T1	
OG0010193	GBNUX_012453-T1	
OG0010194	GBNUX_012468-T1	
OG0010195	GBNUX_012470-T1	
OG0010196	GBNUX_012491-T1	
OG0010197	GBNUX_012493-T1	
OG0010198	GBNUX_012494-T1	
OG0010199	GBNUX_012495-T1	
OG0010200	GBNUX_012518-T1	
OG0010201	GBNUX_012528-T1	
OG0010202	GBNUX_012564-T1	
OG0010203	GBNUX_012573-T1	
OG0010204	GBNUX_012585-T1	
OG0010205	GBNUX_012588-T1	
OG0010206	GBNUX_012603-T1	
OG0010207	GBNUX_012618-T1	
OG0010208	GBNUX_012629-T1	
OG0010209	GBNUX_012630-T1	
OG0010210	GBNUX_012633-T1	
OG0010211		GBNUY_000034-T1
OG0010212		GBNUY_000097-T1
OG0010213		GBNUY_000104-T1
OG0010214		GBNUY_000108-T1
OG0010215		GBNUY_000186-T1
OG0010216		GBNUY_000188-T1
OG0010217		GBNUY_000215-T1
OG0010218		GBNUY_000253-T1
OG0010219		GBNUY_000260-T1
OG0010220		GBNUY_000271-T1
OG0010221		GBNUY_000273-T1
OG0010222		GBNUY_000316-T1
OG0010223		GBNUY_000330-T1
OG0010224		GBNUY_000381-T1
OG0010225		GBNUY_000393-T1
OG0010226		GBNUY_000436-T1
OG0010227		GBNUY_000461-T1
OG0010228		GBNUY_000465-T1
OG0010229		GBNUY_000492-T1
OG0010230		GBNUY_000493-T1
OG0010231		GBNUY_000496-T1
OG0010232		GBNUY_000500-T1
OG0010233		GBNUY_000510-T1
OG0010234		GBNUY_000515-T1
OG0010235		GBNUY_000519-T1
OG0010236		GBNUY_000525-T1
OG0010237		GBNUY_000526-T1
OG0010238		GBNUY_000568-T1
OG0010239		GBNUY_000586-T1
OG0010240		GBNUY_000605-T1
OG0010241		GBNUY_000623-T1
OG0010242		GBNUY_000637-T1
OG0010243		GBNUY_000649-T1
OG0010244		GBNUY_000650-T1
OG0010245		GBNUY_000657-T1
OG0010246		GBNUY_000665-T1
OG0010247		GBNUY_000672-T1
OG0010248		GBNUY_000673-T1
OG0010249		GBNUY_000745-T1
OG0010250		GBNUY_000758-T1
OG0010251		GBNUY_000764-T1
OG0010252		GBNUY_000766-T1
OG0010253		GBNUY_000770-T1
OG0010254		GBNUY_000804-T1
OG0010255		GBNUY_000822-T1
OG0010256		GBNUY_000828-T1
OG0010257		GBNUY_000853-T1
OG0010258		GBNUY_000857-T1
OG0010259		GBNUY_000886-T1
OG0010260		GBNUY_000915-T1
OG0010261		GBNUY_000922-T1
OG0010262		GBNUY_000924-T1
OG0010263		GBNUY_000931-T1
OG0010264		GBNUY_000932-T1
OG0010265		GBNUY_000933-T1
OG0010266		GBNUY_000936-T1
OG0010267		GBNUY_000938-T1
OG0010268		GBNUY_000939-T1
OG0010269		GBNUY_000951-T1
OG0010270		GBNUY_000963-T1
OG0010271		GBNUY_000964-T1
OG0010272		GBNUY_000976-T1
OG0010273		GBNUY_000990-T1
OG0010274		GBNUY_000999-T1
OG0010275		GBNUY_001018-T1
OG0010276		GBNUY_001025-T1
OG0010277		GBNUY_001031-T1
OG0010278		GBNUY_001036-T1
OG0010279		GBNUY_001041-T1
OG0010280		GBNUY_001058-T1
OG0010281		GBNUY_001069-T1
OG0010282		GBNUY_001079-T1
OG0010283		GBNUY_001080-T1
OG0010284		GBNUY_001083-T1
OG0010285		GBNUY_001120-T1
OG0010286		GBNUY_001133-T1
OG0010287		GBNUY_001157-T1
OG0010288		GBNUY_001178-T1
OG0010289		GBNUY_001195-T1
OG0010290		GBNUY_001231-T1
OG0010291		GBNUY_001233-T1
OG0010292		GBNUY_001234-T1
OG0010293		GBNUY_001235-T1
OG0010294		GBNUY_001261-T1
OG0010295		GBNUY_001279-T1
OG0010296		GBNUY_001312-T1
OG0010297		GBNUY_001321-T1
OG0010298		GBNUY_001325-T1
OG0010299		GBNUY_001343-T1
OG0010300		GBNUY_001350-T1
OG0010301		GBNUY_001391-T1
OG0010302		GBNUY_001393-T1
OG0010303		GBNUY_001434-T1
OG0010304		GBNUY_001440-T1
OG0010305		GBNUY_001460-T1
OG0010306		GBNUY_001465-T1
OG0010307		GBNUY_001467-T1
OG0010308		GBNUY_001468-T1
OG0010309		GBNUY_001484-T1
OG0010310		GBNUY_001485-T1
OG0010311		GBNUY_001494-T1
OG0010312		GBNUY_001501-T1
OG0010313		GBNUY_001508-T1
OG0010314		GBNUY_001515-T1
OG0010315		GBNUY_001527-T1
OG0010316		GBNUY_001530-T1
OG0010317		GBNUY_001535-T1
OG0010318		GBNUY_001559-T1
OG0010319		GBNUY_001560-T1
OG0010320		GBNUY_001566-T1
OG0010321		GBNUY_001596-T1
OG0010322		GBNUY_001597-T1
OG0010323		GBNUY_001600-T1
OG0010324		GBNUY_001603-T1
OG0010325		GBNUY_001612-T1
OG0010326		GBNUY_001613-T1
OG0010327		GBNUY_001614-T1
OG0010328		GBNUY_001625-T1
OG0010329		GBNUY_001639-T1
OG0010330		GBNUY_001640-T1
OG0010331		GBNUY_001641-T1
OG0010332		GBNUY_001642-T1
OG0010333		GBNUY_001689-T1
OG0010334		GBNUY_001690-T1
OG0010335		GBNUY_001744-T1
OG0010336		GBNUY_001745-T1
OG0010337		GBNUY_001752-T1
OG0010338		GBNUY_001753-T1
OG0010339		GBNUY_001775-T1
OG0010340		GBNUY_001781-T1
OG0010341		GBNUY_001782-T1
OG0010342		GBNUY_001794-T1
OG0010343		GBNUY_001795-T1
OG0010344		GBNUY_001798-T1
OG0010345		GBNUY_001804-T1
OG0010346		GBNUY_001806-T1
OG0010347		GBNUY_001808-T1
OG0010348		GBNUY_001826-T1
OG0010349		GBNUY_001831-T1
OG0010350		GBNUY_001835-T1
OG0010351		GBNUY_001840-T1
OG0010352		GBNUY_001841-T1
OG0010353		GBNUY_001842-T1
OG0010354		GBNUY_001870-T1
OG0010355		GBNUY_001885-T1
OG0010356		GBNUY_001889-T1
OG0010357		GBNUY_001898-T1
OG0010358		GBNUY_001902-T1
OG0010359		GBNUY_001921-T1
OG0010360		GBNUY_001922-T1
OG0010361		GBNUY_001923-T1
OG0010362		GBNUY_001929-T1
OG0010363		GBNUY_001949-T1
OG0010364		GBNUY_001952-T1
OG0010365		GBNUY_001953-T1
OG0010366		GBNUY_001954-T1
OG0010367		GBNUY_001955-T1
OG0010368		GBNUY_001961-T1
OG0010369		GBNUY_001968-T1
OG0010370		GBNUY_001970-T1
OG0010371		GBNUY_001971-T1
OG0010372		GBNUY_001976-T1
OG0010373		GBNUY_001993-T1
OG0010374		GBNUY_001994-T1
OG0010375		GBNUY_001995-T1
OG0010376		GBNUY_002001-T1
OG0010377		GBNUY_002015-T1
OG0010378		GBNUY_002017-T1
OG0010379		GBNUY_002020-T1
OG0010380		GBNUY_002023-T1
OG0010381		GBNUY_002026-T1
OG0010382		GBNUY_002031-T1
OG0010383		GBNUY_002035-T1
OG0010384		GBNUY_002048-T1
OG0010385		GBNUY_002053-T1
OG0010386		GBNUY_002056-T1
OG0010387		GBNUY_002062-T1
OG0010388		GBNUY_002068-T1
OG0010389		GBNUY_002069-T1
OG0010390		GBNUY_002109-T1
OG0010391		GBNUY_002110-T1
OG0010392		GBNUY_002112-T1
OG0010393		GBNUY_002141-T1
OG0010394		GBNUY_002146-T1
OG0010395		GBNUY_002147-T1
OG0010396		GBNUY_002148-T1
OG0010397		GBNUY_002169-T1
OG0010398		GBNUY_002172-T1
OG0010399		GBNUY_002174-T1
OG0010400		GBNUY_002175-T1
OG0010401		GBNUY_002176-T1
OG0010402		GBNUY_002178-T1
OG0010403		GBNUY_002194-T1
OG0010404		GBNUY_002197-T1
OG0010405		GBNUY_002199-T1
OG0010406		GBNUY_002200-T1
OG0010407		GBNUY_002201-T1
OG0010408		GBNUY_002221-T1
OG0010409		GBNUY_002226-T1
OG0010410		GBNUY_002228-T1
OG0010411		GBNUY_002229-T1
OG0010412		GBNUY_002236-T1
OG0010413		GBNUY_002237-T1
OG0010414		GBNUY_002243-T1
OG0010415		GBNUY_002254-T1
OG0010416		GBNUY_002255-T1
OG0010417		GBNUY_002257-T1
OG0010418		GBNUY_002261-T1
OG0010419		GBNUY_002280-T1
OG0010420		GBNUY_002284-T1
OG0010421		GBNUY_002324-T1
OG0010422		GBNUY_002336-T1
OG0010423		GBNUY_002354-T1
OG0010424		GBNUY_002355-T1
OG0010425		GBNUY_002356-T1
OG0010426		GBNUY_002361-T1
OG0010427		GBNUY_002370-T1
OG0010428		GBNUY_002372-T1
OG0010429		GBNUY_002385-T1
OG0010430		GBNUY_002392-T1
OG0010431		GBNUY_002407-T1
OG0010432		GBNUY_002410-T1
OG0010433		GBNUY_002412-T1
OG0010434		GBNUY_002415-T1
OG0010435		GBNUY_002439-T1
OG0010436		GBNUY_002465-T1
OG0010437		GBNUY_002479-T1
OG0010438		GBNUY_002486-T1
OG0010439		GBNUY_002487-T1
OG0010440		GBNUY_002489-T1
OG0010441		GBNUY_002490-T1
OG0010442		GBNUY_002491-T1
OG0010443		GBNUY_002492-T1
OG0010444		GBNUY_002514-T1
OG0010445		GBNUY_002515-T1
OG0010446		GBNUY_002517-T1
OG0010447		GBNUY_002534-T1
OG0010448		GBNUY_002536-T1
OG0010449		GBNUY_002537-T1
OG0010450		GBNUY_002538-T1
OG0010451		GBNUY_002539-T1
OG0010452		GBNUY_002540-T1
OG0010453		GBNUY_002544-T1
OG0010454		GBNUY_002560-T1
OG0010455		GBNUY_002561-T1
OG0010456		GBNUY_002562-T1
OG0010457		GBNUY_002563-T1
OG0010458		GBNUY_002566-T1
OG0010459		GBNUY_002572-T1
OG0010460		GBNUY_002590-T1
OG0010461		GBNUY_002591-T1
OG0010462		GBNUY_002597-T1
OG0010463		GBNUY_002613-T1
OG0010464		GBNUY_002615-T1
OG0010465		GBNUY_002617-T1
OG0010466		GBNUY_002632-T1
OG0010467		GBNUY_002633-T1
OG0010468		GBNUY_002634-T1
OG0010469		GBNUY_002635-T1
OG0010470		GBNUY_002639-T1
OG0010471		GBNUY_002653-T1
OG0010472		GBNUY_002669-T1
OG0010473		GBNUY_002677-T1
OG0010474		GBNUY_002706-T1
OG0010475		GBNUY_002707-T1
OG0010476		GBNUY_002708-T1
OG0010477		GBNUY_002720-T1
OG0010478		GBNUY_002722-T1
OG0010479		GBNUY_002734-T1
OG0010480		GBNUY_002747-T1
OG0010481		GBNUY_002748-T1
OG0010482		GBNUY_002749-T1
OG0010483		GBNUY_002755-T1
OG0010484		GBNUY_002758-T1
OG0010485		GBNUY_002768-T1
OG0010486		GBNUY_002773-T1
OG0010487		GBNUY_002775-T1
OG0010488		GBNUY_002781-T1
OG0010489		GBNUY_002787-T1
OG0010490		GBNUY_002792-T1
OG0010491		GBNUY_002794-T1
OG0010492		GBNUY_002803-T1
OG0010493		GBNUY_002809-T1
OG0010494		GBNUY_002812-T1
OG0010495		GBNUY_002813-T1
OG0010496		GBNUY_002814-T1
OG0010497		GBNUY_002816-T1
OG0010498		GBNUY_002817-T1
OG0010499		GBNUY_002821-T1
OG0010500		GBNUY_002835-T1
OG0010501		GBNUY_002839-T1
OG0010502		GBNUY_002841-T1
OG0010503		GBNUY_002864-T1
OG0010504		GBNUY_002868-T1
OG0010505		GBNUY_002869-T1
OG0010506		GBNUY_002886-T1
OG0010507		GBNUY_002898-T1
OG0010508		GBNUY_002927-T1
OG0010509		GBNUY_002929-T1
OG0010510		GBNUY_002955-T1
OG0010511		GBNUY_002956-T1
OG0010512		GBNUY_002986-T1
OG0010513		GBNUY_002987-T1
OG0010514		GBNUY_003000-T1
OG0010515		GBNUY_003004-T1
OG0010516		GBNUY_003008-T1
OG0010517		GBNUY_003030-T1
OG0010518		GBNUY_003034-T1
OG0010519		GBNUY_003039-T1
OG0010520		GBNUY_003044-T1
OG0010521		GBNUY_003046-T1
OG0010522		GBNUY_003047-T1
OG0010523		GBNUY_003067-T1
OG0010524		GBNUY_003068-T1
OG0010525		GBNUY_003069-T1
OG0010526		GBNUY_003084-T1
OG0010527		GBNUY_003085-T1
OG0010528		GBNUY_003090-T1
OG0010529		GBNUY_003091-T1
OG0010530		GBNUY_003107-T1
OG0010531		GBNUY_003129-T1
OG0010532		GBNUY_003149-T1
OG0010533		GBNUY_003155-T1
OG0010534		GBNUY_003180-T1
OG0010535		GBNUY_003193-T1
OG0010536		GBNUY_003211-T1
OG0010537		GBNUY_003218-T1
OG0010538		GBNUY_003238-T1
OG0010539		GBNUY_003294-T1
OG0010540		GBNUY_003312-T1
OG0010541		GBNUY_003337-T1
OG0010542		GBNUY_003372-T1
OG0010543		GBNUY_003381-T1
OG0010544		GBNUY_003392-T1
OG0010545		GBNUY_003406-T1
OG0010546		GBNUY_003441-T1
OG0010547		GBNUY_003453-T1
OG0010548		GBNUY_003454-T1
OG0010549		GBNUY_003475-T1
OG0010550		GBNUY_003478-T1
OG0010551		GBNUY_003480-T1
OG0010552		GBNUY_003507-T1
OG0010553		GBNUY_003524-T1
OG0010554		GBNUY_003540-T1
OG0010555		GBNUY_003558-T1
OG0010556		GBNUY_003573-T1
OG0010557		GBNUY_003576-T1
OG0010558		GBNUY_003606-T1
OG0010559		GBNUY_003628-T1
OG0010560		GBNUY_003640-T1
OG0010561		GBNUY_003697-T1
OG0010562		GBNUY_003703-T1
OG0010563		GBNUY_003738-T1
OG0010564		GBNUY_003742-T1
OG0010565		GBNUY_003751-T1
OG0010566		GBNUY_003758-T1
OG0010567		GBNUY_003763-T1
OG0010568		GBNUY_003765-T1
OG0010569		GBNUY_003768-T1
OG0010570		GBNUY_003784-T1
OG0010571		GBNUY_003790-T1
OG0010572		GBNUY_003795-T1
OG0010573		GBNUY_003805-T1
OG0010574		GBNUY_003811-T1
OG0010575		GBNUY_003827-T1
OG0010576		GBNUY_003878-T1
OG0010577		GBNUY_003880-T1
OG0010578		GBNUY_003881-T1
OG0010579		GBNUY_003883-T1
OG0010580		GBNUY_003888-T1
OG0010581		GBNUY_003908-T1
OG0010582		GBNUY_003945-T1
OG0010583		GBNUY_003986-T1
OG0010584		GBNUY_004005-T1
OG0010585		GBNUY_004011-T1
OG0010586		GBNUY_004042-T1
OG0010587		GBNUY_004043-T1
OG0010588		GBNUY_004054-T1
OG0010589		GBNUY_004081-T1
OG0010590		GBNUY_004087-T1
OG0010591		GBNUY_004111-T1
OG0010592		GBNUY_004114-T1
OG0010593		GBNUY_004151-T1
OG0010594		GBNUY_004159-T1
OG0010595		GBNUY_004177-T1
OG0010596		GBNUY_004178-T1
OG0010597		GBNUY_004189-T1
OG0010598		GBNUY_004211-T1
OG0010599		GBNUY_004226-T1
OG0010600		GBNUY_004240-T1
OG0010601		GBNUY_004305-T1
OG0010602		GBNUY_004332-T1
OG0010603		GBNUY_004339-T1
OG0010604		GBNUY_004347-T1
OG0010605		GBNUY_004381-T1
OG0010606		GBNUY_004390-T1
OG0010607		GBNUY_004392-T1
OG0010608		GBNUY_004418-T1
OG0010609		GBNUY_004421-T1
OG0010610		GBNUY_004424-T1
OG0010611		GBNUY_004425-T1
OG0010612		GBNUY_004440-T1
OG0010613		GBNUY_004460-T1
OG0010614		GBNUY_004473-T1
OG0010615		GBNUY_004476-T1
OG0010616		GBNUY_004501-T1
OG0010617		GBNUY_004507-T1
OG0010618		GBNUY_004510-T1
OG0010619		GBNUY_004525-T1
OG0010620		GBNUY_004526-T1
OG0010621		GBNUY_004528-T1
OG0010622		GBNUY_004545-T1
OG0010623		GBNUY_004555-T1
OG0010624		GBNUY_004560-T1
OG0010625		GBNUY_004578-T1
OG0010626		GBNUY_004584-T1
OG0010627		GBNUY_004585-T1
OG0010628		GBNUY_004601-T1
OG0010629		GBNUY_004626-T1
OG0010630		GBNUY_004661-T1
OG0010631		GBNUY_004760-T1
OG0010632		GBNUY_004763-T1
OG0010633		GBNUY_004779-T1
OG0010634		GBNUY_004790-T1
OG0010635		GBNUY_004811-T1
OG0010636		GBNUY_004817-T1
OG0010637		GBNUY_004822-T1
OG0010638		GBNUY_004868-T1
OG0010639		GBNUY_004880-T1
OG0010640		GBNUY_004889-T1
OG0010641		GBNUY_004899-T1
OG0010642		GBNUY_004906-T1
OG0010643		GBNUY_004934-T1
OG0010644		GBNUY_004953-T1
OG0010645		GBNUY_004959-T1
OG0010646		GBNUY_004970-T1
OG0010647		GBNUY_004993-T1
OG0010648		GBNUY_005006-T1
OG0010649		GBNUY_005022-T1
OG0010650		GBNUY_005033-T1
OG0010651		GBNUY_005040-T1
OG0010652		GBNUY_005058-T1
OG0010653		GBNUY_005069-T1
OG0010654		GBNUY_005088-T1
OG0010655		GBNUY_005104-T1
OG0010656		GBNUY_005109-T1
OG0010657		GBNUY_005119-T1
OG0010658		GBNUY_005135-T1
OG0010659		GBNUY_005163-T1
OG0010660		GBNUY_005164-T1
OG0010661		GBNUY_005174-T1
OG0010662		GBNUY_005179-T1
OG0010663		GBNUY_005181-T1
OG0010664		GBNUY_005183-T1
OG0010665		GBNUY_005184-T1
OG0010666		GBNUY_005195-T1
OG0010667		GBNUY_005198-T1
OG0010668		GBNUY_005236-T1
OG0010669		GBNUY_005237-T1
OG0010670		GBNUY_005244-T1
OG0010671		GBNUY_005259-T1
OG0010672		GBNUY_005267-T1
OG0010673		GBNUY_005269-T1
OG0010674		GBNUY_005298-T1
OG0010675		GBNUY_005308-T1
OG0010676		GBNUY_005348-T1
OG0010677		GBNUY_005378-T1
OG0010678		GBNUY_005383-T1
OG0010679		GBNUY_005395-T1
OG0010680		GBNUY_005401-T1
OG0010681		GBNUY_005456-T1
OG0010682		GBNUY_005457-T1
OG0010683		GBNUY_005460-T1
OG0010684		GBNUY_005581-T1
OG0010685		GBNUY_005582-T1
OG0010686		GBNUY_005598-T1
OG0010687		GBNUY_005625-T1
OG0010688		GBNUY_005663-T1
OG0010689		GBNUY_005681-T1
OG0010690		GBNUY_005688-T1
OG0010691		GBNUY_005691-T1
OG0010692		GBNUY_005706-T1
OG0010693		GBNUY_005708-T1
OG0010694		GBNUY_005719-T1
OG0010695		GBNUY_005786-T1
OG0010696		GBNUY_005826-T1
OG0010697		GBNUY_005828-T1
OG0010698		GBNUY_005829-T1
OG0010699		GBNUY_005834-T1
OG0010700		GBNUY_005836-T1
OG0010701		GBNUY_005841-T1
OG0010702		GBNUY_005842-T1
OG0010703		GBNUY_005861-T1
OG0010704		GBNUY_005866-T1
OG0010705		GBNUY_005902-T1
OG0010706		GBNUY_005975-T1
OG0010707		GBNUY_005983-T1
OG0010708		GBNUY_005992-T1
OG0010709		GBNUY_006026-T1
OG0010710		GBNUY_006028-T1
OG0010711		GBNUY_006029-T1
OG0010712		GBNUY_006052-T1
OG0010713		GBNUY_006056-T1
OG0010714		GBNUY_006092-T1
OG0010715		GBNUY_006095-T1
OG0010716		GBNUY_006109-T1
OG0010717		GBNUY_006167-T1
OG0010718		GBNUY_006197-T1
OG0010719		GBNUY_006205-T1
OG0010720		GBNUY_006256-T1
OG0010721		GBNUY_006287-T1
OG0010722		GBNUY_006334-T1
OG0010723		GBNUY_006342-T1
OG0010724		GBNUY_006360-T1
OG0010725		GBNUY_006367-T1
OG0010726		GBNUY_006378-T1
OG0010727		GBNUY_006402-T1
OG0010728		GBNUY_006410-T1
OG0010729		GBNUY_006430-T1
OG0010730		GBNUY_006434-T1
OG0010731		GBNUY_006464-T1
OG0010732		GBNUY_006493-T1
OG0010733		GBNUY_006506-T1
OG0010734		GBNUY_006520-T1
OG0010735		GBNUY_006532-T1
OG0010736		GBNUY_006533-T1
OG0010737		GBNUY_006541-T1
OG0010738		GBNUY_006558-T1
OG0010739		GBNUY_006561-T1
OG0010740		GBNUY_006568-T1
OG0010741		GBNUY_006592-T1
OG0010742		GBNUY_006597-T1
OG0010743		GBNUY_006601-T1
OG0010744		GBNUY_006604-T1
OG0010745		GBNUY_006624-T1
OG0010746		GBNUY_006631-T1
OG0010747		GBNUY_006641-T1
OG0010748		GBNUY_006689-T1
OG0010749		GBNUY_006725-T1
OG0010750		GBNUY_006732-T1
OG0010751		GBNUY_006746-T1
OG0010752		GBNUY_006788-T1
OG0010753		GBNUY_006797-T1
OG0010754		GBNUY_006823-T1
OG0010755		GBNUY_006826-T1
OG0010756		GBNUY_006828-T1
OG0010757		GBNUY_006839-T1
OG0010758		GBNUY_006873-T1
OG0010759		GBNUY_006874-T1
OG0010760		GBNUY_006880-T1
OG0010761		GBNUY_006887-T1
OG0010762		GBNUY_006888-T1
OG0010763		GBNUY_006889-T1
OG0010764		GBNUY_006891-T1
OG0010765		GBNUY_006903-T1
OG0010766		GBNUY_006904-T1
OG0010767		GBNUY_006910-T1
OG0010768		GBNUY_006935-T1
OG0010769		GBNUY_006951-T1
OG0010770		GBNUY_006988-T1
OG0010771		GBNUY_007020-T1
OG0010772		GBNUY_007039-T1
OG0010773		GBNUY_007044-T1
OG0010774		GBNUY_007055-T1
OG0010775		GBNUY_007057-T1
OG0010776		GBNUY_007064-T1
OG0010777		GBNUY_007071-T1
OG0010778		GBNUY_007098-T1
OG0010779		GBNUY_007100-T1
OG0010780		GBNUY_007104-T1
OG0010781		GBNUY_007116-T1
OG0010782		GBNUY_007121-T1
OG0010783		GBNUY_007126-T1
OG0010784		GBNUY_007135-T1
OG0010785		GBNUY_007139-T1
OG0010786		GBNUY_007142-T1
OG0010787		GBNUY_007143-T1
OG0010788		GBNUY_007149-T1
OG0010789		GBNUY_007157-T1
OG0010790		GBNUY_007159-T1
OG0010791		GBNUY_007165-T1
OG0010792		GBNUY_007168-T1
OG0010793		GBNUY_007182-T1
OG0010794		GBNUY_007191-T1
OG0010795		GBNUY_007195-T1
OG0010796		GBNUY_007198-T1
OG0010797		GBNUY_007216-T1
OG0010798		GBNUY_007229-T1
OG0010799		GBNUY_007232-T1
OG0010800		GBNUY_007235-T1
OG0010801		GBNUY_007255-T1
OG0010802		GBNUY_007263-T1
OG0010803		GBNUY_007268-T1
OG0010804		GBNUY_007303-T1
OG0010805		GBNUY_007386-T1
OG0010806		GBNUY_007387-T1
OG0010807		GBNUY_007417-T1
OG0010808		GBNUY_007483-T1
OG0010809		GBNUY_007484-T1
OG0010810		GBNUY_007485-T1
OG0010811		GBNUY_007529-T1
OG0010812		GBNUY_007532-T1
OG0010813		GBNUY_007558-T1
OG0010814		GBNUY_007561-T1
OG0010815		GBNUY_007570-T1
OG0010816		GBNUY_007574-T1
OG0010817		GBNUY_007582-T1
OG0010818		GBNUY_007590-T1
OG0010819		GBNUY_007591-T1
OG0010820		GBNUY_007650-T1
OG0010821		GBNUY_007652-T1
OG0010822		GBNUY_007685-T1
OG0010823		GBNUY_007697-T1
OG0010824		GBNUY_007700-T1
OG0010825		GBNUY_007704-T1
OG0010826		GBNUY_007705-T1
OG0010827		GBNUY_007729-T1
OG0010828		GBNUY_007747-T1
OG0010829		GBNUY_007761-T1
OG0010830		GBNUY_007774-T1
OG0010831		GBNUY_007778-T1
OG0010832		GBNUY_007815-T1
OG0010833		GBNUY_007821-T1
OG0010834		GBNUY_007841-T1
OG0010835		GBNUY_007871-T1
OG0010836		GBNUY_007879-T1
OG0010837		GBNUY_007884-T1
OG0010838		GBNUY_007885-T1
OG0010839		GBNUY_007890-T1
OG0010840		GBNUY_007894-T1
OG0010841		GBNUY_007895-T1
OG0010842		GBNUY_007896-T1
OG0010843		GBNUY_007908-T1
OG0010844		GBNUY_007913-T1
OG0010845		GBNUY_007924-T1
OG0010846		GBNUY_007936-T1
OG0010847		GBNUY_007941-T1
OG0010848		GBNUY_007972-T1
OG0010849		GBNUY_007975-T1
OG0010850		GBNUY_007999-T1
OG0010851		GBNUY_008001-T1
OG0010852		GBNUY_008002-T1
OG0010853		GBNUY_008003-T1
OG0010854		GBNUY_008008-T1
OG0010855		GBNUY_008014-T1
OG0010856		GBNUY_008038-T1
OG0010857		GBNUY_008039-T1
OG0010858		GBNUY_008042-T1
OG0010859		GBNUY_008048-T1
OG0010860		GBNUY_008063-T1
OG0010861		GBNUY_008067-T1
OG0010862		GBNUY_008079-T1
OG0010863		GBNUY_008088-T1
OG0010864		GBNUY_008094-T1
OG0010865		GBNUY_008099-T1
OG0010866		GBNUY_008100-T1
OG0010867		GBNUY_008117-T1
OG0010868		GBNUY_008118-T1
OG0010869		GBNUY_008134-T1
OG0010870		GBNUY_008139-T1
OG0010871		GBNUY_008149-T1
OG0010872		GBNUY_008257-T1
OG0010873		GBNUY_008267-T1
OG0010874		GBNUY_008272-T1
OG0010875		GBNUY_008278-T1
OG0010876		GBNUY_008312-T1
OG0010877		GBNUY_008321-T1
OG0010878		GBNUY_008335-T1
OG0010879		GBNUY_008354-T1
OG0010880		GBNUY_008357-T1
OG0010881		GBNUY_008362-T1
OG0010882		GBNUY_008370-T1
OG0010883		GBNUY_008399-T1
OG0010884		GBNUY_008410-T1
OG0010885		GBNUY_008444-T1
OG0010886		GBNUY_008449-T1
