	Cunninghamella_echinulata_RSA_2017_Plus.aa	Cunninghamella_echinulata_RSA_2018-.aa
OG0001206	GBNWU_000514-T1	GBNWW_007514-T1
OG0001207	GBNWU_000515-T1	GBNWW_007516-T1
OG0001208	GBNWU_000516-T1	GBNWW_007517-T1
OG0001209	GBNWU_000520-T1	GBNWW_007506-T1
OG0001210	GBNWU_000521-T1	GBNWW_007507-T1
OG0001211	GBNWU_000522-T1	GBNWW_007508-T1
OG0001212	GBNWU_000523-T1	GBNWW_007509-T1
OG0001213	GBNWU_000524-T1	GBNWW_007510-T1
OG0001214	GBNWU_000525-T1	GBNWW_003957-T1
OG0001215	GBNWU_000527-T1	GBNWW_000932-T1
OG0001216	GBNWU_000528-T1	GBNWW_000933-T1
OG0001217	GBNWU_000529-T1	GBNWW_000934-T1
OG0001218	GBNWU_000531-T1	GBNWW_000935-T1
OG0001219	GBNWU_000532-T1	GBNWW_000936-T1
OG0001220	GBNWU_000534-T1	GBNWW_000938-T1
OG0001221	GBNWU_000535-T1	GBNWW_000939-T1
OG0001222	GBNWU_000537-T1	GBNWW_000940-T1
OG0001223	GBNWU_000541-T1	GBNWW_003141-T1
OG0001224	GBNWU_000542-T1	GBNWW_003142-T1
OG0001225	GBNWU_000543-T1	GBNWW_003143-T1
OG0001226	GBNWU_000545-T1	GBNWW_003662-T1
OG0001227	GBNWU_000547-T1	GBNWW_008962-T1
OG0001228	GBNWU_000548-T1	GBNWW_008961-T1
OG0001229	GBNWU_000550-T1	GBNWW_008960-T1
OG0001230	GBNWU_000554-T1	GBNWW_008956-T1
OG0001231	GBNWU_000555-T1	GBNWW_008955-T1
OG0001232	GBNWU_000556-T1	GBNWW_008954-T1
OG0001233	GBNWU_000557-T1	GBNWW_004920-T1
OG0001234	GBNWU_000558-T1	GBNWW_004921-T1
OG0001235	GBNWU_000559-T1	GBNWW_004923-T1
OG0001236	GBNWU_000562-T1	GBNWW_007474-T1
OG0001237	GBNWU_000563-T1	GBNWW_007472-T1
OG0001238	GBNWU_000565-T1	GBNWW_007470-T1
OG0001239	GBNWU_000566-T1	GBNWW_009254-T1
OG0001240	GBNWU_000567-T1	GBNWW_009401-T1
OG0001241	GBNWU_000568-T1	GBNWW_009402-T1
OG0001242	GBNWU_000569-T1	GBNWW_009403-T1
OG0001243	GBNWU_000570-T1	GBNWW_009404-T1
OG0001244	GBNWU_000571-T1	GBNWW_009405-T1
OG0001245	GBNWU_000572-T1	GBNWW_009406-T1
OG0001246	GBNWU_000574-T1	GBNWW_009410-T1
OG0001247	GBNWU_000576-T1	GBNWW_009412-T1
OG0001248	GBNWU_000577-T1	GBNWW_009413-T1
OG0001249	GBNWU_000578-T1	GBNWW_006742-T1
OG0001250	GBNWU_000579-T1	GBNWW_006743-T1
OG0001251	GBNWU_000580-T1	GBNWW_006744-T1
OG0001252	GBNWU_000581-T1	GBNWW_006745-T1
OG0001253	GBNWU_000582-T1	GBNWW_006746-T1
OG0001254	GBNWU_000584-T1	GBNWW_009498-T1
OG0001255	GBNWU_000585-T1	GBNWW_009499-T1
OG0001256	GBNWU_000586-T1	GBNWW_009500-T1
OG0001257	GBNWU_000587-T1	GBNWW_009501-T1
OG0001258	GBNWU_000588-T1	GBNWW_009502-T1
OG0001259	GBNWU_000589-T1	GBNWW_009503-T1
OG0001260	GBNWU_000590-T1	GBNWW_009504-T1
OG0001261	GBNWU_000591-T1	GBNWW_009505-T1
OG0001262	GBNWU_000592-T1	GBNWW_009507-T1
OG0001263	GBNWU_000594-T1	GBNWW_009509-T1
OG0001264	GBNWU_000595-T1	GBNWW_009510-T1
OG0001265	GBNWU_000596-T1	GBNWW_009511-T1
OG0001266	GBNWU_000597-T1	GBNWW_009512-T1
OG0001267	GBNWU_000598-T1	GBNWW_009513-T1
OG0001268	GBNWU_000600-T1	GBNWW_005511-T1
OG0001269	GBNWU_000603-T1	GBNWW_009515-T1
OG0001270	GBNWU_000604-T1	GBNWW_009516-T1
OG0001271	GBNWU_000606-T1	GBNWW_009518-T1
OG0001272	GBNWU_000607-T1	GBNWW_009519-T1
OG0001273	GBNWU_000609-T1	GBNWW_008223-T1
OG0001274	GBNWU_000610-T1	GBNWW_008222-T1
OG0001275	GBNWU_000612-T1	GBNWW_003397-T1
OG0001276	GBNWU_000613-T1	GBNWW_004400-T1
OG0001277	GBNWU_000614-T1	GBNWW_004401-T1
OG0001278	GBNWU_000615-T1	GBNWW_004402-T1
OG0001279	GBNWU_000616-T1	GBNWW_004403-T1
OG0001280	GBNWU_000617-T1	GBNWW_004404-T1
OG0001281	GBNWU_000618-T1	GBNWW_004405-T1
OG0001282	GBNWU_000619-T1	GBNWW_004406-T1
OG0001283	GBNWU_000620-T1	GBNWW_004407-T1
OG0001284	GBNWU_000621-T1	GBNWW_004408-T1
OG0001285	GBNWU_000622-T1	GBNWW_004409-T1
OG0001286	GBNWU_000623-T1	GBNWW_004410-T1
OG0001287	GBNWU_000624-T1	GBNWW_004411-T1
OG0001288	GBNWU_000625-T1	GBNWW_004412-T1
OG0001289	GBNWU_000628-T1	GBNWW_004414-T1
OG0001290	GBNWU_000629-T1	GBNWW_004415-T1
OG0001291	GBNWU_000630-T1	GBNWW_004416-T1
OG0001292	GBNWU_000631-T1	GBNWW_004417-T1
OG0001293	GBNWU_000633-T1	GBNWW_004419-T1
OG0001294	GBNWU_000634-T1	GBNWW_002287-T1
OG0001295	GBNWU_000637-T1	GBNWW_004385-T1
OG0001296	GBNWU_000638-T1	GBNWW_004384-T1
OG0001297	GBNWU_000639-T1	GBNWW_004383-T1
OG0001298	GBNWU_000640-T1	GBNWW_004382-T1
OG0001299	GBNWU_000641-T1	GBNWW_004380-T1
OG0001300	GBNWU_000642-T1	GBNWW_004378-T1
OG0001301	GBNWU_000644-T1	GBNWW_004376-T1
OG0001302	GBNWU_000645-T1	GBNWW_004375-T1
OG0001303	GBNWU_000646-T1	GBNWW_004374-T1
OG0001304	GBNWU_000647-T1	GBNWW_004373-T1
OG0001305	GBNWU_000648-T1	GBNWW_004372-T1
OG0001306	GBNWU_000649-T1	GBNWW_004371-T1
OG0001307	GBNWU_000650-T1	GBNWW_003469-T1
OG0001308	GBNWU_000651-T1	GBNWW_003470-T1
OG0001309	GBNWU_000652-T1	GBNWW_003471-T1
OG0001310	GBNWU_000653-T1	GBNWW_003472-T1
OG0001311	GBNWU_000654-T1	GBNWW_003473-T1
OG0001312	GBNWU_000655-T1	GBNWW_008996-T1
OG0001313	GBNWU_000656-T1	GBNWW_008998-T1
OG0001314	GBNWU_000657-T1	GBNWW_008999-T1
OG0001315	GBNWU_000658-T1	GBNWW_009000-T1
OG0001316	GBNWU_000659-T1	GBNWW_009001-T1
OG0001317	GBNWU_000661-T1	GBNWW_009602-T1
OG0001318	GBNWU_000664-T1	GBNWW_009599-T1
OG0001319	GBNWU_000666-T1	GBNWW_009597-T1
OG0001320	GBNWU_000667-T1	GBNWW_009596-T1
OG0001321	GBNWU_000669-T1	GBNWW_008397-T1
OG0001322	GBNWU_000670-T1	GBNWW_008398-T1
OG0001323	GBNWU_000671-T1	GBNWW_006624-T1
OG0001324	GBNWU_000672-T1	GBNWW_006625-T1
OG0001325	GBNWU_000673-T1	GBNWW_006626-T1
OG0001326	GBNWU_000674-T1	GBNWW_006627-T1
OG0001327	GBNWU_000675-T1	GBNWW_006628-T1
OG0001328	GBNWU_000679-T1	GBNWW_006629-T1
OG0001329	GBNWU_000680-T1	GBNWW_006630-T1
OG0001330	GBNWU_000681-T1	GBNWW_006631-T1
OG0001331	GBNWU_000684-T1	GBNWW_006633-T1
OG0001332	GBNWU_000685-T1	GBNWW_008812-T1
OG0001333	GBNWU_000686-T1	GBNWW_008813-T1
OG0001334	GBNWU_000688-T1	GBNWW_005330-T1
OG0001335	GBNWU_000689-T1	GBNWW_005329-T1
OG0001336	GBNWU_000690-T1	GBNWW_005328-T1
OG0001337	GBNWU_000691-T1	GBNWW_002380-T1
OG0001338	GBNWU_000692-T1	GBNWW_002379-T1
OG0001339	GBNWU_000693-T1	GBNWW_002378-T1
OG0001340	GBNWU_000694-T1	GBNWW_002377-T1
OG0001341	GBNWU_000695-T1	GBNWW_002376-T1
OG0001342	GBNWU_000696-T1	GBNWW_002375-T1
OG0001343	GBNWU_000697-T1	GBNWW_002374-T1
OG0001344	GBNWU_000698-T1	GBNWW_002373-T1
OG0001345	GBNWU_000699-T1	GBNWW_002372-T1
OG0001346	GBNWU_000702-T1	GBNWW_004521-T1
OG0001347	GBNWU_000703-T1	GBNWW_004522-T1
OG0001348	GBNWU_000704-T1	GBNWW_004523-T1
OG0001349	GBNWU_000710-T1	GBNWW_004527-T1
OG0001350	GBNWU_000711-T1	GBNWW_004528-T1
OG0001351	GBNWU_000713-T1	GBNWW_004530-T1
OG0001352	GBNWU_000715-T1	GBNWW_006098-T1
OG0001353	GBNWU_000716-T1	GBNWW_001762-T1
OG0001354	GBNWU_000718-T1	GBNWW_001760-T1
OG0001355	GBNWU_000721-T1	GBNWW_001757-T1
OG0001356	GBNWU_000722-T1	GBNWW_001756-T1
OG0001357	GBNWU_000724-T1	GBNWW_001754-T1
OG0001358	GBNWU_000725-T1	GBNWW_001753-T1
OG0001359	GBNWU_000726-T1	GBNWW_001752-T1
OG0001360	GBNWU_000728-T1	GBNWW_001750-T1
OG0001361	GBNWU_000731-T1	GBNWW_001747-T1
OG0001362	GBNWU_000732-T1	GBNWW_007752-T1
OG0001363	GBNWU_000734-T1	GBNWW_007750-T1
OG0001364	GBNWU_000736-T1	GBNWW_002808-T1
OG0001365	GBNWU_000737-T1	GBNWW_002807-T1
OG0001366	GBNWU_000738-T1	GBNWW_002806-T1
OG0001367	GBNWU_000740-T1	GBNWW_002804-T1
OG0001368	GBNWU_000741-T1	GBNWW_002803-T1
OG0001369	GBNWU_000742-T1	GBNWW_002802-T1
OG0001370	GBNWU_000743-T1	GBNWW_002801-T1
OG0001371	GBNWU_000744-T1	GBNWW_002800-T1
OG0001372	GBNWU_000745-T1	GBNWW_002799-T1
OG0001373	GBNWU_000746-T1	GBNWW_002798-T1
OG0001374	GBNWU_000747-T1	GBNWW_002797-T1
OG0001375	GBNWU_000749-T1	GBNWW_008253-T1
OG0001376	GBNWU_000750-T1	GBNWW_008252-T1
OG0001377	GBNWU_000751-T1	GBNWW_008251-T1
OG0001378	GBNWU_000752-T1	GBNWW_008250-T1
OG0001379	GBNWU_000753-T1	GBNWW_005894-T1
OG0001380	GBNWU_000754-T1	GBNWW_005895-T1
OG0001381	GBNWU_000756-T1	GBNWW_005897-T1
OG0001382	GBNWU_000757-T1	GBNWW_003492-T1
OG0001383	GBNWU_000759-T1	GBNWW_003493-T1
OG0001384	GBNWU_000760-T1	GBNWW_003494-T1
OG0001385	GBNWU_000762-T1	GBNWW_003495-T1
OG0001386	GBNWU_000763-T1	GBNWW_003496-T1
OG0001387	GBNWU_000764-T1	GBNWW_003497-T1
OG0001388	GBNWU_000765-T1	GBNWW_003498-T1
OG0001389	GBNWU_000766-T1	GBNWW_003499-T1
OG0001390	GBNWU_000767-T1	GBNWW_003500-T1
OG0001391	GBNWU_000768-T1	GBNWW_003501-T1
OG0001392	GBNWU_000770-T1	GBNWW_003502-T1
OG0001393	GBNWU_000771-T1	GBNWW_004894-T1
OG0001394	GBNWU_000772-T1	GBNWW_004893-T1
OG0001395	GBNWU_000773-T1	GBNWW_004892-T1
OG0001396	GBNWU_000775-T1	GBNWW_004891-T1
OG0001397	GBNWU_000776-T1	GBNWW_004890-T1
OG0001398	GBNWU_000779-T1	GBNWW_004886-T1
OG0001399	GBNWU_000780-T1	GBNWW_004885-T1
OG0001400	GBNWU_000783-T1	GBNWW_000978-T1
OG0001401	GBNWU_000784-T1	GBNWW_000977-T1
OG0001402	GBNWU_000786-T1	GBNWW_000974-T1
OG0001403	GBNWU_000787-T1	GBNWW_000973-T1
OG0001404	GBNWU_000788-T1	GBNWW_000972-T1
OG0001405	GBNWU_000789-T1	GBNWW_000971-T1
OG0001406	GBNWU_000790-T1	GBNWW_000970-T1
OG0001407	GBNWU_000791-T1	GBNWW_000969-T1
OG0001408	GBNWU_000792-T1	GBNWW_000967-T1
OG0001409	GBNWU_000793-T1	GBNWW_000966-T1
OG0001410	GBNWU_000794-T1	GBNWW_000965-T1
OG0001411	GBNWU_000801-T1	GBNWW_003855-T1
OG0001412	GBNWU_000802-T1	GBNWW_003854-T1
OG0001413	GBNWU_000806-T1	GBNWW_004335-T1
OG0001414	GBNWU_000809-T1	GBNWW_004339-T1
OG0001415	GBNWU_000810-T1	GBNWW_004340-T1
OG0001416	GBNWU_000811-T1	GBNWW_004341-T1
OG0001417	GBNWU_000813-T1	GBNWW_004344-T1
OG0001418	GBNWU_000814-T1	GBNWW_007991-T1
OG0001419	GBNWU_000815-T1	GBNWW_007992-T1
OG0001420	GBNWU_000816-T1	GBNWW_007993-T1
OG0001421	GBNWU_000817-T1	GBNWW_007990-T1
OG0001422	GBNWU_000818-T1	GBNWW_008001-T1
OG0001423	GBNWU_000819-T1	GBNWW_008000-T1
OG0001424	GBNWU_000821-T1	GBNWW_007998-T1
OG0001425	GBNWU_000825-T1	GBNWW_003412-T1
OG0001426	GBNWU_000827-T1	GBNWW_003410-T1
OG0001427	GBNWU_000830-T1	GBNWW_003408-T1
OG0001428	GBNWU_000832-T1	GBNWW_003406-T1
OG0001429	GBNWU_000833-T1	GBNWW_003405-T1
OG0001430	GBNWU_000834-T1	GBNWW_003404-T1
OG0001431	GBNWU_000836-T1	GBNWW_003402-T1
OG0001432	GBNWU_000837-T1	GBNWW_003401-T1
OG0001433	GBNWU_000838-T1	GBNWW_003400-T1
OG0001434	GBNWU_000840-T1	GBNWW_003398-T1
OG0001435	GBNWU_000841-T1	GBNWW_008859-T1
OG0001436	GBNWU_000843-T1	GBNWW_004781-T1
OG0001437	GBNWU_000845-T1	GBNWW_004783-T1
OG0001438	GBNWU_000848-T1	GBNWW_004785-T1
OG0001439	GBNWU_000849-T1	GBNWW_004787-T1
OG0001440	GBNWU_000850-T1	GBNWW_004788-T1
OG0001441	GBNWU_000851-T1	GBNWW_004789-T1
OG0001442	GBNWU_000852-T1	GBNWW_000771-T1
OG0001443	GBNWU_000853-T1	GBNWW_000772-T1
OG0001444	GBNWU_000854-T1	GBNWW_000773-T1
OG0001445	GBNWU_000855-T1	GBNWW_000774-T1
OG0001446	GBNWU_000856-T1	GBNWW_008500-T1
OG0001447	GBNWU_000857-T1	GBNWW_008499-T1
OG0001448	GBNWU_000858-T1	GBNWW_008498-T1
OG0001449	GBNWU_000862-T1	GBNWW_005094-T1
OG0001450	GBNWU_000863-T1	GBNWW_005095-T1
OG0001451	GBNWU_000864-T1	GBNWW_005097-T1
OG0001452	GBNWU_000865-T1	GBNWW_000814-T1
OG0001453	GBNWU_000866-T1	GBNWW_000813-T1
OG0001454	GBNWU_000867-T1	GBNWW_000812-T1
OG0001455	GBNWU_000868-T1	GBNWW_000811-T1
OG0001456	GBNWU_000871-T1	GBNWW_002943-T1
OG0001457	GBNWU_000872-T1	GBNWW_002942-T1
OG0001458	GBNWU_000873-T1	GBNWW_002941-T1
OG0001459	GBNWU_000875-T1	GBNWW_002939-T1
OG0001460	GBNWU_000876-T1	GBNWW_002938-T1
OG0001461	GBNWU_000877-T1	GBNWW_002937-T1
OG0001462	GBNWU_000879-T1	GBNWW_002936-T1
OG0001463	GBNWU_000880-T1	GBNWW_002935-T1
OG0001464	GBNWU_000882-T1	GBNWW_002933-T1
OG0001465	GBNWU_000884-T1	GBNWW_009189-T1
OG0001466	GBNWU_000885-T1	GBNWW_008080-T1
OG0001467	GBNWU_000886-T1	GBNWW_008079-T1
OG0001468	GBNWU_000887-T1	GBNWW_003917-T1
OG0001469	GBNWU_000888-T1	GBNWW_003918-T1
OG0001470	GBNWU_000890-T1	GBNWW_008145-T1
OG0001471	GBNWU_000892-T1	GBNWW_008144-T1
OG0001472	GBNWU_000893-T1	GBNWW_008143-T1
OG0001473	GBNWU_000894-T1	GBNWW_008142-T1
OG0001474	GBNWU_000895-T1	GBNWW_007002-T1
OG0001475	GBNWU_000896-T1	GBNWW_007000-T1
OG0001476	GBNWU_000899-T1	GBNWW_006419-T1
OG0001477	GBNWU_000901-T1	GBNWW_006421-T1
OG0001478	GBNWU_000902-T1	GBNWW_006422-T1
OG0001479	GBNWU_000903-T1	GBNWW_006423-T1
OG0001480	GBNWU_000905-T1	GBNWW_008146-T1
OG0001481	GBNWU_000908-T1	GBNWW_001812-T1
OG0001482	GBNWU_000909-T1	GBNWW_001811-T1
OG0001483	GBNWU_000911-T1	GBNWW_001809-T1
OG0001484	GBNWU_000912-T1	GBNWW_001808-T1
OG0001485	GBNWU_000913-T1	GBNWW_001807-T1
OG0001486	GBNWU_000914-T1	GBNWW_001806-T1
OG0001487	GBNWU_000916-T1	GBNWW_006542-T1
OG0001488	GBNWU_000918-T1	GBNWW_006540-T1
OG0001489	GBNWU_000919-T1	GBNWW_006539-T1
OG0001490	GBNWU_000922-T1	GBNWW_006656-T1
OG0001491	GBNWU_000923-T1	GBNWW_006657-T1
OG0001492	GBNWU_000925-T1	GBNWW_006661-T1
OG0001493	GBNWU_000927-T1	GBNWW_006663-T1
OG0001494	GBNWU_000929-T1	GBNWW_000539-T1
OG0001495	GBNWU_000930-T1	GBNWW_000538-T1
OG0001496	GBNWU_000931-T1	GBNWW_000537-T1
OG0001497	GBNWU_000932-T1	GBNWW_000536-T1
OG0001498	GBNWU_000933-T1	GBNWW_000535-T1
OG0001499	GBNWU_000934-T1	GBNWW_000534-T1
OG0001500	GBNWU_000935-T1	GBNWW_000533-T1
OG0001501	GBNWU_000936-T1	GBNWW_000531-T1
OG0001502	GBNWU_000937-T1	GBNWW_000530-T1
OG0001503	GBNWU_000938-T1	GBNWW_000529-T1
OG0001504	GBNWU_000941-T1	GBNWW_000527-T1
OG0001505	GBNWU_000943-T1	GBNWW_000525-T1
OG0001506	GBNWU_000944-T1	GBNWW_000524-T1
OG0001507	GBNWU_000945-T1	GBNWW_000523-T1
OG0001508	GBNWU_000946-T1	GBNWW_000522-T1
OG0001509	GBNWU_000947-T1	GBNWW_000520-T1
OG0001510	GBNWU_000948-T1	GBNWW_000519-T1
OG0001511	GBNWU_000949-T1	GBNWW_000518-T1
OG0001512	GBNWU_000951-T1	GBNWW_006577-T1
OG0001513	GBNWU_000952-T1	GBNWW_006576-T1
OG0001514	GBNWU_000953-T1	GBNWW_002071-T1
OG0001515	GBNWU_000954-T1	GBNWW_002070-T1
OG0001516	GBNWU_000955-T1	GBNWW_002069-T1
OG0001517	GBNWU_000958-T1	GBNWW_002066-T1
OG0001518	GBNWU_000959-T1	GBNWW_002065-T1
OG0001519	GBNWU_000960-T1	GBNWW_002064-T1
OG0001520	GBNWU_000962-T1	GBNWW_002062-T1
OG0001521	GBNWU_000963-T1	GBNWW_002061-T1
OG0001522	GBNWU_000964-T1	GBNWW_002060-T1
OG0001523	GBNWU_000966-T1	GBNWW_002058-T1
OG0001524	GBNWU_000967-T1	GBNWW_002057-T1
OG0001525	GBNWU_000969-T1	GBNWW_000491-T1
OG0001526	GBNWU_000970-T1	GBNWW_000490-T1
OG0001527	GBNWU_000971-T1	GBNWW_000489-T1
OG0001528	GBNWU_000972-T1	GBNWW_000488-T1
OG0001529	GBNWU_000975-T1	GBNWW_000486-T1
OG0001530	GBNWU_000976-T1	GBNWW_000485-T1
OG0001531	GBNWU_000978-T1	GBNWW_000483-T1
OG0001532	GBNWU_000979-T1	GBNWW_000482-T1
OG0001533	GBNWU_000980-T1	GBNWW_000481-T1
OG0001534	GBNWU_000981-T1	GBNWW_000480-T1
OG0001535	GBNWU_000983-T1	GBNWW_000478-T1
OG0001536	GBNWU_000985-T1	GBNWW_000476-T1
OG0001537	GBNWU_000986-T1	GBNWW_000475-T1
OG0001538	GBNWU_000988-T1	GBNWW_000474-T1
OG0001539	GBNWU_000989-T1	GBNWW_000473-T1
OG0001540	GBNWU_000990-T1	GBNWW_000472-T1
OG0001541	GBNWU_000991-T1	GBNWW_000471-T1
OG0001542	GBNWU_000992-T1	GBNWW_000470-T1
OG0001543	GBNWU_000994-T1	GBNWW_000922-T1
OG0001544	GBNWU_000996-T1	GBNWW_000920-T1
OG0001545	GBNWU_000997-T1	GBNWW_000919-T1
OG0001546	GBNWU_000998-T1	GBNWW_000918-T1
OG0001547	GBNWU_000999-T1	GBNWW_000916-T1
OG0001548	GBNWU_001000-T1	GBNWW_000915-T1
OG0001549	GBNWU_001001-T1	GBNWW_000914-T1
OG0001550	GBNWU_001002-T1	GBNWW_000912-T1
OG0001551	GBNWU_001003-T1	GBNWW_000911-T1
OG0001552	GBNWU_001006-T1	GBNWW_000908-T1
OG0001553	GBNWU_001008-T1	GBNWW_000905-T1
OG0001554	GBNWU_001010-T1	GBNWW_000903-T1
OG0001555	GBNWU_001012-T1	GBNWW_000370-T1
OG0001556	GBNWU_001013-T1	GBNWW_000371-T1
OG0001557	GBNWU_001014-T1	GBNWW_000372-T1
OG0001558	GBNWU_001015-T1	GBNWW_000373-T1
OG0001559	GBNWU_001016-T1	GBNWW_000374-T1
OG0001560	GBNWU_001018-T1	GBNWW_000375-T1
OG0001561	GBNWU_001019-T1	GBNWW_000376-T1
OG0001562	GBNWU_001020-T1	GBNWW_000378-T1
OG0001563	GBNWU_001021-T1	GBNWW_000379-T1
OG0001564	GBNWU_001023-T1	GBNWW_000380-T1
OG0001565	GBNWU_001024-T1	GBNWW_000381-T1
OG0001566	GBNWU_001025-T1	GBNWW_000382-T1
OG0001567	GBNWU_001026-T1	GBNWW_000383-T1
OG0001568	GBNWU_001028-T1	GBNWW_000385-T1
OG0001569	GBNWU_001029-T1	GBNWW_000386-T1
OG0001570	GBNWU_001030-T1	GBNWW_000387-T1
OG0001571	GBNWU_001031-T1	GBNWW_000388-T1
OG0001572	GBNWU_001032-T1	GBNWW_000389-T1
OG0001573	GBNWU_001034-T1	GBNWW_000390-T1
OG0001574	GBNWU_001035-T1	GBNWW_000391-T1
OG0001575	GBNWU_001036-T1	GBNWW_000392-T1
OG0001576	GBNWU_001037-T1	GBNWW_000393-T1
OG0001577	GBNWU_001038-T1	GBNWW_000394-T1
OG0001578	GBNWU_001039-T1	GBNWW_000395-T1
OG0001579	GBNWU_001040-T1	GBNWW_005247-T1
OG0001580	GBNWU_001041-T1	GBNWW_005246-T1
OG0001581	GBNWU_001042-T1	GBNWW_005245-T1
OG0001582	GBNWU_001043-T1	GBNWW_005244-T1
OG0001583	GBNWU_001044-T1	GBNWW_005243-T1
OG0001584	GBNWU_001045-T1	GBNWW_005242-T1
OG0001585	GBNWU_001047-T1	GBNWW_005241-T1
OG0001586	GBNWU_001048-T1	GBNWW_005240-T1
OG0001587	GBNWU_001049-T1	GBNWW_005238-T1
OG0001588	GBNWU_001050-T1	GBNWW_005237-T1
OG0001589	GBNWU_001053-T1	GBNWW_009251-T1
OG0001590	GBNWU_001057-T1	GBNWW_003921-T1
OG0001591	GBNWU_001058-T1	GBNWW_003920-T1
OG0001592	GBNWU_001062-T1	GBNWW_005634-T1
OG0001593	GBNWU_001063-T1	GBNWW_005635-T1
OG0001594	GBNWU_001065-T1	GBNWW_005636-T1
OG0001595	GBNWU_001066-T1	GBNWW_005637-T1
OG0001596	GBNWU_001067-T1	GBNWW_005638-T1
OG0001597	GBNWU_001068-T1	GBNWW_005639-T1
OG0001598	GBNWU_001069-T1	GBNWW_005641-T1
OG0001599	GBNWU_001070-T1	GBNWW_009527-T1
OG0001600	GBNWU_001071-T1	GBNWW_009528-T1
OG0001601	GBNWU_001072-T1	GBNWW_009529-T1
OG0001602	GBNWU_001073-T1	GBNWW_009530-T1
OG0001603	GBNWU_001074-T1	GBNWW_009531-T1
OG0001604	GBNWU_001075-T1	GBNWW_009532-T1
OG0001605	GBNWU_001076-T1	GBNWW_009533-T1
OG0001606	GBNWU_001077-T1	GBNWW_000010-T1
OG0001607	GBNWU_001078-T1	GBNWW_000011-T1
OG0001608	GBNWU_001079-T1	GBNWW_000012-T1
OG0001609	GBNWU_001080-T1	GBNWW_000013-T1
OG0001610	GBNWU_001081-T1	GBNWW_000014-T1
OG0001611	GBNWU_001084-T1	GBNWW_000016-T1
OG0001612	GBNWU_001086-T1	GBNWW_000017-T1
OG0001613	GBNWU_001087-T1	GBNWW_000018-T1
OG0001614	GBNWU_001090-T1	GBNWW_000021-T1
OG0001615	GBNWU_001092-T1	GBNWW_000023-T1
OG0001616	GBNWU_001093-T1	GBNWW_000024-T1
OG0001617	GBNWU_001094-T1	GBNWW_000025-T1
OG0001618	GBNWU_001095-T1	GBNWW_000026-T1
OG0001619	GBNWU_001096-T1	GBNWW_000027-T1
OG0001620	GBNWU_001097-T1	GBNWW_000028-T1
OG0001621	GBNWU_001098-T1	GBNWW_000029-T1
OG0001622	GBNWU_001099-T1	GBNWW_000030-T1
OG0001623	GBNWU_001100-T1	GBNWW_000031-T1
OG0001624	GBNWU_001101-T1	GBNWW_000032-T1
OG0001625	GBNWU_001102-T1	GBNWW_000033-T1
OG0001626	GBNWU_001104-T1	GBNWW_000035-T1
OG0001627	GBNWU_001107-T1	GBNWW_008246-T1
OG0001628	GBNWU_001108-T1	GBNWW_008245-T1
OG0001629	GBNWU_001109-T1	GBNWW_008244-T1
OG0001630	GBNWU_001110-T1	GBNWW_008243-T1
OG0001631	GBNWU_001111-T1	GBNWW_008242-T1
OG0001632	GBNWU_001112-T1	GBNWW_008241-T1
OG0001633	GBNWU_001113-T1	GBNWW_008240-T1
OG0001634	GBNWU_001114-T1	GBNWW_008239-T1
OG0001635	GBNWU_001117-T1	GBNWW_008236-T1
OG0001636	GBNWU_001118-T1	GBNWW_008235-T1
OG0001637	GBNWU_001119-T1	GBNWW_008234-T1
OG0001638	GBNWU_001121-T1	GBNWW_008232-T1
OG0001639	GBNWU_001123-T1	GBNWW_008231-T1
OG0001640	GBNWU_001124-T1	GBNWW_008230-T1
OG0001641	GBNWU_001125-T1	GBNWW_008229-T1
OG0001642	GBNWU_001126-T1	GBNWW_008228-T1
OG0001643	GBNWU_001127-T1	GBNWW_008227-T1
OG0001644	GBNWU_001129-T1	GBNWW_000197-T1
OG0001645	GBNWU_001130-T1	GBNWW_000196-T1
OG0001646	GBNWU_001131-T1	GBNWW_000195-T1
OG0001647	GBNWU_001132-T1	GBNWW_000194-T1
OG0001648	GBNWU_001134-T1	GBNWW_000192-T1
OG0001649	GBNWU_001135-T1	GBNWW_000191-T1
OG0001650	GBNWU_001136-T1	GBNWW_000190-T1
OG0001651	GBNWU_001138-T1	GBNWW_005491-T1
OG0001652	GBNWU_001140-T1	GBNWW_005494-T1
OG0001653	GBNWU_001141-T1	GBNWW_005495-T1
OG0001654	GBNWU_001142-T1	GBNWW_005496-T1
OG0001655	GBNWU_001143-T1	GBNWW_009289-T1
OG0001656	GBNWU_001144-T1	GBNWW_009290-T1
OG0001657	GBNWU_001145-T1	GBNWW_009291-T1
OG0001658	GBNWU_001147-T1	GBNWW_009293-T1
OG0001659	GBNWU_001148-T1	GBNWW_009294-T1
OG0001660	GBNWU_001149-T1	GBNWW_009295-T1
OG0001661	GBNWU_001150-T1	GBNWW_009296-T1
OG0001662	GBNWU_001153-T1	GBNWW_006348-T1
OG0001663	GBNWU_001154-T1	GBNWW_006347-T1
OG0001664	GBNWU_001155-T1	GBNWW_006346-T1
OG0001665	GBNWU_001156-T1	GBNWW_006345-T1
OG0001666	GBNWU_001157-T1	GBNWW_006344-T1
OG0001667	GBNWU_001158-T1	GBNWW_006343-T1
OG0001668	GBNWU_001159-T1	GBNWW_006342-T1
OG0001669	GBNWU_001160-T1	GBNWW_006341-T1
