	Pilaira_anomala_RSA_1997_Plus.aa	Pilaira_anomala_RSA_1998-.aa
OG0007177	GBNWS_006305-T1	
OG0007178	GBNWS_006306-T1	
OG0007179	GBNWS_006307-T1	
OG0007180	GBNWS_006309-T1	
OG0007181	GBNWS_006314-T1	
OG0007182	GBNWS_006320-T1	
OG0007183	GBNWS_006323-T1	
OG0007184	GBNWS_006328-T1	
OG0007185	GBNWS_006330-T1	
OG0007186	GBNWS_006332-T1	
OG0007187	GBNWS_006333-T1	
OG0007188	GBNWS_006337-T1	
OG0007189	GBNWS_006339-T1	
OG0007190	GBNWS_006343-T1	
OG0007191	GBNWS_006346-T1	
OG0007192	GBNWS_006347-T1	
OG0007193	GBNWS_006352-T1	
OG0007194	GBNWS_006355-T1	
OG0007195	GBNWS_006356-T1	
OG0007196	GBNWS_006357-T1	
OG0007197	GBNWS_006358-T1	
OG0007198	GBNWS_006361-T1	
OG0007199	GBNWS_006364-T1	
OG0007200	GBNWS_006366-T1	
OG0007201	GBNWS_006368-T1	
OG0007202	GBNWS_006375-T1	
OG0007203	GBNWS_006377-T1	
OG0007204	GBNWS_006379-T1	
OG0007205	GBNWS_006385-T1	
OG0007206	GBNWS_006388-T1	
OG0007207	GBNWS_006389-T1	
OG0007208	GBNWS_006391-T1	
OG0007209	GBNWS_006395-T1	
OG0007210	GBNWS_006405-T1	
OG0007211	GBNWS_006414-T1	
OG0007212	GBNWS_006415-T1	
OG0007213	GBNWS_006417-T1	
OG0007214	GBNWS_006418-T1	
OG0007215	GBNWS_006423-T1	
OG0007216	GBNWS_006424-T1	
OG0007217	GBNWS_006428-T1	
OG0007218	GBNWS_006440-T1	
OG0007219	GBNWS_006442-T1	
OG0007220	GBNWS_006443-T1	
OG0007221	GBNWS_006445-T1	
OG0007222	GBNWS_006447-T1	
OG0007223	GBNWS_006454-T1	
OG0007224	GBNWS_006463-T1	
OG0007225	GBNWS_006464-T1	
OG0007226	GBNWS_006467-T1	
OG0007227	GBNWS_006468-T1	
OG0007228	GBNWS_006470-T1	
OG0007229	GBNWS_006473-T1	
OG0007230	GBNWS_006475-T1	
OG0007231	GBNWS_006480-T1	
OG0007232	GBNWS_006485-T1	
OG0007233	GBNWS_006489-T1	
OG0007234	GBNWS_006490-T1	
OG0007235	GBNWS_006499-T1	
OG0007236	GBNWS_006506-T1	
OG0007237	GBNWS_006507-T1	
OG0007238	GBNWS_006511-T1	
OG0007239	GBNWS_006512-T1	
OG0007240	GBNWS_006513-T1	
OG0007241	GBNWS_006514-T1	
OG0007242	GBNWS_006515-T1	
OG0007243	GBNWS_006520-T1	
OG0007244	GBNWS_006521-T1	
OG0007245	GBNWS_006532-T1	
OG0007246	GBNWS_006538-T1	
OG0007247	GBNWS_006542-T1	
OG0007248	GBNWS_006546-T1	
OG0007249	GBNWS_006550-T1	
OG0007250	GBNWS_006553-T1	
OG0007251	GBNWS_006557-T1	
OG0007252	GBNWS_006561-T1	
OG0007253	GBNWS_006562-T1	
OG0007254	GBNWS_006563-T1	
OG0007255	GBNWS_006564-T1	
OG0007256	GBNWS_006575-T1	
OG0007257	GBNWS_006578-T1	
OG0007258	GBNWS_006585-T1	
OG0007259	GBNWS_006595-T1	
OG0007260	GBNWS_006599-T1	
OG0007261	GBNWS_006601-T1	
OG0007262	GBNWS_006602-T1	
OG0007263	GBNWS_006607-T1	
OG0007264	GBNWS_006608-T1	
OG0007265	GBNWS_006610-T1	
OG0007266	GBNWS_006611-T1	
OG0007267	GBNWS_006614-T1	
OG0007268	GBNWS_006616-T1	
OG0007269	GBNWS_006624-T1	
OG0007270	GBNWS_006625-T1	
OG0007271	GBNWS_006630-T1	
OG0007272	GBNWS_006636-T1	
OG0007273	GBNWS_006644-T1	
OG0007274	GBNWS_006645-T1	
OG0007275	GBNWS_006648-T1	
OG0007276	GBNWS_006656-T1	
OG0007277	GBNWS_006660-T1	
OG0007278	GBNWS_006662-T1	
OG0007279	GBNWS_006663-T1	
OG0007280	GBNWS_006666-T1	
OG0007281	GBNWS_006668-T1	
OG0007282	GBNWS_006678-T1	
OG0007283	GBNWS_006681-T1	
OG0007284	GBNWS_006684-T1	
OG0007285	GBNWS_006685-T1	
OG0007286	GBNWS_006691-T1	
OG0007287	GBNWS_006692-T1	
OG0007288	GBNWS_006697-T1	
OG0007289	GBNWS_006699-T1	
OG0007290	GBNWS_006700-T1	
OG0007291	GBNWS_006701-T1	
OG0007292	GBNWS_006702-T1	
OG0007293	GBNWS_006704-T1	
OG0007294	GBNWS_006705-T1	
OG0007295	GBNWS_006708-T1	
OG0007296	GBNWS_006709-T1	
OG0007297	GBNWS_006714-T1	
OG0007298	GBNWS_006720-T1	
OG0007299	GBNWS_006721-T1	
OG0007300	GBNWS_006727-T1	
OG0007301	GBNWS_006731-T1	
OG0007302	GBNWS_006733-T1	
OG0007303	GBNWS_006735-T1	
OG0007304	GBNWS_006744-T1	
OG0007305	GBNWS_006745-T1	
OG0007306	GBNWS_006747-T1	
OG0007307	GBNWS_006748-T1	
OG0007308	GBNWS_006749-T1	
OG0007309	GBNWS_006750-T1	
OG0007310	GBNWS_006751-T1	
OG0007311	GBNWS_006752-T1	
OG0007312	GBNWS_006755-T1	
OG0007313	GBNWS_006756-T1	
OG0007314	GBNWS_006758-T1	
OG0007315	GBNWS_006764-T1	
OG0007316	GBNWS_006765-T1	
OG0007317	GBNWS_006766-T1	
OG0007318	GBNWS_006767-T1	
OG0007319	GBNWS_006768-T1	
OG0007320	GBNWS_006770-T1	
OG0007321	GBNWS_006775-T1	
OG0007322	GBNWS_006779-T1	
OG0007323	GBNWS_006780-T1	
OG0007324	GBNWS_006799-T1	
OG0007325	GBNWS_006807-T1	
OG0007326	GBNWS_006809-T1	
OG0007327	GBNWS_006810-T1	
OG0007328	GBNWS_006817-T1	
OG0007329	GBNWS_006829-T1	
OG0007330	GBNWS_006833-T1	
OG0007331	GBNWS_006835-T1	
OG0007332	GBNWS_006843-T1	
OG0007333	GBNWS_006844-T1	
OG0007334	GBNWS_006851-T1	
OG0007335	GBNWS_006856-T1	
OG0007336	GBNWS_006858-T1	
OG0007337	GBNWS_006865-T1	
OG0007338	GBNWS_006870-T1	
OG0007339	GBNWS_006881-T1	
OG0007340	GBNWS_006894-T1	
OG0007341	GBNWS_006897-T1	
OG0007342	GBNWS_006898-T1	
OG0007343	GBNWS_006903-T1	
OG0007344	GBNWS_006906-T1	
OG0007345	GBNWS_006909-T1	
OG0007346	GBNWS_006914-T1	
OG0007347	GBNWS_006915-T1	
OG0007348	GBNWS_006918-T1	
OG0007349	GBNWS_006925-T1	
OG0007350	GBNWS_006927-T1	
OG0007351	GBNWS_006937-T1	
OG0007352	GBNWS_006941-T1	
OG0007353	GBNWS_006946-T1	
OG0007354	GBNWS_006948-T1	
OG0007355	GBNWS_006956-T1	
OG0007356	GBNWS_006958-T1	
OG0007357	GBNWS_006960-T1	
OG0007358	GBNWS_006963-T1	
OG0007359	GBNWS_006964-T1	
OG0007360	GBNWS_006967-T1	
OG0007361	GBNWS_006968-T1	
OG0007362	GBNWS_006969-T1	
OG0007363	GBNWS_006970-T1	
OG0007364	GBNWS_006973-T1	
OG0007365	GBNWS_006974-T1	
OG0007366	GBNWS_006975-T1	
OG0007367	GBNWS_006978-T1	
OG0007368	GBNWS_006980-T1	
OG0007369	GBNWS_006993-T1	
OG0007370	GBNWS_006995-T1	
OG0007371	GBNWS_007019-T1	
OG0007372	GBNWS_007020-T1	
OG0007373	GBNWS_007023-T1	
OG0007374	GBNWS_007026-T1	
OG0007375	GBNWS_007030-T1	
OG0007376	GBNWS_007039-T1	
OG0007377	GBNWS_007040-T1	
OG0007378	GBNWS_007044-T1	
OG0007379	GBNWS_007050-T1	
OG0007380	GBNWS_007052-T1	
OG0007381	GBNWS_007056-T1	
OG0007382	GBNWS_007058-T1	
OG0007383	GBNWS_007059-T1	
OG0007384	GBNWS_007064-T1	
OG0007385	GBNWS_007067-T1	
OG0007386	GBNWS_007068-T1	
OG0007387	GBNWS_007070-T1	
OG0007388	GBNWS_007071-T1	
OG0007389	GBNWS_007072-T1	
OG0007390	GBNWS_007076-T1	
OG0007391	GBNWS_007080-T1	
OG0007392	GBNWS_007081-T1	
OG0007393	GBNWS_007087-T1	
OG0007394	GBNWS_007088-T1	
OG0007395	GBNWS_007089-T1	
OG0007396	GBNWS_007090-T1	
OG0007397	GBNWS_007093-T1	
OG0007398	GBNWS_007095-T1	
OG0007399	GBNWS_007097-T1	
OG0007400	GBNWS_007098-T1	
OG0007401	GBNWS_007101-T1	
OG0007402	GBNWS_007120-T1	
OG0007403	GBNWS_007128-T1	
OG0007404	GBNWS_007130-T1	
OG0007405	GBNWS_007133-T1	
OG0007406	GBNWS_007135-T1	
OG0007407	GBNWS_007137-T1	
OG0007408	GBNWS_007148-T1	
OG0007409	GBNWS_007154-T1	
OG0007410	GBNWS_007156-T1	
OG0007411	GBNWS_007161-T1	
OG0007412	GBNWS_007162-T1	
OG0007413	GBNWS_007163-T1	
OG0007414	GBNWS_007164-T1	
OG0007415	GBNWS_007168-T1	
OG0007416	GBNWS_007171-T1	
OG0007417	GBNWS_007173-T1	
OG0007418	GBNWS_007178-T1	
OG0007419	GBNWS_007179-T1	
OG0007420	GBNWS_007180-T1	
OG0007421	GBNWS_007181-T1	
OG0007422	GBNWS_007182-T1	
OG0007423	GBNWS_007183-T1	
OG0007424	GBNWS_007184-T1	
OG0007425	GBNWS_007187-T1	
OG0007426	GBNWS_007197-T1	
OG0007427	GBNWS_007205-T1	
OG0007428	GBNWS_007209-T1	
OG0007429	GBNWS_007210-T1	
OG0007430	GBNWS_007214-T1	
OG0007431	GBNWS_007216-T1	
OG0007432	GBNWS_007217-T1	
OG0007433	GBNWS_007219-T1	
OG0007434	GBNWS_007220-T1	
OG0007435	GBNWS_007222-T1	
OG0007436	GBNWS_007225-T1	
OG0007437	GBNWS_007234-T1	
OG0007438	GBNWS_007235-T1	
OG0007439	GBNWS_007237-T1	
OG0007440	GBNWS_007239-T1	
OG0007441	GBNWS_007244-T1	
OG0007442	GBNWS_007245-T1	
OG0007443	GBNWS_007251-T1	
OG0007444	GBNWS_007252-T1	
OG0007445	GBNWS_007253-T1	
OG0007446	GBNWS_007255-T1	
OG0007447	GBNWS_007258-T1	
OG0007448	GBNWS_007260-T1	
OG0007449	GBNWS_007262-T1	
OG0007450	GBNWS_007265-T1	
OG0007451	GBNWS_007280-T1	
OG0007452	GBNWS_007281-T1	
OG0007453	GBNWS_007284-T1	
OG0007454	GBNWS_007285-T1	
OG0007455	GBNWS_007286-T1	
OG0007456	GBNWS_007287-T1	
OG0007457	GBNWS_007289-T1	
OG0007458	GBNWS_007293-T1	
OG0007459	GBNWS_007296-T1	
OG0007460	GBNWS_007298-T1	
OG0007461	GBNWS_007299-T1	
OG0007462	GBNWS_007303-T1	
OG0007463	GBNWS_007306-T1	
OG0007464	GBNWS_007308-T1	
OG0007465	GBNWS_007310-T1	
OG0007466	GBNWS_007318-T1	
OG0007467	GBNWS_007319-T1	
OG0007468	GBNWS_007325-T1	
OG0007469	GBNWS_007328-T1	
OG0007470	GBNWS_007334-T1	
OG0007471	GBNWS_007339-T1	
OG0007472	GBNWS_007340-T1	
OG0007473	GBNWS_007347-T1	
OG0007474	GBNWS_007348-T1	
OG0007475	GBNWS_007353-T1	
OG0007476	GBNWS_007357-T1	
OG0007477	GBNWS_007359-T1	
OG0007478	GBNWS_007360-T1	
OG0007479	GBNWS_007365-T1	
OG0007480	GBNWS_007372-T1	
OG0007481	GBNWS_007374-T1	
OG0007482	GBNWS_007378-T1	
OG0007483	GBNWS_007382-T1	
OG0007484	GBNWS_007390-T1	
OG0007485	GBNWS_007399-T1	
OG0007486	GBNWS_007401-T1	
OG0007487	GBNWS_007410-T1	
OG0007488	GBNWS_007421-T1	
OG0007489	GBNWS_007423-T1	
OG0007490	GBNWS_007426-T1	
OG0007491	GBNWS_007427-T1	
OG0007492	GBNWS_007431-T1	
OG0007493	GBNWS_007436-T1	
OG0007494	GBNWS_007438-T1	
OG0007495	GBNWS_007442-T1	
OG0007496	GBNWS_007447-T1	
OG0007497	GBNWS_007450-T1	
OG0007498	GBNWS_007451-T1	
OG0007499	GBNWS_007453-T1	
OG0007500	GBNWS_007455-T1	
OG0007501	GBNWS_007458-T1	
OG0007502	GBNWS_007466-T1	
OG0007503	GBNWS_007470-T1	
OG0007504	GBNWS_007471-T1	
OG0007505	GBNWS_007473-T1	
OG0007506	GBNWS_007478-T1	
OG0007507	GBNWS_007479-T1	
OG0007508	GBNWS_007480-T1	
OG0007509	GBNWS_007486-T1	
OG0007510	GBNWS_007488-T1	
OG0007511	GBNWS_007493-T1	
OG0007512	GBNWS_007494-T1	
OG0007513	GBNWS_007495-T1	
OG0007514	GBNWS_007497-T1	
OG0007515	GBNWS_007506-T1	
OG0007516	GBNWS_007511-T1	
OG0007517	GBNWS_007512-T1	
OG0007518	GBNWS_007515-T1	
OG0007519	GBNWS_007518-T1	
OG0007520	GBNWS_007520-T1	
OG0007521	GBNWS_007521-T1	
OG0007522	GBNWS_007523-T1	
OG0007523	GBNWS_007524-T1	
OG0007524	GBNWS_007526-T1	
OG0007525	GBNWS_007527-T1	
OG0007526	GBNWS_007530-T1	
OG0007527	GBNWS_007534-T1	
OG0007528	GBNWS_007535-T1	
OG0007529	GBNWS_007536-T1	
OG0007530	GBNWS_007543-T1	
OG0007531	GBNWS_007549-T1	
OG0007532	GBNWS_007558-T1	
OG0007533	GBNWS_007567-T1	
OG0007534	GBNWS_007568-T1	
OG0007535	GBNWS_007572-T1	
OG0007536	GBNWS_007573-T1	
OG0007537	GBNWS_007574-T1	
OG0007538	GBNWS_007575-T1	
OG0007539	GBNWS_007576-T1	
OG0007540	GBNWS_007578-T1	
OG0007541	GBNWS_007580-T1	
OG0007542	GBNWS_007582-T1	
OG0007543	GBNWS_007585-T1	
OG0007544	GBNWS_007592-T1	
OG0007545	GBNWS_007594-T1	
OG0007546	GBNWS_007605-T1	
OG0007547	GBNWS_007607-T1	
OG0007548	GBNWS_007611-T1	
OG0007549	GBNWS_007612-T1	
OG0007550	GBNWS_007630-T1	
OG0007551	GBNWS_007635-T1	
OG0007552	GBNWS_007638-T1	
OG0007553	GBNWS_007639-T1	
OG0007554	GBNWS_007640-T1	
OG0007555	GBNWS_007641-T1	
OG0007556	GBNWS_007642-T1	
OG0007557	GBNWS_007643-T1	
OG0007558	GBNWS_007645-T1	
OG0007559	GBNWS_007650-T1	
OG0007560	GBNWS_007651-T1	
OG0007561	GBNWS_007653-T1	
OG0007562	GBNWS_007654-T1	
OG0007563	GBNWS_007655-T1	
OG0007564	GBNWS_007667-T1	
OG0007565	GBNWS_007668-T1	
OG0007566	GBNWS_007671-T1	
OG0007567	GBNWS_007672-T1	
OG0007568	GBNWS_007681-T1	
OG0007569	GBNWS_007682-T1	
OG0007570	GBNWS_007685-T1	
OG0007571	GBNWS_007686-T1	
OG0007572	GBNWS_007693-T1	
OG0007573	GBNWS_007696-T1	
OG0007574	GBNWS_007703-T1	
OG0007575	GBNWS_007723-T1	
OG0007576	GBNWS_007729-T1	
OG0007577	GBNWS_007732-T1	
OG0007578	GBNWS_007733-T1	
OG0007579	GBNWS_007734-T1	
OG0007580	GBNWS_007743-T1	
OG0007581	GBNWS_007744-T1	
OG0007582	GBNWS_007755-T1	
OG0007583	GBNWS_007758-T1	
OG0007584	GBNWS_007760-T1	
OG0007585	GBNWS_007767-T1	
OG0007586	GBNWS_007771-T1	
OG0007587	GBNWS_007774-T1	
OG0007588	GBNWS_007775-T1	
OG0007589	GBNWS_007778-T1	
OG0007590	GBNWS_007779-T1	
OG0007591	GBNWS_007782-T1	
OG0007592	GBNWS_007785-T1	
OG0007593	GBNWS_007787-T1	
OG0007594	GBNWS_007789-T1	
OG0007595	GBNWS_007793-T1	
OG0007596	GBNWS_007801-T1	
OG0007597	GBNWS_007802-T1	
OG0007598	GBNWS_007806-T1	
OG0007599	GBNWS_007807-T1	
OG0007600	GBNWS_007814-T1	
OG0007601	GBNWS_007827-T1	
OG0007602	GBNWS_007835-T1	
OG0007603	GBNWS_007837-T1	
OG0007604	GBNWS_007842-T1	
OG0007605	GBNWS_007846-T1	
OG0007606	GBNWS_007851-T1	
OG0007607	GBNWS_007853-T1	
OG0007608	GBNWS_007865-T1	
OG0007609	GBNWS_007867-T1	
OG0007610	GBNWS_007872-T1	
OG0007611	GBNWS_007873-T1	
OG0007612	GBNWS_007875-T1	
OG0007613	GBNWS_007876-T1	
OG0007614	GBNWS_007879-T1	
OG0007615	GBNWS_007880-T1	
OG0007616	GBNWS_007888-T1	
OG0007617	GBNWS_007890-T1	
OG0007618	GBNWS_007892-T1	
OG0007619	GBNWS_007898-T1	
OG0007620	GBNWS_007900-T1	
OG0007621	GBNWS_007901-T1	
OG0007622	GBNWS_007906-T1	
OG0007623	GBNWS_007908-T1	
OG0007624	GBNWS_007909-T1	
OG0007625	GBNWS_007915-T1	
OG0007626	GBNWS_007918-T1	
OG0007627	GBNWS_007921-T1	
OG0007628	GBNWS_007923-T1	
OG0007629	GBNWS_007929-T1	
OG0007630	GBNWS_007930-T1	
OG0007631	GBNWS_007936-T1	
OG0007632	GBNWS_007937-T1	
OG0007633	GBNWS_007942-T1	
OG0007634	GBNWS_007943-T1	
OG0007635	GBNWS_007949-T1	
OG0007636	GBNWS_007956-T1	
OG0007637	GBNWS_007968-T1	
OG0007638	GBNWS_007970-T1	
OG0007639	GBNWS_007971-T1	
OG0007640	GBNWS_007972-T1	
OG0007641	GBNWS_007976-T1	
OG0007642	GBNWS_007977-T1	
OG0007643	GBNWS_007978-T1	
OG0007644	GBNWS_007979-T1	
OG0007645	GBNWS_007982-T1	
OG0007646	GBNWS_007988-T1	
OG0007647	GBNWS_007990-T1	
OG0007648	GBNWS_007991-T1	
OG0007649	GBNWS_007993-T1	
OG0007650	GBNWS_007996-T1	
OG0007651	GBNWS_007998-T1	
OG0007652	GBNWS_008005-T1	
OG0007653	GBNWS_008006-T1	
OG0007654	GBNWS_008015-T1	
OG0007655	GBNWS_008017-T1	
OG0007656	GBNWS_008021-T1	
OG0007657	GBNWS_008030-T1	
OG0007658	GBNWS_008031-T1	
OG0007659	GBNWS_008032-T1	
OG0007660	GBNWS_008034-T1	
OG0007661	GBNWS_008040-T1	
OG0007662	GBNWS_008041-T1	
OG0007663	GBNWS_008042-T1	
OG0007664	GBNWS_008045-T1	
OG0007665	GBNWS_008048-T1	
OG0007666	GBNWS_008052-T1	
OG0007667	GBNWS_008054-T1	
OG0007668	GBNWS_008057-T1	
OG0007669	GBNWS_008061-T1	
OG0007670	GBNWS_008062-T1	
OG0007671	GBNWS_008065-T1	
OG0007672	GBNWS_008066-T1	
OG0007673	GBNWS_008071-T1	
OG0007674	GBNWS_008075-T1	
OG0007675	GBNWS_008080-T1	
OG0007676	GBNWS_008082-T1	
OG0007677	GBNWS_008090-T1	
OG0007678	GBNWS_008094-T1	
OG0007679	GBNWS_008097-T1	
OG0007680	GBNWS_008101-T1	
OG0007681	GBNWS_008105-T1	
OG0007682	GBNWS_008106-T1	
OG0007683	GBNWS_008107-T1	
OG0007684	GBNWS_008108-T1	
OG0007685	GBNWS_008109-T1	
OG0007686	GBNWS_008110-T1	
OG0007687	GBNWS_008111-T1	
OG0007688	GBNWS_008113-T1	
OG0007689	GBNWS_008114-T1	
OG0007690	GBNWS_008115-T1	
OG0007691	GBNWS_008116-T1	
OG0007692	GBNWS_008117-T1	
OG0007693	GBNWS_008118-T1	
OG0007694	GBNWS_008123-T1	
OG0007695	GBNWS_008125-T1	
OG0007696	GBNWS_008126-T1	
OG0007697	GBNWS_008130-T1	
OG0007698	GBNWS_008131-T1	
OG0007699	GBNWS_008132-T1	
OG0007700	GBNWS_008135-T1	
OG0007701	GBNWS_008138-T1	
OG0007702	GBNWS_008140-T1	
OG0007703	GBNWS_008145-T1	
OG0007704	GBNWS_008147-T1	
OG0007705	GBNWS_008148-T1	
OG0007706	GBNWS_008154-T1	
OG0007707	GBNWS_008155-T1	
OG0007708	GBNWS_008167-T1	
OG0007709	GBNWS_008168-T1	
OG0007710	GBNWS_008169-T1	
OG0007711	GBNWS_008172-T1	
OG0007712	GBNWS_008177-T1	
OG0007713	GBNWS_008183-T1	
OG0007714	GBNWS_008184-T1	
OG0007715	GBNWS_008187-T1	
OG0007716	GBNWS_008190-T1	
OG0007717	GBNWS_008192-T1	
OG0007718	GBNWS_008195-T1	
OG0007719	GBNWS_008196-T1	
OG0007720	GBNWS_008205-T1	
OG0007721	GBNWS_008206-T1	
OG0007722	GBNWS_008207-T1	
OG0007723	GBNWS_008211-T1	
OG0007724	GBNWS_008216-T1	
OG0007725	GBNWS_008217-T1	
OG0007726	GBNWS_008220-T1	
OG0007727	GBNWS_008224-T1	
OG0007728	GBNWS_008226-T1	
OG0007729	GBNWS_008227-T1	
OG0007730	GBNWS_008228-T1	
OG0007731	GBNWS_008229-T1	
OG0007732	GBNWS_008230-T1	
OG0007733	GBNWS_008233-T1	
OG0007734	GBNWS_008235-T1	
OG0007735	GBNWS_008236-T1	
OG0007736	GBNWS_008241-T1	
OG0007737	GBNWS_008242-T1	
OG0007738	GBNWS_008244-T1	
OG0007739	GBNWS_008250-T1	
OG0007740	GBNWS_008251-T1	
OG0007741	GBNWS_008253-T1	
OG0007742	GBNWS_008256-T1	
OG0007743	GBNWS_008259-T1	
OG0007744	GBNWS_008262-T1	
OG0007745	GBNWS_008263-T1	
OG0007746	GBNWS_008268-T1	
OG0007747	GBNWS_008270-T1	
OG0007748	GBNWS_008275-T1	
OG0007749	GBNWS_008278-T1	
OG0007750	GBNWS_008280-T1	
OG0007751	GBNWS_008281-T1	
OG0007752	GBNWS_008285-T1	
OG0007753	GBNWS_008287-T1	
OG0007754	GBNWS_008290-T1	
OG0007755	GBNWS_008291-T1	
OG0007756	GBNWS_008298-T1	
OG0007757	GBNWS_008310-T1	
OG0007758	GBNWS_008318-T1	
OG0007759	GBNWS_008320-T1	
OG0007760	GBNWS_008323-T1	
OG0007761	GBNWS_008328-T1	
OG0007762	GBNWS_008332-T1	
OG0007763	GBNWS_008333-T1	
OG0007764	GBNWS_008334-T1	
OG0007765	GBNWS_008339-T1	
OG0007766	GBNWS_008340-T1	
OG0007767	GBNWS_008344-T1	
OG0007768	GBNWS_008347-T1	
OG0007769	GBNWS_008348-T1	
OG0007770	GBNWS_008354-T1	
OG0007771	GBNWS_008355-T1	
OG0007772	GBNWS_008357-T1	
OG0007773	GBNWS_008363-T1	
OG0007774	GBNWS_008370-T1	
OG0007775	GBNWS_008371-T1	
OG0007776	GBNWS_008377-T1	
OG0007777	GBNWS_008385-T1	
OG0007778	GBNWS_008388-T1	
OG0007779	GBNWS_008392-T1	
OG0007780	GBNWS_008393-T1	
OG0007781	GBNWS_008394-T1	
OG0007782	GBNWS_008398-T1	
OG0007783	GBNWS_008400-T1	
OG0007784	GBNWS_008401-T1	
OG0007785	GBNWS_008407-T1	
OG0007786	GBNWS_008411-T1	
OG0007787	GBNWS_008422-T1	
OG0007788	GBNWS_008423-T1	
OG0007789	GBNWS_008424-T1	
OG0007790	GBNWS_008425-T1	
OG0007791	GBNWS_008428-T1	
OG0007792	GBNWS_008431-T1	
OG0007793	GBNWS_008436-T1	
OG0007794	GBNWS_008441-T1	
OG0007795	GBNWS_008443-T1	
OG0007796	GBNWS_008446-T1	
OG0007797	GBNWS_008447-T1	
OG0007798	GBNWS_008448-T1	
OG0007799	GBNWS_008460-T1	
OG0007800	GBNWS_008461-T1	
OG0007801	GBNWS_008464-T1	
OG0007802	GBNWS_008471-T1	
OG0007803	GBNWS_008472-T1	
OG0007804	GBNWS_008476-T1	
OG0007805	GBNWS_008484-T1	
OG0007806	GBNWS_008489-T1	
OG0007807	GBNWS_008490-T1	
OG0007808	GBNWS_008492-T1	
OG0007809	GBNWS_008493-T1	
OG0007810	GBNWS_008494-T1	
OG0007811	GBNWS_008495-T1	
OG0007812	GBNWS_008510-T1	
OG0007813	GBNWS_008519-T1	
OG0007814	GBNWS_008524-T1	
OG0007815	GBNWS_008525-T1	
OG0007816	GBNWS_008529-T1	
OG0007817	GBNWS_008532-T1	
OG0007818	GBNWS_008533-T1	
OG0007819	GBNWS_008534-T1	
OG0007820	GBNWS_008540-T1	
OG0007821	GBNWS_008542-T1	
OG0007822	GBNWS_008543-T1	
OG0007823	GBNWS_008551-T1	
OG0007824	GBNWS_008555-T1	
OG0007825	GBNWS_008564-T1	
OG0007826	GBNWS_008565-T1	
OG0007827	GBNWS_008568-T1	
OG0007828	GBNWS_008576-T1	
OG0007829	GBNWS_008578-T1	
OG0007830	GBNWS_008579-T1	
OG0007831	GBNWS_008580-T1	
OG0007832	GBNWS_008581-T1	
OG0007833	GBNWS_008583-T1	
OG0007834	GBNWS_008585-T1	
OG0007835	GBNWS_008586-T1	
OG0007836	GBNWS_008589-T1	
OG0007837	GBNWS_008593-T1	
OG0007838	GBNWS_008599-T1	
OG0007839	GBNWS_008600-T1	
OG0007840	GBNWS_008601-T1	
OG0007841	GBNWS_008607-T1	
OG0007842	GBNWS_008612-T1	
OG0007843	GBNWS_008624-T1	
OG0007844	GBNWS_008625-T1	
OG0007845	GBNWS_008627-T1	
OG0007846	GBNWS_008628-T1	
OG0007847	GBNWS_008629-T1	
OG0007848	GBNWS_008630-T1	
OG0007849	GBNWS_008640-T1	
OG0007850	GBNWS_008642-T1	
OG0007851	GBNWS_008645-T1	
OG0007852	GBNWS_008647-T1	
OG0007853	GBNWS_008648-T1	
OG0007854	GBNWS_008653-T1	
OG0007855	GBNWS_008654-T1	
OG0007856	GBNWS_008656-T1	
OG0007857	GBNWS_008658-T1	
OG0007858	GBNWS_008661-T1	
OG0007859	GBNWS_008662-T1	
OG0007860	GBNWS_008665-T1	
OG0007861	GBNWS_008668-T1	
OG0007862	GBNWS_008669-T1	
OG0007863	GBNWS_008671-T1	
OG0007864	GBNWS_008677-T1	
OG0007865	GBNWS_008679-T1	
OG0007866	GBNWS_008681-T1	
OG0007867	GBNWS_008686-T1	
OG0007868	GBNWS_008689-T1	
OG0007869	GBNWS_008692-T1	
OG0007870	GBNWS_008694-T1	
OG0007871	GBNWS_008698-T1	
OG0007872	GBNWS_008699-T1	
OG0007873	GBNWS_008700-T1	
OG0007874	GBNWS_008705-T1	
OG0007875	GBNWS_008714-T1	
OG0007876	GBNWS_008716-T1	
OG0007877	GBNWS_008718-T1	
OG0007878	GBNWS_008719-T1	
OG0007879	GBNWS_008720-T1	
OG0007880	GBNWS_008721-T1	
OG0007881	GBNWS_008723-T1	
OG0007882	GBNWS_008724-T1	
OG0007883	GBNWS_008725-T1	
OG0007884	GBNWS_008736-T1	
OG0007885	GBNWS_008742-T1	
OG0007886	GBNWS_008744-T1	
OG0007887	GBNWS_008745-T1	
OG0007888	GBNWS_008748-T1	
OG0007889	GBNWS_008749-T1	
OG0007890	GBNWS_008751-T1	
OG0007891	GBNWS_008753-T1	
OG0007892	GBNWS_008758-T1	
OG0007893	GBNWS_008760-T1	
OG0007894	GBNWS_008761-T1	
OG0007895	GBNWS_008763-T1	
OG0007896	GBNWS_008767-T1	
OG0007897	GBNWS_008769-T1	
OG0007898	GBNWS_008771-T1	
OG0007899	GBNWS_008774-T1	
OG0007900	GBNWS_008783-T1	
OG0007901	GBNWS_008784-T1	
OG0007902	GBNWS_008786-T1	
OG0007903	GBNWS_008787-T1	
OG0007904	GBNWS_008793-T1	
OG0007905	GBNWS_008796-T1	
OG0007906	GBNWS_008797-T1	
OG0007907	GBNWS_008800-T1	
OG0007908	GBNWS_008801-T1	
OG0007909	GBNWS_008802-T1	
OG0007910	GBNWS_008804-T1	
