	Ellisomyces_anomalus_NRRL_2465_Plus-T.aa	Ellisomyces_anomalus_RSA_581-.aa
OG0001713	GBNWX_000933-T1	GBNWY_002698-T1
OG0001714	GBNWX_000934-T1	GBNWY_002699-T1
OG0001715	GBNWX_000936-T1	GBNWY_002701-T1
OG0001716	GBNWX_000937-T1	GBNWY_002702-T1
OG0001717	GBNWX_000938-T1	GBNWY_002703-T1
OG0001718	GBNWX_000939-T1	GBNWY_002704-T1
OG0001719	GBNWX_000940-T1	GBNWY_002705-T1
OG0001720	GBNWX_000942-T1	GBNWY_002707-T1
OG0001721	GBNWX_000944-T1	GBNWY_002709-T1
OG0001722	GBNWX_000945-T1	GBNWY_002710-T1
OG0001723	GBNWX_000946-T1	GBNWY_002712-T1
OG0001724	GBNWX_000948-T1	GBNWY_001810-T1
OG0001725	GBNWX_000949-T1	GBNWY_001809-T1
OG0001726	GBNWX_000951-T1	GBNWY_001807-T1
OG0001727	GBNWX_000952-T1	GBNWY_001806-T1
OG0001728	GBNWX_000955-T1	GBNWY_001803-T1
OG0001729	GBNWX_000956-T1	GBNWY_001802-T1
OG0001730	GBNWX_000957-T1	GBNWY_001801-T1
OG0001731	GBNWX_000958-T1	GBNWY_001800-T1
OG0001732	GBNWX_000959-T1	GBNWY_001799-T1
OG0001733	GBNWX_000960-T1	GBNWY_001798-T1
OG0001734	GBNWX_000961-T1	GBNWY_001797-T1
OG0001735	GBNWX_000962-T1	GBNWY_001796-T1
OG0001736	GBNWX_000963-T1	GBNWY_001795-T1
OG0001737	GBNWX_000964-T1	GBNWY_001794-T1
OG0001738	GBNWX_000966-T1	GBNWY_001792-T1
OG0001739	GBNWX_000968-T1	GBNWY_001790-T1
OG0001740	GBNWX_000969-T1	GBNWY_001789-T1
OG0001741	GBNWX_000970-T1	GBNWY_001788-T1
OG0001742	GBNWX_000971-T1	GBNWY_009466-T1
OG0001743	GBNWX_000974-T1	GBNWY_000218-T1
OG0001744	GBNWX_000975-T1	GBNWY_000217-T1
OG0001745	GBNWX_000976-T1	GBNWY_000216-T1
OG0001746	GBNWX_000977-T1	GBNWY_000215-T1
OG0001747	GBNWX_000978-T1	GBNWY_000214-T1
OG0001748	GBNWX_000980-T1	GBNWY_000212-T1
OG0001749	GBNWX_000981-T1	GBNWY_000211-T1
OG0001750	GBNWX_000982-T1	GBNWY_000210-T1
OG0001751	GBNWX_000983-T1	GBNWY_000209-T1
OG0001752	GBNWX_000985-T1	GBNWY_000207-T1
OG0001753	GBNWX_000986-T1	GBNWY_000206-T1
OG0001754	GBNWX_000987-T1	GBNWY_000205-T1
OG0001755	GBNWX_000988-T1	GBNWY_000204-T1
OG0001756	GBNWX_000989-T1	GBNWY_000203-T1
OG0001757	GBNWX_000990-T1	GBNWY_000202-T1
OG0001758	GBNWX_000991-T1	GBNWY_000201-T1
OG0001759	GBNWX_000993-T1	GBNWY_000199-T1
OG0001760	GBNWX_000994-T1	GBNWY_000198-T1
OG0001761	GBNWX_000995-T1	GBNWY_000197-T1
OG0001762	GBNWX_000997-T1	GBNWY_000195-T1
OG0001763	GBNWX_000998-T1	GBNWY_008851-T1
OG0001764	GBNWX_000999-T1	GBNWY_008852-T1
OG0001765	GBNWX_001000-T1	GBNWY_008853-T1
OG0001766	GBNWX_001001-T1	GBNWY_008854-T1
OG0001767	GBNWX_001002-T1	GBNWY_008195-T1
OG0001768	GBNWX_001003-T1	GBNWY_008196-T1
OG0001769	GBNWX_001005-T1	GBNWY_008198-T1
OG0001770	GBNWX_001006-T1	GBNWY_008199-T1
OG0001771	GBNWX_001007-T1	GBNWY_008200-T1
OG0001772	GBNWX_001008-T1	GBNWY_008201-T1
OG0001773	GBNWX_001009-T1	GBNWY_008202-T1
OG0001774	GBNWX_001010-T1	GBNWY_008203-T1
OG0001775	GBNWX_001011-T1	GBNWY_008204-T1
OG0001776	GBNWX_001012-T1	GBNWY_008205-T1
OG0001777	GBNWX_001013-T1	GBNWY_008206-T1
OG0001778	GBNWX_001014-T1	GBNWY_008207-T1
OG0001779	GBNWX_001015-T1	GBNWY_008208-T1
OG0001780	GBNWX_001016-T1	GBNWY_008209-T1
OG0001781	GBNWX_001017-T1	GBNWY_008210-T1
OG0001782	GBNWX_001019-T1	GBNWY_008212-T1
OG0001783	GBNWX_001020-T1	GBNWY_008213-T1
OG0001784	GBNWX_001022-T1	GBNWY_008215-T1
OG0001785	GBNWX_001023-T1	GBNWY_008216-T1
OG0001786	GBNWX_001024-T1	GBNWY_008217-T1
OG0001787	GBNWX_001025-T1	GBNWY_008218-T1
OG0001788	GBNWX_001026-T1	GBNWY_008219-T1
OG0001789	GBNWX_001027-T1	GBNWY_008220-T1
OG0001790	GBNWX_001028-T1	GBNWY_008221-T1
OG0001791	GBNWX_001029-T1	GBNWY_008222-T1
OG0001792	GBNWX_001031-T1	GBNWY_010783-T1
OG0001793	GBNWX_001033-T1	GBNWY_010781-T1
OG0001794	GBNWX_001034-T1	GBNWY_010780-T1
OG0001795	GBNWX_001035-T1	GBNWY_010779-T1
OG0001796	GBNWX_001037-T1	GBNWY_010777-T1
OG0001797	GBNWX_001039-T1	GBNWY_010775-T1
OG0001798	GBNWX_001040-T1	GBNWY_010774-T1
OG0001799	GBNWX_001041-T1	GBNWY_010773-T1
OG0001800	GBNWX_001043-T1	GBNWY_010771-T1
OG0001801	GBNWX_001044-T1	GBNWY_010770-T1
OG0001802	GBNWX_001045-T1	GBNWY_010769-T1
OG0001803	GBNWX_001046-T1	GBNWY_010768-T1
OG0001804	GBNWX_001048-T1	GBNWY_010766-T1
OG0001805	GBNWX_001050-T1	GBNWY_010764-T1
OG0001806	GBNWX_001052-T1	GBNWY_010762-T1
OG0001807	GBNWX_001053-T1	GBNWY_010761-T1
OG0001808	GBNWX_001055-T1	GBNWY_001030-T1
OG0001809	GBNWX_001056-T1	GBNWY_001401-T1
OG0001810	GBNWX_001057-T1	GBNWY_001402-T1
OG0001811	GBNWX_001058-T1	GBNWY_001403-T1
OG0001812	GBNWX_001059-T1	GBNWY_001404-T1
OG0001813	GBNWX_001060-T1	GBNWY_001405-T1
OG0001814	GBNWX_001061-T1	GBNWY_001406-T1
OG0001815	GBNWX_001062-T1	GBNWY_001407-T1
OG0001816	GBNWX_001063-T1	GBNWY_001408-T1
OG0001817	GBNWX_001064-T1	GBNWY_001409-T1
OG0001818	GBNWX_001065-T1	GBNWY_001410-T1
OG0001819	GBNWX_001066-T1	GBNWY_001411-T1
OG0001820	GBNWX_001070-T1	GBNWY_001414-T1
OG0001821	GBNWX_001073-T1	GBNWY_001417-T1
OG0001822	GBNWX_001074-T1	GBNWY_001418-T1
OG0001823	GBNWX_001076-T1	GBNWY_001420-T1
OG0001824	GBNWX_001077-T1	GBNWY_001421-T1
OG0001825	GBNWX_001078-T1	GBNWY_001422-T1
OG0001826	GBNWX_001079-T1	GBNWY_001423-T1
OG0001827	GBNWX_001080-T1	GBNWY_001424-T1
OG0001828	GBNWX_001082-T1	GBNWY_010322-T1
OG0001829	GBNWX_001083-T1	GBNWY_010321-T1
OG0001830	GBNWX_001084-T1	GBNWY_010320-T1
OG0001831	GBNWX_001085-T1	GBNWY_010319-T1
OG0001832	GBNWX_001086-T1	GBNWY_010318-T1
OG0001833	GBNWX_001087-T1	GBNWY_010317-T1
OG0001834	GBNWX_001088-T1	GBNWY_010316-T1
OG0001835	GBNWX_001089-T1	GBNWY_010315-T1
OG0001836	GBNWX_001091-T1	GBNWY_010311-T1
OG0001837	GBNWX_001094-T1	GBNWY_010308-T1
OG0001838	GBNWX_001095-T1	GBNWY_010307-T1
OG0001839	GBNWX_001096-T1	GBNWY_010306-T1
OG0001840	GBNWX_001097-T1	GBNWY_010305-T1
OG0001841	GBNWX_001098-T1	GBNWY_010304-T1
OG0001842	GBNWX_001100-T1	GBNWY_010302-T1
OG0001843	GBNWX_001101-T1	GBNWY_010301-T1
OG0001844	GBNWX_001102-T1	GBNWY_001617-T1
OG0001845	GBNWX_001103-T1	GBNWY_001616-T1
OG0001846	GBNWX_001105-T1	GBNWY_001614-T1
OG0001847	GBNWX_001107-T1	GBNWY_001613-T1
OG0001848	GBNWX_001108-T1	GBNWY_001612-T1
OG0001849	GBNWX_001109-T1	GBNWY_001611-T1
OG0001850	GBNWX_001111-T1	GBNWY_001609-T1
OG0001851	GBNWX_001112-T1	GBNWY_001608-T1
OG0001852	GBNWX_001113-T1	GBNWY_001607-T1
OG0001853	GBNWX_001117-T1	GBNWY_001603-T1
OG0001854	GBNWX_001118-T1	GBNWY_001602-T1
OG0001855	GBNWX_001119-T1	GBNWY_001601-T1
OG0001856	GBNWX_001121-T1	GBNWY_001599-T1
OG0001857	GBNWX_001122-T1	GBNWY_001598-T1
OG0001858	GBNWX_001123-T1	GBNWY_001597-T1
OG0001859	GBNWX_001124-T1	GBNWY_001596-T1
OG0001860	GBNWX_001125-T1	GBNWY_001595-T1
OG0001861	GBNWX_001128-T1	GBNWY_001592-T1
OG0001862	GBNWX_001129-T1	GBNWY_001591-T1
OG0001863	GBNWX_001130-T1	GBNWY_001590-T1
OG0001864	GBNWX_001131-T1	GBNWY_001589-T1
OG0001865	GBNWX_001132-T1	GBNWY_001588-T1
OG0001866	GBNWX_001133-T1	GBNWY_001587-T1
OG0001867	GBNWX_001134-T1	GBNWY_001586-T1
OG0001868	GBNWX_001135-T1	GBNWY_001585-T1
OG0001869	GBNWX_001136-T1	GBNWY_001584-T1
OG0001870	GBNWX_001137-T1	GBNWY_001583-T1
OG0001871	GBNWX_001138-T1	GBNWY_001582-T1
OG0001872	GBNWX_001139-T1	GBNWY_001581-T1
OG0001873	GBNWX_001140-T1	GBNWY_001580-T1
OG0001874	GBNWX_001142-T1	GBNWY_001578-T1
OG0001875	GBNWX_001144-T1	GBNWY_001576-T1
OG0001876	GBNWX_001145-T1	GBNWY_001575-T1
OG0001877	GBNWX_001147-T1	GBNWY_001573-T1
OG0001878	GBNWX_001149-T1	GBNWY_001571-T1
OG0001879	GBNWX_001151-T1	GBNWY_001569-T1
OG0001880	GBNWX_001152-T1	GBNWY_001568-T1
OG0001881	GBNWX_001154-T1	GBNWY_001565-T1
OG0001882	GBNWX_001156-T1	GBNWY_001563-T1
OG0001883	GBNWX_001157-T1	GBNWY_001562-T1
OG0001884	GBNWX_001159-T1	GBNWY_001560-T1
OG0001885	GBNWX_001160-T1	GBNWY_001559-T1
OG0001886	GBNWX_001161-T1	GBNWY_001144-T1
OG0001887	GBNWX_001162-T1	GBNWY_001143-T1
OG0001888	GBNWX_001163-T1	GBNWY_001142-T1
OG0001889	GBNWX_001164-T1	GBNWY_001141-T1
OG0001890	GBNWX_001167-T1	GBNWY_001138-T1
OG0001891	GBNWX_001168-T1	GBNWY_001137-T1
OG0001892	GBNWX_001169-T1	GBNWY_001136-T1
OG0001893	GBNWX_001170-T1	GBNWY_001135-T1
OG0001894	GBNWX_001171-T1	GBNWY_001134-T1
OG0001895	GBNWX_001172-T1	GBNWY_001133-T1
OG0001896	GBNWX_001174-T1	GBNWY_001131-T1
OG0001897	GBNWX_001176-T1	GBNWY_001129-T1
OG0001898	GBNWX_001177-T1	GBNWY_001128-T1
OG0001899	GBNWX_001178-T1	GBNWY_001127-T1
OG0001900	GBNWX_001179-T1	GBNWY_001126-T1
OG0001901	GBNWX_001180-T1	GBNWY_001125-T1
OG0001902	GBNWX_001181-T1	GBNWY_008791-T1
OG0001903	GBNWX_001182-T1	GBNWY_008792-T1
OG0001904	GBNWX_001183-T1	GBNWY_008793-T1
OG0001905	GBNWX_001184-T1	GBNWY_008794-T1
OG0001906	GBNWX_001186-T1	GBNWY_008796-T1
OG0001907	GBNWX_001187-T1	GBNWY_001146-T1
OG0001908	GBNWX_001189-T1	GBNWY_001425-T1
OG0001909	GBNWX_001190-T1	GBNWY_001426-T1
OG0001910	GBNWX_001191-T1	GBNWY_001427-T1
OG0001911	GBNWX_001192-T1	GBNWY_001428-T1
OG0001912	GBNWX_001193-T1	GBNWY_001429-T1
OG0001913	GBNWX_001195-T1	GBNWY_001431-T1
OG0001914	GBNWX_001196-T1	GBNWY_001432-T1
OG0001915	GBNWX_001198-T1	GBNWY_001434-T1
OG0001916	GBNWX_001199-T1	GBNWY_001435-T1
OG0001917	GBNWX_001200-T1	GBNWY_001436-T1
OG0001918	GBNWX_001201-T1	GBNWY_001437-T1
OG0001919	GBNWX_001202-T1	GBNWY_001438-T1
OG0001920	GBNWX_001203-T1	GBNWY_001439-T1
OG0001921	GBNWX_001204-T1	GBNWY_001440-T1
OG0001922	GBNWX_001205-T1	GBNWY_001441-T1
OG0001923	GBNWX_001206-T1	GBNWY_001442-T1
OG0001924	GBNWX_001208-T1	GBNWY_001445-T1
OG0001925	GBNWX_001210-T1	GBNWY_001447-T1
OG0001926	GBNWX_001211-T1	GBNWY_001448-T1
OG0001927	GBNWX_001212-T1	GBNWY_001449-T1
OG0001928	GBNWX_001213-T1	GBNWY_001450-T1
OG0001929	GBNWX_001214-T1	GBNWY_001451-T1
OG0001930	GBNWX_001215-T1	GBNWY_001452-T1
OG0001931	GBNWX_001217-T1	GBNWY_001454-T1
OG0001932	GBNWX_001218-T1	GBNWY_001180-T1
OG0001933	GBNWX_001219-T1	GBNWY_004497-T1
OG0001934	GBNWX_001220-T1	GBNWY_011151-T1
OG0001935	GBNWX_001221-T1	GBNWY_011150-T1
OG0001936	GBNWX_001224-T1	GBNWY_011148-T1
OG0001937	GBNWX_001225-T1	GBNWY_011147-T1
OG0001938	GBNWX_001227-T1	GBNWY_011145-T1
OG0001939	GBNWX_001228-T1	GBNWY_011144-T1
OG0001940	GBNWX_001229-T1	GBNWY_011143-T1
OG0001941	GBNWX_001232-T1	GBNWY_011140-T1
OG0001942	GBNWX_001233-T1	GBNWY_011139-T1
OG0001943	GBNWX_001234-T1	GBNWY_011138-T1
OG0001944	GBNWX_001235-T1	GBNWY_011137-T1
OG0001945	GBNWX_001236-T1	GBNWY_011136-T1
OG0001946	GBNWX_001237-T1	GBNWY_011135-T1
OG0001947	GBNWX_001240-T1	GBNWY_011132-T1
OG0001948	GBNWX_001241-T1	GBNWY_011131-T1
OG0001949	GBNWX_001243-T1	GBNWY_000114-T1
OG0001950	GBNWX_001244-T1	GBNWY_000113-T1
OG0001951	GBNWX_001245-T1	GBNWY_000112-T1
OG0001952	GBNWX_001246-T1	GBNWY_000111-T1
OG0001953	GBNWX_001247-T1	GBNWY_008048-T1
OG0001954	GBNWX_001248-T1	GBNWY_008047-T1
OG0001955	GBNWX_001249-T1	GBNWY_008046-T1
OG0001956	GBNWX_001250-T1	GBNWY_006155-T1
OG0001957	GBNWX_001251-T1	GBNWY_001179-T1
OG0001958	GBNWX_001252-T1	GBNWY_010599-T1
OG0001959	GBNWX_001253-T1	GBNWY_007733-T1
OG0001960	GBNWX_001256-T1	GBNWY_007730-T1
OG0001961	GBNWX_001257-T1	GBNWY_007729-T1
OG0001962	GBNWX_001259-T1	GBNWY_007727-T1
OG0001963	GBNWX_001260-T1	GBNWY_007726-T1
OG0001964	GBNWX_001262-T1	GBNWY_004072-T1
OG0001965	GBNWX_001263-T1	GBNWY_004073-T1
OG0001966	GBNWX_001264-T1	GBNWY_004074-T1
OG0001967	GBNWX_001267-T1	GBNWY_004077-T1
OG0001968	GBNWX_001268-T1	GBNWY_004078-T1
OG0001969	GBNWX_001269-T1	GBNWY_004079-T1
OG0001970	GBNWX_001270-T1	GBNWY_004080-T1
OG0001971	GBNWX_001273-T1	GBNWY_004083-T1
OG0001972	GBNWX_001274-T1	GBNWY_004084-T1
OG0001973	GBNWX_001277-T1	GBNWY_004087-T1
OG0001974	GBNWX_001279-T1	GBNWY_010339-T1
OG0001975	GBNWX_001281-T1	GBNWY_001700-T1
OG0001976	GBNWX_001282-T1	GBNWY_001699-T1
OG0001977	GBNWX_001283-T1	GBNWY_001698-T1
OG0001978	GBNWX_001286-T1	GBNWY_001695-T1
OG0001979	GBNWX_001287-T1	GBNWY_001694-T1
OG0001980	GBNWX_001288-T1	GBNWY_001693-T1
OG0001981	GBNWX_001290-T1	GBNWY_001691-T1
OG0001982	GBNWX_001291-T1	GBNWY_001690-T1
OG0001983	GBNWX_001292-T1	GBNWY_001689-T1
OG0001984	GBNWX_001293-T1	GBNWY_001688-T1
OG0001985	GBNWX_001295-T1	GBNWY_001687-T1
OG0001986	GBNWX_001296-T1	GBNWY_001686-T1
OG0001987	GBNWX_001297-T1	GBNWY_001685-T1
OG0001988	GBNWX_001299-T1	GBNWY_001683-T1
OG0001989	GBNWX_001301-T1	GBNWY_001681-T1
OG0001990	GBNWX_001302-T1	GBNWY_001680-T1
OG0001991	GBNWX_001303-T1	GBNWY_001679-T1
OG0001992	GBNWX_001305-T1	GBNWY_001677-T1
OG0001993	GBNWX_001306-T1	GBNWY_001676-T1
OG0001994	GBNWX_001307-T1	GBNWY_001675-T1
OG0001995	GBNWX_001315-T1	GBNWY_001629-T1
OG0001996	GBNWX_001316-T1	GBNWY_001630-T1
OG0001997	GBNWX_001317-T1	GBNWY_001631-T1
OG0001998	GBNWX_001318-T1	GBNWY_001632-T1
OG0001999	GBNWX_001319-T1	GBNWY_001633-T1
OG0002000	GBNWX_001320-T1	GBNWY_001634-T1
OG0002001	GBNWX_001321-T1	GBNWY_001635-T1
OG0002002	GBNWX_001322-T1	GBNWY_001636-T1
OG0002003	GBNWX_001323-T1	GBNWY_001637-T1
OG0002004	GBNWX_001324-T1	GBNWY_001638-T1
OG0002005	GBNWX_001325-T1	GBNWY_001639-T1
OG0002006	GBNWX_001326-T1	GBNWY_001640-T1
OG0002007	GBNWX_001328-T1	GBNWY_001642-T1
OG0002008	GBNWX_001329-T1	GBNWY_001643-T1
OG0002009	GBNWX_001330-T1	GBNWY_001644-T1
OG0002010	GBNWX_001331-T1	GBNWY_001645-T1
OG0002011	GBNWX_001332-T1	GBNWY_001646-T1
OG0002012	GBNWX_001333-T1	GBNWY_001647-T1
OG0002013	GBNWX_001334-T1	GBNWY_001648-T1
OG0002014	GBNWX_001337-T1	GBNWY_001458-T1
OG0002015	GBNWX_001338-T1	GBNWY_001459-T1
OG0002016	GBNWX_001341-T1	GBNWY_001462-T1
OG0002017	GBNWX_001342-T1	GBNWY_001463-T1
OG0002018	GBNWX_001343-T1	GBNWY_001464-T1
OG0002019	GBNWX_001344-T1	GBNWY_001465-T1
OG0002020	GBNWX_001345-T1	GBNWY_001466-T1
OG0002021	GBNWX_001348-T1	GBNWY_001469-T1
OG0002022	GBNWX_001349-T1	GBNWY_001470-T1
OG0002023	GBNWX_001350-T1	GBNWY_001471-T1
OG0002024	GBNWX_001351-T1	GBNWY_001472-T1
OG0002025	GBNWX_001352-T1	GBNWY_001473-T1
OG0002026	GBNWX_001354-T1	GBNWY_001475-T1
OG0002027	GBNWX_001355-T1	GBNWY_001476-T1
OG0002028	GBNWX_001358-T1	GBNWY_001478-T1
OG0002029	GBNWX_001359-T1	GBNWY_001479-T1
OG0002030	GBNWX_001360-T1	GBNWY_001480-T1
OG0002031	GBNWX_001361-T1	GBNWY_001481-T1
OG0002032	GBNWX_001362-T1, GBNWX_010249-T1	
OG0002033	GBNWX_001364-T1	GBNWY_001674-T1
OG0002034	GBNWX_001365-T1	GBNWY_001673-T1
OG0002035	GBNWX_001366-T1	GBNWY_001672-T1
OG0002036	GBNWX_001367-T1	GBNWY_001671-T1
OG0002037	GBNWX_001368-T1	GBNWY_001670-T1
OG0002038	GBNWX_001370-T1	GBNWY_001668-T1
OG0002039	GBNWX_001371-T1	GBNWY_001667-T1
OG0002040	GBNWX_001376-T1	GBNWY_001662-T1
OG0002041	GBNWX_001377-T1	GBNWY_001661-T1
OG0002042	GBNWX_001378-T1	GBNWY_001660-T1
OG0002043	GBNWX_001381-T1	GBNWY_001657-T1
OG0002044	GBNWX_001383-T1	GBNWY_001655-T1
OG0002045	GBNWX_001384-T1	GBNWY_001654-T1
OG0002046	GBNWX_001385-T1	GBNWY_001653-T1
OG0002047	GBNWX_001387-T1	GBNWY_001650-T1
OG0002048	GBNWX_001396-T1	GBNWY_001727-T1
OG0002049	GBNWX_001397-T1	GBNWY_001726-T1
OG0002050	GBNWX_001398-T1	GBNWY_001725-T1
OG0002051	GBNWX_001399-T1	GBNWY_001724-T1
OG0002052	GBNWX_001400-T1	GBNWY_001723-T1
OG0002053	GBNWX_001401-T1	GBNWY_001722-T1
OG0002054	GBNWX_001402-T1	GBNWY_001721-T1
OG0002055	GBNWX_001403-T1	GBNWY_001720-T1
OG0002056	GBNWX_001405-T1	GBNWY_001718-T1
OG0002057	GBNWX_001406-T1	GBNWY_001717-T1
OG0002058	GBNWX_001407-T1	GBNWY_001716-T1
OG0002059	GBNWX_001408-T1	GBNWY_001715-T1
OG0002060	GBNWX_001409-T1	GBNWY_001714-T1
OG0002061	GBNWX_001410-T1	GBNWY_001713-T1
OG0002062	GBNWX_001411-T1	GBNWY_001712-T1
OG0002063	GBNWX_001412-T1	GBNWY_001711-T1
OG0002064	GBNWX_001415-T1	GBNWY_001708-T1
OG0002065	GBNWX_001416-T1	GBNWY_001706-T1
OG0002066	GBNWX_001417-T1	GBNWY_001705-T1
OG0002067	GBNWX_001418-T1	GBNWY_001704-T1
OG0002068	GBNWX_001419-T1	GBNWY_001703-T1
OG0002069	GBNWX_001420-T1	GBNWY_001702-T1
OG0002070	GBNWX_001423-T1	GBNWY_005699-T1
OG0002071	GBNWX_001424-T1	GBNWY_005700-T1
OG0002072	GBNWX_001425-T1	GBNWY_005701-T1
OG0002073	GBNWX_001427-T1	GBNWY_005703-T1
OG0002074	GBNWX_001428-T1	GBNWY_005704-T1
OG0002075	GBNWX_001430-T1	GBNWY_005706-T1
OG0002076	GBNWX_001431-T1	GBNWY_005707-T1
OG0002077	GBNWX_001432-T1	GBNWY_005708-T1
OG0002078	GBNWX_001433-T1	GBNWY_005709-T1
OG0002079	GBNWX_001434-T1	GBNWY_005710-T1
OG0002080	GBNWX_001435-T1	GBNWY_000288-T1
OG0002081	GBNWX_001437-T1	GBNWY_000290-T1
OG0002082	GBNWX_001440-T1	GBNWY_000293-T1
OG0002083	GBNWX_001441-T1	GBNWY_000294-T1
OG0002084	GBNWX_001442-T1	GBNWY_000295-T1
OG0002085	GBNWX_001443-T1	GBNWY_000296-T1
OG0002086	GBNWX_001444-T1	GBNWY_000297-T1
OG0002087	GBNWX_001445-T1	GBNWY_000298-T1
OG0002088	GBNWX_001447-T1	GBNWY_000300-T1
OG0002089	GBNWX_001449-T1	GBNWY_003167-T1
OG0002090	GBNWX_001450-T1	GBNWY_003166-T1
OG0002091	GBNWX_001452-T1	GBNWY_003164-T1
OG0002092	GBNWX_001453-T1	GBNWY_003163-T1
OG0002093	GBNWX_001455-T1	GBNWY_003161-T1
OG0002094	GBNWX_001456-T1	GBNWY_003160-T1
OG0002095	GBNWX_001459-T1	GBNWY_003158-T1
OG0002096	GBNWX_001460-T1	GBNWY_003157-T1
OG0002097	GBNWX_001461-T1	GBNWY_003156-T1
OG0002098	GBNWX_001462-T1	GBNWY_003155-T1
OG0002099	GBNWX_001464-T1	GBNWY_003153-T1
OG0002100	GBNWX_001465-T1	GBNWY_003152-T1
OG0002101	GBNWX_001466-T1	GBNWY_003151-T1
OG0002102	GBNWX_001467-T1	GBNWY_003150-T1
OG0002103	GBNWX_001472-T1	GBNWY_009570-T1
OG0002104	GBNWX_001474-T1	GBNWY_009572-T1
OG0002105	GBNWX_001476-T1	GBNWY_009574-T1
OG0002106	GBNWX_001477-T1	GBNWY_009575-T1
OG0002107	GBNWX_001478-T1	GBNWY_009576-T1
OG0002108	GBNWX_001479-T1	GBNWY_009577-T1
OG0002109	GBNWX_001480-T1	GBNWY_009578-T1
OG0002110	GBNWX_001481-T1	GBNWY_009579-T1
OG0002111	GBNWX_001482-T1	GBNWY_009580-T1
OG0002112	GBNWX_001483-T1	GBNWY_009581-T1
OG0002113	GBNWX_001484-T1	GBNWY_009582-T1
OG0002114	GBNWX_001485-T1	GBNWY_009583-T1
OG0002115	GBNWX_001486-T1	GBNWY_009584-T1
OG0002116	GBNWX_001487-T1	GBNWY_009585-T1
OG0002117	GBNWX_001488-T1	GBNWY_009586-T1
OG0002118	GBNWX_001489-T1	GBNWY_009587-T1
OG0002119	GBNWX_001490-T1	GBNWY_009588-T1
OG0002120	GBNWX_001491-T1	GBNWY_009589-T1
OG0002121	GBNWX_001492-T1	GBNWY_009590-T1
OG0002122	GBNWX_001493-T1	GBNWY_009591-T1
OG0002123	GBNWX_001494-T1	GBNWY_009592-T1
OG0002124	GBNWX_001495-T1	GBNWY_009593-T1
OG0002125	GBNWX_001496-T1	GBNWY_009594-T1
OG0002126	GBNWX_001497-T1	GBNWY_009595-T1
OG0002127	GBNWX_001500-T1	GBNWY_009596-T1
OG0002128	GBNWX_001501-T1	GBNWY_009597-T1
OG0002129	GBNWX_001502-T1	GBNWY_009598-T1
OG0002130	GBNWX_001503-T1	GBNWY_009599-T1
OG0002131	GBNWX_001505-T1	GBNWY_009602-T1
OG0002132	GBNWX_001506-T1	GBNWY_009603-T1
OG0002133	GBNWX_001507-T1	GBNWY_009604-T1
OG0002134	GBNWX_001508-T1	GBNWY_009605-T1
OG0002135	GBNWX_001509-T1	GBNWY_009606-T1
OG0002136	GBNWX_001510-T1	GBNWY_009607-T1
OG0002137	GBNWX_001511-T1	GBNWY_009608-T1
OG0002138	GBNWX_001512-T1	GBNWY_009609-T1
OG0002139	GBNWX_001513-T1	GBNWY_009610-T1
OG0002140	GBNWX_001514-T1	GBNWY_009611-T1
OG0002141	GBNWX_001515-T1	GBNWY_011064-T1
OG0002142	GBNWX_001516-T1	GBNWY_002000-T1
OG0002143	GBNWX_001517-T1	GBNWY_002001-T1
OG0002144	GBNWX_001518-T1	GBNWY_002002-T1
OG0002145	GBNWX_001519-T1	GBNWY_002003-T1
OG0002146	GBNWX_001520-T1	GBNWY_002004-T1
OG0002147	GBNWX_001521-T1	GBNWY_002005-T1
OG0002148	GBNWX_001522-T1	GBNWY_002006-T1
OG0002149	GBNWX_001523-T1	GBNWY_002007-T1
OG0002150	GBNWX_001526-T1	GBNWY_002010-T1
OG0002151	GBNWX_001527-T1	GBNWY_002011-T1
OG0002152	GBNWX_001528-T1	GBNWY_002012-T1
OG0002153	GBNWX_001530-T1	GBNWY_002014-T1
OG0002154	GBNWX_001531-T1	GBNWY_002015-T1
OG0002155	GBNWX_001532-T1	GBNWY_002016-T1
OG0002156	GBNWX_001533-T1	GBNWY_002017-T1
OG0002157	GBNWX_001535-T1	GBNWY_002019-T1
OG0002158	GBNWX_001536-T1	GBNWY_002020-T1
OG0002159	GBNWX_001537-T1	GBNWY_002021-T1
OG0002160	GBNWX_001538-T1	GBNWY_002022-T1
OG0002161	GBNWX_001540-T1	GBNWY_002024-T1
OG0002162	GBNWX_001541-T1	GBNWY_002025-T1
OG0002163	GBNWX_001542-T1	GBNWY_002026-T1
OG0002164	GBNWX_001543-T1	GBNWY_002027-T1
OG0002165	GBNWX_001544-T1	GBNWY_002028-T1
OG0002166	GBNWX_001545-T1	GBNWY_001761-T1
OG0002167	GBNWX_001546-T1	GBNWY_001762-T1
OG0002168	GBNWX_001548-T1	GBNWY_001764-T1
OG0002169	GBNWX_001549-T1	GBNWY_001765-T1
OG0002170	GBNWX_001550-T1	GBNWY_001766-T1
OG0002171	GBNWX_001551-T1	GBNWY_001767-T1
OG0002172	GBNWX_001552-T1	GBNWY_001768-T1
OG0002173	GBNWX_001553-T1	GBNWY_001769-T1
OG0002174	GBNWX_001554-T1	GBNWY_001770-T1
OG0002175	GBNWX_001555-T1	GBNWY_001771-T1
OG0002176	GBNWX_001556-T1	GBNWY_001772-T1
