	Pirella_circinans_RSA_622-.aa	Pirella_circinans_RSA_682.aa
OG0009552	GBNTW_010520-T1	
OG0009553	GBNTW_010533-T1	
OG0009554	GBNTW_010535-T1	
OG0009555	GBNTW_010570-T1	
OG0009556	GBNTW_010585-T1	
OG0009557	GBNTW_010587-T1	
OG0009558	GBNTW_010590-T1	
OG0009559	GBNTW_010648-T1	
OG0009560	GBNTW_010652-T1	
OG0009561	GBNTW_010657-T1	
OG0009562	GBNTW_010658-T1	
OG0009563	GBNTW_010673-T1	
OG0009564	GBNTW_010687-T1	
OG0009565	GBNTW_010708-T1	
OG0009566	GBNTW_010716-T1	
OG0009567	GBNTW_010742-T1	
OG0009568	GBNTW_010755-T1	
OG0009569	GBNTW_010769-T1	
OG0009570	GBNTW_010772-T1	
OG0009571	GBNTW_010778-T1	
OG0009572	GBNTW_010820-T1	
OG0009573	GBNTW_010829-T1	
OG0009574	GBNTW_010831-T1	
OG0009575	GBNTW_010862-T1	
OG0009576	GBNTW_010870-T1	
OG0009577	GBNTW_010875-T1	
OG0009578	GBNTW_010881-T1	
OG0009579	GBNTW_010908-T1	
OG0009580	GBNTW_010929-T1	
OG0009581	GBNTW_010937-T1	
OG0009582	GBNTW_010939-T1	
OG0009583	GBNTW_010951-T1	
OG0009584	GBNTW_010958-T1	
OG0009585	GBNTW_010993-T1	
OG0009586	GBNTW_010998-T1	
OG0009587	GBNTW_011003-T1	
OG0009588	GBNTW_011017-T1	
OG0009589	GBNTW_011026-T1	
OG0009590	GBNTW_011033-T1	
OG0009591	GBNTW_011061-T1	
OG0009592	GBNTW_011068-T1	
OG0009593	GBNTW_011076-T1	
OG0009594	GBNTW_011078-T1	
OG0009595	GBNTW_011079-T1	
OG0009596	GBNTW_011085-T1	
OG0009597	GBNTW_011095-T1	
OG0009598	GBNTW_011097-T1	
OG0009599	GBNTW_011098-T1	
OG0009600	GBNTW_011099-T1	
OG0009601	GBNTW_011103-T1	
OG0009602	GBNTW_011106-T1	
OG0009603	GBNTW_011134-T1	
OG0009604	GBNTW_011152-T1	
OG0009605	GBNTW_011171-T1	
OG0009606	GBNTW_011222-T1	
OG0009607	GBNTW_011230-T1	
OG0009608	GBNTW_011235-T1	
OG0009609	GBNTW_011237-T1	
OG0009610	GBNTW_011245-T1	
OG0009611	GBNTW_011266-T1	
OG0009612	GBNTW_011278-T1	
OG0009613	GBNTW_011283-T1	
OG0009614	GBNTW_011289-T1	
OG0009615	GBNTW_011294-T1	
OG0009616	GBNTW_011329-T1	
OG0009617		GBNTX_000045-T1
OG0009618		GBNTX_000051-T1
OG0009619		GBNTX_000053-T1
OG0009620		GBNTX_000088-T1
OG0009621		GBNTX_000091-T1
OG0009622		GBNTX_000113-T1
OG0009623		GBNTX_000119-T1
OG0009624		GBNTX_000134-T1
OG0009625		GBNTX_000143-T1
OG0009626		GBNTX_000148-T1
OG0009627		GBNTX_000157-T1
OG0009628		GBNTX_000158-T1
OG0009629		GBNTX_000165-T1
OG0009630		GBNTX_000166-T1
OG0009631		GBNTX_000167-T1
OG0009632		GBNTX_000168-T1
OG0009633		GBNTX_000169-T1
OG0009634		GBNTX_000172-T1
OG0009635		GBNTX_000175-T1
OG0009636		GBNTX_000185-T1
OG0009637		GBNTX_000217-T1
OG0009638		GBNTX_000218-T1
OG0009639		GBNTX_000233-T1
OG0009640		GBNTX_000250-T1
OG0009641		GBNTX_000251-T1
OG0009642		GBNTX_000267-T1
OG0009643		GBNTX_000291-T1
OG0009644		GBNTX_000294-T1
OG0009645		GBNTX_000302-T1
OG0009646		GBNTX_000336-T1
OG0009647		GBNTX_000337-T1
OG0009648		GBNTX_000369-T1
OG0009649		GBNTX_000403-T1
OG0009650		GBNTX_000431-T1
OG0009651		GBNTX_000473-T1
OG0009652		GBNTX_000483-T1
OG0009653		GBNTX_000484-T1
OG0009654		GBNTX_000501-T1
OG0009655		GBNTX_000503-T1
OG0009656		GBNTX_000505-T1
OG0009657		GBNTX_000510-T1
OG0009658		GBNTX_000511-T1
OG0009659		GBNTX_000524-T1
OG0009660		GBNTX_000534-T1
OG0009661		GBNTX_000536-T1
OG0009662		GBNTX_000545-T1
OG0009663		GBNTX_000598-T1
OG0009664		GBNTX_000599-T1
OG0009665		GBNTX_000610-T1
OG0009666		GBNTX_000615-T1
OG0009667		GBNTX_000632-T1
OG0009668		GBNTX_000635-T1
OG0009669		GBNTX_000679-T1
OG0009670		GBNTX_000690-T1
OG0009671		GBNTX_000692-T1
OG0009672		GBNTX_000704-T1
OG0009673		GBNTX_000722-T1
OG0009674		GBNTX_000737-T1
OG0009675		GBNTX_000741-T1
OG0009676		GBNTX_000742-T1
OG0009677		GBNTX_000772-T1
OG0009678		GBNTX_000774-T1
OG0009679		GBNTX_000798-T1
OG0009680		GBNTX_000808-T1
OG0009681		GBNTX_000827-T1
OG0009682		GBNTX_000835-T1
OG0009683		GBNTX_000849-T1
OG0009684		GBNTX_000850-T1
OG0009685		GBNTX_000874-T1
OG0009686		GBNTX_000876-T1
OG0009687		GBNTX_000880-T1
OG0009688		GBNTX_000888-T1
OG0009689		GBNTX_000909-T1
OG0009690		GBNTX_000913-T1
OG0009691		GBNTX_000914-T1
OG0009692		GBNTX_000938-T1
OG0009693		GBNTX_000953-T1
OG0009694		GBNTX_000955-T1
OG0009695		GBNTX_000985-T1
OG0009696		GBNTX_001032-T1
OG0009697		GBNTX_001042-T1
OG0009698		GBNTX_001045-T1
OG0009699		GBNTX_001057-T1
OG0009700		GBNTX_001067-T1
OG0009701		GBNTX_001068-T1
OG0009702		GBNTX_001069-T1
OG0009703		GBNTX_001070-T1
OG0009704		GBNTX_001072-T1
OG0009705		GBNTX_001075-T1
OG0009706		GBNTX_001078-T1
OG0009707		GBNTX_001081-T1
OG0009708		GBNTX_001082-T1
OG0009709		GBNTX_001087-T1
OG0009710		GBNTX_001094-T1
OG0009711		GBNTX_001108-T1
OG0009712		GBNTX_001115-T1
OG0009713		GBNTX_001138-T1
OG0009714		GBNTX_001143-T1
OG0009715		GBNTX_001152-T1
OG0009716		GBNTX_001153-T1
OG0009717		GBNTX_001154-T1
OG0009718		GBNTX_001155-T1
OG0009719		GBNTX_001175-T1
OG0009720		GBNTX_001190-T1
OG0009721		GBNTX_001214-T1
OG0009722		GBNTX_001219-T1
OG0009723		GBNTX_001225-T1
OG0009724		GBNTX_001241-T1
OG0009725		GBNTX_001272-T1
OG0009726		GBNTX_001279-T1
OG0009727		GBNTX_001281-T1
OG0009728		GBNTX_001282-T1
OG0009729		GBNTX_001286-T1
OG0009730		GBNTX_001298-T1
OG0009731		GBNTX_001310-T1
OG0009732		GBNTX_001311-T1
OG0009733		GBNTX_001314-T1
OG0009734		GBNTX_001317-T1
OG0009735		GBNTX_001318-T1
OG0009736		GBNTX_001329-T1
OG0009737		GBNTX_001355-T1
OG0009738		GBNTX_001362-T1
OG0009739		GBNTX_001393-T1
OG0009740		GBNTX_001403-T1
OG0009741		GBNTX_001409-T1
OG0009742		GBNTX_001410-T1
OG0009743		GBNTX_001413-T1
OG0009744		GBNTX_001447-T1
OG0009745		GBNTX_001455-T1
OG0009746		GBNTX_001456-T1
OG0009747		GBNTX_001474-T1
OG0009748		GBNTX_001484-T1
OG0009749		GBNTX_001492-T1
OG0009750		GBNTX_001508-T1
OG0009751		GBNTX_001512-T1
OG0009752		GBNTX_001518-T1
OG0009753		GBNTX_001535-T1
OG0009754		GBNTX_001538-T1
OG0009755		GBNTX_001539-T1
OG0009756		GBNTX_001542-T1
OG0009757		GBNTX_001545-T1
OG0009758		GBNTX_001559-T1
OG0009759		GBNTX_001568-T1
OG0009760		GBNTX_001574-T1
OG0009761		GBNTX_001583-T1
OG0009762		GBNTX_001599-T1
OG0009763		GBNTX_001606-T1
OG0009764		GBNTX_001613-T1
OG0009765		GBNTX_001617-T1
OG0009766		GBNTX_001624-T1
OG0009767		GBNTX_001673-T1
OG0009768		GBNTX_001680-T1
OG0009769		GBNTX_001739-T1
OG0009770		GBNTX_001753-T1
OG0009771		GBNTX_001757-T1
OG0009772		GBNTX_001760-T1
OG0009773		GBNTX_001769-T1
OG0009774		GBNTX_001777-T1
OG0009775		GBNTX_001778-T1
OG0009776		GBNTX_001791-T1
OG0009777		GBNTX_001799-T1
OG0009778		GBNTX_001817-T1
OG0009779		GBNTX_001821-T1
OG0009780		GBNTX_001830-T1
OG0009781		GBNTX_001842-T1
OG0009782		GBNTX_001847-T1
OG0009783		GBNTX_001876-T1
OG0009784		GBNTX_001878-T1
OG0009785		GBNTX_001882-T1
OG0009786		GBNTX_001886-T1
OG0009787		GBNTX_001892-T1
OG0009788		GBNTX_001893-T1
OG0009789		GBNTX_001907-T1
OG0009790		GBNTX_001909-T1
OG0009791		GBNTX_001912-T1
OG0009792		GBNTX_001915-T1
OG0009793		GBNTX_001931-T1
OG0009794		GBNTX_001935-T1
OG0009795		GBNTX_001936-T1
OG0009796		GBNTX_001940-T1
OG0009797		GBNTX_001943-T1
OG0009798		GBNTX_001955-T1
OG0009799		GBNTX_001956-T1
OG0009800		GBNTX_001972-T1
OG0009801		GBNTX_001982-T1
OG0009802		GBNTX_001991-T1
OG0009803		GBNTX_002008-T1
OG0009804		GBNTX_002028-T1
OG0009805		GBNTX_002033-T1
OG0009806		GBNTX_002042-T1
OG0009807		GBNTX_002053-T1
OG0009808		GBNTX_002056-T1
OG0009809		GBNTX_002062-T1
OG0009810		GBNTX_002065-T1
OG0009811		GBNTX_002073-T1
OG0009812		GBNTX_002082-T1
OG0009813		GBNTX_002083-T1
OG0009814		GBNTX_002094-T1
OG0009815		GBNTX_002107-T1
OG0009816		GBNTX_002111-T1
OG0009817		GBNTX_002134-T1
OG0009818		GBNTX_002141-T1
OG0009819		GBNTX_002142-T1
OG0009820		GBNTX_002144-T1
OG0009821		GBNTX_002154-T1
OG0009822		GBNTX_002161-T1
OG0009823		GBNTX_002168-T1
OG0009824		GBNTX_002179-T1
OG0009825		GBNTX_002200-T1
OG0009826		GBNTX_002201-T1
OG0009827		GBNTX_002203-T1
OG0009828		GBNTX_002207-T1
OG0009829		GBNTX_002208-T1
OG0009830		GBNTX_002212-T1
OG0009831		GBNTX_002224-T1
OG0009832		GBNTX_002228-T1
OG0009833		GBNTX_002235-T1
OG0009834		GBNTX_002256-T1
OG0009835		GBNTX_002258-T1
OG0009836		GBNTX_002259-T1
OG0009837		GBNTX_002261-T1
OG0009838		GBNTX_002287-T1
OG0009839		GBNTX_002291-T1
OG0009840		GBNTX_002302-T1
OG0009841		GBNTX_002310-T1
OG0009842		GBNTX_002311-T1
OG0009843		GBNTX_002312-T1
OG0009844		GBNTX_002314-T1
OG0009845		GBNTX_002316-T1
OG0009846		GBNTX_002318-T1
OG0009847		GBNTX_002337-T1
OG0009848		GBNTX_002340-T1
OG0009849		GBNTX_002357-T1
OG0009850		GBNTX_002362-T1
OG0009851		GBNTX_002368-T1
OG0009852		GBNTX_002430-T1
OG0009853		GBNTX_002432-T1
OG0009854		GBNTX_002448-T1
OG0009855		GBNTX_002466-T1
OG0009856		GBNTX_002467-T1
OG0009857		GBNTX_002476-T1
OG0009858		GBNTX_002480-T1
OG0009859		GBNTX_002483-T1
OG0009860		GBNTX_002486-T1
OG0009861		GBNTX_002487-T1
OG0009862		GBNTX_002488-T1
OG0009863		GBNTX_002491-T1
OG0009864		GBNTX_002492-T1
OG0009865		GBNTX_002494-T1
OG0009866		GBNTX_002499-T1
OG0009867		GBNTX_002500-T1
OG0009868		GBNTX_002501-T1
OG0009869		GBNTX_002512-T1
OG0009870		GBNTX_002518-T1
OG0009871		GBNTX_002535-T1
OG0009872		GBNTX_002560-T1
OG0009873		GBNTX_002566-T1
OG0009874		GBNTX_002579-T1
OG0009875		GBNTX_002586-T1
OG0009876		GBNTX_002594-T1
OG0009877		GBNTX_002603-T1
OG0009878		GBNTX_002606-T1
OG0009879		GBNTX_002616-T1
OG0009880		GBNTX_002620-T1
OG0009881		GBNTX_002622-T1
OG0009882		GBNTX_002633-T1
OG0009883		GBNTX_002634-T1
OG0009884		GBNTX_002638-T1
OG0009885		GBNTX_002654-T1
OG0009886		GBNTX_002658-T1
OG0009887		GBNTX_002704-T1
OG0009888		GBNTX_002721-T1
OG0009889		GBNTX_002725-T1
OG0009890		GBNTX_002727-T1
OG0009891		GBNTX_002728-T1
OG0009892		GBNTX_002739-T1
OG0009893		GBNTX_002748-T1
OG0009894		GBNTX_002749-T1
OG0009895		GBNTX_002811-T1
OG0009896		GBNTX_002828-T1
OG0009897		GBNTX_002850-T1
OG0009898		GBNTX_002855-T1
OG0009899		GBNTX_002856-T1
OG0009900		GBNTX_002859-T1
OG0009901		GBNTX_002872-T1
OG0009902		GBNTX_002903-T1
OG0009903		GBNTX_002904-T1
OG0009904		GBNTX_002905-T1
OG0009905		GBNTX_002906-T1
OG0009906		GBNTX_002928-T1
OG0009907		GBNTX_002934-T1
OG0009908		GBNTX_002935-T1
OG0009909		GBNTX_002947-T1
OG0009910		GBNTX_002951-T1
OG0009911		GBNTX_002954-T1
OG0009912		GBNTX_002955-T1
OG0009913		GBNTX_002956-T1
OG0009914		GBNTX_002978-T1
OG0009915		GBNTX_002980-T1
OG0009916		GBNTX_002990-T1
OG0009917		GBNTX_002991-T1
OG0009918		GBNTX_003002-T1
OG0009919		GBNTX_003009-T1
OG0009920		GBNTX_003034-T1
OG0009921		GBNTX_003036-T1
OG0009922		GBNTX_003048-T1
OG0009923		GBNTX_003049-T1
OG0009924		GBNTX_003051-T1
OG0009925		GBNTX_003060-T1
OG0009926		GBNTX_003065-T1
OG0009927		GBNTX_003069-T1
OG0009928		GBNTX_003075-T1
OG0009929		GBNTX_003078-T1
OG0009930		GBNTX_003105-T1
OG0009931		GBNTX_003107-T1
OG0009932		GBNTX_003109-T1
OG0009933		GBNTX_003110-T1
OG0009934		GBNTX_003121-T1
OG0009935		GBNTX_003124-T1
OG0009936		GBNTX_003125-T1
OG0009937		GBNTX_003127-T1
OG0009938		GBNTX_003134-T1
OG0009939		GBNTX_003139-T1
OG0009940		GBNTX_003147-T1
OG0009941		GBNTX_003148-T1
OG0009942		GBNTX_003157-T1
OG0009943		GBNTX_003169-T1
OG0009944		GBNTX_003171-T1
OG0009945		GBNTX_003185-T1
OG0009946		GBNTX_003187-T1
OG0009947		GBNTX_003203-T1
OG0009948		GBNTX_003205-T1
OG0009949		GBNTX_003208-T1
OG0009950		GBNTX_003209-T1
OG0009951		GBNTX_003211-T1
OG0009952		GBNTX_003213-T1
OG0009953		GBNTX_003227-T1
OG0009954		GBNTX_003229-T1
OG0009955		GBNTX_003231-T1
OG0009956		GBNTX_003234-T1
OG0009957		GBNTX_003243-T1
OG0009958		GBNTX_003259-T1
OG0009959		GBNTX_003317-T1
OG0009960		GBNTX_003318-T1
OG0009961		GBNTX_003331-T1
OG0009962		GBNTX_003332-T1
OG0009963		GBNTX_003351-T1
OG0009964		GBNTX_003352-T1
OG0009965		GBNTX_003357-T1
OG0009966		GBNTX_003359-T1
OG0009967		GBNTX_003374-T1
OG0009968		GBNTX_003391-T1
OG0009969		GBNTX_003392-T1
OG0009970		GBNTX_003413-T1
OG0009971		GBNTX_003414-T1
OG0009972		GBNTX_003416-T1
OG0009973		GBNTX_003434-T1
OG0009974		GBNTX_003435-T1
OG0009975		GBNTX_003453-T1
OG0009976		GBNTX_003478-T1
OG0009977		GBNTX_003480-T1
OG0009978		GBNTX_003491-T1
OG0009979		GBNTX_003492-T1
OG0009980		GBNTX_003495-T1
OG0009981		GBNTX_003507-T1
OG0009982		GBNTX_003509-T1
OG0009983		GBNTX_003531-T1
OG0009984		GBNTX_003534-T1
OG0009985		GBNTX_003536-T1
OG0009986		GBNTX_003539-T1
OG0009987		GBNTX_003550-T1
OG0009988		GBNTX_003551-T1
OG0009989		GBNTX_003553-T1
OG0009990		GBNTX_003572-T1
OG0009991		GBNTX_003588-T1
OG0009992		GBNTX_003593-T1
OG0009993		GBNTX_003604-T1
OG0009994		GBNTX_003615-T1
OG0009995		GBNTX_003621-T1
OG0009996		GBNTX_003669-T1
OG0009997		GBNTX_003696-T1
OG0009998		GBNTX_003715-T1
OG0009999		GBNTX_003725-T1
OG0010000		GBNTX_003736-T1
OG0010001		GBNTX_003789-T1
OG0010002		GBNTX_003808-T1
OG0010003		GBNTX_003811-T1
OG0010004		GBNTX_003816-T1
OG0010005		GBNTX_003835-T1
OG0010006		GBNTX_003857-T1
OG0010007		GBNTX_003874-T1
OG0010008		GBNTX_003892-T1
OG0010009		GBNTX_003931-T1
OG0010010		GBNTX_003941-T1
OG0010011		GBNTX_003945-T1
OG0010012		GBNTX_003953-T1
OG0010013		GBNTX_003957-T1
OG0010014		GBNTX_003980-T1
OG0010015		GBNTX_004103-T1
OG0010016		GBNTX_004119-T1
OG0010017		GBNTX_004134-T1
OG0010018		GBNTX_004135-T1
OG0010019		GBNTX_004166-T1
OG0010020		GBNTX_004174-T1
OG0010021		GBNTX_004201-T1
OG0010022		GBNTX_004241-T1
OG0010023		GBNTX_004272-T1
OG0010024		GBNTX_004324-T1
OG0010025		GBNTX_004344-T1
OG0010026		GBNTX_004347-T1
OG0010027		GBNTX_004366-T1
OG0010028		GBNTX_004383-T1
OG0010029		GBNTX_004393-T1
OG0010030		GBNTX_004450-T1
OG0010031		GBNTX_004460-T1
OG0010032		GBNTX_004481-T1
OG0010033		GBNTX_004482-T1
OG0010034		GBNTX_004499-T1
OG0010035		GBNTX_004502-T1
OG0010036		GBNTX_004506-T1
OG0010037		GBNTX_004511-T1
OG0010038		GBNTX_004538-T1
OG0010039		GBNTX_004596-T1
OG0010040		GBNTX_004607-T1
OG0010041		GBNTX_004632-T1
OG0010042		GBNTX_004636-T1
OG0010043		GBNTX_004676-T1
OG0010044		GBNTX_004683-T1
OG0010045		GBNTX_004698-T1
OG0010046		GBNTX_004727-T1
OG0010047		GBNTX_004762-T1
OG0010048		GBNTX_004768-T1
OG0010049		GBNTX_004785-T1
OG0010050		GBNTX_004790-T1
OG0010051		GBNTX_004791-T1
OG0010052		GBNTX_004792-T1
OG0010053		GBNTX_004814-T1
OG0010054		GBNTX_004824-T1
OG0010055		GBNTX_004828-T1
OG0010056		GBNTX_004829-T1
OG0010057		GBNTX_004845-T1
OG0010058		GBNTX_004866-T1
OG0010059		GBNTX_004879-T1
OG0010060		GBNTX_004886-T1
OG0010061		GBNTX_004907-T1
OG0010062		GBNTX_004913-T1
OG0010063		GBNTX_004935-T1
OG0010064		GBNTX_004956-T1
OG0010065		GBNTX_004964-T1
OG0010066		GBNTX_004970-T1
OG0010067		GBNTX_004979-T1
OG0010068		GBNTX_004983-T1
OG0010069		GBNTX_004998-T1
OG0010070		GBNTX_005035-T1
OG0010071		GBNTX_005040-T1
OG0010072		GBNTX_005046-T1
OG0010073		GBNTX_005098-T1
OG0010074		GBNTX_005108-T1
OG0010075		GBNTX_005132-T1
OG0010076		GBNTX_005150-T1
OG0010077		GBNTX_005164-T1
OG0010078		GBNTX_005179-T1
OG0010079		GBNTX_005203-T1
OG0010080		GBNTX_005207-T1
OG0010081		GBNTX_005214-T1
OG0010082		GBNTX_005230-T1
OG0010083		GBNTX_005241-T1
OG0010084		GBNTX_005246-T1
OG0010085		GBNTX_005259-T1
OG0010086		GBNTX_005262-T1
OG0010087		GBNTX_005267-T1
OG0010088		GBNTX_005297-T1
OG0010089		GBNTX_005298-T1
OG0010090		GBNTX_005319-T1
OG0010091		GBNTX_005345-T1
OG0010092		GBNTX_005346-T1
OG0010093		GBNTX_005359-T1
OG0010094		GBNTX_005374-T1
OG0010095		GBNTX_005375-T1
OG0010096		GBNTX_005388-T1
OG0010097		GBNTX_005389-T1
OG0010098		GBNTX_005394-T1
OG0010099		GBNTX_005398-T1
OG0010100		GBNTX_005401-T1
OG0010101		GBNTX_005408-T1
OG0010102		GBNTX_005426-T1
OG0010103		GBNTX_005430-T1
OG0010104		GBNTX_005433-T1
OG0010105		GBNTX_005444-T1
OG0010106		GBNTX_005452-T1
OG0010107		GBNTX_005469-T1
OG0010108		GBNTX_005503-T1
OG0010109		GBNTX_005506-T1
OG0010110		GBNTX_005525-T1
OG0010111		GBNTX_005529-T1
OG0010112		GBNTX_005548-T1
OG0010113		GBNTX_005559-T1
OG0010114		GBNTX_005564-T1
OG0010115		GBNTX_005572-T1
OG0010116		GBNTX_005579-T1
OG0010117		GBNTX_005589-T1
OG0010118		GBNTX_005590-T1
OG0010119		GBNTX_005628-T1
OG0010120		GBNTX_005635-T1
OG0010121		GBNTX_005642-T1
OG0010122		GBNTX_005654-T1
OG0010123		GBNTX_005668-T1
OG0010124		GBNTX_005726-T1
OG0010125		GBNTX_005730-T1
OG0010126		GBNTX_005739-T1
OG0010127		GBNTX_005743-T1
OG0010128		GBNTX_005747-T1
OG0010129		GBNTX_005755-T1
OG0010130		GBNTX_005757-T1
OG0010131		GBNTX_005759-T1
OG0010132		GBNTX_005766-T1
OG0010133		GBNTX_005772-T1
OG0010134		GBNTX_005801-T1
OG0010135		GBNTX_005823-T1
OG0010136		GBNTX_005824-T1
OG0010137		GBNTX_005825-T1
OG0010138		GBNTX_005831-T1
OG0010139		GBNTX_005848-T1
OG0010140		GBNTX_005857-T1
OG0010141		GBNTX_005896-T1
OG0010142		GBNTX_005898-T1
OG0010143		GBNTX_005935-T1
OG0010144		GBNTX_005948-T1
OG0010145		GBNTX_005958-T1
OG0010146		GBNTX_005973-T1
OG0010147		GBNTX_005994-T1
OG0010148		GBNTX_006053-T1
OG0010149		GBNTX_006058-T1
OG0010150		GBNTX_006073-T1
OG0010151		GBNTX_006074-T1
OG0010152		GBNTX_006101-T1
OG0010153		GBNTX_006112-T1
OG0010154		GBNTX_006186-T1
OG0010155		GBNTX_006189-T1
OG0010156		GBNTX_006202-T1
OG0010157		GBNTX_006210-T1
OG0010158		GBNTX_006222-T1
OG0010159		GBNTX_006236-T1
OG0010160		GBNTX_006246-T1
OG0010161		GBNTX_006331-T1
OG0010162		GBNTX_006369-T1
OG0010163		GBNTX_006388-T1
OG0010164		GBNTX_006396-T1
OG0010165		GBNTX_006400-T1
OG0010166		GBNTX_006412-T1
OG0010167		GBNTX_006415-T1
OG0010168		GBNTX_006445-T1
OG0010169		GBNTX_006449-T1
OG0010170		GBNTX_006453-T1
OG0010171		GBNTX_006463-T1
OG0010172		GBNTX_006469-T1
OG0010173		GBNTX_006473-T1
OG0010174		GBNTX_006495-T1
OG0010175		GBNTX_006510-T1
OG0010176		GBNTX_006540-T1
OG0010177		GBNTX_006545-T1
OG0010178		GBNTX_006557-T1
OG0010179		GBNTX_006559-T1
OG0010180		GBNTX_006577-T1
OG0010181		GBNTX_006590-T1
OG0010182		GBNTX_006595-T1
OG0010183		GBNTX_006598-T1
OG0010184		GBNTX_006607-T1
OG0010185		GBNTX_006618-T1
OG0010186		GBNTX_006630-T1
OG0010187		GBNTX_006655-T1
OG0010188		GBNTX_006673-T1
OG0010189		GBNTX_006686-T1
OG0010190		GBNTX_006730-T1
OG0010191		GBNTX_006751-T1
OG0010192		GBNTX_006757-T1
OG0010193		GBNTX_006765-T1
OG0010194		GBNTX_006799-T1
OG0010195		GBNTX_006800-T1
OG0010196		GBNTX_006802-T1
OG0010197		GBNTX_006879-T1
OG0010198		GBNTX_006945-T1
OG0010199		GBNTX_006952-T1
OG0010200		GBNTX_006973-T1
OG0010201		GBNTX_006985-T1
OG0010202		GBNTX_006995-T1
OG0010203		GBNTX_006999-T1
OG0010204		GBNTX_007000-T1
OG0010205		GBNTX_007005-T1
OG0010206		GBNTX_007016-T1
OG0010207		GBNTX_007024-T1
OG0010208		GBNTX_007027-T1
OG0010209		GBNTX_007029-T1
OG0010210		GBNTX_007048-T1
OG0010211		GBNTX_007068-T1
OG0010212		GBNTX_007122-T1
OG0010213		GBNTX_007123-T1
OG0010214		GBNTX_007234-T1
OG0010215		GBNTX_007245-T1
OG0010216		GBNTX_007251-T1
OG0010217		GBNTX_007276-T1
OG0010218		GBNTX_007278-T1
OG0010219		GBNTX_007302-T1
OG0010220		GBNTX_007312-T1
OG0010221		GBNTX_007314-T1
OG0010222		GBNTX_007347-T1
OG0010223		GBNTX_007353-T1
OG0010224		GBNTX_007360-T1
OG0010225		GBNTX_007369-T1
OG0010226		GBNTX_007379-T1
OG0010227		GBNTX_007389-T1
OG0010228		GBNTX_007409-T1
OG0010229		GBNTX_007456-T1
OG0010230		GBNTX_007491-T1
OG0010231		GBNTX_007492-T1
OG0010232		GBNTX_007493-T1
OG0010233		GBNTX_007495-T1
OG0010234		GBNTX_007499-T1
OG0010235		GBNTX_007504-T1
OG0010236		GBNTX_007530-T1
OG0010237		GBNTX_007537-T1
OG0010238		GBNTX_007538-T1
OG0010239		GBNTX_007548-T1
OG0010240		GBNTX_007551-T1
OG0010241		GBNTX_007568-T1
OG0010242		GBNTX_007571-T1
OG0010243		GBNTX_007602-T1
OG0010244		GBNTX_007610-T1
OG0010245		GBNTX_007626-T1
OG0010246		GBNTX_007628-T1
OG0010247		GBNTX_007635-T1
OG0010248		GBNTX_007639-T1
OG0010249		GBNTX_007663-T1
OG0010250		GBNTX_007672-T1
OG0010251		GBNTX_007673-T1
OG0010252		GBNTX_007676-T1
OG0010253		GBNTX_007685-T1
OG0010254		GBNTX_007694-T1
OG0010255		GBNTX_007704-T1
OG0010256		GBNTX_007709-T1
OG0010257		GBNTX_007710-T1
OG0010258		GBNTX_007760-T1
OG0010259		GBNTX_007765-T1
OG0010260		GBNTX_007786-T1
OG0010261		GBNTX_007787-T1
OG0010262		GBNTX_007807-T1
OG0010263		GBNTX_007822-T1
OG0010264		GBNTX_007843-T1
OG0010265		GBNTX_007914-T1
OG0010266		GBNTX_007921-T1
OG0010267		GBNTX_007935-T1
OG0010268		GBNTX_007943-T1
OG0010269		GBNTX_007956-T1
OG0010270		GBNTX_007960-T1
OG0010271		GBNTX_007964-T1
OG0010272		GBNTX_007965-T1
OG0010273		GBNTX_007968-T1
OG0010274		GBNTX_008007-T1
OG0010275		GBNTX_008023-T1
OG0010276		GBNTX_008092-T1
OG0010277		GBNTX_008103-T1
OG0010278		GBNTX_008131-T1
OG0010279		GBNTX_008159-T1
OG0010280		GBNTX_008166-T1
OG0010281		GBNTX_008190-T1
OG0010282		GBNTX_008211-T1
OG0010283		GBNTX_008229-T1
OG0010284		GBNTX_008271-T1
OG0010285		GBNTX_008306-T1
OG0010286		GBNTX_008309-T1
OG0010287		GBNTX_008310-T1
OG0010288		GBNTX_008311-T1
OG0010289		GBNTX_008316-T1
OG0010290		GBNTX_008339-T1
OG0010291		GBNTX_008349-T1
OG0010292		GBNTX_008352-T1
OG0010293		GBNTX_008387-T1
OG0010294		GBNTX_008420-T1
OG0010295		GBNTX_008438-T1
OG0010296		GBNTX_008446-T1
OG0010297		GBNTX_008489-T1
OG0010298		GBNTX_008492-T1
OG0010299		GBNTX_008506-T1
OG0010300		GBNTX_008554-T1
OG0010301		GBNTX_008572-T1
OG0010302		GBNTX_008577-T1
OG0010303		GBNTX_008586-T1
OG0010304		GBNTX_008588-T1
OG0010305		GBNTX_008589-T1
OG0010306		GBNTX_008600-T1
OG0010307		GBNTX_008610-T1
OG0010308		GBNTX_008614-T1
OG0010309		GBNTX_008624-T1
OG0010310		GBNTX_008661-T1
OG0010311		GBNTX_008701-T1
OG0010312		GBNTX_008705-T1
OG0010313		GBNTX_008715-T1
OG0010314		GBNTX_008736-T1
OG0010315		GBNTX_008797-T1
OG0010316		GBNTX_008805-T1
OG0010317		GBNTX_008811-T1
OG0010318		GBNTX_008812-T1
OG0010319		GBNTX_008814-T1
OG0010320		GBNTX_008815-T1
OG0010321		GBNTX_008870-T1
OG0010322		GBNTX_008887-T1
OG0010323		GBNTX_008897-T1
