	Thamnostylum_lucknowense_RSA_1015_Plus-T.aa	Thamnostylum_lucknowense_RSA_1093-.aa
OG0009550	GBNSX_003940-T1	
OG0009551	GBNSX_003941-T1	
OG0009552	GBNSX_003943-T1	
OG0009553	GBNSX_003951-T1	
OG0009554	GBNSX_003980-T1	
OG0009555	GBNSX_003981-T1	
OG0009556	GBNSX_003999-T1	
OG0009557	GBNSX_004002-T1	
OG0009558	GBNSX_004036-T1	
OG0009559	GBNSX_004040-T1	
OG0009560	GBNSX_004051-T1	
OG0009561	GBNSX_004052-T1	
OG0009562	GBNSX_004055-T1	
OG0009563	GBNSX_004064-T1	
OG0009564	GBNSX_004072-T1	
OG0009565	GBNSX_004075-T1	
OG0009566	GBNSX_004077-T1	
OG0009567	GBNSX_004078-T1	
OG0009568	GBNSX_004097-T1	
OG0009569	GBNSX_004099-T1	
OG0009570	GBNSX_004125-T1	
OG0009571	GBNSX_004126-T1	
OG0009572	GBNSX_004141-T1	
OG0009573	GBNSX_004143-T1	
OG0009574	GBNSX_004144-T1	
OG0009575	GBNSX_004172-T1	
OG0009576	GBNSX_004174-T1	
OG0009577	GBNSX_004189-T1	
OG0009578	GBNSX_004190-T1	
OG0009579	GBNSX_004209-T1	
OG0009580	GBNSX_004210-T1	
OG0009581	GBNSX_004238-T1	
OG0009582	GBNSX_004258-T1	
OG0009583	GBNSX_004273-T1	
OG0009584	GBNSX_004283-T1	
OG0009585	GBNSX_004288-T1	
OG0009586	GBNSX_004291-T1	
OG0009587	GBNSX_004308-T1	
OG0009588	GBNSX_004330-T1	
OG0009589	GBNSX_004350-T1	
OG0009590	GBNSX_004355-T1	
OG0009591	GBNSX_004374-T1	
OG0009592	GBNSX_004375-T1	
OG0009593	GBNSX_004401-T1	
OG0009594	GBNSX_004433-T1	
OG0009595	GBNSX_004441-T1	
OG0009596	GBNSX_004443-T1	
OG0009597	GBNSX_004454-T1	
OG0009598	GBNSX_004472-T1	
OG0009599	GBNSX_004514-T1	
OG0009600	GBNSX_004521-T1	
OG0009601	GBNSX_004524-T1	
OG0009602	GBNSX_004531-T1	
OG0009603	GBNSX_004532-T1	
OG0009604	GBNSX_004533-T1	
OG0009605	GBNSX_004537-T1	
OG0009606	GBNSX_004575-T1	
OG0009607	GBNSX_004585-T1	
OG0009608	GBNSX_004603-T1	
OG0009609	GBNSX_004606-T1	
OG0009610	GBNSX_004618-T1	
OG0009611	GBNSX_004619-T1	
OG0009612	GBNSX_004622-T1	
OG0009613	GBNSX_004628-T1	
OG0009614	GBNSX_004629-T1	
OG0009615	GBNSX_004631-T1	
OG0009616	GBNSX_004634-T1	
OG0009617	GBNSX_004642-T1	
OG0009618	GBNSX_004661-T1	
OG0009619	GBNSX_004667-T1	
OG0009620	GBNSX_004687-T1	
OG0009621	GBNSX_004718-T1	
OG0009622	GBNSX_004748-T1	
OG0009623	GBNSX_004756-T1	
OG0009624	GBNSX_004757-T1	
OG0009625	GBNSX_004766-T1	
OG0009626	GBNSX_004770-T1	
OG0009627	GBNSX_004778-T1	
OG0009628	GBNSX_004786-T1	
OG0009629	GBNSX_004788-T1	
OG0009630	GBNSX_004814-T1	
OG0009631	GBNSX_004822-T1	
OG0009632	GBNSX_004837-T1	
OG0009633	GBNSX_004842-T1	
OG0009634	GBNSX_004852-T1	
OG0009635	GBNSX_004895-T1	
OG0009636	GBNSX_004898-T1	
OG0009637	GBNSX_004915-T1	
OG0009638	GBNSX_004934-T1	
OG0009639	GBNSX_004937-T1	
OG0009640	GBNSX_004939-T1	
OG0009641	GBNSX_004942-T1	
OG0009642	GBNSX_004948-T1	
OG0009643	GBNSX_004958-T1	
OG0009644	GBNSX_004959-T1	
OG0009645	GBNSX_004983-T1	
OG0009646	GBNSX_005001-T1	
OG0009647	GBNSX_005032-T1	
OG0009648	GBNSX_005047-T1	
OG0009649	GBNSX_005048-T1	
OG0009650	GBNSX_005051-T1	
OG0009651	GBNSX_005052-T1	
OG0009652	GBNSX_005064-T1	
OG0009653	GBNSX_005077-T1	
OG0009654	GBNSX_005092-T1	
OG0009655	GBNSX_005093-T1	
OG0009656	GBNSX_005094-T1	
OG0009657	GBNSX_005099-T1	
OG0009658	GBNSX_005106-T1	
OG0009659	GBNSX_005109-T1	
OG0009660	GBNSX_005163-T1	
OG0009661	GBNSX_005190-T1	
OG0009662	GBNSX_005201-T1	
OG0009663	GBNSX_005204-T1	
OG0009664	GBNSX_005209-T1	
OG0009665	GBNSX_005227-T1	
OG0009666	GBNSX_005232-T1	
OG0009667	GBNSX_005260-T1	
OG0009668	GBNSX_005273-T1	
OG0009669	GBNSX_005278-T1	
OG0009670	GBNSX_005280-T1	
OG0009671	GBNSX_005284-T1	
OG0009672	GBNSX_005294-T1	
OG0009673	GBNSX_005307-T1	
OG0009674	GBNSX_005308-T1	
OG0009675	GBNSX_005311-T1	
OG0009676	GBNSX_005313-T1	
OG0009677	GBNSX_005314-T1	
OG0009678	GBNSX_005315-T1	
OG0009679	GBNSX_005324-T1	
OG0009680	GBNSX_005352-T1	
OG0009681	GBNSX_005364-T1	
OG0009682	GBNSX_005365-T1	
OG0009683	GBNSX_005377-T1	
OG0009684	GBNSX_005384-T1	
OG0009685	GBNSX_005388-T1	
OG0009686	GBNSX_005402-T1	
OG0009687	GBNSX_005413-T1	
OG0009688	GBNSX_005436-T1	
OG0009689	GBNSX_005463-T1	
OG0009690	GBNSX_005464-T1	
OG0009691	GBNSX_005468-T1	
OG0009692	GBNSX_005480-T1	
OG0009693	GBNSX_005485-T1	
OG0009694	GBNSX_005495-T1	
OG0009695	GBNSX_005496-T1	
OG0009696	GBNSX_005497-T1	
OG0009697	GBNSX_005506-T1	
OG0009698	GBNSX_005539-T1	
OG0009699	GBNSX_005543-T1	
OG0009700	GBNSX_005550-T1	
OG0009701	GBNSX_005551-T1	
OG0009702	GBNSX_005555-T1	
OG0009703	GBNSX_005556-T1	
OG0009704	GBNSX_005558-T1	
OG0009705	GBNSX_005559-T1	
OG0009706	GBNSX_005572-T1	
OG0009707	GBNSX_005580-T1	
OG0009708	GBNSX_005587-T1	
OG0009709	GBNSX_005635-T1	
OG0009710	GBNSX_005642-T1	
OG0009711	GBNSX_005652-T1	
OG0009712	GBNSX_005662-T1	
OG0009713	GBNSX_005665-T1	
OG0009714	GBNSX_005667-T1	
OG0009715	GBNSX_005669-T1	
OG0009716	GBNSX_005678-T1	
OG0009717	GBNSX_005712-T1	
OG0009718	GBNSX_005716-T1	
OG0009719	GBNSX_005719-T1	
OG0009720	GBNSX_005720-T1	
OG0009721	GBNSX_005730-T1	
OG0009722	GBNSX_005738-T1	
OG0009723	GBNSX_005759-T1	
OG0009724	GBNSX_005771-T1	
OG0009725	GBNSX_005783-T1	
OG0009726	GBNSX_005792-T1	
OG0009727	GBNSX_005793-T1	
OG0009728	GBNSX_005798-T1	
OG0009729	GBNSX_005799-T1	
OG0009730	GBNSX_005814-T1	
OG0009731	GBNSX_005815-T1	
OG0009732	GBNSX_005826-T1	
OG0009733	GBNSX_005844-T1	
OG0009734	GBNSX_005877-T1	
OG0009735	GBNSX_005885-T1	
OG0009736	GBNSX_005894-T1	
OG0009737	GBNSX_005912-T1	
OG0009738	GBNSX_005913-T1	
OG0009739	GBNSX_005925-T1	
OG0009740	GBNSX_005935-T1	
OG0009741	GBNSX_005948-T1	
OG0009742	GBNSX_005962-T1	
OG0009743	GBNSX_005963-T1	
OG0009744	GBNSX_005970-T1	
OG0009745	GBNSX_005984-T1	
OG0009746	GBNSX_005987-T1	
OG0009747	GBNSX_005988-T1	
OG0009748	GBNSX_005990-T1	
OG0009749	GBNSX_005991-T1	
OG0009750	GBNSX_005995-T1	
OG0009751	GBNSX_006000-T1	
OG0009752	GBNSX_006006-T1	
OG0009753	GBNSX_006018-T1	
OG0009754	GBNSX_006022-T1	
OG0009755	GBNSX_006029-T1	
OG0009756	GBNSX_006071-T1	
OG0009757	GBNSX_006072-T1	
OG0009758	GBNSX_006076-T1	
OG0009759	GBNSX_006087-T1	
OG0009760	GBNSX_006090-T1	
OG0009761	GBNSX_006104-T1	
OG0009762	GBNSX_006115-T1	
OG0009763	GBNSX_006129-T1	
OG0009764	GBNSX_006132-T1	
OG0009765	GBNSX_006151-T1	
OG0009766	GBNSX_006162-T1	
OG0009767	GBNSX_006173-T1	
OG0009768	GBNSX_006177-T1	
OG0009769	GBNSX_006200-T1	
OG0009770	GBNSX_006201-T1	
OG0009771	GBNSX_006204-T1	
OG0009772	GBNSX_006212-T1	
OG0009773	GBNSX_006217-T1	
OG0009774	GBNSX_006219-T1	
OG0009775	GBNSX_006233-T1	
OG0009776	GBNSX_006236-T1	
OG0009777	GBNSX_006243-T1	
OG0009778	GBNSX_006255-T1	
OG0009779	GBNSX_006256-T1	
OG0009780	GBNSX_006264-T1	
OG0009781	GBNSX_006280-T1	
OG0009782	GBNSX_006281-T1	
OG0009783	GBNSX_006283-T1	
OG0009784	GBNSX_006290-T1	
OG0009785	GBNSX_006298-T1	
OG0009786	GBNSX_006322-T1	
OG0009787	GBNSX_006348-T1	
OG0009788	GBNSX_006358-T1	
OG0009789	GBNSX_006364-T1	
OG0009790	GBNSX_006378-T1	
OG0009791	GBNSX_006401-T1	
OG0009792	GBNSX_006413-T1	
OG0009793	GBNSX_006422-T1	
OG0009794	GBNSX_006433-T1	
OG0009795	GBNSX_006434-T1	
OG0009796	GBNSX_006456-T1	
OG0009797	GBNSX_006460-T1	
OG0009798	GBNSX_006472-T1	
OG0009799	GBNSX_006482-T1	
OG0009800	GBNSX_006485-T1	
OG0009801	GBNSX_006506-T1	
OG0009802	GBNSX_006515-T1	
OG0009803	GBNSX_006518-T1	
OG0009804	GBNSX_006543-T1	
OG0009805	GBNSX_006545-T1	
OG0009806	GBNSX_006554-T1	
OG0009807	GBNSX_006558-T1	
OG0009808	GBNSX_006587-T1	
OG0009809	GBNSX_006588-T1	
OG0009810	GBNSX_006593-T1	
OG0009811	GBNSX_006607-T1	
OG0009812	GBNSX_006617-T1	
OG0009813	GBNSX_006618-T1	
OG0009814	GBNSX_006642-T1	
OG0009815	GBNSX_006643-T1	
OG0009816	GBNSX_006644-T1	
OG0009817	GBNSX_006645-T1	
OG0009818	GBNSX_006648-T1	
OG0009819	GBNSX_006666-T1	
OG0009820	GBNSX_006668-T1	
OG0009821	GBNSX_006669-T1	
OG0009822	GBNSX_006676-T1	
OG0009823	GBNSX_006686-T1	
OG0009824	GBNSX_006714-T1	
OG0009825	GBNSX_006722-T1	
OG0009826	GBNSX_006728-T1	
OG0009827	GBNSX_006732-T1	
OG0009828	GBNSX_006733-T1	
OG0009829	GBNSX_006735-T1	
OG0009830	GBNSX_006748-T1	
OG0009831	GBNSX_006763-T1	
OG0009832	GBNSX_006771-T1	
OG0009833	GBNSX_006776-T1	
OG0009834	GBNSX_006796-T1	
OG0009835	GBNSX_006803-T1	
OG0009836	GBNSX_006807-T1	
OG0009837	GBNSX_006827-T1	
OG0009838	GBNSX_006855-T1	
OG0009839	GBNSX_006862-T1	
OG0009840	GBNSX_006870-T1	
OG0009841	GBNSX_006884-T1	
OG0009842	GBNSX_006885-T1	
OG0009843	GBNSX_006891-T1	
OG0009844	GBNSX_006892-T1	
OG0009845	GBNSX_006893-T1	
OG0009846	GBNSX_006907-T1	
OG0009847	GBNSX_006917-T1	
OG0009848	GBNSX_006918-T1	
OG0009849	GBNSX_006919-T1	
OG0009850	GBNSX_006920-T1	
OG0009851	GBNSX_006937-T1	
OG0009852	GBNSX_006953-T1	
OG0009853	GBNSX_006954-T1	
OG0009854	GBNSX_006974-T1	
OG0009855	GBNSX_006975-T1	
OG0009856	GBNSX_006976-T1	
OG0009857	GBNSX_006978-T1	
OG0009858	GBNSX_006985-T1	
OG0009859	GBNSX_006992-T1	
OG0009860	GBNSX_006999-T1	
OG0009861	GBNSX_007010-T1	
OG0009862	GBNSX_007064-T1	
OG0009863	GBNSX_007067-T1	
OG0009864	GBNSX_007073-T1	
OG0009865	GBNSX_007074-T1	
OG0009866	GBNSX_007077-T1	
OG0009867	GBNSX_007081-T1	
OG0009868	GBNSX_007087-T1	
OG0009869	GBNSX_007090-T1	
OG0009870	GBNSX_007104-T1	
OG0009871	GBNSX_007105-T1	
OG0009872	GBNSX_007106-T1	
OG0009873	GBNSX_007123-T1	
OG0009874	GBNSX_007131-T1	
OG0009875	GBNSX_007133-T1	
OG0009876	GBNSX_007142-T1	
OG0009877	GBNSX_007149-T1	
OG0009878	GBNSX_007161-T1	
OG0009879	GBNSX_007166-T1	
OG0009880	GBNSX_007182-T1	
OG0009881	GBNSX_007183-T1	
OG0009882	GBNSX_007197-T1	
OG0009883	GBNSX_007198-T1	
OG0009884	GBNSX_007205-T1	
OG0009885	GBNSX_007219-T1	
OG0009886	GBNSX_007227-T1	
OG0009887	GBNSX_007231-T1	
OG0009888	GBNSX_007234-T1	
OG0009889	GBNSX_007239-T1	
OG0009890	GBNSX_007249-T1	
OG0009891	GBNSX_007251-T1	
OG0009892	GBNSX_007259-T1	
OG0009893	GBNSX_007262-T1	
OG0009894	GBNSX_007276-T1	
OG0009895	GBNSX_007284-T1	
OG0009896	GBNSX_007295-T1	
OG0009897	GBNSX_007296-T1	
OG0009898	GBNSX_007297-T1	
OG0009899	GBNSX_007308-T1	
OG0009900	GBNSX_007345-T1	
OG0009901	GBNSX_007387-T1	
OG0009902	GBNSX_007394-T1	
OG0009903	GBNSX_007395-T1	
OG0009904	GBNSX_007396-T1	
OG0009905	GBNSX_007397-T1	
OG0009906	GBNSX_007405-T1	
OG0009907	GBNSX_007412-T1	
OG0009908	GBNSX_007420-T1	
OG0009909	GBNSX_007422-T1	
OG0009910	GBNSX_007437-T1	
OG0009911	GBNSX_007458-T1	
OG0009912	GBNSX_007459-T1	
OG0009913	GBNSX_007478-T1	
OG0009914	GBNSX_007481-T1	
OG0009915	GBNSX_007488-T1	
OG0009916	GBNSX_007495-T1	
OG0009917	GBNSX_007503-T1	
OG0009918	GBNSX_007519-T1	
OG0009919	GBNSX_007529-T1	
OG0009920	GBNSX_007533-T1	
OG0009921	GBNSX_007535-T1	
OG0009922	GBNSX_007553-T1	
OG0009923	GBNSX_007571-T1	
OG0009924	GBNSX_007572-T1	
OG0009925	GBNSX_007578-T1	
OG0009926	GBNSX_007579-T1	
OG0009927	GBNSX_007590-T1	
OG0009928	GBNSX_007601-T1	
OG0009929	GBNSX_007603-T1	
OG0009930	GBNSX_007604-T1	
OG0009931	GBNSX_007606-T1	
OG0009932	GBNSX_007616-T1	
OG0009933	GBNSX_007626-T1	
OG0009934	GBNSX_007645-T1	
OG0009935	GBNSX_007649-T1	
OG0009936	GBNSX_007654-T1	
OG0009937	GBNSX_007659-T1	
OG0009938	GBNSX_007669-T1	
OG0009939	GBNSX_007686-T1	
OG0009940	GBNSX_007703-T1	
OG0009941	GBNSX_007711-T1	
OG0009942	GBNSX_007713-T1	
OG0009943	GBNSX_007727-T1	
OG0009944	GBNSX_007750-T1	
OG0009945	GBNSX_007753-T1	
OG0009946	GBNSX_007783-T1	
OG0009947	GBNSX_007791-T1	
OG0009948	GBNSX_007796-T1	
OG0009949	GBNSX_007804-T1	
OG0009950	GBNSX_007808-T1	
OG0009951	GBNSX_007811-T1	
OG0009952	GBNSX_007827-T1	
OG0009953	GBNSX_007828-T1	
OG0009954	GBNSX_007841-T1	
OG0009955	GBNSX_007850-T1	
OG0009956	GBNSX_007852-T1	
OG0009957	GBNSX_007858-T1	
OG0009958	GBNSX_007860-T1	
OG0009959	GBNSX_007866-T1	
OG0009960	GBNSX_007880-T1	
OG0009961	GBNSX_007887-T1	
OG0009962	GBNSX_007889-T1	
OG0009963	GBNSX_007911-T1	
OG0009964	GBNSX_007919-T1	
OG0009965	GBNSX_007920-T1	
OG0009966	GBNSX_007943-T1	
OG0009967	GBNSX_007944-T1	
OG0009968	GBNSX_007945-T1	
OG0009969	GBNSX_007946-T1	
OG0009970	GBNSX_007951-T1	
OG0009971	GBNSX_007954-T1	
OG0009972	GBNSX_007973-T1	
OG0009973	GBNSX_007974-T1	
OG0009974	GBNSX_007991-T1	
OG0009975	GBNSX_007996-T1	
OG0009976	GBNSX_008013-T1	
OG0009977	GBNSX_008022-T1	
OG0009978	GBNSX_008027-T1	
OG0009979	GBNSX_008033-T1	
OG0009980	GBNSX_008059-T1	
OG0009981	GBNSX_008064-T1	
OG0009982	GBNSX_008075-T1	
OG0009983	GBNSX_008081-T1	
OG0009984	GBNSX_008096-T1	
OG0009985	GBNSX_008120-T1	
OG0009986	GBNSX_008131-T1	
OG0009987	GBNSX_008149-T1	
OG0009988	GBNSX_008161-T1	
OG0009989	GBNSX_008176-T1	
OG0009990	GBNSX_008186-T1	
OG0009991	GBNSX_008187-T1	
OG0009992	GBNSX_008188-T1	
OG0009993	GBNSX_008189-T1	
OG0009994	GBNSX_008196-T1	
OG0009995	GBNSX_008197-T1	
OG0009996	GBNSX_008206-T1	
OG0009997	GBNSX_008210-T1	
OG0009998	GBNSX_008221-T1	
OG0009999	GBNSX_008222-T1	
OG0010000	GBNSX_008245-T1	
OG0010001	GBNSX_008250-T1	
OG0010002	GBNSX_008257-T1	
OG0010003	GBNSX_008282-T1	
OG0010004	GBNSX_008288-T1	
OG0010005	GBNSX_008327-T1	
OG0010006	GBNSX_008330-T1	
OG0010007	GBNSX_008335-T1	
OG0010008	GBNSX_008336-T1	
OG0010009	GBNSX_008341-T1	
OG0010010	GBNSX_008379-T1	
OG0010011	GBNSX_008380-T1	
OG0010012	GBNSX_008389-T1	
OG0010013	GBNSX_008398-T1	
OG0010014	GBNSX_008426-T1	
OG0010015	GBNSX_008427-T1	
OG0010016	GBNSX_008428-T1	
OG0010017	GBNSX_008444-T1	
OG0010018	GBNSX_008446-T1	
OG0010019	GBNSX_008461-T1	
OG0010020	GBNSX_008504-T1	
OG0010021	GBNSX_008511-T1	
OG0010022	GBNSX_008524-T1	
OG0010023	GBNSX_008527-T1	
OG0010024	GBNSX_008528-T1	
OG0010025	GBNSX_008533-T1	
OG0010026	GBNSX_008545-T1	
OG0010027	GBNSX_008546-T1	
OG0010028	GBNSX_008581-T1	
OG0010029	GBNSX_008592-T1	
OG0010030	GBNSX_008600-T1	
OG0010031	GBNSX_008601-T1	
OG0010032	GBNSX_008605-T1	
OG0010033	GBNSX_008632-T1	
OG0010034	GBNSX_008634-T1	
OG0010035	GBNSX_008649-T1	
OG0010036	GBNSX_008659-T1	
OG0010037	GBNSX_008673-T1	
OG0010038	GBNSX_008678-T1	
OG0010039	GBNSX_008682-T1	
OG0010040	GBNSX_008721-T1	
OG0010041	GBNSX_008722-T1	
OG0010042	GBNSX_008728-T1	
OG0010043	GBNSX_008746-T1	
OG0010044	GBNSX_008748-T1	
OG0010045	GBNSX_008756-T1	
OG0010046	GBNSX_008773-T1	
OG0010047	GBNSX_008778-T1	
OG0010048	GBNSX_008806-T1	
OG0010049	GBNSX_008823-T1	
OG0010050	GBNSX_008828-T1	
OG0010051	GBNSX_008842-T1	
OG0010052	GBNSX_008845-T1	
OG0010053	GBNSX_008846-T1	
OG0010054	GBNSX_008885-T1	
OG0010055	GBNSX_008888-T1	
OG0010056	GBNSX_008894-T1	
OG0010057	GBNSX_008912-T1	
OG0010058	GBNSX_008922-T1	
OG0010059	GBNSX_008948-T1	
OG0010060	GBNSX_008961-T1	
OG0010061	GBNSX_008975-T1	
OG0010062	GBNSX_008982-T1	
OG0010063	GBNSX_008988-T1	
OG0010064	GBNSX_008996-T1	
OG0010065	GBNSX_009015-T1	
OG0010066	GBNSX_009022-T1	
OG0010067	GBNSX_009025-T1	
OG0010068	GBNSX_009030-T1	
OG0010069	GBNSX_009032-T1	
OG0010070	GBNSX_009043-T1	
OG0010071	GBNSX_009044-T1	
OG0010072	GBNSX_009047-T1	
OG0010073	GBNSX_009048-T1	
OG0010074	GBNSX_009054-T1	
OG0010075	GBNSX_009067-T1	
OG0010076	GBNSX_009068-T1	
OG0010077	GBNSX_009079-T1	
OG0010078	GBNSX_009084-T1	
OG0010079	GBNSX_009086-T1	
OG0010080	GBNSX_009088-T1	
OG0010081	GBNSX_009092-T1	
OG0010082	GBNSX_009100-T1	
OG0010083	GBNSX_009131-T1	
OG0010084	GBNSX_009140-T1	
OG0010085	GBNSX_009142-T1	
OG0010086	GBNSX_009148-T1	
OG0010087	GBNSX_009153-T1	
OG0010088	GBNSX_009161-T1	
OG0010089	GBNSX_009162-T1	
OG0010090	GBNSX_009180-T1	
OG0010091	GBNSX_009184-T1	
OG0010092	GBNSX_009202-T1	
OG0010093	GBNSX_009227-T1	
OG0010094	GBNSX_009228-T1	
OG0010095	GBNSX_009231-T1	
OG0010096	GBNSX_009245-T1	
OG0010097	GBNSX_009246-T1	
OG0010098	GBNSX_009254-T1	
OG0010099	GBNSX_009264-T1	
OG0010100	GBNSX_009289-T1	
OG0010101	GBNSX_009301-T1	
OG0010102	GBNSX_009308-T1	
OG0010103	GBNSX_009322-T1	
OG0010104	GBNSX_009323-T1	
OG0010105	GBNSX_009330-T1	
OG0010106	GBNSX_009331-T1	
OG0010107	GBNSX_009336-T1	
OG0010108	GBNSX_009350-T1	
OG0010109	GBNSX_009364-T1	
OG0010110	GBNSX_009365-T1	
OG0010111	GBNSX_009366-T1	
OG0010112	GBNSX_009367-T1	
OG0010113	GBNSX_009388-T1	
OG0010114	GBNSX_009391-T1	
OG0010115	GBNSX_009403-T1	
OG0010116	GBNSX_009404-T1	
OG0010117	GBNSX_009407-T1	
OG0010118	GBNSX_009415-T1	
OG0010119	GBNSX_009418-T1	
OG0010120	GBNSX_009419-T1	
OG0010121	GBNSX_009446-T1	
OG0010122	GBNSX_009448-T1	
OG0010123	GBNSX_009453-T1	
OG0010124	GBNSX_009462-T1	
OG0010125	GBNSX_009469-T1	
OG0010126	GBNSX_009470-T1	
OG0010127	GBNSX_009474-T1	
OG0010128	GBNSX_009486-T1	
OG0010129	GBNSX_009488-T1	
OG0010130	GBNSX_009496-T1	
OG0010131	GBNSX_009499-T1	
OG0010132	GBNSX_009509-T1	
OG0010133	GBNSX_009510-T1	
OG0010134	GBNSX_009512-T1	
OG0010135	GBNSX_009513-T1	
OG0010136	GBNSX_009524-T1	
OG0010137	GBNSX_009536-T1	
OG0010138	GBNSX_009538-T1	
OG0010139	GBNSX_009561-T1	
OG0010140	GBNSX_009576-T1	
OG0010141	GBNSX_009591-T1	
OG0010142	GBNSX_009594-T1	
OG0010143	GBNSX_009595-T1	
OG0010144	GBNSX_009613-T1	
OG0010145	GBNSX_009629-T1	
OG0010146	GBNSX_009630-T1	
OG0010147	GBNSX_009631-T1	
OG0010148	GBNSX_009640-T1	
OG0010149	GBNSX_009654-T1	
OG0010150	GBNSX_009655-T1	
OG0010151	GBNSX_009657-T1	
OG0010152	GBNSX_009677-T1	
OG0010153	GBNSX_009685-T1	
OG0010154	GBNSX_009693-T1	
OG0010155	GBNSX_009700-T1	
OG0010156	GBNSX_009702-T1	
OG0010157	GBNSX_009736-T1	
OG0010158	GBNSX_009737-T1	
OG0010159	GBNSX_009746-T1	
OG0010160	GBNSX_009765-T1	
OG0010161	GBNSX_009787-T1	
OG0010162	GBNSX_009817-T1	
OG0010163	GBNSX_009822-T1	
OG0010164	GBNSX_009842-T1	
OG0010165	GBNSX_009846-T1	
OG0010166	GBNSX_009865-T1	
OG0010167	GBNSX_009872-T1	
OG0010168	GBNSX_009885-T1	
OG0010169	GBNSX_009891-T1	
OG0010170	GBNSX_009895-T1	
OG0010171	GBNSX_009898-T1	
OG0010172	GBNSX_009951-T1	
OG0010173	GBNSX_009958-T1	
OG0010174	GBNSX_009962-T1	
OG0010175	GBNSX_009964-T1	
OG0010176	GBNSX_009979-T1	
OG0010177	GBNSX_010018-T1	
OG0010178	GBNSX_010020-T1	
OG0010179	GBNSX_010030-T1	
OG0010180	GBNSX_010036-T1	
OG0010181	GBNSX_010044-T1	
OG0010182	GBNSX_010052-T1	
OG0010183	GBNSX_010061-T1	
OG0010184	GBNSX_010064-T1	
OG0010185	GBNSX_010075-T1	
OG0010186	GBNSX_010078-T1	
OG0010187	GBNSX_010079-T1	
OG0010188	GBNSX_010080-T1	
OG0010189	GBNSX_010081-T1	
OG0010190	GBNSX_010082-T1	
OG0010191	GBNSX_010088-T1	
OG0010192	GBNSX_010119-T1	
OG0010193	GBNSX_010122-T1	
OG0010194	GBNSX_010133-T1	
OG0010195	GBNSX_010135-T1	
OG0010196	GBNSX_010139-T1	
OG0010197	GBNSX_010150-T1	
OG0010198	GBNSX_010156-T1	
OG0010199	GBNSX_010158-T1	
OG0010200	GBNSX_010164-T1	
OG0010201	GBNSX_010175-T1	
OG0010202	GBNSX_010179-T1	
OG0010203	GBNSX_010187-T1	
OG0010204	GBNSX_010224-T1	
OG0010205	GBNSX_010227-T1	
OG0010206	GBNSX_010232-T1	
OG0010207	GBNSX_010234-T1	
OG0010208	GBNSX_010242-T1	
OG0010209	GBNSX_010243-T1	
OG0010210	GBNSX_010248-T1	
OG0010211	GBNSX_010252-T1	
OG0010212	GBNSX_010259-T1	
OG0010213	GBNSX_010260-T1	
OG0010214	GBNSX_010265-T1	
OG0010215	GBNSX_010274-T1	
OG0010216	GBNSX_010275-T1	
OG0010217	GBNSX_010280-T1	
OG0010218	GBNSX_010281-T1	
OG0010219	GBNSX_010309-T1	
OG0010220	GBNSX_010311-T1	
OG0010221	GBNSX_010329-T1	
OG0010222	GBNSX_010336-T1	
OG0010223	GBNSX_010338-T1	
OG0010224	GBNSX_010342-T1	
OG0010225	GBNSX_010343-T1	
OG0010226	GBNSX_010344-T1	
OG0010227	GBNSX_010346-T1	
OG0010228	GBNSX_010347-T1	
OG0010229	GBNSX_010351-T1	
OG0010230	GBNSX_010354-T1	
OG0010231	GBNSX_010359-T1	
OG0010232	GBNSX_010364-T1	
OG0010233	GBNSX_010365-T1	
OG0010234	GBNSX_010376-T1	
OG0010235	GBNSX_010383-T1	
OG0010236	GBNSX_010387-T1	
OG0010237	GBNSX_010388-T1	
OG0010238	GBNSX_010389-T1	
OG0010239	GBNSX_010390-T1	
OG0010240	GBNSX_010402-T1	
OG0010241	GBNSX_010409-T1	
OG0010242	GBNSX_010416-T1	
OG0010243	GBNSX_010417-T1	
OG0010244	GBNSX_010420-T1	
OG0010245	GBNSX_010424-T1	
OG0010246	GBNSX_010432-T1	
OG0010247	GBNSX_010441-T1	
OG0010248	GBNSX_010444-T1	
OG0010249	GBNSX_010445-T1	
OG0010250	GBNSX_010453-T1	
OG0010251	GBNSX_010456-T1	
OG0010252	GBNSX_010474-T1	
OG0010253	GBNSX_010490-T1	
OG0010254	GBNSX_010505-T1	
OG0010255	GBNSX_010506-T1	
OG0010256	GBNSX_010547-T1	
OG0010257	GBNSX_010550-T1	
OG0010258	GBNSX_010561-T1	
OG0010259	GBNSX_010569-T1	
OG0010260	GBNSX_010570-T1	
OG0010261	GBNSX_010573-T1	
OG0010262	GBNSX_010576-T1	
OG0010263	GBNSX_010578-T1	
OG0010264	GBNSX_010580-T1	
OG0010265	GBNSX_010584-T1	
OG0010266	GBNSX_010596-T1	
OG0010267	GBNSX_010597-T1	
OG0010268	GBNSX_010598-T1	
OG0010269	GBNSX_010599-T1	
OG0010270	GBNSX_010601-T1	
OG0010271	GBNSX_010610-T1	
OG0010272	GBNSX_010611-T1	
OG0010273	GBNSX_010648-T1	
OG0010274	GBNSX_010654-T1	
OG0010275	GBNSX_010669-T1	
OG0010276	GBNSX_010675-T1	
OG0010277	GBNSX_010676-T1	
OG0010278	GBNSX_010684-T1	
OG0010279	GBNSX_010685-T1	
OG0010280	GBNSX_010689-T1	
OG0010281	GBNSX_010697-T1	
OG0010282	GBNSX_010712-T1	
