	Gilbertella_persicariavar.persicaria_CBS_190.32-T.aa	Gilbertella_persicariavar.persicaria_CBS_246.59_Plus.aa
OG0000558	GBNWN_002325-T1, GBNWN_003240-T1	GBNWO_004479-T1, GBNWO_008676-T1
OG0000559	GBNWN_002330-T1, GBNWN_007084-T1	GBNWO_004483-T1, GBNWO_007102-T1
OG0000560	GBNWN_002339-T1, GBNWN_009568-T1	GBNWO_006419-T1, GBNWO_008683-T1
OG0000561	GBNWN_002344-T1, GBNWN_003297-T1	GBNWO_000490-T1, GBNWO_007308-T1
OG0000562	GBNWN_002360-T1, GBNWN_006039-T1	GBNWO_002758-T1, GBNWO_002815-T1
OG0000563	GBNWN_002362-T1, GBNWN_004872-T1	GBNWO_005346-T1, GBNWO_008584-T1
OG0000564	GBNWN_002363-T1, GBNWN_004873-T1	GBNWO_002702-T1, GBNWO_008585-T1
OG0000565	GBNWN_002387-T1, GBNWN_004177-T1	GBNWO_000796-T1, GBNWO_008819-T1
OG0000566	GBNWN_002407-T1, GBNWN_008861-T1, GBNWN_009550-T1	GBNWO_006309-T1
OG0000567	GBNWN_002408-T1, GBNWN_003962-T1	GBNWO_000306-T1, GBNWO_007116-T1
OG0000568	GBNWN_002423-T1, GBNWN_004315-T1	GBNWO_003327-T1, GBNWO_007456-T1
OG0000569	GBNWN_002436-T1, GBNWN_003078-T1	GBNWO_002275-T1, GBNWO_005786-T1
OG0000570	GBNWN_002438-T1, GBNWN_004323-T1	GBNWO_003736-T1, GBNWO_003971-T1
OG0000571	GBNWN_002440-T1, GBNWN_007180-T1	GBNWO_006959-T1, GBNWO_007030-T1
OG0000572	GBNWN_002461-T1, GBNWN_004709-T1	GBNWO_007350-T1, GBNWO_007388-T1
OG0000573	GBNWN_002473-T1, GBNWN_005870-T1	GBNWO_005011-T1, GBNWO_006234-T1
OG0000574	GBNWN_002481-T1, GBNWN_003518-T1	GBNWO_004520-T1, GBNWO_007201-T1
OG0000575	GBNWN_002484-T1, GBNWN_008608-T1	GBNWO_004941-T1, GBNWO_007204-T1
OG0000576	GBNWN_002518-T1, GBNWN_003417-T1	GBNWO_006569-T1, GBNWO_007452-T1
OG0000577	GBNWN_002541-T1, GBNWN_006314-T1	GBNWO_002397-T1, GBNWO_008555-T1
OG0000578	GBNWN_002559-T1, GBNWN_004859-T1	GBNWO_005800-T1, GBNWO_008825-T1
OG0000579	GBNWN_002561-T1, GBNWN_005685-T1	GBNWO_007815-T1, GBNWO_009247-T1
OG0000580	GBNWN_002569-T1, GBNWN_006899-T1	GBNWO_006780-T1, GBNWO_007686-T1
OG0000581	GBNWN_002588-T1, GBNWN_007366-T1	GBNWO_000594-T1, GBNWO_002905-T1
OG0000582	GBNWN_002599-T1, GBNWN_007309-T1	GBNWO_001448-T1, GBNWO_007985-T1
OG0000583	GBNWN_002602-T1, GBNWN_005766-T1	GBNWO_001850-T1, GBNWO_002722-T1
OG0000584	GBNWN_002608-T1, GBNWN_008425-T1	GBNWO_001403-T1, GBNWO_001501-T1
OG0000585	GBNWN_002653-T1, GBNWN_003175-T1	GBNWO_002935-T1, GBNWO_005225-T1
OG0000586	GBNWN_002672-T1, GBNWN_005583-T1	GBNWO_008241-T1, GBNWO_009488-T1
OG0000587	GBNWN_002689-T1, GBNWN_002763-T1	GBNWO_003520-T1, GBNWO_006272-T1
OG0000588	GBNWN_002694-T1, GBNWN_003801-T1	GBNWO_006276-T1, GBNWO_009285-T1
OG0000589	GBNWN_002703-T1, GBNWN_004750-T1	GBNWO_005608-T1, GBNWO_006285-T1
OG0000590	GBNWN_002711-T1, GBNWN_009220-T1	GBNWO_005186-T1, GBNWO_008916-T1
OG0000591	GBNWN_002735-T1, GBNWN_008588-T1	GBNWO_002519-T1, GBNWO_009338-T1
OG0000592	GBNWN_002741-T1, GBNWN_007637-T1	GBNWO_006120-T1, GBNWO_006383-T1
OG0000593	GBNWN_002751-T1, GBNWN_008389-T1	GBNWO_001598-T1, GBNWO_007134-T1
OG0000594	GBNWN_002752-T1, GBNWN_005622-T1	GBNWO_007135-T1, GBNWO_007796-T1
OG0000595	GBNWN_002754-T1, GBNWN_006598-T1	GBNWO_005574-T1, GBNWO_007137-T1
OG0000596	GBNWN_002774-T1, GBNWN_004361-T1	GBNWO_000137-T1, GBNWO_001558-T1
OG0000597	GBNWN_002775-T1, GBNWN_003210-T1	GBNWO_000138-T1, GBNWO_008274-T1
OG0000598	GBNWN_002777-T1, GBNWN_004445-T1	GBNWO_002506-T1, GBNWO_003821-T1
OG0000599	GBNWN_002790-T1, GBNWN_004230-T1	GBNWO_002245-T1, GBNWO_008574-T1
OG0000600	GBNWN_002794-T1, GBNWN_008291-T1	GBNWO_001122-T1, GBNWO_001811-T1
OG0000601	GBNWN_002803-T1, GBNWN_004092-T1	GBNWO_001129-T1, GBNWO_006665-T1
OG0000602	GBNWN_002828-T1, GBNWN_008398-T1	GBNWO_001363-T1, GBNWO_002952-T1
OG0000603	GBNWN_002846-T1, GBNWN_003730-T1	GBNWO_002547-T1, GBNWO_009607-T1
OG0000604	GBNWN_002847-T1, GBNWN_003038-T1	GBNWO_007723-T1, GBNWO_009606-T1
OG0000605	GBNWN_002854-T1, GBNWN_008965-T1	GBNWO_006905-T1, GBNWO_009554-T1
OG0000606	GBNWN_002877-T1, GBNWN_005997-T1	GBNWO_008451-T1, GBNWO_009365-T1
OG0000607	GBNWN_002881-T1, GBNWN_004219-T1	GBNWO_005200-T1, GBNWO_007422-T1
OG0000608	GBNWN_002883-T1, GBNWN_007708-T1	GBNWO_005020-T1, GBNWO_007498-T1
OG0000609	GBNWN_002890-T1, GBNWN_003966-T1	GBNWO_006704-T1, GBNWO_009605-T1
OG0000610	GBNWN_002892-T1, GBNWN_003467-T1	GBNWO_001062-T1, GBNWO_009603-T1
OG0000611	GBNWN_002893-T1, GBNWN_003468-T1	GBNWO_001063-T1, GBNWO_009602-T1
OG0000612	GBNWN_002895-T1, GBNWN_003460-T1	GBNWO_000986-T1, GBNWO_004012-T1
OG0000613	GBNWN_002899-T1, GBNWN_007332-T1	GBNWO_003261-T1, GBNWO_005054-T1
OG0000614	GBNWN_002902-T1, GBNWN_008275-T1	GBNWO_003293-T1, GBNWO_003793-T1
OG0000615	GBNWN_002904-T1, GBNWN_009269-T1	GBNWO_003290-T1, GBNWO_004227-T1
OG0000616	GBNWN_002913-T1, GBNWN_004159-T1	GBNWO_000179-T1, GBNWO_009304-T1
OG0000617	GBNWN_002917-T1, GBNWN_007311-T1	GBNWO_003193-T1, GBNWO_003278-T1
OG0000618	GBNWN_002927-T1, GBNWN_006326-T1	GBNWO_000541-T1, GBNWO_008696-T1
OG0000619	GBNWN_002945-T1, GBNWN_006427-T1	GBNWO_000927-T1, GBNWO_004303-T1
OG0000620	GBNWN_002975-T1, GBNWN_007254-T1	GBNWO_000086-T1, GBNWO_008737-T1
OG0000621	GBNWN_003010-T1, GBNWN_006596-T1	GBNWO_004615-T1, GBNWO_007235-T1
OG0000622	GBNWN_003032-T1, GBNWN_006418-T1	GBNWO_007717-T1, GBNWO_008857-T1
OG0000623	GBNWN_003054-T1, GBNWN_005726-T1	GBNWO_002355-T1, GBNWO_002426-T1
OG0000624	GBNWN_003060-T1, GBNWN_004344-T1	GBNWO_001466-T1, GBNWO_006738-T1
OG0000625	GBNWN_003063-T1, GBNWN_007210-T1	GBNWO_001891-T1, GBNWO_002010-T1
OG0000626	GBNWN_003066-T1, GBNWN_006133-T1	GBNWO_000149-T1, GBNWO_002007-T1
OG0000627	GBNWN_003070-T1, GBNWN_006589-T1	GBNWO_002003-T1, GBNWO_007096-T1
OG0000628	GBNWN_003075-T1, GBNWN_007017-T1	GBNWO_003365-T1, GBNWO_005783-T1
OG0000629	GBNWN_003087-T1, GBNWN_003849-T1	GBNWO_004331-T1, GBNWO_005795-T1
OG0000630	GBNWN_003093-T1, GBNWN_009167-T1	GBNWO_006698-T1, GBNWO_007864-T1
OG0000631	GBNWN_003103-T1, GBNWN_004811-T1	GBNWO_002663-T1, GBNWO_006688-T1
OG0000632	GBNWN_003107-T1, GBNWN_006714-T1	GBNWO_003035-T1, GBNWO_003653-T1
OG0000633	GBNWN_003117-T1, GBNWN_003405-T1	GBNWO_002587-T1, GBNWO_008047-T1
OG0000634	GBNWN_003123-T1, GBNWN_008808-T1	GBNWO_005745-T1, GBNWO_008053-T1
OG0000635	GBNWN_003135-T1, GBNWN_007249-T1	GBNWO_006519-T1, GBNWO_007754-T1
OG0000636	GBNWN_003157-T1, GBNWN_008446-T1	GBNWO_003974-T1, GBNWO_006899-T1
OG0000637	GBNWN_003171-T1, GBNWN_009514-T1	GBNWO_004348-T1, GBNWO_004449-T1
OG0000638	GBNWN_003200-T1, GBNWN_008757-T1	GBNWO_002990-T1, GBNWO_007108-T1
OG0000639	GBNWN_003201-T1, GBNWN_007326-T1	GBNWO_007109-T1, GBNWO_007641-T1
OG0000640	GBNWN_003213-T1, GBNWN_008918-T1	GBNWO_004465-T1, GBNWO_007399-T1
OG0000641	GBNWN_003214-T1, GBNWN_008922-T1	GBNWO_007400-T1, GBNWO_009378-T1
OG0000642	GBNWN_003219-T1, GBNWN_003220-T1	GBNWO_001450-T1, GBNWO_007253-T1
OG0000643	GBNWN_003241-T1, GBNWN_008513-T1	GBNWO_002332-T1, GBNWO_008677-T1
OG0000644	GBNWN_003262-T1, GBNWN_006867-T1	GBNWO_000334-T1, GBNWO_008603-T1
OG0000645	GBNWN_003265-T1	GBNWO_000337-T1, GBNWO_004249-T1, GBNWO_008491-T1
OG0000646	GBNWN_003301-T1, GBNWN_006667-T1	GBNWO_000492-T1, GBNWO_005401-T1
OG0000647	GBNWN_003313-T1, GBNWN_008430-T1	GBNWO_002807-T1, GBNWO_007222-T1
OG0000648	GBNWN_003314-T1, GBNWN_007157-T1	GBNWO_007221-T1, GBNWO_008756-T1
OG0000649	GBNWN_003315-T1, GBNWN_006263-T1	GBNWO_002395-T1, GBNWO_009023-T1
OG0000650	GBNWN_003316-T1, GBNWN_007700-T1	GBNWO_008984-T1, GBNWO_009024-T1
OG0000651	GBNWN_003321-T1, GBNWN_007047-T1	GBNWO_006559-T1, GBNWO_008059-T1
OG0000652	GBNWN_003324-T1, GBNWN_006963-T1	GBNWO_003256-T1, GBNWO_006216-T1
OG0000653	GBNWN_003325-T1, GBNWN_005408-T1	GBNWO_005635-T1, GBNWO_006217-T1
OG0000654	GBNWN_003344-T1, GBNWN_005038-T1	GBNWO_000353-T1, GBNWO_000691-T1
OG0000655	GBNWN_003406-T1, GBNWN_007431-T1	GBNWO_002586-T1, GBNWO_006320-T1
OG0000656	GBNWN_003410-T1, GBNWN_008103-T1	GBNWO_002174-T1, GBNWO_002584-T1
OG0000657	GBNWN_003418-T1, GBNWN_008799-T1	GBNWO_006389-T1, GBNWO_007451-T1
OG0000658	GBNWN_003419-T1, GBNWN_008798-T1	GBNWO_006390-T1, GBNWO_007450-T1
OG0000659	GBNWN_003421-T1, GBNWN_004377-T1	GBNWO_007449-T1, GBNWO_009168-T1
OG0000660	GBNWN_003423-T1, GBNWN_006005-T1	GBNWO_001523-T1, GBNWO_007447-T1
OG0000661	GBNWN_003425-T1, GBNWN_009462-T1	GBNWO_004632-T1, GBNWO_007445-T1
OG0000662	GBNWN_003443-T1, GBNWN_007839-T1	GBNWO_008996-T1, GBNWO_009393-T1
OG0000663	GBNWN_003446-T1, GBNWN_009286-T1	GBNWO_003472-T1, GBNWO_007591-T1
OG0000664	GBNWN_003455-T1, GBNWN_004836-T1	GBNWO_000297-T1, GBNWO_000981-T1
OG0000665	GBNWN_003463-T1, GBNWN_007475-T1	GBNWO_000990-T1, GBNWO_005467-T1
OG0000666	GBNWN_003469-T1, GBNWN_008093-T1	GBNWO_002938-T1, GBNWO_006237-T1
OG0000667	GBNWN_003485-T1, GBNWN_006668-T1	GBNWO_006265-T1, GBNWO_009111-T1
OG0000668	GBNWN_003511-T1, GBNWN_004628-T1	GBNWO_005761-T1, GBNWO_005963-T1
OG0000669	GBNWN_003520-T1, GBNWN_006377-T1	GBNWO_007384-T1, GBNWO_008843-T1
OG0000670	GBNWN_003521-T1, GBNWN_005648-T1	GBNWO_006176-T1, GBNWO_008844-T1
OG0000671	GBNWN_003528-T1, GBNWN_007666-T1	GBNWO_001336-T1, GBNWO_003222-T1
OG0000672	GBNWN_003543-T1, GBNWN_003795-T1	GBNWO_002477-T1, GBNWO_009588-T1
OG0000673	GBNWN_003544-T1, GBNWN_008364-T1	GBNWO_005258-T1, GBNWO_009589-T1
OG0000674	GBNWN_003550-T1, GBNWN_008181-T1	GBNWO_007499-T1, GBNWO_007660-T1
OG0000675	GBNWN_003566-T1, GBNWN_005364-T1	GBNWO_003743-T1, GBNWO_006153-T1
OG0000676	GBNWN_003574-T1, GBNWN_004687-T1	GBNWO_006909-T1, GBNWO_007700-T1
OG0000677	GBNWN_003575-T1, GBNWN_004773-T1	GBNWO_007699-T1, GBNWO_008593-T1
OG0000678	GBNWN_003576-T1, GBNWN_005989-T1	GBNWO_003539-T1, GBNWO_004604-T1
OG0000679	GBNWN_003608-T1, GBNWN_004326-T1	GBNWO_007769-T1, GBNWO_008727-T1
OG0000680	GBNWN_003615-T1, GBNWN_006339-T1	GBNWO_007972-T1, GBNWO_008708-T1
OG0000681	GBNWN_003617-T1, GBNWN_007042-T1	GBNWO_006099-T1, GBNWO_006564-T1
OG0000682	GBNWN_003643-T1, GBNWN_003981-T1	GBNWO_005106-T1, GBNWO_009541-T1
OG0000683	GBNWN_003644-T1, GBNWN_008988-T1	GBNWO_004359-T1, GBNWO_005107-T1
OG0000684	GBNWN_003650-T1, GBNWN_008320-T1	GBNWO_000845-T1, GBNWO_007784-T1
OG0000685	GBNWN_003653-T1, GBNWN_004453-T1	GBNWO_000953-T1, GBNWO_009359-T1
OG0000686	GBNWN_003658-T1, GBNWN_004655-T1	GBNWO_000203-T1, GBNWO_003401-T1
OG0000687	GBNWN_003669-T1, GBNWN_003769-T1	GBNWO_002135-T1, GBNWO_009442-T1
OG0000688	GBNWN_003680-T1, GBNWN_005412-T1	GBNWO_005375-T1, GBNWO_005632-T1
OG0000689	GBNWN_003705-T1, GBNWN_004320-T1	GBNWO_001877-T1, GBNWO_007462-T1
OG0000690	GBNWN_003712-T1, GBNWN_004332-T1	GBNWO_001600-T1, GBNWO_008720-T1
OG0000691	GBNWN_003716-T1, GBNWN_006677-T1	GBNWO_002683-T1, GBNWO_009083-T1
OG0000692	GBNWN_003720-T1, GBNWN_003989-T1	GBNWO_001218-T1, GBNWO_004797-T1
OG0000693	GBNWN_003724-T1, GBNWN_005986-T1	GBNWO_004801-T1, GBNWO_005267-T1
OG0000694	GBNWN_003731-T1, GBNWN_009288-T1	GBNWO_007589-T1, GBNWO_007750-T1
OG0000695	GBNWN_003752-T1, GBNWN_007524-T1	GBNWO_000028-T1, GBNWO_009415-T1
OG0000696	GBNWN_003768-T1, GBNWN_009305-T1	GBNWO_007506-T1, GBNWO_007573-T1
OG0000697	GBNWN_003773-T1, GBNWN_007480-T1	GBNWO_007092-T1, GBNWO_007847-T1
OG0000698	GBNWN_003780-T1, GBNWN_007895-T1	GBNWO_005992-T1, GBNWO_008402-T1
OG0000699	GBNWN_003787-T1, GBNWN_005006-T1	GBNWO_004504-T1, GBNWO_005185-T1
OG0000700	GBNWN_003789-T1, GBNWN_005749-T1	GBNWO_000943-T1, GBNWO_002344-T1
OG0000701	GBNWN_003802-T1, GBNWN_003936-T1	GBNWO_008174-T1, GBNWO_009284-T1
OG0000702	GBNWN_003812-T1, GBNWN_006072-T1	GBNWO_006201-T1, GBNWO_006810-T1
OG0000703	GBNWN_003813-T1, GBNWN_004310-T1	GBNWO_006202-T1, GBNWO_008803-T1
OG0000704	GBNWN_003818-T1, GBNWN_006288-T1	GBNWO_000323-T1, GBNWO_003067-T1
OG0000705	GBNWN_003823-T1, GBNWN_009294-T1	GBNWO_007544-T1, GBNWO_007584-T1
OG0000706	GBNWN_003858-T1, GBNWN_005423-T1	GBNWO_006050-T1, GBNWO_008169-T1
OG0000707	GBNWN_003859-T1, GBNWN_007622-T1	GBNWO_006051-T1, GBNWO_008416-T1
OG0000708	GBNWN_003865-T1, GBNWN_006991-T1	GBNWO_006590-T1, GBNWO_007148-T1
OG0000709	GBNWN_003895-T1, GBNWN_009239-T1	GBNWO_002128-T1, GBNWO_006632-T1
OG0000710	GBNWN_003897-T1, GBNWN_004200-T1	GBNWO_006634-T1, GBNWO_008594-T1
OG0000711	GBNWN_003902-T1, GBNWN_004484-T1	GBNWO_005982-T1, GBNWO_006879-T1
OG0000712	GBNWN_003932-T1, GBNWN_005862-T1	GBNWO_004917-T1, GBNWO_008171-T1
OG0000713	GBNWN_003935-T1, GBNWN_005896-T1	GBNWO_003455-T1, GBNWO_008173-T1
OG0000714	GBNWN_003937-T1, GBNWN_008542-T1	GBNWO_005908-T1, GBNWO_008176-T1
OG0000715	GBNWN_003954-T1, GBNWN_004648-T1	GBNWO_002685-T1, GBNWO_005890-T1
OG0000716	GBNWN_003975-T1, GBNWN_004886-T1	GBNWO_001839-T1, GBNWO_002773-T1
OG0000717	GBNWN_003983-T1, GBNWN_004272-T1	GBNWO_001637-T1, GBNWO_006174-T1
OG0000718	GBNWN_004034-T1, GBNWN_006106-T1	GBNWO_004696-T1, GBNWO_005443-T1
OG0000719	GBNWN_004054-T1, GBNWN_009557-T1	GBNWO_001202-T1, GBNWO_005296-T1
OG0000720	GBNWN_004082-T1, GBNWN_007137-T1	GBNWO_004931-T1, GBNWO_005486-T1
OG0000721	GBNWN_004091-T1, GBNWN_006948-T1	GBNWO_005590-T1, GBNWO_006664-T1
OG0000722	GBNWN_004114-T1, GBNWN_007001-T1	GBNWO_003379-T1, GBNWO_004597-T1
OG0000723	GBNWN_004121-T1, GBNWN_005578-T1	GBNWO_000197-T1, GBNWO_002503-T1
OG0000724	GBNWN_004126-T1, GBNWN_006866-T1	GBNWO_008602-T1, GBNWO_009469-T1
OG0000725	GBNWN_004140-T1, GBNWN_005641-T1	GBNWO_004939-T1, GBNWO_008394-T1
OG0000726	GBNWN_004225-T1, GBNWN_004239-T1	GBNWO_007067-T1, GBNWO_009253-T1
OG0000727	GBNWN_004260-T1, GBNWN_007212-T1	GBNWO_004212-T1, GBNWO_005986-T1
OG0000728	GBNWN_004269-T1, GBNWN_008589-T1	GBNWO_002520-T1, GBNWO_002864-T1
OG0000729	GBNWN_004286-T1, GBNWN_005720-T1, GBNWN_006821-T1	GBNWO_001895-T1
OG0000730	GBNWN_004287-T1, GBNWN_008661-T1	GBNWO_006159-T1, GBNWO_009558-T1
OG0000731	GBNWN_004299-T1, GBNWN_005471-T1	GBNWO_001929-T1, GBNWO_003588-T1
OG0000732	GBNWN_004309-T1, GBNWN_004518-T1	GBNWO_008802-T1, GBNWO_009199-T1
OG0000733	GBNWN_004324-T1, GBNWN_007457-T1	GBNWO_008357-T1, GBNWO_008729-T1
OG0000734	GBNWN_004336-T1, GBNWN_006585-T1	GBNWO_001552-T1, GBNWO_008716-T1
OG0000735	GBNWN_004341-T1, GBNWN_004992-T1	GBNWO_001469-T1, GBNWO_006132-T1
OG0000736	GBNWN_004350-T1, GBNWN_009030-T1	GBNWO_001075-T1, GBNWO_007369-T1
OG0000737	GBNWN_004351-T1, GBNWN_006546-T1	GBNWO_007027-T1, GBNWO_007368-T1
OG0000738	GBNWN_004360-T1, GBNWN_006425-T1	GBNWO_001557-T1, GBNWO_004301-T1
OG0000739	GBNWN_004373-T1, GBNWN_005942-T1	GBNWO_001248-T1, GBNWO_008667-T1
OG0000740	GBNWN_004401-T1, GBNWN_004941-T1	GBNWO_000427-T1, GBNWO_002334-T1
OG0000741	GBNWN_004404-T1, GBNWN_004601-T1	GBNWO_004276-T1, GBNWO_004584-T1
OG0000742	GBNWN_004442-T1, GBNWN_008203-T1	GBNWO_003824-T1, GBNWO_006034-T1
OG0000743	GBNWN_004448-T1, GBNWN_007516-T1	GBNWO_002286-T1, GBNWO_009363-T1
OG0000744	GBNWN_004449-T1, GBNWN_005055-T1	GBNWO_002218-T1, GBNWO_009362-T1
OG0000745	GBNWN_004491-T1, GBNWN_005868-T1	GBNWO_001997-T1, GBNWO_004910-T1
OG0000746	GBNWN_004496-T1, GBNWN_005869-T1	GBNWO_002000-T1, GBNWO_004909-T1
OG0000747	GBNWN_004505-T1, GBNWN_006299-T1	GBNWO_006112-T1, GBNWO_009214-T1
OG0000748	GBNWN_004536-T1, GBNWN_004879-T1	GBNWO_001276-T1, GBNWO_005302-T1
OG0000749	GBNWN_004560-T1, GBNWN_006792-T1	GBNWO_000504-T1, GBNWO_006967-T1
OG0000750	GBNWN_004573-T1, GBNWN_005839-T1	GBNWO_007060-T1, GBNWO_009409-T1
OG0000751	GBNWN_004599-T1, GBNWN_008701-T1	GBNWO_004586-T1, GBNWO_008096-T1
OG0000752	GBNWN_004602-T1, GBNWN_008914-T1	GBNWO_001180-T1, GBNWO_004583-T1
OG0000753	GBNWN_004608-T1, GBNWN_006946-T1	GBNWO_005588-T1, GBNWO_007957-T1
OG0000754	GBNWN_004666-T1, GBNWN_007238-T1	GBNWO_003968-T1, GBNWO_009302-T1
OG0000755	GBNWN_004677-T1, GBNWN_006923-T1	GBNWO_002416-T1, GBNWO_006072-T1
OG0000756	GBNWN_004679-T1, GBNWN_006975-T1	GBNWO_002418-T1, GBNWO_005523-T1
OG0000757	GBNWN_004688-T1, GBNWN_008762-T1	GBNWO_006861-T1, GBNWO_006910-T1
OG0000758	GBNWN_004719-T1, GBNWN_008925-T1	GBNWO_002816-T1, GBNWO_004876-T1
OG0000759	GBNWN_004758-T1, GBNWN_008889-T1	GBNWO_000012-T1, GBNWO_005024-T1
OG0000760	GBNWN_004762-T1, GBNWN_007263-T1	GBNWO_004439-T1, GBNWO_005380-T1
OG0000761	GBNWN_004771-T1, GBNWN_006624-T1	GBNWO_001704-T1, GBNWO_008530-T1
OG0000762	GBNWN_004783-T1, GBNWN_006136-T1	GBNWO_000152-T1, GBNWO_003594-T1
OG0000763	GBNWN_004784-T1, GBNWN_007185-T1	GBNWO_003595-T1, GBNWO_006964-T1
OG0000764	GBNWN_004832-T1, GBNWN_007991-T1	GBNWO_000300-T1, GBNWO_004789-T1
OG0000765	GBNWN_004845-T1, GBNWN_006575-T1	GBNWO_000698-T1, GBNWO_007911-T1
OG0000766	GBNWN_004861-T1, GBNWN_006227-T1	GBNWO_006819-T1, GBNWO_009512-T1
OG0000767	GBNWN_004863-T1, GBNWN_006384-T1	GBNWO_000668-T1, GBNWO_003166-T1
OG0000768	GBNWN_004869-T1, GBNWN_005878-T1	GBNWO_005330-T1, GBNWO_006468-T1
OG0000769	GBNWN_004875-T1, GBNWN_006518-T1, GBNWN_008133-T1	GBNWO_004371-T1
OG0000770	GBNWN_004896-T1, GBNWN_007746-T1	GBNWO_000041-T1, GBNWO_004614-T1
OG0000771	GBNWN_004897-T1, GBNWN_007747-T1	GBNWO_000040-T1, GBNWO_004613-T1
OG0000772	GBNWN_004901-T1, GBNWN_007922-T1	GBNWO_004609-T1, GBNWO_009380-T1
OG0000773	GBNWN_004903-T1, GBNWN_008890-T1	GBNWO_000011-T1, GBNWO_004607-T1
OG0000774	GBNWN_004917-T1, GBNWN_009464-T1	GBNWO_004178-T1, GBNWO_004741-T1
OG0000775	GBNWN_004937-T1, GBNWN_009023-T1	GBNWO_000423-T1, GBNWO_003140-T1
OG0000776	GBNWN_004961-T1, GBNWN_008587-T1	GBNWO_002518-T1, GBNWO_007011-T1
OG0000777	GBNWN_004974-T1, GBNWN_006120-T1	GBNWO_008080-T1, GBNWO_008389-T1
OG0000778	GBNWN_004994-T1, GBNWN_009211-T1	GBNWO_000802-T1, GBNWO_006130-T1
OG0000779	GBNWN_005015-T1, GBNWN_008102-T1	GBNWO_002175-T1, GBNWO_003411-T1
OG0000780	GBNWN_005021-T1, GBNWN_005830-T1	GBNWO_003418-T1, GBNWO_008334-T1
OG0000781	GBNWN_005076-T1, GBNWN_007028-T1	GBNWO_003358-T1, GBNWO_005118-T1
OG0000782	GBNWN_005095-T1, GBNWN_007946-T1	GBNWO_003466-T1, GBNWO_008336-T1
OG0000783	GBNWN_005117-T1, GBNWN_005490-T1	GBNWO_003129-T1, GBNWO_005604-T1
OG0000784	GBNWN_005123-T1, GBNWN_008901-T1	GBNWO_000002-T1, GBNWO_003124-T1
OG0000785	GBNWN_005134-T1, GBNWN_008235-T1	GBNWO_002441-T1, GBNWO_004092-T1
OG0000786	GBNWN_005160-T1, GBNWN_005161-T1	GBNWO_009098-T1, GBNWO_009099-T1
OG0000787	GBNWN_005218-T1, GBNWN_005255-T1	GBNWO_004951-T1, GBNWO_006327-T1
OG0000788	GBNWN_005226-T1, GBNWN_007315-T1	GBNWO_000202-T1, GBNWO_008194-T1
OG0000789	GBNWN_005227-T1, GBNWN_008868-T1	GBNWO_000201-T1, GBNWO_003237-T1
OG0000790	GBNWN_005236-T1, GBNWN_006864-T1	GBNWO_003286-T1, GBNWO_009186-T1
OG0000791	GBNWN_005249-T1, GBNWN_008391-T1	GBNWO_002158-T1, GBNWO_009296-T1
OG0000792	GBNWN_005270-T1, GBNWN_006317-T1	GBNWO_002077-T1, GBNWO_006076-T1
OG0000793	GBNWN_005293-T1, GBNWN_009192-T1	GBNWO_004577-T1, GBNWO_007316-T1
OG0000794	GBNWN_005303-T1, GBNWN_005672-T1	GBNWO_005308-T1, GBNWO_005689-T1
OG0000795	GBNWN_005305-T1, GBNWN_007735-T1	GBNWO_000053-T1, GBNWO_005691-T1
OG0000796	GBNWN_005323-T1, GBNWN_006739-T1	GBNWO_000258-T1, GBNWO_000650-T1
OG0000797	GBNWN_005324-T1, GBNWN_008359-T1	GBNWO_000259-T1, GBNWO_008292-T1
OG0000798	GBNWN_005325-T1, GBNWN_005939-T1	GBNWO_000260-T1, GBNWO_002537-T1
OG0000799	GBNWN_005359-T1, GBNWN_007672-T1	GBNWO_001342-T1, GBNWO_006680-T1
OG0000800	GBNWN_005371-T1, GBNWN_008766-T1	GBNWO_004282-T1, GBNWO_006646-T1
OG0000801	GBNWN_005379-T1, GBNWN_009541-T1	GBNWO_001375-T1, GBNWO_006016-T1
OG0000802	GBNWN_005390-T1, GBNWN_008086-T1	GBNWO_000168-T1, GBNWO_001781-T1
OG0000803	GBNWN_005396-T1, GBNWN_009235-T1	GBNWO_001244-T1, GBNWO_004726-T1
OG0000804	GBNWN_005401-T1, GBNWN_008690-T1	GBNWO_002999-T1, GBNWO_004724-T1
OG0000805	GBNWN_005458-T1, GBNWN_005908-T1	GBNWO_002171-T1, GBNWO_004099-T1
OG0000806	GBNWN_005484-T1, GBNWN_007222-T1	GBNWO_002757-T1, GBNWO_008044-T1
OG0000807	GBNWN_005486-T1, GBNWN_006135-T1	GBNWO_000151-T1, GBNWO_005968-T1
OG0000808	GBNWN_005489-T1, GBNWN_006858-T1	GBNWO_001543-T1, GBNWO_005971-T1
OG0000809	GBNWN_005492-T1, GBNWN_006432-T1	GBNWO_000144-T1, GBNWO_009183-T1
OG0000810	GBNWN_005508-T1, GBNWN_005871-T1	GBNWO_003422-T1, GBNWO_006235-T1
OG0000811	GBNWN_005541-T1, GBNWN_007317-T1	GBNWO_000128-T1, GBNWO_009552-T1
OG0000812	GBNWN_005542-T1, GBNWN_008705-T1	GBNWO_000129-T1, GBNWO_008209-T1
OG0000813	GBNWN_005544-T1, GBNWN_006064-T1	GBNWO_006136-T1, GBNWO_009144-T1
OG0000814	GBNWN_005545-T1, GBNWN_006063-T1	GBNWO_006137-T1, GBNWO_009145-T1
OG0000815	GBNWN_005566-T1, GBNWN_006909-T1	GBNWO_002038-T1, GBNWO_003800-T1
