	Backusella_lamprospora_NRRL_1401.aa	Backusella_lamprospora_NRRL_6044_Plus.aa
OG0011048	CTHSW_004213-T1	
OG0011049	CTHSW_004214-T1	
OG0011050	CTHSW_004215-T1	
OG0011051	CTHSW_004216-T1	
OG0011052	CTHSW_004219-T1	
OG0011053	CTHSW_004227-T1	
OG0011054	CTHSW_004240-T1	
OG0011055	CTHSW_004241-T1	
OG0011056	CTHSW_004242-T1	
OG0011057	CTHSW_004243-T1	
OG0011058	CTHSW_004252-T1	
OG0011059	CTHSW_004259-T1	
OG0011060	CTHSW_004261-T1	
OG0011061	CTHSW_004262-T1	
OG0011062	CTHSW_004263-T1	
OG0011063	CTHSW_004267-T1	
OG0011064	CTHSW_004270-T1	
OG0011065	CTHSW_004280-T1	
OG0011066	CTHSW_004292-T1	
OG0011067	CTHSW_004294-T1	
OG0011068	CTHSW_004297-T1	
OG0011069	CTHSW_004298-T1	
OG0011070	CTHSW_004300-T1	
OG0011071	CTHSW_004301-T1	
OG0011072	CTHSW_004303-T1	
OG0011073	CTHSW_004314-T1	
OG0011074	CTHSW_004329-T1	
OG0011075	CTHSW_004330-T1	
OG0011076	CTHSW_004331-T1	
OG0011077	CTHSW_004332-T1	
OG0011078	CTHSW_004334-T1	
OG0011079	CTHSW_004356-T1	
OG0011080	CTHSW_004357-T1	
OG0011081	CTHSW_004367-T1	
OG0011082	CTHSW_004381-T1	
OG0011083	CTHSW_004383-T1	
OG0011084	CTHSW_004388-T1	
OG0011085	CTHSW_004389-T1	
OG0011086	CTHSW_004405-T1	
OG0011087	CTHSW_004412-T1	
OG0011088	CTHSW_004413-T1	
OG0011089	CTHSW_004414-T1	
OG0011090	CTHSW_004434-T1	
OG0011091	CTHSW_004436-T1	
OG0011092	CTHSW_004459-T1	
OG0011093	CTHSW_004460-T1	
OG0011094	CTHSW_004461-T1	
OG0011095	CTHSW_004472-T1	
OG0011096	CTHSW_004474-T1	
OG0011097	CTHSW_004476-T1	
OG0011098	CTHSW_004480-T1	
OG0011099	CTHSW_004482-T1	
OG0011100	CTHSW_004483-T1	
OG0011101	CTHSW_004484-T1	
OG0011102	CTHSW_004485-T1	
OG0011103	CTHSW_004495-T1	
OG0011104	CTHSW_004496-T1	
OG0011105	CTHSW_004506-T1	
OG0011106	CTHSW_004510-T1	
OG0011107	CTHSW_004522-T1	
OG0011108	CTHSW_004523-T1	
OG0011109	CTHSW_004524-T1	
OG0011110	CTHSW_004525-T1	
OG0011111	CTHSW_004526-T1	
OG0011112	CTHSW_004532-T1	
OG0011113	CTHSW_004533-T1	
OG0011114	CTHSW_004541-T1	
OG0011115	CTHSW_004564-T1	
OG0011116	CTHSW_004565-T1	
OG0011117	CTHSW_004574-T1	
OG0011118	CTHSW_004579-T1	
OG0011119	CTHSW_004580-T1	
OG0011120	CTHSW_004583-T1	
OG0011121	CTHSW_004587-T1	
OG0011122	CTHSW_004588-T1	
OG0011123	CTHSW_004590-T1	
OG0011124	CTHSW_004592-T1	
OG0011125	CTHSW_004599-T1	
OG0011126	CTHSW_004607-T1	
OG0011127	CTHSW_004608-T1	
OG0011128	CTHSW_004612-T1	
OG0011129	CTHSW_004633-T1	
OG0011130	CTHSW_004634-T1	
OG0011131	CTHSW_004635-T1	
OG0011132	CTHSW_004646-T1	
OG0011133	CTHSW_004650-T1	
OG0011134	CTHSW_004651-T1	
OG0011135	CTHSW_004667-T1	
OG0011136	CTHSW_004675-T1	
OG0011137	CTHSW_004677-T1	
OG0011138	CTHSW_004679-T1	
OG0011139	CTHSW_004686-T1	
OG0011140	CTHSW_004711-T1	
OG0011141	CTHSW_004714-T1	
OG0011142	CTHSW_004715-T1	
OG0011143	CTHSW_004716-T1	
OG0011144	CTHSW_004717-T1	
OG0011145	CTHSW_004718-T1	
OG0011146	CTHSW_004732-T1	
OG0011147	CTHSW_004733-T1	
OG0011148	CTHSW_004735-T1	
OG0011149	CTHSW_004736-T1	
OG0011150	CTHSW_004757-T1	
OG0011151	CTHSW_004758-T1	
OG0011152	CTHSW_004764-T1	
OG0011153	CTHSW_004766-T1	
OG0011154	CTHSW_004780-T1	
OG0011155	CTHSW_004800-T1	
OG0011156	CTHSW_004804-T1	
OG0011157	CTHSW_004805-T1	
OG0011158	CTHSW_004818-T1	
OG0011159	CTHSW_004821-T1	
OG0011160	CTHSW_004822-T1	
OG0011161	CTHSW_004824-T1	
OG0011162	CTHSW_004825-T1	
OG0011163	CTHSW_004826-T1	
OG0011164	CTHSW_004828-T1	
OG0011165	CTHSW_004837-T1	
OG0011166	CTHSW_004846-T1	
OG0011167	CTHSW_004849-T1	
OG0011168	CTHSW_004850-T1	
OG0011169	CTHSW_004852-T1	
OG0011170	CTHSW_004853-T1	
OG0011171	CTHSW_004861-T1	
OG0011172	CTHSW_004862-T1	
OG0011173	CTHSW_004870-T1	
OG0011174	CTHSW_004871-T1	
OG0011175	CTHSW_004873-T1	
OG0011176	CTHSW_004880-T1	
OG0011177	CTHSW_004886-T1	
OG0011178	CTHSW_004896-T1	
OG0011179	CTHSW_004897-T1	
OG0011180	CTHSW_004898-T1	
OG0011181	CTHSW_004913-T1	
OG0011182	CTHSW_004915-T1	
OG0011183	CTHSW_004916-T1	
OG0011184	CTHSW_004917-T1	
OG0011185	CTHSW_004923-T1	
OG0011186	CTHSW_004927-T1	
OG0011187	CTHSW_004928-T1	
OG0011188	CTHSW_004940-T1	
OG0011189	CTHSW_004942-T1	
OG0011190	CTHSW_004949-T1	
OG0011191	CTHSW_004954-T1	
OG0011192	CTHSW_004955-T1	
OG0011193	CTHSW_004962-T1	
OG0011194	CTHSW_004969-T1	
OG0011195	CTHSW_004971-T1	
OG0011196	CTHSW_004972-T1	
OG0011197	CTHSW_004974-T1	
OG0011198	CTHSW_004985-T1	
OG0011199	CTHSW_004987-T1	
OG0011200	CTHSW_005000-T1	
OG0011201	CTHSW_005005-T1	
OG0011202	CTHSW_005012-T1	
OG0011203	CTHSW_005014-T1	
OG0011204	CTHSW_005024-T1	
OG0011205	CTHSW_005025-T1	
OG0011206	CTHSW_005051-T1	
OG0011207	CTHSW_005052-T1	
OG0011208	CTHSW_005053-T1	
OG0011209	CTHSW_005059-T1	
OG0011210	CTHSW_005074-T1	
OG0011211	CTHSW_005075-T1	
OG0011212	CTHSW_005076-T1	
OG0011213	CTHSW_005097-T1	
OG0011214	CTHSW_005100-T1	
OG0011215	CTHSW_005101-T1	
OG0011216	CTHSW_005118-T1	
OG0011217	CTHSW_005120-T1	
OG0011218	CTHSW_005139-T1	
OG0011219	CTHSW_005141-T1	
OG0011220	CTHSW_005161-T1	
OG0011221	CTHSW_005164-T1	
OG0011222	CTHSW_005174-T1	
OG0011223	CTHSW_005186-T1	
OG0011224	CTHSW_005187-T1	
OG0011225	CTHSW_005188-T1	
OG0011226	CTHSW_005189-T1	
OG0011227	CTHSW_005190-T1	
OG0011228	CTHSW_005213-T1	
OG0011229	CTHSW_005214-T1	
OG0011230	CTHSW_005215-T1	
OG0011231	CTHSW_005235-T1	
OG0011232	CTHSW_005236-T1	
OG0011233	CTHSW_005243-T1	
OG0011234	CTHSW_005249-T1	
OG0011235	CTHSW_005261-T1	
OG0011236	CTHSW_005280-T1	
OG0011237	CTHSW_005281-T1	
OG0011238	CTHSW_005300-T1	
OG0011239	CTHSW_005302-T1	
OG0011240	CTHSW_005303-T1	
OG0011241	CTHSW_005304-T1	
OG0011242	CTHSW_005311-T1	
OG0011243	CTHSW_005321-T1	
OG0011244	CTHSW_005322-T1	
OG0011245	CTHSW_005325-T1	
OG0011246	CTHSW_005341-T1	
OG0011247	CTHSW_005342-T1	
OG0011248	CTHSW_005343-T1	
OG0011249	CTHSW_005350-T1	
OG0011250	CTHSW_005363-T1	
OG0011251	CTHSW_005365-T1	
OG0011252	CTHSW_005383-T1	
OG0011253	CTHSW_005385-T1	
OG0011254	CTHSW_005386-T1	
OG0011255	CTHSW_005402-T1	
OG0011256	CTHSW_005412-T1	
OG0011257	CTHSW_005413-T1	
OG0011258	CTHSW_005416-T1	
OG0011259	CTHSW_005418-T1	
OG0011260	CTHSW_005419-T1	
OG0011261	CTHSW_005423-T1	
OG0011262	CTHSW_005426-T1	
OG0011263	CTHSW_005428-T1	
OG0011264	CTHSW_005429-T1	
OG0011265	CTHSW_005430-T1	
OG0011266	CTHSW_005443-T1	
OG0011267	CTHSW_005450-T1	
OG0011268	CTHSW_005452-T1	
OG0011269	CTHSW_005453-T1	
OG0011270	CTHSW_005454-T1	
OG0011271	CTHSW_005455-T1	
OG0011272	CTHSW_005456-T1	
OG0011273	CTHSW_005478-T1	
OG0011274	CTHSW_005479-T1	
OG0011275	CTHSW_005501-T1	
OG0011276	CTHSW_005502-T1	
OG0011277	CTHSW_005549-T1	
OG0011278	CTHSW_005554-T1	
OG0011279	CTHSW_005568-T1	
OG0011280	CTHSW_005570-T1	
OG0011281	CTHSW_005586-T1	
OG0011282	CTHSW_005587-T1	
OG0011283	CTHSW_005589-T1	
OG0011284	CTHSW_005590-T1	
OG0011285	CTHSW_005591-T1	
OG0011286	CTHSW_005592-T1	
OG0011287	CTHSW_005593-T1	
OG0011288	CTHSW_005601-T1	
OG0011289	CTHSW_005606-T1	
OG0011290	CTHSW_005609-T1	
OG0011291	CTHSW_005610-T1	
OG0011292	CTHSW_005611-T1	
OG0011293	CTHSW_005612-T1	
OG0011294	CTHSW_005619-T1	
OG0011295	CTHSW_005631-T1	
OG0011296	CTHSW_005634-T1	
OG0011297	CTHSW_005638-T1	
OG0011298	CTHSW_005653-T1	
OG0011299	CTHSW_005654-T1	
OG0011300	CTHSW_005655-T1	
OG0011301	CTHSW_005656-T1	
OG0011302	CTHSW_005659-T1	
OG0011303	CTHSW_005662-T1	
OG0011304	CTHSW_005670-T1	
OG0011305	CTHSW_005671-T1	
OG0011306	CTHSW_005672-T1	
OG0011307	CTHSW_005673-T1	
OG0011308	CTHSW_005674-T1	
OG0011309	CTHSW_005683-T1	
OG0011310	CTHSW_005686-T1	
OG0011311	CTHSW_005689-T1	
OG0011312	CTHSW_005693-T1	
OG0011313	CTHSW_005698-T1	
OG0011314	CTHSW_005700-T1	
OG0011315	CTHSW_005710-T1	
OG0011316	CTHSW_005715-T1	
OG0011317	CTHSW_005716-T1	
OG0011318	CTHSW_005725-T1	
OG0011319	CTHSW_005736-T1	
OG0011320	CTHSW_005738-T1	
OG0011321	CTHSW_005739-T1	
OG0011322	CTHSW_005740-T1	
OG0011323	CTHSW_005747-T1	
OG0011324	CTHSW_005783-T1	
OG0011325	CTHSW_005791-T1	
OG0011326	CTHSW_005810-T1	
OG0011327	CTHSW_005813-T1	
OG0011328	CTHSW_005830-T1	
OG0011329	CTHSW_005831-T1	
OG0011330	CTHSW_005832-T1	
OG0011331	CTHSW_005835-T1	
OG0011332	CTHSW_005849-T1	
OG0011333	CTHSW_005851-T1	
OG0011334	CTHSW_005858-T1	
OG0011335	CTHSW_005871-T1	
OG0011336	CTHSW_005890-T1	
OG0011337	CTHSW_005893-T1	
OG0011338	CTHSW_005894-T1	
OG0011339	CTHSW_005896-T1	
OG0011340	CTHSW_005915-T1	
OG0011341	CTHSW_005931-T1	
OG0011342	CTHSW_005949-T1	
OG0011343	CTHSW_005950-T1	
OG0011344	CTHSW_005953-T1	
OG0011345	CTHSW_005958-T1	
OG0011346	CTHSW_005964-T1	
OG0011347	CTHSW_005966-T1	
OG0011348	CTHSW_005970-T1	
OG0011349	CTHSW_005984-T1	
OG0011350	CTHSW_005985-T1	
OG0011351	CTHSW_006022-T1	
OG0011352	CTHSW_006024-T1	
OG0011353	CTHSW_006037-T1	
OG0011354	CTHSW_006047-T1	
OG0011355	CTHSW_006062-T1	
OG0011356	CTHSW_006074-T1	
OG0011357	CTHSW_006083-T1	
OG0011358	CTHSW_006087-T1	
OG0011359	CTHSW_006100-T1	
OG0011360	CTHSW_006125-T1	
OG0011361	CTHSW_006127-T1	
OG0011362	CTHSW_006132-T1	
OG0011363	CTHSW_006134-T1	
OG0011364	CTHSW_006156-T1	
OG0011365	CTHSW_006157-T1	
OG0011366	CTHSW_006163-T1	
OG0011367	CTHSW_006170-T1	
OG0011368	CTHSW_006173-T1	
OG0011369	CTHSW_006174-T1	
OG0011370	CTHSW_006175-T1	
OG0011371	CTHSW_006179-T1	
OG0011372	CTHSW_006189-T1	
OG0011373	CTHSW_006194-T1	
OG0011374	CTHSW_006196-T1	
OG0011375	CTHSW_006197-T1	
OG0011376	CTHSW_006209-T1	
OG0011377	CTHSW_006230-T1	
OG0011378	CTHSW_006243-T1	
OG0011379	CTHSW_006247-T1	
OG0011380	CTHSW_006270-T1	
OG0011381	CTHSW_006282-T1	
OG0011382	CTHSW_006283-T1	
OG0011383	CTHSW_006289-T1	
OG0011384	CTHSW_006294-T1	
OG0011385	CTHSW_006298-T1	
OG0011386	CTHSW_006307-T1	
OG0011387	CTHSW_006318-T1	
OG0011388	CTHSW_006330-T1	
OG0011389	CTHSW_006331-T1	
OG0011390	CTHSW_006337-T1	
OG0011391	CTHSW_006344-T1	
OG0011392	CTHSW_006351-T1	
OG0011393	CTHSW_006354-T1	
OG0011394	CTHSW_006363-T1	
OG0011395	CTHSW_006372-T1	
OG0011396	CTHSW_006381-T1	
OG0011397	CTHSW_006384-T1	
OG0011398	CTHSW_006388-T1	
OG0011399	CTHSW_006399-T1	
OG0011400	CTHSW_006402-T1	
OG0011401	CTHSW_006422-T1	
OG0011402	CTHSW_006451-T1	
OG0011403	CTHSW_006452-T1	
OG0011404	CTHSW_006481-T1	
OG0011405	CTHSW_006482-T1	
OG0011406	CTHSW_006487-T1	
OG0011407	CTHSW_006504-T1	
OG0011408	CTHSW_006505-T1	
OG0011409	CTHSW_006506-T1	
OG0011410	CTHSW_006524-T1	
OG0011411	CTHSW_006525-T1	
OG0011412	CTHSW_006526-T1	
OG0011413	CTHSW_006527-T1	
OG0011414	CTHSW_006528-T1	
OG0011415	CTHSW_006529-T1	
OG0011416	CTHSW_006538-T1	
OG0011417	CTHSW_006545-T1	
OG0011418	CTHSW_006556-T1	
OG0011419	CTHSW_006557-T1	
OG0011420	CTHSW_006559-T1	
OG0011421	CTHSW_006561-T1	
OG0011422	CTHSW_006589-T1	
OG0011423	CTHSW_006597-T1	
OG0011424	CTHSW_006620-T1	
OG0011425	CTHSW_006628-T1	
OG0011426	CTHSW_006630-T1	
OG0011427	CTHSW_006636-T1	
OG0011428	CTHSW_006637-T1	
OG0011429	CTHSW_006642-T1	
OG0011430	CTHSW_006650-T1	
OG0011431	CTHSW_006652-T1	
OG0011432	CTHSW_006655-T1	
OG0011433	CTHSW_006656-T1	
OG0011434	CTHSW_006663-T1	
OG0011435	CTHSW_006677-T1	
OG0011436	CTHSW_006679-T1	
OG0011437	CTHSW_006688-T1	
OG0011438	CTHSW_006695-T1	
OG0011439	CTHSW_006715-T1	
OG0011440	CTHSW_006717-T1	
OG0011441	CTHSW_006740-T1	
OG0011442	CTHSW_006741-T1	
OG0011443	CTHSW_006745-T1	
OG0011444	CTHSW_006746-T1	
OG0011445	CTHSW_006750-T1	
OG0011446	CTHSW_006751-T1	
OG0011447	CTHSW_006762-T1	
OG0011448	CTHSW_006768-T1	
OG0011449	CTHSW_006769-T1	
OG0011450	CTHSW_006773-T1	
OG0011451	CTHSW_006775-T1	
OG0011452	CTHSW_006780-T1	
OG0011453	CTHSW_006789-T1	
OG0011454	CTHSW_006809-T1	
OG0011455	CTHSW_006810-T1	
OG0011456	CTHSW_006813-T1	
OG0011457	CTHSW_006814-T1	
OG0011458	CTHSW_006815-T1	
OG0011459	CTHSW_006816-T1	
OG0011460	CTHSW_006831-T1	
OG0011461	CTHSW_006845-T1	
OG0011462	CTHSW_006846-T1	
OG0011463	CTHSW_006854-T1	
OG0011464	CTHSW_006866-T1	
OG0011465	CTHSW_006882-T1	
OG0011466	CTHSW_006900-T1	
OG0011467	CTHSW_006902-T1	
OG0011468	CTHSW_006905-T1	
OG0011469	CTHSW_006907-T1	
OG0011470	CTHSW_006908-T1	
OG0011471	CTHSW_006910-T1	
OG0011472	CTHSW_006914-T1	
OG0011473	CTHSW_006915-T1	
OG0011474	CTHSW_006917-T1	
OG0011475	CTHSW_006935-T1	
OG0011476	CTHSW_006936-T1	
OG0011477	CTHSW_006937-T1	
OG0011478	CTHSW_006938-T1	
OG0011479	CTHSW_006953-T1	
OG0011480	CTHSW_006956-T1	
OG0011481	CTHSW_006969-T1	
OG0011482	CTHSW_006999-T1	
OG0011483	CTHSW_007010-T1	
OG0011484	CTHSW_007014-T1	
OG0011485	CTHSW_007037-T1	
OG0011486	CTHSW_007054-T1	
OG0011487	CTHSW_007065-T1	
OG0011488	CTHSW_007067-T1	
OG0011489	CTHSW_007071-T1	
OG0011490	CTHSW_007077-T1	
OG0011491	CTHSW_007080-T1	
OG0011492	CTHSW_007081-T1	
OG0011493	CTHSW_007082-T1	
OG0011494	CTHSW_007089-T1	
OG0011495	CTHSW_007092-T1	
OG0011496	CTHSW_007098-T1	
OG0011497	CTHSW_007099-T1	
OG0011498	CTHSW_007125-T1	
OG0011499	CTHSW_007127-T1	
OG0011500	CTHSW_007132-T1	
OG0011501	CTHSW_007138-T1	
OG0011502	CTHSW_007139-T1	
OG0011503	CTHSW_007142-T1	
OG0011504	CTHSW_007143-T1	
OG0011505	CTHSW_007160-T1	
OG0011506	CTHSW_007161-T1	
OG0011507	CTHSW_007166-T1	
OG0011508	CTHSW_007172-T1	
OG0011509	CTHSW_007174-T1	
OG0011510	CTHSW_007181-T1	
OG0011511	CTHSW_007185-T1	
OG0011512	CTHSW_007186-T1	
OG0011513	CTHSW_007193-T1	
OG0011514	CTHSW_007201-T1	
OG0011515	CTHSW_007228-T1	
OG0011516	CTHSW_007254-T1	
OG0011517	CTHSW_007263-T1	
OG0011518	CTHSW_007267-T1	
OG0011519	CTHSW_007270-T1	
OG0011520	CTHSW_007283-T1	
OG0011521	CTHSW_007284-T1	
OG0011522	CTHSW_007302-T1	
OG0011523	CTHSW_007303-T1	
OG0011524	CTHSW_007319-T1	
OG0011525	CTHSW_007328-T1	
OG0011526	CTHSW_007336-T1	
OG0011527	CTHSW_007353-T1	
OG0011528	CTHSW_007367-T1	
OG0011529	CTHSW_007372-T1	
OG0011530	CTHSW_007380-T1	
OG0011531	CTHSW_007393-T1	
OG0011532	CTHSW_007397-T1	
OG0011533	CTHSW_007405-T1	
OG0011534	CTHSW_007407-T1	
OG0011535	CTHSW_007413-T1	
OG0011536	CTHSW_007414-T1	
OG0011537	CTHSW_007418-T1	
OG0011538	CTHSW_007449-T1	
OG0011539	CTHSW_007453-T1	
OG0011540	CTHSW_007456-T1	
OG0011541	CTHSW_007488-T1	
OG0011542	CTHSW_007507-T1	
OG0011543	CTHSW_007509-T1	
OG0011544	CTHSW_007515-T1	
OG0011545	CTHSW_007521-T1	
OG0011546	CTHSW_007542-T1	
OG0011547	CTHSW_007553-T1	
OG0011548	CTHSW_007559-T1	
OG0011549	CTHSW_007561-T1	
OG0011550	CTHSW_007596-T1	
OG0011551	CTHSW_007618-T1	
OG0011552	CTHSW_007622-T1	
OG0011553	CTHSW_007628-T1	
OG0011554	CTHSW_007636-T1	
OG0011555	CTHSW_007642-T1	
OG0011556	CTHSW_007648-T1	
OG0011557	CTHSW_007658-T1	
OG0011558	CTHSW_007663-T1	
OG0011559	CTHSW_007689-T1	
OG0011560	CTHSW_007698-T1	
OG0011561	CTHSW_007707-T1	
OG0011562	CTHSW_007715-T1	
OG0011563	CTHSW_007718-T1	
OG0011564	CTHSW_007719-T1	
OG0011565	CTHSW_007725-T1	
OG0011566	CTHSW_007726-T1	
OG0011567	CTHSW_007743-T1	
OG0011568	CTHSW_007744-T1	
OG0011569	CTHSW_007780-T1	
OG0011570	CTHSW_007781-T1	
OG0011571	CTHSW_007786-T1	
OG0011572	CTHSW_007788-T1	
OG0011573	CTHSW_007790-T1	
OG0011574	CTHSW_007796-T1	
OG0011575	CTHSW_007813-T1	
OG0011576	CTHSW_007821-T1	
OG0011577	CTHSW_007822-T1	
OG0011578	CTHSW_007828-T1	
OG0011579	CTHSW_007830-T1	
OG0011580	CTHSW_007843-T1	
OG0011581	CTHSW_007852-T1	
OG0011582	CTHSW_007868-T1	
OG0011583	CTHSW_007869-T1	
OG0011584	CTHSW_007874-T1	
OG0011585	CTHSW_007880-T1	
OG0011586	CTHSW_007888-T1	
OG0011587	CTHSW_007894-T1	
OG0011588	CTHSW_007899-T1	
OG0011589	CTHSW_007905-T1	
OG0011590	CTHSW_007906-T1	
OG0011591	CTHSW_007910-T1	
OG0011592	CTHSW_007911-T1	
OG0011593	CTHSW_007930-T1	
OG0011594	CTHSW_007931-T1	
OG0011595	CTHSW_007937-T1	
OG0011596	CTHSW_007945-T1	
OG0011597	CTHSW_007947-T1	
OG0011598	CTHSW_007950-T1	
OG0011599	CTHSW_007955-T1	
OG0011600	CTHSW_007958-T1	
OG0011601	CTHSW_007960-T1	
OG0011602	CTHSW_007978-T1	
OG0011603	CTHSW_007985-T1	
OG0011604	CTHSW_007988-T1	
OG0011605	CTHSW_007989-T1	
OG0011606	CTHSW_008044-T1	
OG0011607	CTHSW_008046-T1	
OG0011608	CTHSW_008051-T1	
OG0011609	CTHSW_008064-T1	
OG0011610	CTHSW_008066-T1	
OG0011611	CTHSW_008089-T1	
OG0011612	CTHSW_008092-T1	
OG0011613	CTHSW_008100-T1	
OG0011614	CTHSW_008104-T1	
OG0011615	CTHSW_008126-T1	
OG0011616	CTHSW_008142-T1	
OG0011617	CTHSW_008178-T1	
OG0011618	CTHSW_008182-T1	
OG0011619	CTHSW_008184-T1	
OG0011620	CTHSW_008201-T1	
OG0011621	CTHSW_008204-T1	
OG0011622	CTHSW_008205-T1	
OG0011623	CTHSW_008207-T1	
OG0011624	CTHSW_008211-T1	
OG0011625	CTHSW_008223-T1	
OG0011626	CTHSW_008231-T1	
OG0011627	CTHSW_008234-T1	
OG0011628	CTHSW_008241-T1	
OG0011629	CTHSW_008293-T1	
OG0011630	CTHSW_008316-T1	
OG0011631	CTHSW_008325-T1	
OG0011632	CTHSW_008327-T1	
OG0011633	CTHSW_008330-T1	
OG0011634	CTHSW_008336-T1	
OG0011635	CTHSW_008345-T1	
OG0011636	CTHSW_008354-T1	
OG0011637	CTHSW_008355-T1	
OG0011638	CTHSW_008369-T1	
OG0011639	CTHSW_008378-T1	
OG0011640	CTHSW_008387-T1	
OG0011641	CTHSW_008388-T1	
OG0011642	CTHSW_008392-T1	
OG0011643	CTHSW_008397-T1	
OG0011644	CTHSW_008405-T1	
OG0011645	CTHSW_008407-T1	
OG0011646	CTHSW_008408-T1	
OG0011647	CTHSW_008413-T1	
OG0011648	CTHSW_008419-T1	
OG0011649	CTHSW_008420-T1	
OG0011650	CTHSW_008430-T1	
OG0011651	CTHSW_008433-T1	
OG0011652	CTHSW_008438-T1	
OG0011653	CTHSW_008442-T1	
OG0011654	CTHSW_008453-T1	
OG0011655	CTHSW_008469-T1	
OG0011656	CTHSW_008477-T1	
OG0011657	CTHSW_008479-T1	
OG0011658	CTHSW_008484-T1	
OG0011659	CTHSW_008488-T1	
OG0011660	CTHSW_008517-T1	
OG0011661	CTHSW_008539-T1	
OG0011662	CTHSW_008544-T1	
OG0011663	CTHSW_008554-T1	
OG0011664	CTHSW_008576-T1	
OG0011665	CTHSW_008580-T1	
OG0011666	CTHSW_008581-T1	
OG0011667	CTHSW_008593-T1	
OG0011668	CTHSW_008605-T1	
OG0011669	CTHSW_008610-T1	
OG0011670	CTHSW_008612-T1	
OG0011671	CTHSW_008621-T1	
OG0011672	CTHSW_008636-T1	
OG0011673	CTHSW_008645-T1	
OG0011674	CTHSW_008670-T1	
OG0011675	CTHSW_008674-T1	
OG0011676	CTHSW_008693-T1	
OG0011677	CTHSW_008719-T1	
OG0011678	CTHSW_008726-T1	
OG0011679	CTHSW_008741-T1	
OG0011680	CTHSW_008757-T1	
OG0011681	CTHSW_008758-T1	
OG0011682	CTHSW_008763-T1	
OG0011683	CTHSW_008766-T1	
OG0011684	CTHSW_008775-T1	
OG0011685	CTHSW_008788-T1	
OG0011686	CTHSW_008801-T1	
OG0011687	CTHSW_008802-T1	
OG0011688	CTHSW_008803-T1	
OG0011689	CTHSW_008804-T1	
OG0011690	CTHSW_008817-T1	
OG0011691	CTHSW_008818-T1	
OG0011692	CTHSW_008821-T1	
OG0011693	CTHSW_008831-T1	
OG0011694	CTHSW_008832-T1	
OG0011695	CTHSW_008839-T1	
OG0011696	CTHSW_008844-T1	
OG0011697	CTHSW_008845-T1	
OG0011698	CTHSW_008846-T1	
OG0011699	CTHSW_008856-T1	
OG0011700	CTHSW_008863-T1	
OG0011701	CTHSW_008865-T1	
OG0011702	CTHSW_008866-T1	
OG0011703	CTHSW_008867-T1	
OG0011704	CTHSW_008884-T1	
OG0011705	CTHSW_008895-T1	
OG0011706	CTHSW_008902-T1	
OG0011707	CTHSW_008933-T1	
OG0011708	CTHSW_008934-T1	
OG0011709	CTHSW_008937-T1	
OG0011710	CTHSW_008941-T1	
OG0011711	CTHSW_008948-T1	
OG0011712	CTHSW_008951-T1	
OG0011713	CTHSW_008958-T1	
OG0011714	CTHSW_008971-T1	
OG0011715	CTHSW_008972-T1	
OG0011716	CTHSW_008975-T1	
OG0011717	CTHSW_008976-T1	
OG0011718	CTHSW_008980-T1	
OG0011719	CTHSW_008986-T1	
OG0011720	CTHSW_008989-T1	
OG0011721	CTHSW_008992-T1	
OG0011722	CTHSW_008996-T1	
OG0011723	CTHSW_009025-T1	
OG0011724	CTHSW_009032-T1	
OG0011725	CTHSW_009035-T1	
OG0011726	CTHSW_009038-T1	
OG0011727	CTHSW_009039-T1	
OG0011728	CTHSW_009042-T1	
OG0011729	CTHSW_009061-T1	
OG0011730	CTHSW_009062-T1	
OG0011731	CTHSW_009063-T1	
OG0011732	CTHSW_009064-T1	
OG0011733	CTHSW_009068-T1	
OG0011734	CTHSW_009069-T1	
OG0011735	CTHSW_009072-T1	
OG0011736	CTHSW_009078-T1	
OG0011737	CTHSW_009082-T1	
OG0011738	CTHSW_009089-T1	
OG0011739	CTHSW_009096-T1	
OG0011740	CTHSW_009111-T1	
OG0011741	CTHSW_009112-T1	
OG0011742	CTHSW_009123-T1	
OG0011743	CTHSW_009127-T1	
OG0011744	CTHSW_009131-T1	
OG0011745	CTHSW_009140-T1	
OG0011746	CTHSW_009160-T1	
OG0011747	CTHSW_009184-T1	
OG0011748	CTHSW_009199-T1	
OG0011749	CTHSW_009205-T1	
OG0011750	CTHSW_009214-T1	
OG0011751	CTHSW_009224-T1	
OG0011752	CTHSW_009235-T1	
OG0011753	CTHSW_009237-T1	
OG0011754	CTHSW_009241-T1	
OG0011755	CTHSW_009242-T1	
OG0011756	CTHSW_009243-T1	
OG0011757	CTHSW_009248-T1	
OG0011758	CTHSW_009253-T1	
OG0011759	CTHSW_009254-T1	
OG0011760	CTHSW_009263-T1	
OG0011761	CTHSW_009274-T1	
OG0011762	CTHSW_009291-T1	
OG0011763	CTHSW_009303-T1	
OG0011764	CTHSW_009304-T1	
OG0011765	CTHSW_009305-T1	
OG0011766	CTHSW_009308-T1	
OG0011767	CTHSW_009309-T1	
OG0011768	CTHSW_009315-T1	
OG0011769	CTHSW_009316-T1	
OG0011770	CTHSW_009321-T1	
OG0011771	CTHSW_009327-T1	
OG0011772	CTHSW_009329-T1	
OG0011773	CTHSW_009330-T1	
OG0011774	CTHSW_009353-T1	
OG0011775	CTHSW_009356-T1	
OG0011776	CTHSW_009365-T1	
OG0011777	CTHSW_009373-T1	
OG0011778	CTHSW_009381-T1	
OG0011779	CTHSW_009384-T1	
OG0011780	CTHSW_009388-T1	
OG0011781	CTHSW_009391-T1	
